Translation Key,Translated Value
exo_merc_urban_outfit_name,ТБ-1 наёмников «Город»
ammo-7.92x33_ap,"Патроны 7,92x57 мм БП"
st_wpn_protecta,Armsel Protecta
st_af_fonar_name,«Фонарь»
merc_coyote_outfit_description,"%c[ui_gray_1]Средний тактический костюм, являющийся укреплённой версией «Шакала». Демонстрирует повышенную защиту от физических воздействий и имеет ещё лучшую систему распределения веса. Как и следует ожидать, его цена куда выше, чем у предшественника, но подобный момент точно не остановит большинство наёмников от приобретения костюма, если им выпадает такая возможность.\n \n"
st_af_dragon_eye_name,«Глаз дракона»
st_wpn_protecta_nimble,Заказная Armsel Protecta
svoboda_exo_outfit_description,"%c[ui_gray_1]Одна из лучших работ техников «Свободы». После многочисленных экспериментов с применением различных модификаций им удалось создать действительно удачную конструкцию. По-настоящему мощный бронекостюм, даже несмотря на большую стоимость обслуживания, используемый лишь самыми лучшими бойцами «Свободы».\nКомплект представляет собой современные сервоприводы, установленные на тяжёлый бронекостюм, состоящий из трёх частей: экзошлем, тактический бронежилет и защитный костюм из кевлара.\n \n"
st_rank_novice,новичок
st_cleaning_kit_u,Универсальный набор для чистки оружия
st_sausage_descr,"Колбаса, изготовленная из говядины и свинины. Закопчённая и упакованная в вакуумную упаковку, она может храниться в течение длительного времени. Данная палка колбасы импортирована из России. Такие обычно пользуются спросом среди русской мафии за свой исключительный аромат и вкус.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] пища\n %c[d_blue] • %c[ui_gray_2] импортная\n %c[d_blue] • %c[ui_gray_2] здоровое питание\n"
mutant_psysucker_meat,Мясо пси-кровососа
st_af_frames_name,Алюминиевые рамки
st_data_export_bonus_mutant_part_chance,Шанс бонусной части мутанта
st_bolt_9,Поворотная личинка [7 упр.] [А]
st_data_export_can_be_crafted,Можно скрафтить
st_data_export_eat_health_change,Изменение здоровья
st_af_cristall_flower_name,«Каменный цветок»
mutant_lurker_meat_description,"Большой кусок мяса кикиморы. Весьма питательный и практически незагрязнённый. Может заинтересовать учёных. Из куска мяса при нехитрых манипуляциях можно также добыть немного животного жира, пригодного для смазки оружия.\n \n %c[d_red]ВНИМАНИЕ:\n \n%c[default]Сталкерам рекомендуется воздержаться от употребления такого рода мяса животных и мутантов в Зоне в сыром виде, так как оно наверняка заражено трихинеллёзом или бруцеллёзом. Эти заболевания передаются при употреблении заражённого мяса. Симптомы включают в себя лихорадку, усталость и потерю аппетита, что в суровых условиях Зоны весьма опасно. Абсцессы и странные опухоли на мясе дают понять, что оно заражено и следует его выбросить.\n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[d_green] • %c[ui_gray_2] мясо мутанта «высокого происхождения»\n %c[d_green] • %c[ui_gray_2] возможно приготовить\n %c[d_red] • %c[ui_gray_2] ядовитая пища\n"
ui_inv_outfit_additional_weight,Переносимый вес
st_ration_ru,Российский рацион питания ИРП-Б
st_prt_w_p_trigger_1,УСМ одинарного действия (ОД)
st_wpn_aks74_descr,"Будучи более точным и надёжным автоматом, нежели АКМ, АК-74 до сих пор используется в большинстве стран бывшего СССР. АКС-74 оснащён складывающимся металлическим прикладом и предназначен в первую очередь для десантно-штурмовой пехоты. В Зоне это основное оружие военных сталкеров и многих одиночек.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] подствольный гранатомёт ГП-25 (после модификации)\n %c[d_purple] • %c[ui_gray_2] прицелы Кобра ЭКП-1С-03, УСП-1 «Тюльпан», ПСО-1М\n %c[d_purple] • %c[ui_gray_2] глушитель ТГП-А\n \n"
st_knife_swat_descr,"Нож, идеальный для бойцов спецподразделений. Хорошо пробивает броню и наносит значительные повреждения тканям, часто считается лучшим боевым ножом.\n \n %c[0,255,255,255]ХАРАКТЕРИСТИКИ:\n %c[d_cyan] • %c[ui_gray_2] холодное оружие\n %c[255, 245, 118, 56] • %c[ui_gray_2] сила основной атаки: %c[255, 198, 165, 131]54\n %c[255, 245, 118, 56] • %c[ui_gray_2] сила дополнительной атаки: %c[255, 198, 165, 131]78\n"
light_merc_outfit_description,"%c[ui_gray_1]Хорошо сохранившийся костюм с бронежилетом IBA «Перехватчик», напрямую проданный ЧВК и наёмникам рядом Западных спонсоров. Данный комплект экипировки хоть и несколько неудобный, но определённо лучше, чем стандартный вариант, широко распространённый в Зоне. Предназначен для обеспечения защиты наёмников во время выполнения их контрактов, в первую очередь, предусматривающих проведение атак на укреплённые позиции противника на территории Зоны.\n \n"
st_wpn_g36,G36
st_wpn_pm_actor,Наградной ПМ
mutant_heart_chimera,Сердце химеры
st_wpn_fnx45_custom,Заказной FNX-45 Tactical
st_drug_booster,«Геркулес»
merc_sun_outfit_name,Тактический комбинезон «Сумрак»
st_medkit_ai2,Медицинский набор (Армейский)
st_grease,Промышленная смазка
st_raid_injector_1,"Инъектор ""Свиноподобный"""
st_ball_hammer,Шариковый молоток
st_af_frames_up_name,Улучшенные алюминиевые рамки
st_gas_tube_3,Газовая трубка [В]
st_wpn_ak74m_pk-a_descr,"В середине 1980-х годов конструкторы Ижевского машиностроительного завода разработали несколько моделей универсального модифицированного автомата Калашникова А-60 и А-61. На базе А-60 и А-61 был разработан один из удачных вариантов 5,45х39-мм автомата Калашникова АК-74М. Конструкция автомата Калашникова АК-74М практически полностью повторяет схему АК-74 и с точки зрения внутреннего устройства принципиальных отличий не имеет. Сохранив все лучшие качества автоматов Калашникова, приобрел ряд новых, значительно улучшивших его боевые и эксплуатационные характеристики. В целом, в конструкции АК-74М воплотилась идея «универсального» автомата, заменившего сразу четыре модели - АК-74, АК-74Н, АКС-74 и АКС-74Н. На данном варианте установлен интегрированный коллиматорный прицел ПК-А на кронштейне МТК-83.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] подствольный гранатомёт ГП-25 (после модификации)\n %c[d_purple] • %c[ui_gray_2] коллиматорный прицел «ПК-А» (интегрированный)\n %c[d_purple] • %c[ui_gray_2] глушитель ТГП-А\n \n"
st_prt_i_resistors,Коробка резисторов
st_knife_swat,Нож спецназа
st_af_electra_flash_name,«Вспышка»
st_glue_a,Тюбик клея «Tur»
st_army_bowler,Армейский котелок
mutant_lurker_eye,Глаз кикиморы
st_ecologist_outfit_blue_description,"%c[ui_gray_1]Высококачественный модифицированный комбинезон ССП-99М, в котором была улучшена защита от пуль и осколков, предназначенный для экипировки охраны научных экспедиций. Модель «Сапфир» даёт превосходную защиту от пси-воздействия, обеспечивает среднюю защиту от воздействия радиации и биологических аномалий, а также может похвастаться повышенной стойкостью к агрессивной токсичной среде и прочим угрозам целостности комбинезона.\n \n"
st_prt_w_p_barrel_6,Ствол-глушитель 9x18 мм
trenchcoat_outfit_name,Плащ
ammo-5.56x45-fmj,"Патроны 5,56x45 мм FMJ"
st_itm_mapkit_8,Карта аномалий (Свалка)
hybrid_outfit_description,"%c[ui_gray_1]Своеобразный «гадкий утёнок», созданный одним из киевских оборонных НИИ с целью обеспечения охраны представителей науки в Зоне. Судя по всему, костюм был создан с довольно ограниченным бюджетом, так как броневые элементы, вшитые в экипировку, одновременно делают её уязвимой к аномальным воздействиям и обеспечивают при этом куда меньшую защиту против вооружённого противника по сравнению с жилетом с бериллиевым покрытием. И хотя ни один из подобных бронекостюмов не был официально заказан украинским правительством, некоторые из них сомнительными путями всё-таки попали в Зону.\nЯвляется популярным выбором среди сталкеров, которые хотят достойной защиты, но не в силах найти чего-то лучшего.\n \n"
st_prt_o_ballistic_4,Пластины из кевлара «К129» с композитом из углеродного волокна
l03_agroprom,Агропром
st_wpn_svd_nimble_descr,"Вариант снайперской винтовки СВД штучной сборки. Внешне не сильно отличается от стандартного образца, но в деле демонстрирует гораздо более внушительное соотношение точности и убойной силы.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] прицел 1П59 «Гиперон» (интегрированный)\n %c[d_purple] • %c[ui_gray_2] глушитель КЗРЗП\n \n"
st_prt_i_fasteners,Крепёжные детали
st_headlamp,Старая лампа фонарика
st_prt_i_plastic,Полиэтиленовая плёнка
l02_garbage,Свалка
st_raid_injector_3,"Инъектор ""Призрак"""
st_prt_w_p_spring_1,Возвратная пружина 9 мм [СССР]
light_freedom_outfit_name,Бронежилет «Защитник свободы»
st_wpn_fort500_descr,"Гладкоствольное ружьё Форт-500 было разработано в НПО «Форт» МВД Украины в конце 1990-х годов и предназначалось для вооружения сотрудников МВД и служб безопасности Украины. В настоящее время ружьё ФОРТ-500 в ограниченных количествах состоит на вооружении спецподразделений МВД Украины, а также продаётся гражданам этой страны в охотничьем варианте.\n \n"
st_antirad_cystamine,Цистамин
st_tarpaulin,Камуфляжный брезент
st_af_plates_up_name,Улучшенные стальные бронепластины
st_upgr_o_durability,Ткани и пластины из прочных материалов
st_raid_fuel,Дизельное топливо
st_cleaning_kit_r5,Чистящий комплект «ValuPro III» для винтовок
isg_lcs_camo_outfit_description,"%c[ui_gray_1]Вариация лёгкого боевого комбинезона, модифицированного силами ИИГ для использования своими членами. За основу взяты образцы экипировки спецназа западных армий. Несмотря на малый вес и хорошую эргономичность, данный комбинезон может похвастаться приличной защитой от аномального воздействия и слабо вооружённых противников. Недостатком же данного варианта является низкая защита от ударов, порезов и осколков.\n \n"
st_wpn_bizon,ПП-19 «Бизон»
mutant_fang_psevdodog,Клык псевдособаки
st_wpn_hpsa,Browning Hi-Power
st_data_export_stash_type,Тип схрона
st_cigarettes_russian_descr,"Самая дешёвая пачка сигарет, встречающихся на территории Зоны. Какой-то дешёвой российской фирмы.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] стимулятор\n %c[d_red] • %c[ui_gray_2] низкое качество\n %c[d_blue] • %c[ui_gray_2] слабый отрезвляющий эффект\n"
st_adrenalin_descr,"Эпинефрин (также известный, как адреналин) представляет собой гормон совместно с нейромедиатором. Эпинефрин выполняет множество функций в организме: мгновенно регулирует частоту сердечных сокращений, расширяет кровеносные сосуды упрощая прохождение через них воздуха, а также вызывает метаболические сдвиги. Адреналин выделяется при борьбе или бегстве из симпатической нервной системы. Эффекты приводят к увеличению глюкозы в крови и жирных кислот, обеспечивая тем самым организм мгновенным субстратами для производства энергии внутри клеток по всему организму.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] медикамент\n %c[d_blue] • %c[ui_gray_2] импортный\n %c[d_blue] • %c[ui_gray_2] высокое качество\n %c[d_blue] • %c[ui_gray_2] быстрое использование (шприц)\n %c[d_blue] • %c[ui_gray_2] очень мощное отрезвляющее действие\n"
st_af_tapeworm_name,«Цепень»
st_wpn_sig550,SIG SG550
st_wpn_usp_custom,Заказной USP45
st_prt_o_retardant_1,Многослойные огнестойкие ткани
st_tomato_descr,"Консервированные, нарезанные кубиками помидоры, ввозимые на территорию Зоны на регулярной основе. Судя по сроку годности на дне банки - всё ещё свежие.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] пища\n %c[d_blue] • %c[ui_gray_2] импортные\n %c[d_blue] • %c[ui_gray_2] здоровое питание\n"
freedom_nosorog_outfit_desc,"%c[ui_gray_1]Следующее поколение экзоскелетов, состоящих из хорошо укреплённого тяжёлого бронекостюма-поддоспешника и бронированного противогаза M10 чешского производства. По слухам, идея и ранние наброски данного бронекостюма принадлежали легендарному сталкеру по прозвищу Клык, которые после его гибели оказались в распоряжении остальных группировок в Зоне.\nЕсли стандартные версии экзоскелетов позволяют чувствовать себя в безопасности, то «Чемпион» может заставить поверить оператора в то, что он является полноценным танком, способным выдержать огромный урон, имея при этом огромный боезапас.\nПодобный бронекостюм доступен, пожалуй, только самым ценным членам группировок и организаций - и даже потом желающим его приобрести придётся выложить приличную сумму.\n \n"
ammo-12x76-bull,Патроны 12x76 мм «Bull»
st_wpn_glock,Glock 19
monolith_outfit_name,Комбинезон «Монолита»
st_hide_pseudodog_name,Шкура псевдособаки
BR,BR
mutant_krovosos_jaw,Щупальца кровососа
st_wpn_sr25,SR-25
ammo-9x18-pmm_descr,Патрон с пулей повышенного останавливающего действия 7Н16. Малоэффективен против бронежилетов.\n \n%c[d_purple] • %c[ui_gray_2] пробивает броню класса: %c[ui_gray_1]BR1\n%c[d_purple] • %c[ui_gray_2] повреждение тканей: %c[ui_gray_1] среднее
ammo-7.62x54-7n1_descr,"Снайперский патрон калибра 7,62x54 мм с комбинированным свинцово-стальным сердечником, специально разработанный для СВД. В отличие от пулемётного патрона, 7Н1 обеспечивает хорошую кучность и превосходные пробивные способности.\n \n%c[d_purple] • %c[ui_gray_2] пробивает броню класса: %c[ui_gray_1]BR3\n%c[d_purple] • %c[ui_gray_2] повреждение тканей: %c[ui_gray_1]высокое"
ui_inv_outfit_wound_protection,Защ. от разрыва
st_af_blood_descr,"Довольно распространённый артефакт, представляющий собой желтовато-красное образование из спрессованных и окаменевших остатков растений, почвы и останков животных. Обладает способностью частично нейтрализовать вредные для человека химические вещества, поглощая их и снижая общий уровень токсичности в крови обладателя. Помимо этого, он ускоряет заживление ран, способствуя быстрой регенерации тканей и свёртываемости крови, что делает его полезным в экстренных ситуациях. \n Однако использование артефакта связано с рядом опасностей. Он обладает слабой устойчивостью к высоким температурам, а при контакте с открытым пламенем не только не защищает носителя, но и может самопроизвольно воспламениться или способствовать распространению огня. К тому же, артефакт испускает опасное радиоактивное излучение, делая длительное ношение без защиты крайне нежелательным. \n Несмотря на свои риски, «Кровь камня» остаётся ценным находкой для сталкеров, нуждающихся в защите от токсинов и быстром заживлении ран. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[0,133, 83, 38] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое. \n \n"
st_af_cell_name,«Клетка»
st_cocaine_descr,"Небольшой алюминиевый кейс, содержащий дозы кокаина и инструменты для его инъекций. Кокаин является мощным стимулятором нервной системы. Его действие длится от 15-30 минут до часа, в зависимости от места введения инъекции. Кокаин повышает бдительность, чувство благополучия и эйфории, повышает энергию и длительную активность, ощущение компетентности и сексуальности. Физическая сила может быть увеличена на спортивных состязаниях, где требуются длительное внимание и выносливость. Беспокойство, паранойя и неугомонность также являются частыми симптомами его применения. При чрезмерной дозировке наблюдаются сотрясения, конвульсии и увеличенная температура тела. Бандиты часто нюхают этот препарат непосредственно перед штурмом баз и лагерей.\n \n %c[ui_gray_3]ЗДОРОВЬЕ:\n %c[d_red] • %c[ui_gray_2] снижает здоровье на 6% при использовании\n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_blue] • %c[ui_gray_2] стимулятор\n %c[d_blue] • %c[ui_gray_2] очень мощное отрезвляющее действие\n"
st_wpn_pb_descr,"Принятый на вооружение в 1967 году, пистолет бесшумный ПБ (индекс ГРАУ 6П9) был разработан на базе пистолета Макарова для вооружения армейских разведывательных групп, а также персонала КГБ СССР. Пистолет использует интегральный глушитель, который уменьшает скорость пули до дозвуковой.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] глушитель 6П9 (интегрированный)\n \n"
isg_exo_outfit_description,"%c[ui_gray_1]Официальная версия экзоскелета Интернациональной Исследовательской Группы, которая и выступила заказчиком ограниченной партии, поставленной из США. Несмотря на наличие недостатков, присущих другим экзоскелетам, представленный бронекостюм всё равно является несравненной заменой лёгкой разведывательной техники, которая скорее всего испытала бы трудности при навигации в суровых условиях Зоны.\n \n"
stalker_proto_exo_outfit_name,Комбинезон «Заря» с протоэкзоскелетом
st_af_fuzz_kolobok_name,«Колобок»
st_gun_oil_ru_d,Масло и растворитель «Двойка»
ui_inv_damage,Урон
st_barrel_11,Ствол 9 мм [АС|ПП]
st_af_peas_name,«Луна»
st_hide_chimera_name,Шкура химеры
st_roubles,Рубли
cs_scientific_outfit_good_description,"%c[ui_gray_1]Неофициальная версия научного комбинезона «СЕВА», основательно модифицированная Новиковым, техником «Чистого неба». Используемые им материалы, к сожалению, снизили устойчивость к высоким температурам - зато все остальные показатели противоаномальной защиты вышли на новый уровень. Вдобавок комбинезон отличается высокой эргономичностью, обеспечивающей столь необходимую мобильность при исследовании аномальных полей. Чрезвычайно популярен среди исследователей-ветеранов группировки.\n \n"
st_prt_o_retardant_9,Полимерные листы (покрытие из сульфата висмута)
st_yadylin,Йадулин
st_wpn_mp7,HK MP7
st_barrel_7,Ствол 7.62 мм [А|В]
cs_scientific_outfit_good_name,Научный комбинезон ЧН-4а «Исследователь»
merc_wolven_outfit_name,Бронежилет наёмников «Гиена»
trenchcoat_dolg_brown_outfit_name,Плотный плащ «Долга»
mutant_heart_bloodsucker,Сердце кровососа
st_antirad,Противорадиационный препарат
st_repair_kit_p,Ремкомплект для пистолетов
st_wpn_fn2000_nimble,FN F2000 «EOTech»
st_drink_crow,«Клюв»
helm_ranger_descr,"%c[ui_gray_1]Будучи сконструированным на базе ГП-10, данный противогаз был создан с целью обеспечения защиты владельца от пси-воздействия контролёров и полтергейстов. И хотя результаты, мягко говоря, неоднозначные, данная модель остаётся отличным вариантом для тех, кто нуждается в дополнительной защите от осколков, а также пси- и термических угроз.\n \n"
st_kolbasa_descr,"Смесь старого хлеба и слегка испорченного вонючего мяса неизвестного происхождения, завёрнутое в коричневую бумагу. Внешний вид и запах наводит на мысль, что внутри всё уже покрыто плесенью.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n %c[d_red] • %c[ui_gray_2] низкое качество\n"
st_wpn_kiparis,ОЦ-02 «Кипарис»
st_meat_bloodsucker_descr,"Небольшая горячая порция гуляша из мяса кровососа, приправленная перцем «Чили» с добавлением грибов.\n \n %c[ui_gray_3]ХАРАКТЕРИСТИКИ:\n"
st_device_torch_nv_1_name,Налобный фонарик с 1ПН93-1
st_chili,Бобы «Чили»
st_glucose,Большая инъекция глюкозы
st_af_ice_name,«Снежинка»
novice_outfit_camo_name,Куртка стрелка
st_flask,Очищенная вода
stalker_drought_outfit_name,Комбинезон «Скиталец»
st_wpn_bm16_descr,"Когда нужно недорогое оружие малого радиуса действия, которое будет эффективным и смертоносным, многие сталкеры-новички прибегают к отпиливанию приклада и стволов на легко приобретаемой двустволке ТОЗ-66 - это делает ружьё лёгким и манёвренным в ущерб точности и дальности стрельбы.\n \n"
ammo-5.45x39-fmj_descr,"Армейский патрон 7Н6 калибра 5,45x39 мм с обыкновенной пулей (ПС) со стальным сердечником, предназначенный для поражения живых целей, расположенных открыто или за преградами, пробиваемыми пулей, огневых средств и небронированной техники. Обеспечивает лучшую точность по сравнению с калибром 7,62 мм благодаря пониженной отдаче, а также увеличению эффективности ведения огня на 100 метров.\n \n%c[d_purple] • %c[ui_gray_2] пробивает броню класса: %c[ui_gray_1]BR3\n%c[d_purple] • %c[ui_gray_2] повреждение тканей: %c[ui_gray_1]среднее"
st_af_blood_name,«Кровь камня»
mutant_psevdodog_meat,Мясо псевдособаки
svoboda_light_proto_exo_outfit_name,Комбинезон «Ветер свободы» с протоэкзоскелетом
ui_inv_outfit_strike_protection,Гашение удара
st_addon_scope_acog,Прицел ACOG 3.5x
st_wpn_groza_nimble_descr,"Один из вариантов усовершенствованного ОЦ-14-4А. В версии «Гроза-1» темп стрельбы, настильность и ёмкость магазина удалось улучшить благодаря использованию более лёгкого патрона калибра 7,62х39 мм. Данный тип автомата выпускался только в малых опытных партиях.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] прицел ПО4х34\n %c[d_purple] • %c[ui_gray_2] подствольный гранатомёт ГП-25 (интегрированный)\n \n"
st_wpn_pm_descr,"Наиболее распространённый в зоне пистолет, наследие советской эпохи, ПМ - один из лучших представителей класса компактного оружия самообороны. Он отличается небольшими размерами, исключительно надёжен, прост в использовании и обслуживании. Среди недостатков - малая дальность и точность стрельбы, невысокая эффективность пули, и (в сравнении с современными пистолетами того же класса) довольно большая масса при недостаточной ёмкости магазина.\n \n"
helm_spartan,Шлем M10 «Спартанец»
ammo-338-lapua_descr,".338 Lapua Magnum - специализированный патрон с бутылочной гильзой без выступающей закраины, разработаный для дальнобойных армейских снайперских винтовок. Войны в Ираке и Афганистане сделали эти проверенные в боях боеприпасы достаточно доступными. Боеприпас .338 Lapua Magnum является патроном двойного назначения: противопехотный и противотанковый, но противотанковый потенциал сильно ограничен.\n \n%c[d_purple] • %c[ui_gray_2] пробивает броню класса: %c[ui_gray_1]BR6\n%c[d_purple] • %c[ui_gray_2] повреждение тканей: %c[ui_gray_1]очень высокое"
ammo-7.62x54-ap,"Патроны 7,62x54 мм БП"
st_meat_psysucker,Гуляш из пси-кровососа
st_data_export_blast_power,st_data_export_blast_power
st_bolt_10,Поворотная личинка [8 упр.] [А]
st_upgr_w_speed,Перфорированный ствол
st_bolt_2,Поворотная личинка [2 упр.] [П]
army_outfit_description,"Стандартный комплект снаряжения солдата в Зоне, а также гордость бюрократической машины, из-за действий которой тендер на разработку лучшего снаряжения для военнослужащих в Зоне отошёл к самому дешёвому предложению. Бронежилет более-менее защищает от укусов и ударов слабых мутантов. В целом, он чуть-чуть лучше кожаных курток, которые носят сталкеры-новички, что говорит о многом.\n \n"
mutant_burer_hand,Рука бюрера
st_data_export_disassemble_amount,Количество
st_data_export_k_air_resistance,К. Сопр. воздуха
st_armor_repair_fa,Набор экстренного ремонта брони
st_data_export_stash_chance,Шанс %
st_recipe_drug_4,Рецепты лекарства #4
st_prop_scope_5x,8-кратный оптический прицел
st_prt_w_p_trigger_2,УСМ двойного действия (ДД)
st_upgr_o_health,Прототип системы жизнеобеспечения
st_bolt_carrier_5,Скользящий полусвободный затвор
st_equ_touristpack_name,Туристический рюкзак
ui_inv_outfit_explosion_protection,Защ. от взрыва
st_wpn_val_modern_descr,"Автомат специальный «Вал» создан на основе бесшумной снайперской винтовки ВСС «Винторез». Он был разработан для вооружения подразделений специального назначения советской армии и МВД. Основным назначением автомата является эффективное поражение противника, использующего современные средства индивидуальной защиты, не раскрывая позиции стрелка. Благодаря интегрированному глушителю и патрону 9x39 с тяжёлой дозвуковой пулей звук выстрела и дульное пламя сведены к минимуму.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] прицелы Кобра ЭКП-1С-03, УСП-1 «Тюльпан», ПСО-1М\n %c[d_purple] • %c[ui_gray_2] глушитель ВСС (интегрированный)\n \n"
mutant_krovosos_meat_description,"Мясо кровососа весьма вязкое и тягучее, поэтому непригодно для еды. Хоть кровососы и являются смертельными чудовищами, цена на их мясо не особо высока из-за ограниченного применения. Может заинтересовать учёных. Из куска мяса при нехитрых манипуляциях можно добыть немного животного жира, пригодного для смазки оружия.\n \n %c[d_red]ВНИМАНИЕ:\n \n%c[default]Сталкерам рекомендуется воздержаться от употребления такого рода мяса животных и мутантов в Зоне в сыром виде, так как оно наверняка заражено трихинеллёзом или бруцеллёзом. Эти заболевания передаются при употреблении заражённого мяса. Симптомы включают в себя лихорадку, усталость и потерю аппетита, что в суровых условиях Зоны весьма опасно. Абсцессы и странные опухоли на мясе дают понять, что оно заражено и следует его выбросить.\n \n %c[d_green] • %c[ui_gray_2] мясо мутанта «высокого происхождения»\n %c[d_green] • %c[ui_gray_2] возможно приготовить\n %c[d_red] • %c[ui_gray_2] ядовитая пища\n"
st_wpn_sr25_descr,"SR-25 - самозарядная снайперская винтовка, разработанная Юджином Стоунером в 1990-е годы на основе конструкции винтовки AR-15. Свыше 60% деталей в конструкции винтовки взаимозаменяемы с AR-15. SR-25 имеет газоотводную автоматику. Ствольная коробка сделана из алюминиевого сплава - из двух частей, которые соединены между собой поперечными штифтами. Ударно-спусковой механизм даёт возможность вести огонь одиночными выстрелами. Винтовка SR-25 оказалась довольно удачной, она обеспечивала высокую точность стрельбы и потому стала популярной как среди гражданских стрелков в США, так и среди полицейских снайперов. В девяностых годах вариант этой винтовки в комплекте с оптическим прицелом и быстросъемным глушителем этой же фирмы был принят на вооружение Сил Специальных Операций ВМФ США под обозначением Mark 11 Model 0 (Mk.11 Mod.0) Sniper Rifle.\n \n %c[ui_gray_2]НАВЕСНОЕ ОБОРУДОВАНИЕ: \n %c[d_purple] • %c[ui_gray_2] глушитель специальный SR-25\n %c[d_purple] • %c[ui_gray_2] прицел Leupold Mark 4 (интегрированный)\n %c[d_purple] • %c[ui_gray_2] подствольный гранатомёт М203\n \n"
