~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,st_ecologist_outfit_red_description,7.57,61160,H,61%,100%,46%,24%,72%,65%,230%,61%,22%,21%,13%,3,5,18,99%
military_exolight_outfit,army,military_exolight_outfit_name,military_exolight_outfit_description,11.30,71350,H,98%,71%,76%,44%,23%,20%,150%,45%,13%,40%,36%,2,3,30,94%
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,nosorog_outfit_description,42.30,202560,E,90%,71%,83%,73%,28%,25%,219%,49%,15%,69%,43%,1,3,105,100%
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,7.68,58475,H,83%,96%,61%,33%,33%,47%,170%,42%,15%,27%,13%,2,4,14,98%
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,exo_merc_grass_outfit_description,13.10,74350,H,98%,71%,72%,45%,61%,22%,180%,47%,9%,43%,36%,2,3,30,94%
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,monolith_proto_exo_outfit_description,19.12,105830,E,86%,71%,47%,47%,25%,28%,140%,14%,0%,40%,24%,1,4,90,110%
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,exo_dolg_red_outfit_description,15.30,78350,H,100%,71%,70%,56%,25%,22%,180%,47%,19%,54%,36%,1,2,30,94%
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,exo_dolg_urban_outfit_description,13.30,78350,H,100%,71%,76%,45%,23%,20%,150%,45%,6%,43%,46%,1,2,26,94%
scientific_outfit,stalker,scientific_outfit_name,scientific_outfit_description,6.74,50670,H,83%,96%,53%,31%,34%,52%,180%,39%,19%,22%,14%,2,4,16,98%
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,svoboda_scientific_outfit_description,6.17,52870,H,82%,96%,53%,33%,34%,52%,209%,45%,19%,26%,13%,1,3,20,99%
renegade_exo_outfit,renegade,renegade_exo_outfit_name,renegade_exo_outfit_description,48.30,124870,E,86%,71%,78%,59%,18%,20%,170%,46%,9%,55%,33%,1,3,110,102%
exo_dolg_outfit,dolg,exo_dolg_outfit_name,exo_dolg_outfit_description,13.30,78350,H,100%,71%,76%,43%,25%,22%,180%,47%,9%,40%,46%,1,2,30,94%
greh_exo_outfit,greh,greh_exo_outfit_name,greh_exo_outfit_description,29.30,132230,E,86%,71%,76%,62%,21%,22%,189%,46%,9%,58%,33%,1,3,105,102%
