~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
army_outfit,army,army_outfit_name,army_outfit_description,5.60,13340,L,35%,28%,23%,25%,5%,5%,18%,2%,0%,18%,13%,1,1,10,104%
novice_outfit_camo,st_data_export_unknown,novice_outfit_camo_name,novice_outfit_camo_description,3.01,8230,L,3%,0%,16%,22%,4%,4%,17%,0%,0%,15%,7%,0,0,15,106%
merc_fighter_outfit,killer,merc_fighter_outfit_name,merc_fighter_outfit_description,5.37,19780,L,23%,28%,23%,25%,7%,5%,24%,2%,0%,20%,13%,1,3,12,104%
bandit_novice_outfit_alt,bandit,bandit_novice_alt_outfit_name,bandit_novice_alt_outfit_description,4.20,8840,L,3%,0%,20%,26%,4%,5%,18%,0%,0%,18%,12%,0,0,6,105%
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,6.07,17800,L,23%,28%,21%,24%,7%,4%,20%,2%,0%,21%,12%,2,3,17,104%
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,4.25,17850,L,35%,28%,19%,22%,10%,5%,28%,3%,0%,18%,12%,1,2,14,104%
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,4.22,18840,L,23%,28%,19%,22%,7%,5%,24%,2%,0%,18%,12%,1,2,18,104%
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,5.11,22900,L,35%,28%,23%,26%,10%,5%,28%,3%,0%,20%,12%,1,2,10,104%
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,trenchcoat_outfit_description,6.55,14190,L,2%,68%,21%,19%,7%,10%,34%,6%,6%,14%,7%,2,4,8,104%
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,trenchcoat_brown_outfit_description,4.26,13200,L,2%,68%,18%,19%,7%,10%,36%,5%,0%,14%,7%,1,3,11,104%
banditmerc_outfit,bandit,banditmerc_outfit_name,banditmerc_outfit_description,4.03,14500,L,23%,28%,18%,21%,8%,5%,24%,3%,0%,15%,10%,2,3,22,104%
svoboda_novice_outfit,freedom,svoboda_novice_outfit_name,svoboda_novice_outfit_description,3.20,6065,L,3%,0%,16%,18%,9%,5%,18%,0%,0%,12%,6%,0,0,8,105%
novice_outfit_tourist,stalker,novice_outfit_tourist_name,novice_outfit_tourist_description,3.22,8220,L,3%,0%,16%,18%,5%,4%,22%,0%,0%,12%,6%,1,1,30,104%
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,ghillie_outfit_description,5.25,18300,L,23%,28%,19%,18%,5%,4%,18%,0%,1%,15%,8%,1,2,16,106%
dolg_novice_outfit,dolg,dolg_novice_outfit_name,dolg_novice_outfit_description,4.09,8150,L,3%,0%,16%,23%,5%,4%,14%,0%,0%,15%,7%,0,0,5,105%
trenchcoat_outfit,st_data_export_unknown,trenchcoat_outfit_name,trenchcoat_outfit_description,4.17,12660,L,2%,68%,18%,23%,7%,7%,26%,3%,5%,15%,9%,0,0,8,104%
cs_light_novice_outfit,csky,csky_light_novice_outfit_name,csky_light_novice_outfit_description,4.33,22760,L,35%,28%,19%,19%,12%,6%,32%,4%,0%,18%,11%,1,2,14,105%
merc_outfit,killer,merc_outfit_name,merc_outfit_description,4.88,15980,L,23%,28%,21%,22%,9%,5%,26%,3%,0%,18%,12%,1,2,12,104%
merc_sunset_outfit,killer,merc_sunset_outfit_name,merc_sunset_outfit_description,4.76,19520,L,23%,28%,19%,21%,8%,5%,25%,3%,0%,20%,12%,2,3,12,104%
merc_scout_outfit,killer,merc_scout_outfit_name,merc_scout_outfit_description,2.25,21270,L,23%,28%,19%,19%,9%,5%,27%,3%,0%,18%,10%,1,3,10,104%
merc_coyote_outfit,killer,merc_coyote_outfit_name,merc_coyote_outfit_description,4.95,20400,L,23%,28%,18%,28%,9%,5%,27%,3%,0%,20%,10%,1,2,12,104%
