~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_svu_nimble,st_wpn_svu_nimble,st_wpn_svu_nimble_descr,3.83,48580,D,N,92%,73%,62,139,10,1050,845,65%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,0.8
wpn_svd_custom,st_wpn_svd_custom,st_wpn_svd_descr,3.91,45360,D,N,94%,65%,86,87,10,1100,861,61%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_remington700,st_wpn_remington700,st_wpn_remington700_descr,3.96,33000,D,N,93%,64%,66,40,5,1200,871,45%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_l96a1,st_wpn_l96a1,st_wpn_l96a1_descr,7.20,65880,D,N,95%,65%,66,36,10,1200,887,61%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.3,0.61,1
wpn_sv98_custom,st_wpn_sv98_custom,st_wpn_sv98_descr,6.20,63680,D,N,95%,65%,86,33,10,1200,902,69%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_m98b,st_wpn_m98b,st_wpn_m98b_descr,7.50,88980,D,N,97%,60%,117,35,10,1500,992,53%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,1.4,1.35
wpn_sv98,st_wpn_sv98,st_wpn_sv98_descr,6.20,62580,D,N,94%,65%,86,36,10,1200,902,51%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
pri_a17_gauss_rifle,st_wpn_umirotvoritel,st_wpn_umirotvoritel_descr,12.77,145860,N/A,N,99%,50%,916,30,10,2000,70000,99%,215,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,5.5
wpn_gauss,st_wpn_gauss,st_wpn_gauss_descr,12.77,145860,N/A,N,99%,50%,166,30,10,1000,10500,63%,215,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,1
wpn_svu_alt,st_wpn_svu_alt,st_wpn_svu_descr,3.81,48850,D,N,95%,68%,86,135,10,1050,845,58%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_k98,st_wpn_k98,st_wpn_k98_descr,3.70,22590,D,N,91%,66%,76,37,5,1100,798,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,0.45,,1.15
wpn_svd,st_wpn_svd,st_wpn_svd_descr,3.91,50550,D,N,93%,65%,86,83,10,1100,861,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_mosin,st_wpn_mosin,st_wpn_mosin_descr,3.80,24560,D,N,91%,65%,86,37,5,1100,887,56%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,1.1
wpn_sig550_sniper,st_wpn_sig550_sniper,st_wpn_sig550_sniper_descr,7.02,49560,C,N,87%,75%,30,200,20,1000,1097,63%,38,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
