~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_pin,st_af_pin_name,st_af_pin_descr,1.26,21100,2,1,0,N,0%,11.41%,3.30%,0%,-25.39%,0%,1.02%,0%,0%,0,0,0,6.11,0%,0
af_kogot,st_af_kogot_name,st_af_kogot_descr,1.64,7400,3,1,0.05,Y,0%,0%,0%,12.94%,0%,0%,0%,0%,0%,-0.396,0,0,0,35%,3600
af_cocoon,st_af_cocoon_name,st_af_cocoon_descr,1.43,17400,2,1,0.05,Y,0%,0%,0%,0%,0%,10.06%,-1.16%,0%,0%,0,0,0,0,0%,2710
af_ball,st_af_ball_name,st_af_ball_descr,1.08,9800,2,1,1,Y,0%,1.76%,1.30%,-4.91%,-5.27%,0%,0%,2.68%,0%,0,0,0,0,0%,0
af_medallion,st_af_medallion_name,st_af_medallion_descr,2.36,26900,3,1,0.05,Y,0%,0%,-2.65%,-18.64%,-11.03%,18.47%,-4.28%,0%,0%,0,0,0,-3.29,0%,0
af_black_spray,st_af_black_spray_name,st_af_black_spray_descr,1.50,55320,4,3,0.4,N,0%,0%,0%,0%,-25.34%,0%,10.98%,26.75%,10.53%,0,0,0,22.09,0%,0
af_fire,st_af_fire_name,st_af_fire_descr,2.38,46925,4,3,0.1,N,0%,15.79%,0%,0%,0%,0%,-4.42%,0%,0%,0,0,76.95,22.09,-10%,0
af_bracelet,st_af_bracelet_name,st_af_bracelet_descr,1.29,37940,3,2,0.01,N,0%,0%,0%,0%,37.82%,0%,3.45%,0%,0%,0,0,0,11.75,0%,8520
af_oasis_heart,st_af_oasis_heart_name,st_af_oasis_heart_descr,2.29,107200,5,0,0.2,N,0%,0%,-8.46%,-32.91%,-52.32%,0%,-4.54%,0%,0%,4.62,0.1,57.9,22.09,50%,0
af_fire_loop,st_af_fire_loop_name,st_af_fire_loop_descr,0.97,17800,2,1,0.05,Y,0%,0%,2.05%,0%,0%,0%,0%,0%,-4.19%,0,0,22.65,0,0%,0
af_fountain,st_af_fountain_name,st_af_fountain_descr,0.72,17300,2,1,0.1,Y,0%,3.33%,0%,0%,0%,-4.78%,0%,6.42%,4.88%,0,0,0,0,-12%,0
af_grapes,st_af_grapes_name,st_af_grapes_descr,1.61,18700,4,1,0.01,Y,0%,0%,0%,0%,0%,-14.84%,0%,0%,-3.32%,0,0,0,0,0%,9700
af_ring,st_af_ring_name,st_af_ring_descr,1.10,42220,3,2,0.1,N,0%,0%,-3.25%,29.42%,0%,0%,0%,11.23%,10.24%,0,0,0,11.75,31%,0
af_peas,st_af_peas_name,st_af_peas_descr,1.12,8700,3,1,0.1,Y,0%,0%,0%,0%,12.82%,8.41%,0%,0%,0%,0,0,-18.15,0,0%,0
af_baloon,st_af_baloon_name,st_af_baloon_descr,1.44,47400,4,3,0.01,N,0%,0%,1.08%,0%,63.06%,0%,4.62%,0%,0%,0,0,0,22.09,0%,12390
af_repei,st_af_repei_name,st_af_repei_descr,0.01,10560,3,1,0.05,Y,0%,0%,0%,0%,0%,4.62%,0%,0%,0%,0,0,0,0,0%,981
af_gold_fish,st_af_gold_fish_name,st_af_gold_fish_descr,1.49,66200,4,3,1,N,0%,-3.60%,0%,0%,0%,11.54%,0%,-4.39%,0%,0,0,0,22.09,0%,17960
af_bat,st_af_bat_name,st_af_bat_descr,2.03,30300,2,1,0.01,Y,0%,-11.73%,0%,0%,0%,0%,4.42%,0%,0%,0,0,0,-7.99,0%,0
af_moh,st_af_moh_name,st_af_moh_descr,0.32,6300,2,1,0.05,Y,0%,0%,0%,4.77%,0%,13.52%,4.26%,0%,0%,0,0,0,0.94,0%,0
af_chelust,st_af_chelust_name,st_af_chelust_descr,3.93,22400,3,1,0.12,Y,0%,4.72%,0%,-31.36%,0%,0%,0%,0%,0%,0,0,0,-1.88,0%,4800
af_fonar,st_af_fonar_name,st_af_fonar_descr,0.52,17800,2,1,0.08,Y,0%,0%,0%,0%,0%,0%,0%,-7.28%,0%,0,0,0,0,14%,1250
af_tapeworm,st_af_tapeworm_name,st_af_tapeworm_descr,0.13,12700,2,1,0.4,Y,0%,0%,0%,9.87%,0%,0%,0%,0%,0%,0,0,0,0,0%,1310
af_fuzz_kolobok,st_af_fuzz_kolobok_name,st_af_fuzz_kolobok_descr,1.40,40600,3,2,0.5,N,0%,0%,0%,0%,0%,16%,4.19%,0%,0%,1.98,0,0,11.75,-16%,0
af_atom,st_af_atom_name,st_af_atom_descr,1.65,9800,4,1,0.05,Y,0%,0%,0%,10%,0%,0%,0%,0%,0%,0,0,0,0,-8%,2450
af_skull_miser,st_af_skull_miser_name,st_af_skull_miser_descr,1.33,7800,3,1,0.1,Y,0%,0%,0%,0%,32.23%,0%,0%,0%,0%,0,0,0,0,0%,0
af_fireball,st_af_fireball_name,st_af_fireball_descr,2.47,46800,4,3,0,N,0%,18.43%,7%,-25.63%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_cell,st_af_cell_name,st_af_cell_descr,3.97,23200,4,1,0.1,Y,0%,0%,0%,0%,0%,0%,1.83%,0%,0%,0,0,0,-5.17,0%,1115
af_elektron,st_af_elektron_name,st_af_elektron_descr,1.44,20700,3,1,0.05,Y,0%,3.60%,0%,0%,0%,0%,3.18%,5.78%,0%,0,0,0,0,0%,0
af_cristall,st_af_cristall_name,st_af_cristall_descr,1.73,31800,3,2,0,N,0%,14.92%,5.30%,11.13%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_gimlet,st_af_gimlet_name,st_af_gimlet_descr,0.09,30700,4,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_serofim,st_af_serofim_name,st_af_serofim_descr,4.60,19800,4,1,0.4,Y,0%,0%,0%,0%,0%,0%,-2.61%,0%,0%,1.32,0,0,0,0%,0
af_black,st_af_black_name,st_af_black_descr,5.56,21600,0,0,0.05,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0.94,0%,11000
af_signet,st_af_signet_name,st_af_signet_descr,1.86,11800,4,1,0.05,Y,2.19%,3.07%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_electra_flash,st_af_electra_flash_name,st_af_electra_flash_descr,0.17,48900,4,3,0.1,N,0%,0%,0%,53.02%,0%,0%,4.42%,19.26%,22.43%,0,0,0,22.09,0%,0
af_full_empty,st_af_full_empty_name,st_af_full_empty_descr,3.60,57320,4,3,0,N,9.22%,14.04%,0%,0%,0%,0%,-6.11%,18.19%,14.43%,0,0,0,22.09,-23%,0
af_glass,st_af_glass_name,st_af_glass_descr,1.49,54400,4,3,0.01,N,0%,0%,0%,0%,0%,18.96%,6.86%,-4.28%,0%,3.96,0,0,22.09,-13%,0
af_electra_sparkler,st_af_electra_sparkler_name,st_af_electra_sparkler_descr,0.15,21600,2,1,0.5,N,0%,0%,0%,23.04%,-23.80%,0%,0%,11.77%,13.65%,0,0,0,6.11,0%,0
af_kislushka,st_af_kislushka_name,st_af_kislushka_descr,3.17,7890,2,1,0.05,Y,0%,0%,0%,0%,4.89%,13.19%,0%,0%,0%,0,0,0,0,0%,0
af_black_angel,st_af_black_angel_name,st_af_black_angel_descr,1.67,26700,4,1,0.15,Y,0%,0%,0%,0%,0%,0%,-6.45%,0%,0%,0.1056,0,0,-2.35,-8%,0
af_lighthouse,st_af_lighthouse_name,st_af_lighthouse_descr,1.74,24500,3,1,0.02,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,-1.122,0,-30,-3.29,72%,0
af_dummy_glassbeads,st_af_dummy_glassbeads_name,st_af_dummy_glassbeads_descr,1.43,24800,2,1,0.01,N,0%,8.78%,1.94%,-8.82%,0%,0%,0%,0%,0%,0,0,26.4,6.11,0%,0
af_zhelch,st_af_zhelch_name,st_af_zhelch_descr,1.40,16700,4,1,0.15,Y,0%,0%,0%,0%,0%,18.47%,0%,0%,0%,0,0,-26.4,0,0%,0
af_vyvert,st_af_vyvert_name,st_af_vyvert_descr,3.95,35500,3,2,0.8,N,5.29%,8.78%,0%,-9.68%,0%,0%,-4.27%,11.56%,9.94%,0,0,0,11.75,0%,0
af_gravi,st_af_gravi_name,st_af_gravi_descr,0.54,47500,3,2,0.9,N,0%,0%,0%,-14.66%,0%,10.22%,-3.25%,0%,5.56%,0,0,0,11.75,0%,11692
af_sun,st_af_sun_name,st_af_sun_descr,2.89,21800,4,1,0.08,Y,0%,0%,-7.02%,0%,0%,0%,0%,0%,-12.09%,0,0,12.3,-2.82,0%,3640
af_compass,st_af_compass_name,st_af_compass_descr,3.38,139500,5,0,0.2,N,0%,0%,12.73%,37.53%,102.14%,0%,18.28%,0%,0%,0,0,-26.85,22.09,-25%,0
af_death_lamp,st_af_death_lamp_name,st_af_death_lamp_descr,3.66,96600,4,3,0,N,0%,0%,0%,0%,0%,-66.29%,65.94%,0%,0%,0,-0.5,0,28.2,-35%,0
af_blood,st_af_blood_name,st_af_blood_descr,1.22,22200,2,1,0.01,N,0%,8.34%,-1.04%,0%,18.13%,0%,0%,0%,0%,0,0,15.585,6.11,0%,0
af_medusa,st_af_medusa_name,st_af_medusa_descr,3.71,24900,2,1,0.5,N,4.33%,7.81%,0.91%,0%,0%,0%,-3.43%,8.56%,6.92%,0,0,0,6.11,0%,0
af_cristall_flower,st_af_cristall_flower_name,st_af_cristall_flower_descr,1.68,22800,2,1,0.6,N,0%,13.07%,-1.45%,0%,11.66%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_soul,st_af_soul_name,st_af_soul_descr,1.34,26200,2,1,0.01,N,0%,0%,0%,0%,0%,13.52%,2.51%,0%,0%,0.99,0,0,6.11,-12%,0
af_electra_moonlight,st_af_electra_moonlight_name,st_af_electra_moonlight_descr,0.19,43600,3,2,0.1,N,0%,0%,-1.85%,33.77%,0%,0%,6.33%,16.05%,17.55%,0,0,0,11.75,0%,0
af_geliy,st_af_geliy_name,st_af_geliy_descr,0.34,73150,4,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_dummy_battery,st_af_dummy_battery_name,st_af_dummy_battery_descr,0.36,27200,2,1,0.01,N,5.68%,0%,0%,11%,-12.14%,0%,0%,-4.17%,0%,0,0,0,6.11,40%,0
af_dragon_eye,st_af_dragon_eye_name,st_af_dragon_eye_descr,2.66,15600,4,1,0.08,Y,0%,0%,7.73%,0%,0%,0%,0%,0%,-14.53%,0,0,0,0,0%,0
af_vaselisk,st_af_vaselisk_name,st_af_vaselisk_descr,0.50,64650,4,3,0.27,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_ear,st_af_ear_name,st_af_ear_descr,0.27,6700,3,1,0.05,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,9.15,0,0%,0
af_itcher,st_af_itcher_name,st_af_itcher_descr,1.68,18400,2,1,0,N,0%,7.20%,2.29%,0%,-18.64%,0%,0%,0%,11.12%,0,0,0,6.11,0%,0
af_lobster_eyes,st_af_lobster_eyes_name,st_af_lobster_eyes_descr,1.55,35640,3,2,0.1,N,6.75%,0%,1.47%,0%,0%,0%,14.16%,0%,-4%,0,0,0,11.75,0%,0
af_night_star,st_af_night_star_name,st_af_night_star_descr,0.32,33200,2,1,0.7,N,0%,0%,-0.86%,0%,16.59%,8.57%,0%,0%,0%,0,0,0,6.11,0%,7850
