~,st_ui_dbg_spawn_type,pda_encyclopedia_name,army,bandit,csky,dolg,ecolog,freedom,greh,isg,killer,monolith,renegade,stalker,zombied
wpn_pkp,st_data_export_weapon_kind_rifle,st_wpn_pkp,,,,"st_rank_master, st_rank_legend",,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_usp,st_data_export_weapon_kind_pistol,st_wpn_usp,,,"st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_sniper, st_rank_gauss",,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_fnc,st_data_export_weapon_kind_rifle,st_wpn_fnc,,,,,"st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_veteran, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,
wpn_m4,st_data_export_weapon_kind_rifle,st_wpn_m4,,,,,st_rank_veteran,,st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,,
wpn_aks74,st_data_export_weapon_kind_rifle,st_wpn_aks74,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee",,"st_rank_trainee, st_rank_experienced","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_any, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ak103_camo,st_data_export_weapon_kind_rifle,st_wpn_ak103_camo,,,,"st_rank_master, st_rank_legend",st_rank_expert,,"st_rank_professional, st_rank_master","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_mosin,st_data_export_weapon_kind_sniper,st_wpn_mosin,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_any, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_fnp45,st_data_export_weapon_kind_pistol,st_wpn_fnp45,,,,,"st_rank_veteran, st_rank_expert","st_rank_master, st_rank_legend",st_rank_master,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_sniper, st_rank_gauss",,,
wpn_abakan_camo,st_data_export_weapon_kind_rifle,st_wpn_abakan_camo,,,,"st_rank_master, st_rank_legend",,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,
wpn_sig550_sniper,st_data_export_weapon_kind_sniper,st_wpn_sig550_sniper,,,,,,,st_rank_master,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_sniper",,,
wpn_colt1911_new,st_data_export_weapon_kind_pistol,st_wpn_colt1911_new,,,"st_rank_master, st_rank_legend",,,,st_rank_master,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert",st_rank_master,,"st_rank_master, st_rank_legend",
wpn_svu,st_data_export_weapon_kind_sniper,st_wpn_svu,st_rank_sniper,,,,,,,,,"st_rank_experienced, st_rank_professional, st_rank_rg6, st_rank_sniper",,,
wpn_fal,st_data_export_weapon_kind_rifle,st_wpn_fal,,,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,"st_rank_experienced, st_rank_professional",,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_ak101_camo,st_data_export_weapon_kind_rifle,st_wpn_ak101_camo,,,,,,,"st_rank_professional, st_rank_master","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_mp133,st_data_export_weapon_kind_shotgun,st_wpn_mp133,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_veteran, st_rank_expert",,,,,"st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_master, st_rank_legend","st_rank_any, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ak74_alt,st_data_export_weapon_kind_rifle,st_wpn_ak74_alt,"st_rank_veteran, st_rank_expert",,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_expert,,,,,"st_rank_veteran, st_rank_expert",,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_val_modern,st_data_export_weapon_kind_rifle,st_wpn_val_modern,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_l85a2_modern,st_data_export_weapon_kind_rifle,st_wpn_l85a2_modern,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
grenade_f1,st_data_export_weapon_kind_explosive,st_grenade_f1,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",
wpn_g3,st_data_export_weapon_kind_rifle,st_wpn_g3,,,,,,"st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_scar_custom,st_data_export_weapon_kind_rifle,st_wpn_scar_custom,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,
wpn_mossberg590,st_data_export_weapon_kind_shotgun,st_wpn_mossberg590,,,,,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,"st_rank_master, st_rank_legend",
wpn_svt40,st_data_export_weapon_kind_sniper,st_wpn_svt40,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",st_rank_professional,,,,,"st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_any, st_rank_master, st_rank_legend"
wpn_trg,st_data_export_weapon_kind_sniper,st_trg_sako,,,,,,,,,,"st_rank_sniper, st_rank_rg6",,,
wpn_ak74m_alt,st_data_export_weapon_kind_rifle,st_wpn_ak74m_alt,"st_rank_veteran, st_rank_expert",,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_expert,,st_rank_master,,,st_rank_master,,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_p90,st_data_export_weapon_kind_smg,st_wpn_p90,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_beretta_alt,st_data_export_weapon_kind_pistol,st_wpn_beretta_alt,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert",,"st_rank_master, st_rank_legend","st_rank_expert, st_rank_master, st_rank_legend",
wpn_bm16_full,st_data_export_weapon_kind_shotgun,st_wpn_bm16_full,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",st_rank_professional,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran","st_rank_any, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ak74,st_data_export_weapon_kind_rifle,st_wpn_ak74,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_expert",,st_rank_trainee,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_veteran","st_rank_any, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_pm,st_data_export_weapon_kind_pistol,st_wpn_pm,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_sniper","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_any, st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_rpk,st_data_export_weapon_kind_rifle,st_wpn_rpk,"st_rank_novice, st_rank_trainee","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_pb_custom,st_data_export_weapon_kind_pistol,st_wpn_pb_custom,,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_experienced,,,,,,,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_sv98,st_data_export_weapon_kind_sniper,st_wpn_sv98,"st_rank_master, st_rank_legend, st_rank_sniper",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_rg6, st_rank_sniper",,,
wpn_ak74_custom,st_data_export_weapon_kind_rifle,st_wpn_ak74_custom,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,st_rank_master,,,st_rank_master,,"st_rank_master, st_rank_legend",
wpn_vz61_freedom,st_data_export_weapon_kind_smg,st_wpn_vz61_freedom,,,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,,
wpn_pm_custom,st_data_export_weapon_kind_pistol,st_wpn_pm_custom,,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_experienced,,,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert",,,"st_rank_master, st_rank_legend",
wpn_g3sg1,st_data_export_weapon_kind_rifle,st_wpn_g3sg1,,,,,,"st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,,
wpn_beretta_camo,st_data_export_weapon_kind_pistol,st_wpn_beretta_camo,,,,,,"st_rank_master, st_rank_legend",st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_desert_eagle_custom,st_data_export_weapon_kind_pistol,st_wpn_desert_eagle_custom,,,,,,,st_rank_legend,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_legend,,,
wpn_toz34,st_data_export_weapon_kind_shotgun,st_wpn_toz34,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,"st_rank_novice, st_rank_trainee",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran","st_rank_any, st_rank_master, st_rank_legend"
grenade_gd-05,st_data_export_weapon_kind_explosive,st_grenade_thermite,,,,,,,,,,"st_rank_veteran, st_rank_expert",,,
wpn_gauss,st_data_export_weapon_kind_sniper,st_wpn_gauss,,,,,,,st_rank_legend,,,st_rank_gauss,,,
wpn_sig552,st_data_export_weapon_kind_rifle,st_wpn_sig552,,,,,"st_rank_veteran, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional",,,
wpn_svd_custom,st_data_export_weapon_kind_sniper,st_wpn_svd_custom,st_rank_sniper,,,,,,,,,"st_rank_sniper, st_rank_rg6",,,
wpn_fn57,st_data_export_weapon_kind_pistol,st_wpn_fn57,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,
wpn_colt1911_merc,st_data_export_weapon_kind_pistol,st_wpn_colt1911_merc,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,
wpn_sv98_custom,st_data_export_weapon_kind_sniper,st_wpn_sv98_custom,st_rank_sniper,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_sniper, st_rank_rg6",,,
wpn_spas12_custom,st_data_export_weapon_kind_shotgun,st_wpn_spas12_custom,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_scar_new,st_data_export_weapon_kind_rifle,st_wpn_scar_new,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_colt1911_camo,st_data_export_weapon_kind_pistol,st_wpn_colt1911_camo,,,,,,,"st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend",,,
wpn_vihr,st_data_export_weapon_kind_rifle,st_wpn_vihr,,,,,,,"st_rank_veteran, st_rank_expert, st_rank_master","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_rpk74,st_data_export_weapon_kind_rifle,st_wpn_rpk74,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,st_rank_master,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_lr300_custom,st_data_export_weapon_kind_rifle,st_wpn_lr300_custom,,,,,,"st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert",,,
wpn_gsh18_custom,st_data_export_weapon_kind_pistol,st_wpn_gsh18_custom,,,,"st_rank_master, st_rank_legend",,,st_rank_master,,,st_rank_master,,,
wpn_sig550,st_data_export_weapon_kind_rifle,st_wpn_sig550,,,"st_rank_novice, st_rank_experienced, st_rank_professional",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_aug_modern,st_data_export_weapon_kind_rifle,st_wpn_aug_modern,,,,,,,st_rank_master,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_master",,,
wpn_mp412,st_data_export_weapon_kind_pistol,st_wpn_mp412,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,st_rank_master,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,"st_rank_master, st_rank_legend",
wpn_l85_custom,st_data_export_weapon_kind_rifle,st_wpn_l85_custom,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,
wpn_bm16_full_alt,st_data_export_weapon_kind_shotgun,st_wpn_bm16_full_alt,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert",,,,,,,,"st_rank_professional, st_rank_veteran",
wpn_toz34_custom,st_data_export_weapon_kind_shotgun,st_wpn_toz34_custom,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert",st_rank_professional,,,,,,,"st_rank_professional, st_rank_veteran, st_rank_master, st_rank_legend",
wpn_bm16_alt,st_data_export_weapon_kind_shotgun,st_wpn_bm16_alt,,"st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,,,"st_rank_master, st_rank_legend",st_rank_veteran,
wpn_galil_custom,st_data_export_weapon_kind_rifle,st_wpn_galil_custom,,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend",
wpn_aug_freedom,st_data_export_weapon_kind_rifle,st_wpn_aug_freedom,,,,,,"st_rank_master, st_rank_legend",,,,,,,
wpn_sig220_custom,st_data_export_weapon_kind_pistol,st_wpn_sig220_custom,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
