~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
monolith_outfit,monolith,monolith_outfit_name,monolith_outfit_description,11.12,55830,M,86%,59%,43%,36%,25%,28%,140%,14%,0%,31%,24%,1,3,20,103%
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,stalker_graphite_outfit_description,7.18,22990,M,55%,62%,26%,30%,18%,5%,20%,8%,39%,25%,18%,1,2,15,103%
bandit_nbc_outfit,bandit,bandit_nbc_outfit_name,bandit_nbc_outfit_description,7.22,27500,M,74%,62%,36%,30%,17%,23%,100%,33%,0%,25%,15%,2,4,22,103%
dolg_voin_outfit,dolg,dolg_voin_outfit_name,dolg_voin_outfit_description,8.44,37600,M,82%,59%,36%,34%,12%,17%,70%,9%,0%,30%,18%,1,2,18,103%
nbc_freedom_outfit,freedom,nbc_freedom_outfit_name,nbc_freedom_outfit_description,7.54,36970,M,74%,62%,39%,31%,21%,27%,109%,45%,0%,27%,20%,1,3,18,103%
dolg_scout_outfit,dolg,dolg_scout_outfit_name,dolg_scout_outfit_description,6.24,36500,M,80%,59%,33%,30%,12%,15%,70%,9%,0%,27%,18%,1,3,22,103%
merc_sun_outfit,killer,merc_sun_outfit_name,merc_sun_outfit_description,7.12,47830,M,86%,59%,39%,37%,18%,23%,94%,12%,0%,31%,22%,1,2,22,103%
nbc_merc_outfit,killer,nbc_merc_outfit_name,nbc_merc_outfit_description,10.24,41420,M,74%,62%,42%,33%,21%,27%,109%,45%,0%,28%,21%,1,1,15,103%
military_outfit,army,military_outfit_name,military_outfit_description,10.29,51350,M,95%,71%,53%,41%,25%,25%,150%,18%,0%,36%,31%,2,3,24,102%
light_voen_outfit,army,light_voen_outfit_name,light_voen_outfit_description,7.82,49430,M,92%,71%,49%,31%,10%,7%,59%,11%,4%,28%,20%,1,3,24,102%
cs_stalker_outfit,csky,cs_stalker_outfit_name,cs_stalker_outfit_description,6.30,23550,M,55%,62%,23%,29%,23%,20%,85%,12%,0%,23%,15%,1,2,15,103%
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,bandit_ps5_outfit_description,6.64,29500,M,55%,62%,29%,29%,10%,13%,59%,9%,0%,27%,18%,2,4,26,103%
stalker_drought_outfit,stalker,stalker_drought_outfit_name,stalker_drought_outfit_description,6.51,29770,M,55%,62%,23%,29%,10%,16%,70%,7%,0%,24%,18%,1,2,18,105%
nomad_outfit,stalker,nomad_outfit_name,nomad_outfit_description,5.20,78150,M,96%,71%,46%,44%,40%,34%,159%,16%,6%,34%,18%,3,4,25,103%
dolg_red_outfit,dolg,dolg_red_outfit_name,dolg_red_outfit_description,7.24,34600,M,80%,59%,29%,36%,12%,17%,70%,9%,0%,33%,22%,1,1,18,103%
svoboda_light_outfit,freedom,svoboda_light_outfit_name,svoboda_light_outfit_description,5.44,37500,M,82%,59%,29%,30%,10%,17%,70%,9%,0%,28%,18%,2,3,20,103%
monolith_nbc_outfit,monolith,monolith_nbc_outfit_name,monolith_nbc_outfit_description,9.54,39460,M,74%,62%,42%,28%,28%,34%,143%,50%,0%,25%,16%,1,3,15,103%
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,dolg_heavy_outfit_description,11.52,54350,M,95%,71%,50%,44%,30%,25%,180%,18%,0%,40%,31%,1,2,24,101%
light_dolg_outfit,dolg,light_dolg_outfit_name,light_dolg_outfit_description,7.12,48830,M,94%,71%,43%,39%,11%,11%,59%,11%,4%,36%,30%,1,3,22,102%
light_isg_outfit,isg,light_isg_outfit_name,light_isg_outfit_description,7.82,52830,M,94%,71%,47%,32%,12%,13%,70%,12%,3%,31%,27%,1,3,22,102%
merc_wolven_outfit,killer,merc_wolven_outfit_name,merc_wolven_outfit_description,9.15,47980,M,86%,59%,36%,45%,17%,18%,85%,12%,0%,37%,22%,1,3,20,103%
ecolog_outfit_yello,ecolog,st_ecologist_outfit_yello_name,st_ecologist_outfit_yello_description,2.91,24310,M,31%,100%,23%,23%,69%,90%,298%,78%,22%,21%,13%,3,5,14,102%
light_merc_outfit,killer,light_merc_outfit_name,light_merc_outfit_description,9.12,51830,M,94%,71%,49%,30%,11%,11%,59%,11%,8%,30%,27%,1,3,22,102%
military_merc_outfit,killer,military_merc_outfit_name,military_outfit_description,14.90,61350,M,97%,71%,53%,45%,27%,27%,180%,18%,0%,40%,31%,1,2,24,101%
dolg_outfit,dolg,dolg_outfit_name,dolg_outfit_description,7.44,34500,M,80%,59%,33%,32%,15%,20%,90%,11%,0%,28%,20%,1,1,18,103%
stalker_bear_outfit,stalker,stalker_bear_outfit_name,stalker_bear_outfit_description,8.48,29850,M,55%,62%,26%,35%,10%,10%,48%,5%,0%,29%,21%,1,2,15,102%
military_freedom_outfit,freedom,military_freedom_outfit_name,military_outfit_description,9.44,56350,M,97%,71%,50%,42%,33%,25%,180%,18%,0%,46%,26%,2,3,26,101%
specops_bandit_outfit,bandit,specops_bandit_outfit_name,specops_bandit_outfit_description,6.02,35500,M,96%,71%,30%,29%,10%,7%,70%,6%,0%,25%,20%,2,3,22,103%
military_monolit_outfit,monolith,military_monolit_outfit_name,military_outfit_description,12.60,61350,M,95%,71%,53%,43%,21%,40%,159%,19%,0%,38%,27%,1,2,24,100%
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,hybrid_outfit_description,14.26,81880,M,90%,71%,46%,37%,28%,27%,70%,42%,16%,31%,31%,0,2,16,96%
