~,st_data_export_visual_item_id,st_data_export_hit_fraction,st_data_export_ap_scale,st_data_export_body_bonearmor,st_data_export_head_bonearmor
actors\stalker_bandit\stalker_bandit2a_mask,"banditmerc_outfit,helm_rp_bala",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_old,,0.5,0.8,0.1,0.011
actors\stalker_bandit\stalker_bandit3a,"trenchcoat_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3a_glasses_w_gear,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3a_glasses_w_gear_2,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3b,"trenchcoat_green_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3c,"trenchcoat_brown_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3c_geared,,0.7,0.85,0.011,0.011
actors\stalker_bandit\stalker_bandit4a,trenchcoat_brown_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b,trenchcoat_green_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b_csvest_backpack_ppm,,0.7,0.85,0.011,0.011
actors\stalker_bandit\stalker_bandit4b_csvest_ppm,,0.7,0.85,0.011,0.011
actors\stalker_bandit\stalker_bandit4b_ppm,,0.7,0.85,0.011,0.011
actors\stalker_bandit\stalker_bandit4b_ppm_2,,0.7,0.85,0.011,0.011
actors\stalker_bandit\stalker_bandit4c,trenchcoat_brown_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit5a,trenchcoat_brown_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5b,trenchcoat_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5c,trenchcoat_green_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5d,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6a,"trenchcoat_brown_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6a_csvest,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6a_csvest_gp5,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b,"trenchcoat_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6b_lc_glasses,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b_lc_pbf,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6b_lc_pbf_2,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6c,"trenchcoat_green_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6d,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6e,"trenchcoat_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6f,"trenchcoat_brown_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6g,"trenchcoat_green_outfit,helm_m40",0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit6h,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_1,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_gas,"bandit_novice_outfit,helm_respirator",0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_1_mask,"bandit_novice_outfit,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest_2,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest_3,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1a_sci_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_bandit\stalker_bandit_2,"banditmerc_outfit,helm_cloth_mask",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2_mask,"banditmerc_outfit,helm_rp_bala",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a,"bandit_sun_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_bandit\stalker_bandit_2a_custom_1,,0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_2a_custom_2,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a_custom_3,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a_gp5,bandit_nbc_outfit,0.7,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_2a_merc,,0.5,0.8,0.1,0
actors\stalker_bandit\stalker_bandit_3,"trenchcoat_brown_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_3_face_1,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_3_face_2,exo_outfit,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_3_face_3,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_3_mask,"trenchcoat_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_4,trenchcoat_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_5,specops_bandit_outfit,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_5_gasmask,"specops_bandit_outfit,helm_tactic",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_5_gp5,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_7,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_8,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_a,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_1,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_2,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_3,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_4,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_5,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_barman,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_berill_2_altyn_1,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_2ndgen_1,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_berill_altyn,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_m150,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_nohelm_1,,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_nohelm_2,,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_nohelm_3,,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_spp,,0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_berill_w_skat_implants,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_coat_gp7b,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coat_gp7b_2,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coat_gp7b_3,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coat_gp7b_4,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coated_lc_1,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_lc_2,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_lc_ppm,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coated_nbc,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_coated_novice_1,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_2,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_3,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_4,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_5,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_6,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_7,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_8,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_communications,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_doctor,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_1,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_2,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_3,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_4,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_1,,0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_2,,0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_3,,0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_antigas,,0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_gp10,,0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_dynamic_rookie_1,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_2,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_3,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_4,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_5,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_6,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_7,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_dynamic_rookie_8,,0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit_eco_style_1,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_2,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_3,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_4,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_5,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_6,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_7,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_8,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_eco_style_9,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_exo,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_commando,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_commando_2,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_m150,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_pbf,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_pbf_2,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_1,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_2,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_3,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_1,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_2,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_3,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_4,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_5,,0.15,0.7,0.45,0.3
actors\stalker_bandit\stalker_bandit_exolight_dy_mask_1,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_exolight_gp7b,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_fighter_1,,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_fighter_2,,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_fighter_3,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_fighter_4,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_fighter_5,,0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_ganger_1,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_2,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_3,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_4,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_5,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_6,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_7,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_8,,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_heavy_scavenger_1,,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_heavy_scavenger_2,,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_heavy_scavenger_3,,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_hood_backpacker_2,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_hunter_coat,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_lc_dy_mask_1,,0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_lc_dy_mask_2,,0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_lc_ps5m_custom_1,,0.45,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_lc_ps5m_hooded_1,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_lc_ps5m_hooded_2,,0.45,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit_lc_ssp_1,,0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_lc_ssp_2,,0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_lc_ssp_3,,0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_light_veteran_1,,0.45,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_looted_eco_1,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_looted_eco_2,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_looted_eco_3,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_looted_eco_4,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_looted_eco_5,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_mechanic,,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_mehan,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_nbc_suit_1,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_nbc_suit_2,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_nbc_suit_3,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_nosorog_mk2,,0.15,0.7,0.47,0.35
actors\stalker_bandit\stalker_bandit_nosorog_mk2_2,,0.15,0.7,0.47,0.35
actors\stalker_bandit\stalker_bandit_seva1,scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_bandit\stalker_bandit_seva2,bandit_scientific_outfit,0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_seva_skat_armour_1,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_seva_skat_armour_2,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_seva_vested,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_bandit\stalker_bandit_skat9_ssp_mask,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_skat_dy_mask_1,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_skat_w_berill,,0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_sts_1,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_sts_2,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_sts_3,,0.4,0.85,0.15,0.011
actors\stalker_bandit\stalker_bandit_sts_4,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_sts_gp10,,0.4,0.85,0.15,0.3
actors\stalker_bandit\stalker_bandit_sts_nos_head,,0.4,0.85,0.15,0.3
actors\stalker_bandit\stalker_bandit_sunrill_1,,0.5,0.8,0.1,0.011
actors\stalker_bandit\stalker_bandit_sunrill_2,,0.5,0.8,0.1,0.011
actors\stalker_bandit\stalker_bandit_sunrise_custom,,0.5,0.8,0.1,0.011
actors\stalker_bandit\stalker_bandit_sunrise_seva_mask_1,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_bandit\stalker_bandit_sunrise_seva_mask_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
