~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_aks,st_wpn_aks,st_wpn_aks_descr,3.20,24650,D,N,67%,72%,42,600,30,900,600,92%,45,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_g36_nimble,st_wpn_g36,st_wpn_g36_descr,3.77,35880,C,N,80%,71%,30,750,30,1000,1024,92%,80,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_aug,st_wpn_aug,st_wpn_aug_descr,3.30,24580,C,N,79%,88%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_fnc,st_wpn_fnc,st_wpn_fnc_descr,4.06,27000,C,N,86%,73%,30,650,30,1000,1019,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_m4,st_wpn_m4,st_wpn_m4_descr,3.02,35560,C,N,81%,80%,29,750,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_ak74u_custom,st_wpn_ak74u_custom,st_wpn_ak74u_descr,2.48,23880,C,N,66%,83%,35,715,30,900,789,90%,52,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_aks74,st_wpn_aks74,st_wpn_aks74_descr,3.20,27280,C,N,77%,77%,36,650,30,1000,913,91%,46,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak103_camo,st_wpn_ak103_camo,st_wpn_ak103_descr,3.60,38980,D,N,79%,72%,42,630,30,900,600,92%,47,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_aek_duty,st_wpn_aek973,st_wpn_aek973_descr,3.35,51580,D,N,84%,75%,42,900,30,900,592,92%,41,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_aug_a3,st_wpn_aug_a3,st_wpn_aug_a3_descr,3.90,43600,C,N,85%,88%,30,680,30,1000,1041,90%,69,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ak,st_wpn_ak,st_wpn_ak_descr,3.30,22650,D,N,67%,72%,42,600,30,900,600,92%,45,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_lr300_custom,st_wpn_lr300_custom,st_wpn_lr300_descr,3.10,33550,C,N,81%,78%,29,945,30,1000,931,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.485
wpn_abakan_camo,st_wpn_abakan_camo,st_wpn_abakan_descr,3.85,40860,C,N,83%,71%,36,620,30,1000,953,91%,67,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_vintorez,st_wpn_vintorez,st_wpn_vintorez_descr,2.59,46580,D,N,86%,82%,53,800,10,600,350,85%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_ace21,st_wpn_ace21,st_wpn_ace21_descr,2.80,35580,C,N,79%,70%,28,700,35,1000,795,91%,56,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.48
wpn_ak74_rpk,st_wpn_ak74_eot,st_wpn_ak74_eot_descr,3.62,37680,C,N,74%,76%,36,683,45,1000,946,93%,61,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_vintorez_alt,st_wpn_vintorez_alt,st_wpn_vintorez_descr,2.59,46860,D,N,87%,82%,53,750,10,600,350,83%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_vintorez_1pn93,st_wpn_vintorez,st_wpn_vintorez_1pn93_descr,3.90,55880,D,N,86%,82%,53,800,10,600,350,85%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_galil,st_wpn_galil,st_wpn_galil_descr,3.95,32580,D,N,86%,70%,50,630,25,1000,876,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.3,0.61,0.76
wpn_fal,st_wpn_fal,st_wpn_fal_descr,4.45,54300,D,N,86%,88%,50,675,20,1000,882,85%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.76
wpn_ak101_camo,st_wpn_ak101_camo,st_wpn_ak101_descr,3.60,38380,C,N,81%,76%,30,645,30,1000,1030,94%,65,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_l85_custom,st_wpn_l85_custom,st_wpn_l85_descr,3.88,40580,C,N,89%,79%,30,693,30,1000,1148,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_sig550_camo,st_wpn_sig550_camo,st_wpn_sig550_descr,4.10,50860,C,N,86%,77%,30,755,30,1000,1019,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_akms_alt,st_wpn_akms_alt,st_wpn_akms_descr,3.30,33540,D,N,69%,72%,42,620,30,900,600,91%,43,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_fn2000_nimble,st_wpn_fn2000_nimble,st_wpn_fn2000_nimble_descr,3.80,42950,C,N,80%,80%,30,895,30,1000,1030,93%,71,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_val_modern,st_wpn_val_modern,st_wpn_val_modern_descr,2.50,49580,D,N,79%,82%,53,840,20,600,350,89%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_galil_modern,st_wpn_galil_modern,st_wpn_galil_descr,3.95,37680,D,N,87%,70%,50,645,25,1000,876,92%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.3,0.61,0.76
wpn_m4a1,st_wpn_m4a1,st_wpn_m4a1_descr,2.52,35560,C,N,79%,80%,29,770,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_val,st_wpn_val,st_wpn_val_descr,2.50,50860,D,N,77%,82%,53,900,20,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_l85a2_modern,st_wpn_l85a2_modern,st_wpn_l85a2_descr,4.13,35580,C,N,89%,79%,30,650,30,1000,1041,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_fn2000_custom,st_wpn_fn2000_custom,st_wpn_fn2000_descr,3.80,49350,C,N,85%,80%,30,875,30,1000,1030,93%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_g3,st_wpn_g3,st_wpn_g3_descr,4.63,39880,D,N,80%,71%,38,600,20,1000,837,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.58
wpn_scar_custom,st_wpn_scar_custom,st_wpn_scar_descr,3.60,63580,D,N,91%,72%,50,675,20,1000,842,89%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_aks74_new,st_wpn_aks74_new,st_wpn_aks74_descr,3.20,26880,C,N,77%,77%,36,655,30,1000,923,92%,46,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_lr300,st_wpn_lr300,st_wpn_lr300_descr,3.10,26480,C,N,78%,78%,29,930,30,1000,931,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.485
wpn_ak74m_custom,st_wpn_ak74m_custom,st_wpn_ak74m_descr,3.40,33980,C,N,80%,76%,36,650,30,1000,932,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_aug_merc,st_wpn_aug_merc,st_wpn_aug_descr,3.30,34180,C,N,84%,89%,30,710,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_l85a2_custom,st_wpn_l85a2_custom,st_wpn_l85a2_descr,4.13,41560,C,N,90%,82%,30,620,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_l85a2,st_wpn_l85a2,st_wpn_l85a2_descr,4.13,35860,C,N,87%,79%,30,635,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_ak74m_alt,st_wpn_ak74m_alt,st_wpn_ak74m_descr,3.40,31850,C,N,78%,76%,36,635,30,1000,923,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_m16,st_wpn_m16,st_wpn_m16_descr,3.09,35690,C,N,86%,71%,30,670,30,1000,1019,91%,61,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_sig550_luckygun,st_wpn_sig550_strelok,st_wpn_sig550_strelok_descr,4.10,52950,C,N,85%,77%,30,800,30,1000,1019,92%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_ak74m,st_wpn_ak74m,st_wpn_ak74m_descr,3.40,30980,C,N,78%,76%,36,600,30,1000,923,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_sig550_custom,st_wpn_sig550_custom,st_wpn_sig550_descr,4.10,42860,C,N,85%,75%,30,750,30,1000,1019,90%,57,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_sig550,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,30,700,30,1000,1019,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_hk417,st_wpn_hk417,st_wpn_hk417_descr,4.20,35000,C,N,86%,88%,50,600,20,500,857,90%,32,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.76
wpn_hk416,st_wpn_hk416,st_wpn_hk416_descr,3.74,41580,C,N,83%,80%,29,850,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_rpd,st_wpn_rpd,st_wpn_rpd_descr,7.40,44980,D,N,74%,72%,43,600,100,900,613,91%,51,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.59
wpn_rpk74,st_wpn_rpk74,st_wpn_rpk74_descr,4.80,38980,C,N,81%,73%,37,650,45,1000,955,91%,51,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.51
wpn_ak74,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,76%,76%,36,650,30,1000,923,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
