Section,Type,Key_1,Value_1,Key_2,Value_2,Key_3,Value_3,Key_4,Value_4,Key_5,Value_5,Key_6,Value_6,Key_7,Value_7,Key_8,Value_8,Key_9,Value_9,Key_10,Value_10,Key_11,Value_11,Key_12,Value_12,Key_13,Value_13,Key_14,Value_14,Key_15,Value_15,Key_16,Value_16
up_sect_fifthc_exo_2,outfit,cost,"21000",inv_weight,"3.7",sprint_allowed,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthc_nosorog_1,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthc_nosorog_2,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthc_skat_proto_1,outfit,cost,"21000",inv_weight,"3.7",sprint_allowed,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthd_exo_1,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthd_exo_2,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthd_nosorog_1,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthd_nosorog_2,outfit,cost,"21000",inv_weight,"3.7",sprint_allowed,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthe_exo_1,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthe_exo_2,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthe_nosorog_1,outfit,cost,"21000",inv_weight,"3.7",sprint_allowed,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthe_nosorog_2,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_assault_vest_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_berill_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_berill_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_berill_3,outfit,cost,"3000",inv_weight,"-3",value,"-3",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_exolight_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_exolight_2,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_helm_resp_1,outfit,cost,"8000",inv_weight,"0.2",power_loss,"-0.01",power_restore_speed,"0.0006",value,"6",,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_helm_resp_2,outfit,cost,"8000",inv_weight,"0.2",power_loss,"-0.01",power_restore_speed,"0.0006",value,"6",,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_helm_resp_3,outfit,burn_protection,"5.75",cost,"7300",immunities_sect_add,"sect_immunities_sub_burn_005",inv_weight,"0.2",value,"10",,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_helm_resp_4,outfit,cost,"8000",inv_weight,"0.2",power_loss,"-0.01",power_restore_speed,"0.0006",value,"6",,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_lcs_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_lcs_2,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_lcs_3,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_novice_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_ps5_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_ps5_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_ps5_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_seva_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_seva_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_skat_1,outfit,cost,"5000",inv_weight,"-5",value,"-5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_ssp_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_sts_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_sts_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_sts_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_sunrise_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firsta_sunrise_2,outfit,cost,"4000",inv_weight,"0.2",power_loss,"-0.005",power_restore_speed,"0.0003",value,"3",,,,,,,,,,,,,,,,,,,,,,
up_sect_firsta_sunrise_3,outfit,cost,"4000",inv_weight,"0.2",power_loss,"-0.005",power_restore_speed,"0.0003",value,"3",,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_assault_vest_1,outfit,cost,"5000",inv_weight,"-5",value,"-5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_berill_1,outfit,cost,"3000",inv_weight,"-3",value,"-3",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_berill_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_berill_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firstc_exolight_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstc_exolight_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_helm_resp_1,outfit,cost,"5100",inv_weight,"0.15",radiation_protection,"7.75",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_helm_resp_2,outfit,chemical_burn_protection,"12.50",cost,"5200",immunities_sect_add,"sect_immunities_sub_chem_002",inv_weight,"0.2",value,"10",,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_helm_resp_3,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_helm_resp_4,outfit,chemical_burn_protection,"12.50",cost,"5200",immunities_sect_add,"sect_immunities_sub_chem_002",inv_weight,"0.2",value,"10",,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_lcs_1,outfit,cost,"5000",inv_weight,"-5",value,"-5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_lcs_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_lcs_3,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_novice_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_ps5_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_ps5_2,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_ps5_3,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_seva_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_seva_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstc_skat_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_ssp_1,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sts_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sts_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sts_3,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sunrise_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sunrise_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_sunrise_3,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_assault_vest_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_berill_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_berill_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_berill_3,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_exolight_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_exolight_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_helm_resp_2,outfit,cost,"5100",inv_weight,"0.15",radiation_protection,"7.75",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_helm_resp_4,outfit,cost,"5100",inv_weight,"0.15",radiation_protection,"7.75",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_lcs_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_lcs_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_lcs_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_seva_1,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_seva_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_skat_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_sunrise_1,outfit,cost,"4000",inv_weight,"0.2",power_loss,"-0.005",power_restore_speed,"0.0003",value,"3",,,,,,,,,,,,,,,,,,,,,,
up_sect_firstd_sunrise_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstd_sunrise_3,outfit,cost,"3000",inv_weight,"-3",value,"-3",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_assault_vest_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_berill_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_berill_2,outfit,cost,"3000",inv_weight,"-3",value,"-3",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_berill_3,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_exolight_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_exolight_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_helm_resp_2,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_helm_resp_4,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_lcs_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_lcs_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_lcs_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_novice_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_ps5_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_ps5_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_ps5_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_seva_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_seva_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_skat_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_ssp_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_sts_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_sts_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_sts_3,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_sunrise_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firste_sunrise_2,outfit,bones_koeff_protection_add,"actor_armor_light_add_2",cost,"5600",explosion_protection,"3.33",fire_wound_protection,"0.03",hit_fraction_actor,"-0.1",inv_weight,"1.5",value,"10",,,,,,,,,,,,,,,,,,
up_sect_firste_sunrise_3,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_assault_vest_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_berill_1,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_berill_2,outfit,cost,"5000",immunities_sect_add,"sect_immunities_sub_physical_medium",value,"10",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_berill_3,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_exolight_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_exolight_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_helm_resp_4,outfit,burn_protection,"5.75",cost,"7300",immunities_sect_add,"sect_immunities_sub_burn_005",inv_weight,"0.2",value,"10",,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_lcs_1,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_lcs_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_lcs_3,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_ps5_1,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_ps5_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_ps5_3,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_seva_1,outfit,cost,"5000",inv_weight,"-5",value,"-5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_seva_2,outfit,cost,"2600",immunities_sect_add,"sect_immunities_sub_physical_small",value,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_skat_1,outfit,bones_koeff_protection_add,"actor_armor_light_add_1",cost,"3300",explosion_protection,"1.67",fire_wound_protection,"0.03",hit_fraction_actor,"-0.05",inv_weight,"1",value,"5",,,,,,,,,,,,,,,,,,
up_sect_firstf_sts_1,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_sts_2,outfit,cost,"2900",inv_weight,"0.7",value,"5",wound_protection,"2.63",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstf_sts_3,outfit,cost,"4700",inv_weight,"1.2",value,"10",wound_protection,"5.26",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_assault_vest_1,outfit,bleeding_restore_speed,"0.0002",cost,"12000",inv_weight,"0.5",value,"2",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_exolight_1,outfit,additional_inventory_weight,"5",additional_inventory_weight2,"5",cost,"5500",inv_weight,"0",value,"5",,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_exolight_2,outfit,bleeding_restore_speed,"0.0002",cost,"12000",inv_weight,"0.5",value,"2",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_lcs_1,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_lcs_2,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_lcs_3,outfit,cost,"4000",inv_weight,"0.2",power_loss,"-0.005",power_restore_speed,"0.0003",value,"3",,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_ps5_nbc_1,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_ps5_proto_1,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_seva_1,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fourta_seva_2,outfit,cost,"3400",inv_weight,"0.05",radiation_protection,"3.87",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
