~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_gauss_bad,ammo-gauss,ammo-gauss_descr,0.60,8,10256,,,,,4.5,1,2.3,70%,100%,1%,100%,100%,3200%,2.3,4.5,0.01
ammo_pkm_100_verybad,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,1060,,,,0.37,,1,1.5,95%,100%,10%,150%,56%,500%,1.5,0.37,0.1
ammo_7.92x33_fmj,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,700,,,,0.25,,1,1,85%,100%,25%,150%,150%,40%,1,0.25,0.25
ammo_m209,ammo-m209,ammo-m209_descr,0.20,1,1250,,,,0.35,,0,1,66%,100%,100%,100%,135%,40%,1,0.35,1
ammo_5.56x45_ap,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,1500,,,,,0.52,1,0.9,66%,100%,20%,160%,54%,40%,0.9,0.52,0.2
ammo_7.62x54_ap_verybad,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,500,,,,,0.65,1,1.18,95%,100%,5%,150%,150%,900%,1.18,0.65,0.05
ammo_50_bmg_verybad,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,500,,,,,0.55,1,1,90%,100%,5%,90%,40%,130%,1,0.55,0.05
ammo_7.62x54_7h14_bad,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,2925,,,,0.45,,1,1.18,70%,100%,5%,150%,150%,900%,1.18,0.45,0.05
ammo_11.43x23_hydro_bad,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,870,,,0.1,,,1,2,70%,100%,70%,187%,68%,400%,2,0.1,0.7
ammo_7.92x33_ap_bad,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,2500,,,,0.45,,1,1,90%,100%,25%,150%,47%,900%,1,0.45,0.25
ammo_9x18_fmj_verybad,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,15,96,,,0.15,,,1,0.6,75%,100%,80%,187%,52%,400%,0.6,0.15,0.8
ammo_5.56x45_ss190_verybad,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,320,,,0.15,,,1,1.45,75%,100%,20%,160%,53%,400%,1.45,0.15,0.2
ammo_magnum_300_bad,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,11000,,,,,1.3,1,1.1,70%,100%,25%,120%,200%,900%,1.1,1.3,0.25
ammo_5.56x45_fmj,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,800,,,,0.27,,1,0.9,66%,100%,20%,160%,57%,40%,0.9,0.27,0.2
ammo_7.62x51_ap,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,1700,,,,,0.61,1,1,50%,100%,10%,150%,50%,40%,1,0.61,0.1
ammo_gauss_cardan,ammo-gauss_cardan,ammo-gauss_cardan_descr,0.60,6,8399,,,,,5,1,2.5,66%,100%,1%,100%,100%,40%,2.5,5,0.01
ammo_12x76_bull,ammo-12x76-bull,ammo-12x76-bull_descr,0.60,10,1100,,,,0.4,,1,2.5,50%,100%,100%,100%,100%,40%,2.5,0.4,1
ammo_9x18_ap,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,15,650,,,,0.31,,1,0.6,66%,100%,80%,187%,55%,40%,0.6,0.31,0.8
ammo_pkm_100,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,3800,,,,0.37,,1,1.5,90%,100%,10%,150%,60%,40%,1.5,0.37,0.1
ammo_9x18_pmm_verybad,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,15,160,,,0.1,,,1,1.1,75%,100%,80%,187%,62%,400%,1.1,0.1,0.8
ammo_4.6x30_fmj_bad,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,1750,,,,0.25,,1,1,70%,100%,80%,95%,33%,350%,1,0.25,0.8
ammo_pkm_100_bad,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,4600,,,,0.37,,1,1.5,95%,100%,10%,150%,56%,500%,1.5,0.37,0.1
ammo_og-7b_bad,ammo-og-7b,ammo-og-7b_descr,1.96,1,520,,,,,1.25,0,1,152%,100%,100%,100%,140%,110%,1,1.25,1
ammo_9x19_ap_bad,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,1500,,,,0.38,,1,0.67,70%,100%,75%,187%,32%,400%,0.67,0.38,0.75
ammo_9x19_ap,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,750,,,,0.38,,1,0.67,66%,100%,75%,187%,36%,40%,0.67,0.38,0.75
ammo_5.56x45_fmj_verybad,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,230,,,,0.27,,1,0.9,75%,100%,20%,160%,53%,400%,0.9,0.27,0.2
ammo_vog-25,ammo-vog-25,ammo-vog-25_descr,0.26,1,1250,,,,0.35,,0,1,66%,100%,100%,100%,130%,40%,1,0.35,1
ammo_magnum_300_verybad,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,720,,,,,1.3,1,1.1,70%,100%,25%,120%,200%,900%,1.1,1.3,0.25
ammo_5.45x39_ap_bad,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,2550,,,,0.47,,1,1.1,70%,100%,30%,150%,42%,400%,1.1,0.47,0.3
ammo_7.62x51_fmj_verybad,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,350,,,,0.3,,1,1,55%,100%,10%,150%,63%,400%,1,0.3,0.1
ammo_9x39_ap_verybad,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,635,,,,,0.5,1,1.3,70%,100%,40%,100%,47%,400%,1.3,0.5,0.4
ammo_50_bmg,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,2000,,,,,1.9,1,1.5,90%,100%,5%,100%,190%,40%,1.5,1.9,0.05
ammo_5.56x45_ap_verybad,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,560,,,,,0.52,1,0.9,70%,100%,20%,160%,52%,400%,0.9,0.52,0.2
ammo_9x39_pab9_bad,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,1380,,,,0.27,,1,1.3,55%,100%,40%,100%,53%,400%,1.3,0.27,0.4
ammo_5.45x39_fmj_bad,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,740,,,,0.25,,1,1.1,70%,100%,30%,150%,57%,400%,1.1,0.25,0.3
ammo_12x70_buck_self,ammo-12x70-buck_self,ammo-12x70-buck_self_descr,0.52,10,460,,0.038,,,,11,0.3,500%,70%,200%,142%,25%,100%,0.3,0.038,2
ammo_11.43x23_hydro,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,650,,,0.13,,,1,2,66%,100%,70%,187%,70%,40%,2,0.13,0.7
ammo_og-7b_verybad,ammo-og-7b,ammo-og-7b_descr,1.96,1,200,,,,,1.22,0,1,152%,100%,100%,100%,130%,130%,1,1.22,1
ammo_7.92x33_ap_verybad,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,530,,,,0.45,,1,1,90%,100%,25%,150%,47%,900%,1,0.45,0.25
ammo_9x18_fmj,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,15,300,,,0.17,,,1,0.6,66%,100%,80%,187%,60%,40%,0.6,0.17,0.8
ammo_vog-25_verybad,ammo-vog-25,ammo-vog-25_descr,0.26,1,230,,,,0.27,,0,1,66%,100%,100%,100%,112%,130%,1,0.27,1
ammo_7.62x25_p_bad,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,420,,,0.15,,,1,0.65,70%,100%,50%,187%,64%,400%,0.65,0.15,0.5
ammo_12x76_zhekan_verybad,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,210,,,,0.21,,1,2,55%,90%,60%,127%,190%,700%,2,0.21,0.6
ammo_11.43x23_hydro_verybad,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,273,,,0.1,,,1,2,75%,100%,70%,187%,66%,400%,2,0.1,0.7
ammo_9x19_pbp_bad,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,630,,0.09,,,,1,1.3,70%,100%,75%,187%,96%,400%,1.3,0.09,0.75
ammo_12x70_buck_verybad,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,125,,0.038,,,,9,0.38,550%,75%,220%,142%,33%,700%,0.38,0.038,2.2
ammo_7.62x39_ap,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,1700,,,,,0.61,1,1.1,75%,100%,30%,120%,60%,40%,1.1,0.61,0.3
ammo_12x76_zhekan,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,950,,,,0.21,,1,2,50%,90%,60%,127%,190%,105%,2,0.21,0.6
ammo_vog-25_bad,ammo-vog-25,ammo-vog-25_descr,0.26,1,480,,,,0.3,,0,1,66%,100%,100%,100%,120%,110%,1,0.3,1
ammo_5.7x28_ss195,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,500,,,0.18,,,1,0.74,66%,100%,30%,150%,100%,40%,0.74,0.18,0.3
ammo_5.56x45_ap_bad,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,3220,,,,,0.52,1,0.9,70%,100%,20%,160%,52%,400%,0.9,0.52,0.2
ammo_12.7x55_ap,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,2200,,,,,1.5,1,1.35,66%,100%,50%,100%,280%,40%,1.35,1.5,0.5
ammo_9x39_pab9,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,1150,,,,0.27,,1,1.3,50%,100%,40%,100%,55%,40%,1.3,0.27,0.4
ammo_12x70_raid,ammo-12x70-raid,ammo-12x70-raid_descr,0.45,15,50000,,0.05,,,,9,0.4,459%,75%,200%,100%,233%,40%,0.4,0.05,2
ammo_m209_verybad,ammo-m209,ammo-m209_descr,0.20,1,300,,,,0.301,,0,1,66%,100%,100%,100%,126%,130%,1,0.301,1
ammo_7.62x39_fmj,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,1000,,,,0.3,,1,1.1,75%,100%,30%,120%,66%,40%,1.1,0.3,0.3
ammo_9x39_ap_bad,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,3325,,,,,0.5,1,1.3,70%,100%,40%,100%,47%,400%,1.3,0.5,0.4
ammo_5.7x28_ss190,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,650,,,,0.4,,1,0.74,66%,100%,30%,150%,36%,40%,0.74,0.4,0.3
ammo_12x76_dart_bad,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,3150,,,,0.45,,1,1.2,38%,100%,60%,127%,190%,700%,1.2,0.45,0.6
ammo_5.7x28_ss190_verybad,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,250,,,,0.4,,1,0.74,75%,100%,30%,150%,30%,400%,0.74,0.4,0.3
ammo_12.7x55_fmj,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,1600,,,,0.35,,1,1.35,66%,100%,50%,100%,280%,40%,1.35,0.35,0.5
ammo_5.7x28_ss195_verybad,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,195,,,0.18,,,1,0.74,75%,100%,30%,150%,92%,400%,0.74,0.18,0.3
ammo_5.45x39_ep_bad,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,900,,,0.15,,,1,1.6,70%,100%,30%,150%,42%,400%,1.6,0.15,0.3
ammo_357_hp_mag,ammo-357-hp,ammo-357-hp_descr,0.21,13,700,,,,0.3,,1,1.2,50%,100%,80%,150%,75%,40%,1.2,0.3,0.8
ammo_5.45x39_fmj,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,800,,,,0.25,,1,1.1,66%,100%,30%,150%,60%,40%,1.1,0.25,0.3
ammo_gauss_verybad,ammo-gauss,ammo-gauss_descr,0.60,8,1570,,,,,4,1,2,75%,100%,1%,100%,100%,130%,2,4,0.01
ammo_9x19_fmj_verybad,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,112,,,0.17,,,1,0.67,70%,100%,75%,187%,42%,400%,0.67,0.17,0.75
ammo_7.92x33_ap,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,1500,,,,0.45,,1,1,85%,100%,25%,150%,150%,40%,1,0.45,0.25
ammo_5.45x39_fmj_verybad,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,220,,,,0.25,,1,1.1,75%,100%,30%,150%,56%,400%,1.1,0.25,0.3
ammo_5.45x39_ap_verybad,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,460,,,,,0.5,1,1.1,75%,100%,30%,150%,38%,400%,1.1,0.5,0.3
ammo_4.6x30_fmj_verybad,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,250,,,,0.3,,1,1,75%,100%,80%,90%,30%,130%,1,0.3,0.8
ammo_5.7x28_ss195_bad,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,700,,,0.18,,,1,0.74,70%,100%,30%,150%,97%,400%,0.74,0.18,0.3
ammo_gauss,ammo-gauss,ammo-gauss_descr,0.60,8,3500,,,,,5,1,2.5,66%,100%,1%,100%,100%,40%,2.5,5,0.01
ammo_9x19_pbp,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,600,,,0.1,,,1,1.3,66%,100%,75%,187%,100%,40%,1.3,0.1,0.75
ammo_12x76_dart,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,1250,,,,0.45,,1,1.2,33%,100%,60%,127%,190%,105%,1.2,0.45,0.6
ammo_11.43x23_fmj,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,400,,,0.18,,,1,0.7,66%,100%,70%,187%,55%,40%,0.7,0.18,0.7
ammo_og-7b,ammo-og-7b,ammo-og-7b_descr,1.96,1,2200,,,,,1.25,0,1,152%,100%,100%,100%,150%,40%,1,1.25,1
ammo_7.62x54_7h14,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,1700,,,,0.45,,1,1.18,66%,100%,5%,150%,150%,40%,1.18,0.45,0.05
ammo_5.45x39_ap,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,1500,,,,0.47,,1,1.1,66%,100%,30%,150%,55%,40%,1.1,0.47,0.3
ammo_11.43x23_fmj_verybad,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,140,,,0.16,,,1,0.7,75%,100%,70%,187%,50%,400%,0.7,0.16,0.7
ammo_magnum_300,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,2000,,,,,1.4,1,1.3,66%,100%,5%,150%,200%,40%,1.3,1.4,0.05
ammo_7.62x51_ap_bad,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,3125,,,,,0.6,1,1,55%,100%,10%,150%,48%,400%,1,0.6,0.1
ammo_12x76_zhekan_bad,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,690,,,,0.21,,1,2,55%,90%,60%,127%,190%,700%,2,0.21,0.6
ammo_11.43x23_fmj_bad,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,504,,,0.16,,,1,0.7,70%,100%,70%,187%,50%,400%,0.7,0.16,0.7
ammo_7.62x51_fmj,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,1000,,,,0.3,,1,1,50%,100%,10%,150%,66%,40%,1,0.3,0.1
ammo_50_bmg_bad,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,15110,,,,,1.9,1,1.5,95%,100%,5%,95%,43%,350%,1.5,1.9,0.05
ammo_5.7x28_ss190_bad,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,2083,,,,0.4,,1,0.74,70%,100%,30%,150%,33%,400%,0.74,0.4,0.3
ammo_7.62x54_7h1_bad,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,1540,,,,0.3,,1,1.18,70%,100%,5%,150%,150%,900%,1.18,0.3,0.05
ammo_12x76_dart_verybad,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,330,,,,0.45,,1,1.2,38%,100%,60%,127%,190%,700%,1.2,0.45,0.6
ammo_5.56x45_fmj_bad,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,825,,,,0.27,,1,0.9,70%,100%,20%,160%,56%,400%,0.9,0.27,0.2
ammo_7.62x54_7h14_verybad,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,400,,,,0.45,,1,1.18,70%,100%,5%,150%,150%,900%,1.18,0.45,0.05
ammo_9x18_fmj_bad,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,15,320,,,0.15,,,1,0.6,70%,100%,80%,187%,56%,400%,0.6,0.15,0.8
ammo_9x19_fmj_bad,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,360,,,0.17,,,1,0.67,70%,100%,75%,187%,42%,400%,0.67,0.17,0.75
ammo_357_hp_mag_bad,ammo-357-hp,ammo-357-hp_descr,0.21,13,1975,,,,0.3,,1,1.2,55%,100%,80%,150%,72%,700%,1.2,0.3,0.8
ammo_9x18_pmm_bad,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,15,544,,,0.1,,,1,1.1,70%,100%,80%,187%,66%,400%,1.1,0.1,0.8
ammo_9x19_ap_verybad,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,200,,,,0.38,,1,0.67,75%,100%,75%,187%,28%,400%,0.67,0.38,0.75
ammo_9x19_fmj,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,400,,,0.19,,,1,0.67,66%,100%,75%,187%,44%,40%,0.67,0.19,0.75
ammo_5.45x39_ep_verybad,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,300,,,0.15,,,1,1.6,75%,100%,30%,150%,42%,400%,1.6,0.15,0.3
ammo_7.62x39_fmj_verybad,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,255,,,,0.4,,1,1.1,85%,100%,30%,120%,60%,130%,1.1,0.4,0.3
ammo_12.7x55_ap_verybad,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,200,,,,,1,1,1.35,70%,100%,70%,50%,280%,900%,1.35,1,0.7
ammo_12.7x55_fmj_bad,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,1750,,,,0.35,,1,1.35,66%,100%,50%,100%,280%,900%,1.35,0.35,0.5
ammo_7.92x33_fmj_bad,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,1100,,,,0.25,,1,1,90%,100%,25%,150%,150%,900%,1,0.25,0.25
ammo_7.62x54_ap_bad,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,6840,,,,,0.65,1,1.18,95%,100%,5%,150%,150%,900%,1.18,0.65,0.05
ammo_7.62x25_ps,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,400,,,,0.3,,1,0.8,68%,100%,50%,187%,50%,40%,0.8,0.3,0.5
