Translation Key,Translated Value
st_gas_tube_2,Handguard [R]
st_wpn_ak74_eot,AK-74N "EOTech"
st_duct_tape,Duct tape
st_af_camelbak_name,Camelbak
bandit_exolight_outfit_name,Looted exosuit
st_wpn_type63,Type 63
st_af_ball_name,Ball
st_hide_controller_name,Controller scalp
st_upgr_o_shock,Electrical-insulating textiles and inserts
banditmerc_outfit_name,Fenced LC suit
st_axe,Axe
st_prt_w_p_spring_2,9mm recoil spring assembly [Russian]
st_af_dummy_glassbeads_name,Mama's Beads
st_prt_o_retardant_15,Activated carbon cloth (ACC) fabrics
st_af_grid_name,Titanium grid
st_detonation_time,st_detonation_time
st_detonation_radius,st_detonation_radius
dolg_heavy_outfit_name,PSZ-9d body armour
st_data_export_stash_type_rare,Rare
st_wpn_grach,MP-443 Grach
army_nosorog_outfit_name,Military stalker Nosorog
st_wpn_toz34,TOZ-34
stalker_bear_outfit_name,"Bear" stalker suit
st_wpn_beretta_camo,Beretta 92F (camouflaged)
ui_ammo_count,Mag. size
trenchcoat_brown_outfit_name,Heavy brown overcoat
ammo-9x19-ap,9x19 mm AP rounds
st_wpn_ak74_old,AK-74
st_prt_i_ammo,Ammo parts
st_af_camelbak_up_name,Improved camelbak
ammo-7.62x51_ap,7.62x51 mm NATO AP rounds
trenchcoat_green_outfit_name,Heavy green overcoat
st_wpn_hk417,HK417
st_data_export_used_in_cooking,Used in cooking
st_drug_antidot,Antidote
st_helm_resp,Respirator
st_knife_6x4,6H4 bayonet
ui_inv_satiety,Satiety level
merc_outfit_name,Mercenary LC suit
st_wpn_ppsh41,PPSh-41
greh_exo_outfit_name,Vyraj power armour
st_prt_w_p_barrel_3,.45 barrel
st_prt_o_ballistic_18,Reinforced polyethylene fibre layers
st_monolith_prayer_1_of_3_name,Monolith prayer (part 1 of 3)
ammo-338-lapua,.338 Lapua Magnum rounds
mutant_boar_chop,Boar chop
isg_lcs_urban_outfit_name,UNISG LC-UC suit
st_trigger_components_2,Double fire mode trigger mechanism with hammer
st_wpn_protecta_custom,Armsel Protecta (customised)
st_prt_o_support_1,Exoskeleton frame
st_recipe_basic_3,Survival guide (issue #3)
ui_inv_wrange,ui_inv_wrange
st_wpn_aug_custom,Steyr AUG A1 (custom)
st_chocolate,Russian chocolate
st_antirad_kalium,Potassium iodide
st_bolt_11,Supercharger with hammer from a double-barrel shotgun [R]
st_axe3,Hunting axe
st_bolt_7,Rotating locking head [4 locks][AS]
specops_merc_outfit_name,Mercenary B-5M armoured suit
mutant_krovosos_meat,Bloodsucker meat
st_recipe_expert_3,Engineering manual (3rd edition)
st_upgr_w_calibre,Calibre components set
st_rebirth,Axyltallisal "The Rebirth"
specops_dolg_outfit_name,PS5-B battle armour
st_wpn_m82,Barrett M82
st_bolt_5,Rotating locking head [3 locks][V]
st_af_sun_name,Sun
st_helm_hardhat,Surplus steel helmet
specops_outfit_name,Berill-5M armoured suit
st_wpn_ump45_custom,UMP45 (custom)
st_wpn_pb_custom,PB (modern)
st_tea,Beard's tea
st_upgr_o_chem,Chemical fire retardants and inserts
st_wpn_abakan_camo,AN-94 (camouflaged)
st_drug_coagulant,Vinca
ammo-12x76-dart,12x76 dart shells
st_e_syringe,Empty syringe
st_prt_w_p_trigger_3,Double-action (DA/SA) trigger mechanism
st_prt_o_ballistic_6,Kevlar AP plates w/ reinforced titanium composite
bandit_novice_alt_outfit_name,Armoured leather jacket
st_ied_rpg,Improvised explosive device (based on OG-7V warhead)
dolg,Duty
dolg_specops_red_outfit_name,PS5-B2 veteran battlesuit
st_meat_flesh,Fat bacon
st_drug_anabiotic,Anabiotics
st_af_medusa_name,Jellyfish
greh_armored_outfit_name,Irij flak armour
ghillie_outfit_name,Ghillie suit
st_wpn_ak103,AK-103
st_gas_tube_10,Ejector from an over-under double barrel shotgun [R]
military_monolit_outfit_name,Monolith Skat-9 armoured suit
st_wpn_pb,PB
st_data_export_jump_height,Jump height
st_wpn_fnp45_custom,FNP-45 (custom)
st_itm_sleepbag_name,Sleeping bag
st_equ_milpack_name,Combat backpack
st_upgr_o_power,Plastic and synthetic parts
st_itm_mapkit_5,Anomaly map (Truck Cemetery)
st_compression_bag,Compression bag
svoboda_scientific_outfit_name,Watchman of Freedom
st_detector2,Bear detector
st_bolt_carrier_10,Sliding bolt carrier with turning bolt lock [NATO]
st_ui_number_of_uses,Uses
st_wpn_usp,USP45
st_af_skull_miser_name,Miser's skull
bandit_nbc_outfit_name,Looted NBC suit
light_isg_outfit_name,UNISG IBAz suit
st_barrel_1,18.5mm barrel [R]
exo_dolg_wood_outfit_name,PSZ-10l forest battlesuit
ui_inv_outfit_fire_wound_protection,Ballistic Res.
svoboda_heavy_outfit_name,Guardian of Freedom
st_wpn_remington870,Remington 870
st_recipe_basic_1,Survival guide (issue #1)
st_wpn_ak74_custom,AK-74N (custom)
st_upgr_w_reliability,Automatic gas regulators
st_medkit_army,Army medkit
st_grenade_rgd5,RGD-5 grenade
freedom_nosorog_outfit_name,Champion of Freedom
st_wpn_ak74u_camo,AKS-74UN (camouflaged)
st_upgr_o_weight,Lightweight materials
dolg_scientific_wood_outfit_name,PS5-9Md pathfinder
st_knife_combat,M9 bayonet
st_data_export_can_be_cooked,Can be cooked
st_wpn_mk14,Mk 14 EBR
st_af_vaselisk_name,Basilisk
st_wpn_sv98_custom,SV98 (custom)
st_af_chelust_name,Chain
st_swiss,Swiss knife
st_wpn_akms,AKMSN
st_wpn_bm16_full,TOZ-66
st_cuban_cigar,Cuban cigar
isg_exolight_outfit_name,UNISG exosuit
st_af_aam_name,Artefact Application Module (empty)
isg_lcs_camo_outfit_name,UNISG LC-C suit
st_wpn_bm16_full_alt,TOZ-66 (alternate)
nbc_dolg_outfit_name,PS5-Md NBC suit
light_monolit_outfit_name,Monolith IBAz assault suit
st_gas_tube_1,Gas tube [K]
st_upgr_o_psi,Protective coated layers of fabrics
st_wpn_colt1911,Colt M1911
st_hand_watch,Hand watch
greh_ps5_outfit_name,Volos flak armour
nomad_outfit_name,"Nomad" stalker suit
st_prt_w_p_barrel_4,5.7mm barrel
ammo-og-7b,OG-7V warhead
st_helm_exo_name,Exohelm
st_wpn_g3sg1,G3SG1
helm_ach7ex,ACH-7EX headgear set
st_bolt_16,Drummer with the mainspring [PP][NATO]
st_af_gimlet_name,Gimlet
st_wpn_aug_freedom,Steyr AUG A1 (camouflaged)
st_wpn_rpg7,RPG-7
st_prt_o_retardant_16,Active charcoal-treated non-woven fabrics
st_rank_legend,Legend
st_prt_o_fabrics_4,Mil-Spec textiles
ecolog_exo_outfit_name,Scientific exoskeleton
st_prt_w_p_trigger_4,"MP412" double-action trigger mechanism
st_cooking,Field cooking kit
st_memoirs_2_of_2_name,A stalker's journal (part 2 of 2)
st_wpn_ak74m_alt,AK-74M (alternate)
ammo-5.45x39-fmj,5.45x39 mm FMJ rounds
st_data_export_ammo_box_size,Box size
helm_ach7,ACH-7 headgear set
st_itm_artefact_container_name,Artefact container
st_cigar2,Soviet cigarettes
st_wpn_fnx45,FNX-45 Tactical
st_recipe_drug_2,Drug recipe #2
st_chocolate_p,Russian chocolate (half-consumed)
st_prt_o_ballistic_11,Kevlar K119 plates
st_prt_o_retardant_18,Insulating constantan inserts w/ fiberglass coating
st_wpn_sig550_camo,SIG SG550 (camouflaged)
st_helm_protective,SSP-99 screen helmet
st_upgr_o_bleed,Prototype of wound healing system
st_af_sandstone_name,Sandstone
st_bolt_6,Rotating locking head [2 locks][À]
st_rank_any,Any
ui_inv_outfit_shock_protection,Electrical Res.
st_af_repei_name,Thistle
st_wpn_m249,M249 SAW
st_data_export_unknown,Unknown
st_trg_sako,Sako TRG-42
st_cocaine,Cocaine
st_prt_o_ballistic_19,Carbon fibre layers
light_loner_outfit_name,Interceptor body armour
st_balon_gas,Gas balloon
st_prt_o_ballistic_7,Kevlar K119 plates w/ Polycarbonate inserts
st_ecologist_outfit_grn_name,SSP-99M suit
isg_outfit_name,UNISG Mk 1 tactical body armour
st_af_monolith_name,Volat Emerald
st_af_kevlar_up_name,Improved kevlar plates and attachments
st_beadspread,Bed spread
st_drug_psy_blockade,Psy-block
st_meat_boar,Boar chops
st_powder_poltergeist,'Diamond powder'
ammo-7.62x54-7n1,7.62x54 mm 7N1 rounds
renegade_scientific_outfit_name,Renegade SEVA suit
st_data_export_weapon_kind_smg,SMG
st_hide_flesh_name,Flesh hide
ammo-12x70-buck_self,Home-made 12x70 shot shells
st_barrel_9,5.56mm barrel [À]
monolith_nbc_outfit_name,Chernobyl NBC suit
st_af_gold_fish_name,Goldfish
st_detector1,Echo detector
ammo-50-bmg,.50 BMG rounds
st_prt_o_retardant_4,Grade-A RPVC vinyl fabrics
st_wpn_l85_modern,L85A1 (modern)
dolg_scout_outfit_name,PS5-R scout vest
st_water_drink,Sparkling water
freedom,Freedom
csky_heavy_outfit_name,CS-3b body armour
st_data_export_single_handed,Single-handed
st_wpn_aek973,AEK-973
st_wpn_m16a2,M16A2
st_wpn_g43,Karabiner 43
st_af_plates_name,Carbon steel plates
st_wpn_pp2000,PP-2000
st_wpn_akms_alt,AKMSN (alternate)
st_barrel_6,9mm barrel-silencer [AS/PP]
ui_inv_radiation,Radiation
st_gas_tube_8,Ejector [V]
st_prt_w_p_barrel_1,9x18mm barrel
st_helm_bandana,Bandana
ui_inv_effect_time,Duration
ammo-9x19-pbp,9x19 mm JHP rounds
st_upgr_o_armor,Reinforced ballistic inserts
st_wpn_desert_eagle,Desert Eagle
st_underwear,Soaked underwear
st_wpn_svd_nimble,SVD "Lynx"
st_wpn_aug,Steyr AUG A1
st_wpn_ash12,ASh-12.7
st_bolt_carrier_8,Chock from double-barrel shotgun [R]
dolg_scientific_red_outfit_name,PS5-9Md scientific guard suit
cs_exo_outfit_name,CS-5 exoskeleton
st_helm_tactic,Sphere-08 helmet
st_data_export_disassemble_item,Item
military_outfit_name,Skat-9 armoured suit
st_recipe_drug_3,Drug recipe #3
merc_scout_outfit_name,Mercenary LC-S suit
st_wpn_m4a1_camo,M4A1 (camouflaged)
st_wpn_desert_eagle_custom,Desert Eagle (custom)
st_prt_o_retardant_19,Insulating fibreglass "Polyester" fabrics
monolith_scientific_light_outfit_name,Monolith patchwork science suit
st_breadold,Breadcrumbs
st_wpn_ak74u_snag,AKS-74UNB (customised)
st_wpn_aps,APS
st_data_export_weapon_kind_rifle,Rifle
st_itm_ammokit,Gunsmithing tools
st_bolt_17,Drummer with the mainspring [PP][PPSh]
army,Military
mutant_chimera_meat,Chunk of chimera meat
st_barrel_12,7.62mm barrel [PP]
isg_merc_outfit_name,UNISG Mk 2 tactical body armour
st_wpn_vihr,SR-3M Vikhr
st_prt_o_retardant_17,Insulating constantan inserts
st_rank_master,Master
st_wpn_aks74_new,AKS-74N (new)
st_data_export_thirst,Thirst
st_prt_i_transistors,A box of transistors
st_antibio_sulfad,Sulfadimethoxine
st_upgr_o_run,Hydraulic servo drive amplification system
st_cigarettes_lucky,Lucky Strike cigarettes
redline_novice_outfit_name,Redline leather jacket
st_af_lobster_eyes_name,Lobster Eyes
st_antibio_chlor,Chlortetracycline
st_prt_o_ballistic_8,Kevlar K119 plates w/ carbon-fibre inserts
light_voen_outfit_name,Military stalker IBAz suit
dolg_outfit_name,PS5-M universal protection
stalker_graphite_outfit_name,"Graphite" stalker suit
st_prt_w_p_spring_5,7.62mm recoil spring assembly
st_af_glass_name,Firefly
st_wpn_ak74m,AK-74M
st_wpn_ak103_camo,AK-103 (camouflaged)
st_itm_drugkit,Drug-making kit
st_wpn_fn2000,FN F2000
stalker,Free stalkers
st_rank_experienced,Experienced
st_equ_smilpack_name,Travel backpack
st_wpn_oc33,OTs-33 Pernach
svoboda_exolight_outfit_name,Warrior of Freedom
st_af_black_spray_name,Black Spray
light_dolg_outfit_name,IBAz universal protection
st_prt_o_retardant_5,PVC/Rubber coated fabrics
ui_inv_outfit_telepatic_protection,Psychic Res.
st_detector8,Anomalous measurement device
st_data_export_weapon_degradation,W. Degradation
st_wpn_svd_custom,SVD (customised)
st_data_fragment_damage,Fragment damage
st_wpn_pkp,PKP Pecheneg
st_upgr_o_arty,Fastening for attachments
dolg_heavy_proto_exo_outfit_name,PSZ-9d proto-exoskeleton
st_cigarettes,Marlboro cigarettes
st_morphine,Morphine ampoule
st_af_surge_name,Surge suppressor
st_letter_military_stalker_name,Military stalker's note
stalker_outfit_name,"Sunrise" stalker suit
st_wpn_aks74,AKS-74N
monolith_exo_outfit_name,Monolith exoskeleton
st_wpn_sig220,SIG P220
st_antiemetic,Etperazine
st_wpn_glock_modern,Glock 19 (alternate)
st_porn,Russian PLAYBOY
ui_st_community,Faction
st_itm_basickit_name,Basic tools
st_bolt_carrier_7,Lever type bolt carrier with locking wedge
st_bolt_3,Rotating locking head [2 locks][K]
st_glue_e,"M17" glue tube
st_hide_boar_name,Boar pelt
st_data_export_restore_radiation,Radiation restoration
st_recipe_drug_1,Drug recipe #1
mutant_dog_meat,Dog meat
cs_scientific_outfit_name,CS-4a SEVA suit
st_ration_ukr,Ukrainian combat ration
st_itm_mapkit_7,Anomaly map (Zaton)
st_picture_woman,Photo of a loved one
ammo-11.43x23-fmj,.45 ACP rounds
st_wpn_fort500,Fort-500
exo_merc_wood_outfit_name,Mercenary woodland exosuit
st_wpn_cz52,CZ 52
st_beer,Ukrainian beer
st_ecologist_outfit_white_name,SSP-99 Diamond
st_wpn_m60,M60
st_wpn_fnp45,FNP-45
st_wpn_groza,OTs-14 Groza
st_af_ear_name,Heart
stalker_predator_outfit_name,"Predator" stalker suit
st_barrel_3,18.5mm barrel [K]
st_gas_tube_7,Gas tube [P]
ui_inv_outfit_radiation_protection,Radiation Res.
isg_proto_exo_outfit_name,UNISG tactical proto-exoskeleton
trenchcoat_freedom_brown_outfit_name,Heavy Freedom overcoat
st_rank_expert,Expert
st_rank_rg6,RG6 squad
st_cutlery,Field cutlery
st_data_export_restore_health_max,Total health restoration
nbc_merc_outfit_name,Mercenary NBC suit
ammo-m209,M203 grenade
monolith,Monolith
st_wpn_tt33_modern,TT-33 (modern)
st_equ_smallpack_name,Camping backpack
st_wpn_fn2000_custom,FN F2000 (customised)
st_prt_o_retardant_10,Polymer sheets (barium-sulfate coating)
st_mre,MRE
ammo-12x76-zhekan,12x76 slug shells
st_hide_lurker_name,Lurker hide
st_prt_w_p_barrel_2,9x19mm barrel
st_wpn_usas12,USAS-12
ecolog_proto_exo_outfit_name,Ecologist guard proto-exoskeleton
cs_nbc_outfit_name,CS-3 NBC body armour
st_trigger_components_5,Double fire mode trigger mechanism with firing pin
st_ecologist_outfit_blue_name,SSP-99M Sapphire
st_cigar1,Soviet cigarettes
bandit_novice_outfit_name,Black leather jacket
st_wpn_ak101,AK-101
ammo-5.7x28-ss195,5.7x28 mm SS195 rounds
st_data_export_disassemble_result,Result
st_wpn_hpsa_alt,Browning Hi-Power (alternate)
st_upgr_w_recoil,Additional gas pistons
st_af_night_star_name,Nightstar
st_recipe_advanced_2,Mechanics manual (2nd edition)
st_stim_impro,Improvised stimpack
ammo-5.45x39-ep,5.45x39 mm EP rounds
st_pda_name,PDA
st_wpn_fnc,FN FNC
st_wpn_ak,AK-47
st_data_export_stash_ecos,Allowed Ecos
st_af_fire_loop_name,Knot
st_prt_o_ballistic_1,Kevlar k129 plates w/ reinforced ceramic inserts
st_prt_o_ballistic_9,Grade-B polyethylene plates w/ expanded carrier
st_af_vyvert_name,Wrenched
st_af_sponge_name,Sponge
st_itm_tent_name,Bag with a camping tent
helm_m50,M50z gas mask
mutant_lurker_meat,Lurker meat
st_af_kevlar_name,Kevlar plates and attachments
st_upgr_o_rad,Active filters and radiation shielding materials
st_cigarettes_russian,Russian brand of cigarettes
st_nuts,Mixed nuts
st_wpn_sks,SKS
st_af_freon_name,Freon emission module
st_prt_w_p_spring_6,Recoil Spring Assembly (R1 DE 6")
st_wpn_mp153,MP-153
wastelander_outfit_name,"Wastelander" stalker suit
st_tetanus,Tetanus vaccine
st_prt_o_retardant_6,PVC/carbon-fibre fabrics
st_data_export_weapon_kind_explosive,Explosive
freedom_exo_vineleaf_outfit_name,Hero of Freedom
greh,Sin
st_wpn_saiga12s,Saiga-12S
ammo-gauss,Batteries
st_bread,Bread loaf
st_wpn_colt1911_new,Colt M1911 (new)
merc_exo_outfit_name,Mercenary exoskeleton
st_prt_o_ballistic_13,Polyethylene lightweight armor plates
st_af_generator_name,Generator
st_recipe_expert_2,Engineering manual (2nd edition)
bandit_ps5_outfit_name,Fenced PS5-M universal protection
st_wpn_abakan,AN-94
st_raisins,Raisins
st_af_gravi_name,Gravi
ammo-7.92x33_fmj,7.92x57 mm Mauser rounds
st_af_moh_name,Moss
st_memoirs_1_of_2_name,A stalker's journal (part 1 of 2)
st_wpn_ace21,Galil ACE-21
dolg_nosorog_outfit_name,PSZ-10d Nosorog
st_wpn_sig220_custom,SIG P220 (custom)
dolg_red_outfit_name,PS5-M hunter suit
st_bolt_carrier_11,Longitudinal-a sliding free bolt carrier [PP]
st_prt_w_p_barrel_7,.357 barrel
st_prt_i_textolite,Textolite base
st_radio2,Broken radio
st_data_export_weapon_kind_pistol,Pistol
st_meat_snork,Grilled snork hand
st_af_serofim_name,Seraphim
st_itm_mapkit_2,Anomaly map (Yantar)
st_meat_dog,Dog chops
st_prt_i_copper,Copper wire
st_wpn_sv98,SV98
st_exolight_repair_kit,Heavy armor repair kit
ammo-5.45x39-ap,5.45x39 mm AP rounds
exo_dolg_red_outfit_name,PSZ-10d venator battlesuit
st_metalcan_powder,Powder can
st_trigger_components_6,Trigger mechanism with hammer [R]
svoboda_heavy_outfit_2_name,Sentinel of Freedom
novice_outfit_tourist_name,Tourist’s jacket
stalker_salamander_outfit_name,"Salamander" stalker suit
st_prt_o_fabrics_3,Durable textiles
exo_wood_outfit_name,Woodland exosuit
st_recipe_expert_4,Engineering manual (4th edition)
st_upgr_w_dispersion,Balancing elements
st_wpn_bm16,TOZ-66 (sawn-off)
zombied,Zombified
svoboda_exo_outfit_name,Paragon of Freedom
st_helm_metro,Apocalypse helm
st_gas_tube_6,Gas tube [A|V][NATO]
st_wpn_mp5_alt,MP5A3 (alternate)
st_prt_i_capacitors,A pack of capacitors
st_monolithian_thoughts_name,Monolithian's journal
ammo-7.62x54_7n14,7.62x54 mm 7N14 rounds
st_upgr_w_grenade_mount,Underbarrel grenade launcher mounts
st_wpn_galil,Galil AR
st_af_baloon_name,Bubble
st_wpn_toz34_obrez_decor,TOZ-34 (decorated sawn-off)
st_data_export_restore_bleeding_max,Total wound healing
isg_exo_outfit_name,UNISG exoskeleton
st_prt_o_retardant_11,Aluminized layers of retardant fabrics
st_radio,Small radio
st_af_oasis_heart_name,Heart of the Oasis
st_wpn_m16,M16A4
st_synthrope,2 synthetic ropes
monolith_exolight_outfit_name,Monolith exosuit
st_wpn_toz34_decor,TOZ-34 (decorated)
ui_inv_rate_of_fire,Fire rate
st_drug_radioprotector,Radioprotectant
st_itm_mapkit_3,Anomaly map (Red Forest)
st_af_dummy_dummy_name,Shell
st_af_grapes_name,Grapes
st_af_surge_up_name,Improved surge regenerator
st_recipe_advanced_1,Mechanics manual (1st edition)
st_bolt_carrier_2,Sliding bolt carrier with turning bolt lock [Russia]
st_wpn_aek971,AEK-971
st_af_cristall_name,Crystal
st_wpn_aug_merc,Steyr AUG A1 (customised)
st_wpn_gsh18,Gsh-18
st_mine_name,PFM-1 scatterable anti-personnel mine
ui_st_rank,Rank
st_data_export_eat_alcohol,Alcohol
st_rank_gauss,Gauss squad
st_barrel_10,7.62mm barrel [P]
st_grenade_smoke,Smoke grenade
st_data_export_falloff,Falloff
st_itm_backpack_name,Backpack
lttz_ll_wpn_gauss_quest_name,"Item ¹62"
st_sausage,Smoked sausage
st_bolt_carrier_4,Sliding bolt carrier with a locking bias
bandit_exo_outfit_name,Heisted exoskeleton
st_wpn_sig550_strelok,SIG SG550 Arrow
st_af_fireball_name,Fireball
st_medkit,First-aid kit
st_wpn_umirotvoritel,Unidentified weapon
helm_ranger,GP-10z ranger gas mask
st_wpn_rpk,RPK
st_prt_o_ballistic_2,Kevlar Protera plates w/ reinforced ceramic inserts
st_wpn_lr300_camo,LR-300ML (camouflaged)
st_mint,Altoids
st_wpn_toz194,TOZ-194
st_gloves,Leather gloves
st_wpn_sig552,SIG SG552 Commando
st_wpn_usp_nimble,USP "March"
merc_nighthunter_outfit_name,Mercenary STS-N body armour
exo_dolg_urban_outfit_name,PSZ-10g urban battlesuit
st_wpn_mossberg590,Mossberg 590A1
st_wpn_l85_custom,L85A1 (custom)
st_upgr_o_damage,Compensating armour layers
st_af_fire_name,Flame
st_wpn_svu_alt,OTs-03 SVU (alternate)
st_af_dummy_battery_name,Battery
st_wpn_vz61,Skorpion vz.61
csky_light_novice_outfit_name,CS-1 body armour
military_exo_outfit_name,Military stalker exoskeleton
svoboda_novice_outfit_name,Freedom leather jacket
st_af_full_empty_name,Full Empty
st_upgr_cost,Cost
st_prt_o_ballistic_14,Polyethylene armor plates (Improvised)
st_itm_mapkit_9,Anomaly map (Agroprom)
csky_light_outfit_name,CS-2a body armour
exolight_outfit_name,Exosuit
st_rope,Rope
dolg_scientific_outfit_name,PS5-9Md universal scientific suit
st_joint,Cannabis joint
st_wpn_aek971_camo,AEK-971 (Duty camouflage)
st_broken_detector,Broken detector
svoboda_light_outfit_name,Wind of Freedom
nbc_outfit_name,NBC suit
ammo-7.62x25-ps,7.62x25 mm Pst rounds
st_af_grid_up_name,Improved titanium grid
st_af_electra_moonlight_name,Moonlight
BR,BR
st_data_export_heavy_attack_power,Heavy Attack Power
st_af_ring_name,Ring
st_data_export_light_attack_power,Light Attack Power
st_data_export_outfit_artefact_count_max,Maximum belt slots
