~,pda_encyclopedia_name,st_data_export_stash_type,st_data_export_stash_chance,st_data_export_stash_ecos
ammo_5.45x39_fmj_bad,ammo-5.45x39-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_5.45x39_fmj_bad,ammo-5.45x39-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.56x45_ap,ammo-5.56x45-ap,st_data_export_stash_type_common,75%,1/2/3
ammo_5.56x45_ap,ammo-5.56x45-ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_5.56x45_ap_bad,ammo-5.56x45-ap,st_data_export_stash_type_common,90%,1/2/3
ammo_5.56x45_ap_bad,ammo-5.56x45-ap,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.56x45_fmj,ammo-5.56x45-fmj,st_data_export_stash_type_common,90%,1/2/3
ammo_5.56x45_fmj,ammo-5.56x45-fmj,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.56x45_fmj_bad,ammo-5.56x45-fmj,st_data_export_stash_type_common,90%,1/2/3
ammo_5.56x45_fmj_bad,ammo-5.56x45-fmj,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.56x45_ss190,ammo-5.56x45-ss190,st_data_export_stash_type_common,90%,1/2/3
ammo_5.56x45_ss190,ammo-5.56x45-ss190,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.56x45_ss190_bad,ammo-5.56x45-ss190,st_data_export_stash_type_common,90%,1/2/3
ammo_5.56x45_ss190_bad,ammo-5.56x45-ss190,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.7x28_ss190,ammo-5.7x28-ss190,st_data_export_stash_type_common,100%,1/2/3
ammo_5.7x28_ss190,ammo-5.7x28-ss190,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.7x28_ss190_bad,ammo-5.7x28-ss190,st_data_export_stash_type_common,100%,1/2/3
ammo_5.7x28_ss190_bad,ammo-5.7x28-ss190,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.7x28_ss195,ammo-5.7x28-ss195,st_data_export_stash_type_common,100%,1/2/3
ammo_5.7x28_ss195,ammo-5.7x28-ss195,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.7x28_ss195_bad,ammo-5.7x28-ss195,st_data_export_stash_type_common,100%,1/2/3
ammo_5.7x28_ss195_bad,ammo-5.7x28-ss195,st_data_export_stash_type_rare,1%,1/2/3
ammo_7.62x25_p,ammo-7.62x25-p,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x25_p,ammo-7.62x25-p,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x25_p_bad,ammo-7.62x25-p,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x25_p_bad,ammo-7.62x25-p,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x25_ps,ammo-7.62x25-ps,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x25_ps,ammo-7.62x25-ps,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x25_ps_bad,ammo-7.62x25-ps,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x25_ps_bad,ammo-7.62x25-ps,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x39_ap,ammo-7.62x39_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x39_ap,ammo-7.62x39_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x39_ap_bad,ammo-7.62x39_ap,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x39_ap_bad,ammo-7.62x39_ap,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x39_fmj,ammo-7.62x39_fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x39_fmj,ammo-7.62x39_fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x39_fmj_bad,ammo-7.62x39_fmj,st_data_export_stash_type_common,90%,1/2/3
ammo_7.62x39_fmj_bad,ammo-7.62x39_fmj,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_7.62x51_ap,ammo-7.62x51_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x51_ap,ammo-7.62x51_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x51_ap_bad,ammo-7.62x51_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x51_ap_bad,ammo-7.62x51_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x51_fmj,ammo-7.62x51_fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x51_fmj,ammo-7.62x51_fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x51_fmj_bad,ammo-7.62x51_fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x51_fmj_bad,ammo-7.62x51_fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_7h1,ammo-7.62x54-7n1,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_7h1,ammo-7.62x54-7n1,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_7h14,ammo-7.62x54_7n14,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_7h14,ammo-7.62x54_7n14,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_7h14_bad,ammo-7.62x54_7n14,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_7h14_bad,ammo-7.62x54_7n14,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_7h1_bad,ammo-7.62x54-7n1,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_7h1_bad,ammo-7.62x54-7n1,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_ap,ammo-7.62x54-ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_ap,ammo-7.62x54-ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.62x54_ap_bad,ammo-7.62x54-ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.62x54_ap_bad,ammo-7.62x54-ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.92x33_ap,ammo-7.92x33_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.92x33_ap,ammo-7.92x33_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.92x33_ap_bad,ammo-7.92x33_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_7.92x33_ap_bad,ammo-7.92x33_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.92x33_fmj,ammo-7.92x33_fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_7.92x33_fmj,ammo-7.92x33_fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_7.92x33_fmj_bad,ammo-7.92x33_fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_7.92x33_fmj_bad,ammo-7.92x33_fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_9x18_ap,ammo-9x18-ap,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_ap,ammo-9x18-ap,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x18_ap_bad,ammo-9x18-ap,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_ap_bad,ammo-9x18-ap,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x18_fmj,ammo-9x18-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_fmj,ammo-9x18-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x18_fmj_bad,ammo-9x18-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_fmj_bad,ammo-9x18-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x18_pmm,ammo-9x18-pmm,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_pmm,ammo-9x18-pmm,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x18_pmm_bad,ammo-9x18-pmm,st_data_export_stash_type_common,100%,1/2/3
ammo_9x18_pmm_bad,ammo-9x18-pmm,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_ap,ammo-9x19-ap,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_ap,ammo-9x19-ap,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_ap_bad,ammo-9x19-ap,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_ap_bad,ammo-9x19-ap,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_fmj,ammo-9x19-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_fmj,ammo-9x19-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_fmj_bad,ammo-9x19-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_fmj_bad,ammo-9x19-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_pbp,ammo-9x19-pbp,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_pbp,ammo-9x19-pbp,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x19_pbp_bad,ammo-9x19-pbp,st_data_export_stash_type_common,100%,1/2/3
ammo_9x19_pbp_bad,ammo-9x19-pbp,st_data_export_stash_type_rare,1%,1/2/3
ammo_9x39_ap,ammo-9x39-ap,st_data_export_stash_type_common,75%,1/2/3
ammo_9x39_ap,ammo-9x39-ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_9x39_ap_bad,ammo-9x39-ap,st_data_export_stash_type_common,75%,1/2/3
ammo_9x39_ap_bad,ammo-9x39-ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_9x39_pab9,ammo-9x39-pab9,st_data_export_stash_type_common,90%,1/2/3
ammo_9x39_pab9,ammo-9x39-pab9,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_9x39_pab9_bad,ammo-9x39-pab9,st_data_export_stash_type_common,90%,1/2/3
ammo_9x39_pab9_bad,ammo-9x39-pab9,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_gauss_bad,ammo-gauss,st_data_export_stash_type_common,50%,1/2/3
ammo_gauss_bad,ammo-gauss,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_m209,ammo-m209,st_data_export_stash_type_common,50%,1/2/3
ammo_m209,ammo-m209,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_m209_bad,ammo-m209,st_data_export_stash_type_common,50%,1/2/3
ammo_m209_bad,ammo-m209,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_magnum_300,ammo-338-lapua,st_data_export_stash_type_common,90%,1/2/3
ammo_magnum_300,ammo-338-lapua,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_magnum_300_bad,ammo-338-lapua,st_data_export_stash_type_common,90%,1/2/3
ammo_magnum_300_bad,ammo-338-lapua,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_og-7b,ammo-og-7b,st_data_export_stash_type_common,50%,1/2/3
ammo_og-7b,ammo-og-7b,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_og-7b_bad,ammo-og-7b,st_data_export_stash_type_common,50%,1/2/3
ammo_og-7b_bad,ammo-og-7b,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_pkm_100,ammo-7.62x54-r,st_data_export_stash_type_common,75%,1/2/3
ammo_pkm_100,ammo-7.62x54-r,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_pkm_100_bad,ammo-7.62x54-r,st_data_export_stash_type_common,90%,1/2/3
ammo_pkm_100_bad,ammo-7.62x54-r,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_vog-25,ammo-vog-25,st_data_export_stash_type_common,50%,1/2/3
ammo_vog-25,ammo-vog-25,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_vog-25_bad,ammo-vog-25,st_data_export_stash_type_common,50%,1/2/3
ammo_vog-25_bad,ammo-vog-25,st_data_export_stash_type_rare,0.50%,1/2/3
ball_hammer,st_ball_hammer,st_data_export_stash_type_common,75%,1/2/3
ball_hammer,st_ball_hammer,st_data_export_stash_type_rare,0.75%,1/2/3
batteries_dead,st_batteries,st_data_export_stash_type_common,40%,1/2/3
batteries_dead,st_batteries,st_data_export_stash_type_rare,40%,1/2/3
beadspread,st_beadspread,st_data_export_stash_type_common,75%,1/2/3
beadspread,st_beadspread,st_data_export_stash_type_rare,0.75%,1/2/3
beans,st_beans,st_data_export_stash_type_common,40%,1/2/3
beans,st_beans,st_data_export_stash_type_rare,56%,1/2/3
beer,st_beer,st_data_export_stash_type_common,30%,1/2/3
beer,st_beer,st_data_export_stash_type_rare,60%,1/2/3
boots,st_boots,st_data_export_stash_type_common,75%,1/2/3
boots,st_boots,st_data_export_stash_type_rare,0.75%,1/2/3
broken_detector,st_broken_detector,st_data_export_stash_type_common,75%,1/2/3
broken_detector,st_broken_detector,st_data_export_stash_type_rare,0.75%,1/2/3
cards,st_cards,st_data_export_stash_type_common,100%,1/2/3
cards,st_cards,st_data_export_stash_type_rare,1%,1/2/3
chili,st_chili,st_data_export_stash_type_common,40%,1/2/3
chili,st_chili,st_data_export_stash_type_rare,56%,1/2/3
chocolate_p,st_chocolate_p,st_data_export_stash_type_common,40%,1/2/3
chocolate_p,st_chocolate_p,st_data_export_stash_type_rare,56%,1/2/3
compression_bag,st_compression_bag,st_data_export_stash_type_common,15%,1/2/3
compression_bag,st_compression_bag,st_data_export_stash_type_rare,15%,1/2/3
conserva,st_conserva,st_data_export_stash_type_common,40%,1/2/3
conserva,st_conserva,st_data_export_stash_type_rare,56%,1/2/3
corn,st_corn,st_data_export_stash_type_common,40%,1/2/3
corn,st_corn,st_data_export_stash_type_rare,56%,1/2/3
cutlery,st_cutlery,st_data_export_stash_type_common,80%,1/2/3
cutlery,st_cutlery,st_data_export_stash_type_rare,0.80%,1/2/3
detector_advanced,st_detector2,st_data_export_stash_type_common,5%,1/2
detector_advanced,st_detector2,st_data_export_stash_type_rare,11%,1/2
detector_simple,st_detector1,st_data_export_stash_type_common,5%,1/2/3
detector_simple,st_detector1,st_data_export_stash_type_rare,12%,1/2/3
duct_tape,st_duct_tape,st_data_export_stash_type_common,75%,1/2/3
duct_tape,st_duct_tape,st_data_export_stash_type_rare,0.75%,1/2/3
e_syringe,st_e_syringe,st_data_export_stash_type_common,80%,1/2/3
e_syringe,st_e_syringe,st_data_export_stash_type_rare,0.80%,1/2/3
energy_drink,st_energy_drink,st_data_export_stash_type_common,30%,1/2/3
energy_drink,st_energy_drink,st_data_export_stash_type_rare,60%,1/2/3
explo_metalcan_powder,st_metalcan_powder,st_data_export_stash_type_common,32%,1/2/3
explo_metalcan_powder,st_metalcan_powder,st_data_export_stash_type_rare,32%,1/2/3
flashlight_broken,st_flashlight_broken,st_data_export_stash_type_common,75%,1/2/3
flashlight_broken,st_flashlight_broken,st_data_export_stash_type_rare,0.75%,1/2/3
gloves,st_gloves,st_data_export_stash_type_common,75%,1/2/3
gloves,st_gloves,st_data_export_stash_type_rare,0.75%,1/2/3
glucose,st_glucose,st_data_export_stash_type_common,30%,1/2/3
glucose,st_glucose,st_data_export_stash_type_rare,45%,1/2/3
grease,st_grease,st_data_export_stash_type_common,60%,1/2/3
grease,st_grease,st_data_export_stash_type_rare,0.60%,1/2/3
grooming,st_grooming,st_data_export_stash_type_common,32%,1/2/3
grooming,st_grooming,st_data_export_stash_type_rare,32%,1/2/3
hand_watch,st_hand_watch,st_data_export_stash_type_common,75%,1/2/3
hand_watch,st_hand_watch,st_data_export_stash_type_rare,0.75%,1/2/3
harmonica_a,st_harmonica_name,st_data_export_stash_type_common,32%,1/2/3
harmonica_a,st_harmonica_name,st_data_export_stash_type_rare,32%,1/2/3
headlamp,st_headlamp,st_data_export_stash_type_common,75%,1/2/3
headlamp,st_headlamp,st_data_export_stash_type_rare,0.75%,1/2/3
ied_new,st_ied,st_data_export_stash_type_common,20%,1/2/3
ied_new,st_ied,st_data_export_stash_type_rare,20%,1/2/3
ied_rpg_new,st_ied_rpg,st_data_export_stash_type_common,24%,1/2/3
ied_rpg_new,st_ied_rpg,st_data_export_stash_type_rare,24%,1/2/3
itm_advancedkit,st_itm_advancedkit_name,st_data_export_stash_type_common,11%,1/2/3
itm_advancedkit,st_itm_advancedkit_name,st_data_export_stash_type_rare,9%,1/2/3
itm_ammokit,st_itm_ammokit,st_data_export_stash_type_common,14%,1/2/3
itm_ammokit,st_itm_ammokit,st_data_export_stash_type_rare,11%,1/2/3
itm_basickit,st_itm_basickit_name,st_data_export_stash_type_common,15%,1/2/3
itm_basickit,st_itm_basickit_name,st_data_export_stash_type_rare,12%,1/2/3
itm_drugkit,st_itm_drugkit,st_data_export_stash_type_common,14%,1/2/3
itm_drugkit,st_itm_drugkit,st_data_export_stash_type_rare,11%,1/2/3
itm_expertkit,st_itm_expertkit_name,st_data_export_stash_type_common,8%,1/2/3
itm_expertkit,st_itm_expertkit_name,st_data_export_stash_type_rare,8%,1/2/3
itm_sleepbag,st_itm_sleepbag_name,st_data_export_stash_type_common,14%,1/2/3
itm_sleepbag,st_itm_sleepbag_name,st_data_export_stash_type_rare,11%,1/2/3
jar,st_jar,st_data_export_stash_type_common,80%,1/2/3
jar,st_jar,st_data_export_stash_type_rare,0.80%,1/2/3
jewelry_box,st_jewelry_box,st_data_export_stash_type_common,50%,1/2/3
jewelry_box,st_jewelry_box,st_data_export_stash_type_rare,0.50%,1/2/3
joint,st_joint,st_data_export_stash_type_common,24%,1/2/3
joint,st_joint,st_data_export_stash_type_rare,48%,1/2/3
kolbasa,st_kolbasa,st_data_export_stash_type_common,38%,1/2/3
kolbasa,st_kolbasa,st_data_export_stash_type_rare,53%,1/2/3
lead_box,st_lead_box_name,st_data_export_stash_type_common,8%,1/2/3
lead_box,st_lead_box_name,st_data_export_stash_type_rare,16%,1/2/3
matches,st_matches,st_data_export_stash_type_common,32%,1/2/3
matches,st_matches,st_data_export_stash_type_rare,32%,1/2/3
mine_new,st_mine_name,st_data_export_stash_type_common,30%,1/2/3
mine_new,st_mine_name,st_data_export_stash_type_rare,30%,1/2/3
mirror,st_mirror,st_data_export_stash_type_common,80%,1/2/3
mirror,st_mirror,st_data_export_stash_type_rare,0.80%,1/2/3
picture_woman,st_picture_woman,st_data_export_stash_type_common,100%,1/2/3
picture_woman,st_picture_woman,st_data_export_stash_type_rare,1%,1/2/3
porn,st_porn,st_data_export_stash_type_common,80%,1/2/3
porn,st_porn,st_data_export_stash_type_rare,0.80%,1/2/3
porn2,st_porn2,st_data_export_stash_type_common,80%,1/2/3
porn2,st_porn2,st_data_export_stash_type_rare,0.80%,1/2/3
protein,st_protein,st_data_export_stash_type_common,38%,1/2/3
protein,st_protein,st_data_export_stash_type_rare,53%,1/2/3
prt_i_ammo,st_prt_i_ammo,st_data_export_stash_type_common,90%,1/2/3
prt_i_ammo,st_prt_i_ammo,st_data_export_stash_type_rare,1%,1/2/3
