~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_pb,st_wpn_pb,st_wpn_pb_descr,1.15,6580,A,Y,60%,83%,29,30,8,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.45
wpn_pb_custom,st_wpn_pb_custom,st_wpn_pb_descr,1.15,8190,A,Y,62%,83%,29,32,8,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.45
wpn_pm,st_wpn_pm,st_wpn_pm_descr,0.73,4890,A,Y,58%,85%,29,31,8,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_pm_actor,st_wpn_pm_actor,st_wpn_pm_actor_descr,0.73,7130,A,Y,62%,85%,29,30,8,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_pm_custom,st_wpn_pm_custom,st_wpn_pm_descr,0.73,6890,A,Y,60%,85%,29,34,8,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_pmm,st_wpn_pmm,st_wpn_pmm_descr,0.76,7580,A,Y,62%,85%,29,24,12,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_sig220,st_wpn_sig220,st_wpn_sig220_descr,1.13,12980,A,Y,63%,81%,36,22,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_sig220_custom,st_wpn_sig220_custom,st_wpn_sig220_descr,1.13,15880,A,Y,66%,81%,36,28,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_sig220_nimble,st_wpn_sig220_nimble,st_wpn_sig220_nimble_descr,1.13,18560,A,Y,67%,81%,36,24,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_tt33,st_wpn_tt33,wpn_tt33_descr,0.85,9860,A,Y,59%,79%,29,21,8,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,0.45
wpn_tt33_modern,st_wpn_tt33_modern,wpn_tt33_descr,0.85,12350,A,Y,64%,79%,29,24,8,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,0.45
wpn_usp,st_wpn_usp,st_wpn_usp_descr,0.88,10960,A,Y,71%,82%,36,24,12,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_usp_custom,st_wpn_usp_custom,st_wpn_usp_descr,0.88,13580,A,Y,74%,82%,36,27,12,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_usp_match,st_wpn_usp_match,st_wpn_usp_match_descr,1.18,15360,A,Y,73%,84%,36,26,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.55
wpn_usp_nimble,st_wpn_usp_nimble,st_wpn_usp_nimble_descr,1.16,17690,A,Y,75%,84%,31,28,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.47
wpn_walther,st_wpn_walther,st_wpn_walther_descr,0.69,4890,A,Y,53%,85%,30,26,16,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_walther_custom,st_wpn_walther_custom,st_wpn_walther_descr,0.69,5680,A,Y,56%,85%,30,28,16,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
