~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_remington870,st_wpn_remington870,st_wpn_remington870_descr,3.40,23600,B,N,69%,88%,21,4,8,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.79
wpn_saiga12s,st_wpn_saiga12s,st_wpn_saiga12s_descr,3.81,31680,B,N,69%,77%,20,22,10,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.78
wpn_spas12,st_wpn_spas12,st_wpn_spas12_descr,4.13,29390,B,N,67%,59%,21,11,8,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.79
wpn_spas12_custom,st_wpn_spas12_custom,st_wpn_spas12_descr,4.13,32580,B,N,70%,59%,21,13,8,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.79
wpn_spas12_nimble,st_wpn_spas12_nimble,st_wpn_spas12_nimble_descr,4.13,34860,B,N,71%,59%,22,11,8,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.83
wpn_toz34,st_wpn_toz34,st_wpn_toz34_descr,3.20,14800,B,N,76%,55%,21,100,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,0.8
wpn_toz34_bull,st_wpn_toz34_bull,st_wpn_toz34_bull_descr,3.90,98950,B,N,79%,55%,166,20,2,ammo-12x76-bull,,1
wpn_toz34_custom,st_wpn_toz34_custom,st_wpn_toz34_descr,3.20,16680,B,N,71%,55%,21,120,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,0.8
wpn_toz34_decor,st_wpn_toz34_decor,st_wpn_toz34_descr,3.20,18550,B,N,72%,55%,21,110,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,0.8
wpn_toz34_mark4,st_wpn_toz34_mark4,st_wpn_toz34_mark4_descr,3.20,36860,B,N,75%,55%,21,80,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,0.82
wpn_toz34_obrez,st_wpn_toz34_obrez,st_wpn_toz34_obrez_descr,2.10,9860,B,N,52%,55%,20,120,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.77
wpn_toz34_obrez_custom,st_wpn_toz34_obrez_custom,st_wpn_toz34_obrez_descr,2.10,12690,B,N,54%,55%,20,120,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.77
wpn_toz34_obrez_decor,st_wpn_toz34_obrez_decor,st_wpn_toz34_obrez_descr,2.10,13880,B,N,57%,55%,20,110,2,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.77
wpn_usas12,st_wpn_usas12,st_wpn_usas12_descr,6.20,38660,B,N,63%,59%,20,36,20,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.78
wpn_vepr,st_wpn_vepr12,st_wpn_vepr12_descr,4.30,36980,B,N,67%,77%,20,24,12,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.78
wpn_wincheaster1300,st_wpn_toz194,st_wpn_toz194_descr,2.90,19580,B,N,62%,63%,21,5,7,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.79
wpn_wincheaster1300_trapper,st_wpn_toz194,st_wpn_toz194_descr,2.90,19580,B,N,62%,63%,21,5,7,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,0.79
