~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_satiety,st_ui_number_of_uses,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight,st_data_export_used_in_crafting,st_data_export_can_be_crafted
drug_anabiotic,st_drug_anabiotic,st_drug_anabiotic_descr,0.01,2650,5,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
drug_antidot,st_drug_antidot,st_drug_antidot_descr,0.01,3360,4,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,296,0%,0%,0,0,0,0,0%,0%,0%,58%,0%,0,N,Y
drug_booster,st_drug_booster,st_drug_booster_descr,0.18,2382,3,-1%,0%,-44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,1,548,0%,0%,0,0,0,0,2.8%,1534%,0%,0%,0%,3.07,Y,Y
drug_coagulant,st_drug_coagulant,st_drug_coagulant_descr,0.01,3350,4,0%,3%,0%,0%,7.5%,16.5%,0%,0%,0%,0%,0%,12.6%,17.1%,-17%,5,438,0%,0%,0.063,27.594,0,0,0%,0%,0%,0%,0%,0,Y,Y
drug_psy_blockade,st_drug_psy_blockade,st_drug_psy_blockade_descr,0.01,4450,3,1%,3%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,16%,0,Y,Y
drug_radioprotector,st_drug_radioprotector,st_drug_radioprotector_descr,0.01,1720,4,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-11%,2,331,0%,0%,0,0,0,0,0%,0%,184%,0%,0%,0,N,Y
drug_sleepingpills,st_sleepingpills,st_sleepingpills_descr,0.01,2100,1,30%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,6%,0,Y,N
glucose,st_glucose,st_glucose_descr,0.02,2760,3,3%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
glucose_s,st_glucose_s,st_glucose_s_descr,0.01,1440,2,2%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
jgut,st_jgut_zhgut,st_jgut_descr,0.02,1750,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,5,0%,0%,5.25,26.25,0,0,0%,0%,0%,0%,0%,0,N,Y
medkit,st_medkit,st_medkit_descr,0.50,2500,2,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,3%,100%,0,0,19,634,0%,0%,0%,0%,0%,0,Y,Y
medkit_army,st_medkit_army,st_medkit_army_descr,0.50,4500,4,0%,1%,0%,0%,10%,20%,0%,0%,0%,0%,0%,16%,20%,0%,2,33.4,5%,167%,0.75,25.05,0,0,4%,133%,0%,0%,0%,0,Y,Y
medkit_scientic,st_medkit_science,st_medkit_science_descr,0.50,6500,4,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,60,2004,0%,0%,360%,0%,15%,0,Y,Y
morphine,st_morphine,st_morphine_descr,0.07,1640,5,2%,1%,3%,10.9%,18.8%,37.4%,0%,0%,0%,0%,0%,26.6%,34.4%,-28%,1,1518,0%,0%,0.219,332.442,0,0,0%,0%,0%,0%,0%,0,N,Y
rebirth,st_rebirth,st_rebirth_descr,0.08,6690,5,-1%,0%,53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,1,8.5,37.6%,319%,0,0,732,6222,0%,0%,0%,0%,0%,0,N,Y
salicidic_acid,st_salicidic_acid,st_salicidic_acid_descr,0.08,980,4,1%,1%,2%,9.1%,14.4%,24.5%,0%,0%,0%,0%,0%,18.7%,25.5%,-19%,1,1152,0%,0%,0.123,141.696,0,0,0%,0%,0%,0%,0%,0,Y,Y
stimpack,st_stim_impro,st_stim_impro_descr,0.10,3000,2,1%,1%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-17%,1,12,7%,84%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
stimpack_army,st_stim_military,st_stim_military_descr,0.10,5000,4,1%,1%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-21%,1,15,10%,150%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
stimpack_scientic,st_stim_scientic,st_stim_scientic_descr,0.10,6000,5,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,15,10%,150%,0,0,90,1350,0%,0%,0%,0%,0%,0,N,Y
survival_kit,st_survival_kit,st_survival_kit_descr,0.18,7500,5,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,1,45,6%,270%,15,675,150,6750,0%,0%,0%,0%,0%,0,Y,Y
tetanus,st_tetanus,st_tetanus_descr,0.05,1940,3,1%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-12%,1,434,0.102%,44%,0,0,2,868,0%,0%,0%,10%,0%,0,Y,Y
yadylin,st_yadylin,st_yadylin_descr,0.10,816,2,2%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,262.6,0.2%,52%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
