~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight
isg_scientific_outfit,isg,isg_scientific_outfit_name,isg_scientific_outfit_description,11.80,73200,25%,15%,13%,44%,47%,63%,50%,20%,31%,2,4,19
scientific_outfit,stalker,scientific_outfit_name,scientific_outfit_description,13.40,75400,25%,16%,12%,42%,43%,58%,47%,20%,31%,2,4,18
specops_merc_outfit,killer,specops_merc_outfit_name,specops_merc_outfit_description,13,49600,16%,34%,6%,7%,11%,9%,0%,33%,50%,1,3,19
ecolog_outfit_orange,ecolog,st_ecologist_outfit_orange_name,st_ecologist_outfit_orange_description,15.40,143500,13%,7%,74%,67%,54%,63%,54%,10%,5%,3,5,15
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,dolg_scientific_wood_outfit_description,9.20,95000,10%,17%,43%,16%,56%,72%,60%,27%,25%,3,5,20
nbc_dolg_outfit,dolg,nbc_dolg_outfit_name,nbc_dolg_outfit_description,12,69280,8%,15%,7%,12%,8%,51%,0%,30%,40%,2,2,30
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,ecologist_guard_outfit_description,5.20,52080,8%,14%,26%,27%,23%,14%,0%,30%,23%,2,3,7
cs_scientific_outfit,csky,cs_scientific_outfit_name,cs_scientific_outfit_description,14.30,71100,25%,9%,7%,40%,36%,70%,46%,20%,20%,2,4,19
stalker_bear_outfit,stalker,stalker_bear_outfit_name,stalker_bear_outfit_description,7,36900,10%,13%,39%,2%,11%,12%,0%,25%,25%,0,1,6
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,13,45280,12%,13%,2%,15%,4%,3%,0%,30%,40%,1,2,12
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,st_ecologist_outfit_grn_description,16.33,168480,18%,11%,66%,64%,87%,74%,54%,20%,30%,3,5,16
stalker_drought_outfit,stalker,stalker_drought_outfit_name,stalker_drought_outfit_description,8.50,47500,10%,13%,12%,15%,11%,12%,0%,25%,25%,2,3,7
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,merc_scientific_armored_outfit_description,15,89000,16%,15%,26%,11%,47%,41%,40%,23%,34%,2,4,22
isg_outfit,isg,isg_outfit_name,isg_outfit_description,10,44280,8%,14%,2%,14%,7%,5%,0%,25%,31%,1,3,10
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,stalker_tigerstripe_outfit_description,9,38900,10%,18%,12%,15%,11%,12%,0%,25%,34%,0,1,6
ecolog_outfit_white,ecolog,st_ecologist_outfit_white_name,st_ecologist_outfit_white_description,15.50,149780,13%,7%,57%,87%,54%,63%,74%,15%,5%,3,5,15
specops_outfit,army,specops_outfit_name,specops_outfit_description,12,44600,16%,34%,6%,8%,7%,9%,0%,20%,50%,1,2,16
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,svoboda_heavy_outfit_2_description,11.90,56450,12%,11%,10%,11%,15%,10%,0%,20%,30%,0,0,10
merc_outfit,killer,merc_outfit_name,merc_outfit_description,9,38280,12%,13%,2%,14%,8%,5%,0%,20%,34%,0,1,13
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,9,39280,12%,9%,2%,22%,8%,12%,0%,20%,20%,1,2,12
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,svoboda_scientific_outfit_description,12,78400,25%,15%,13%,44%,47%,52%,46%,25%,31%,1,3,19
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,16.53,159780,18%,11%,57%,75%,54%,70%,87%,20%,30%,3,5,16
dolg_red_outfit,dolg,dolg_red_outfit_name,dolg_red_outfit_description,11,55000,8%,22%,21%,25%,15%,4%,0%,40%,40%,0,0,8
monolith_nbc_outfit,monolith,monolith_nbc_outfit_name,monolith_nbc_outfit_description,8.20,68120,8%,8%,3%,4%,15%,51%,0%,10%,18%,3,5,28
dolg_voin_outfit,dolg,dolg_voin_outfit_name,dolg_voin_outfit_description,7.75,51700,16%,15%,30%,20%,15%,27%,0%,30%,36%,1,2,10
nbc_merc_outfit,killer,nbc_merc_outfit_name,nbc_merc_outfit_description,14,68280,8%,14%,2%,14%,8%,51%,0%,31%,41%,1,1,32
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,6,44670,12%,17%,13%,16%,17%,13%,15%,30%,50%,0,0,6
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,greh_trenchcoat_outfit_description,6,44670,12%,17%,14%,13%,17%,13%,15%,21%,50%,1,1,6
isg_camo_outfit,isg,isg_merc_outfit_name,isg_merc_outfit_description,11,48280,12%,9%,26%,14%,43%,12%,0%,10%,40%,2,3,11
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,bandit_scientific_outfit_description,15.10,75500,25%,16%,11%,55%,51%,49%,40%,20%,33%,1,3,19
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,14,76600,25%,15%,11%,50%,50%,59%,36%,25%,21%,2,4,21
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,15,44670,12%,17%,11%,11%,13%,13%,0%,20%,50%,1,1,15
specops_dolg_outfit,dolg,specops_dolg_outfit_name,specops_dolg_outfit_description,12,52600,16%,34%,5%,10%,11%,9%,0%,23%,50%,1,1,17
merc_sun_outfit,killer,merc_sun_outfit_name,merc_sun_outfit_description,12,45280,8%,14%,17%,22%,15%,12%,0%,7%,23%,2,3,12
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,renegade_scientific_outfit_description,9.10,76000,10%,13%,26%,17%,51%,56%,40%,28%,28%,2,4,20
nbc_freedom_outfit,freedom,nbc_freedom_outfit_name,nbc_freedom_outfit_description,10,68700,8%,14%,7%,5%,47%,51%,0%,20%,20%,1,3,28
dolg_scout_outfit,dolg,dolg_scout_outfit_name,dolg_scout_outfit_description,5.30,42500,8%,9%,17%,22%,11%,11%,0%,10%,20%,0,2,6
cs_stalker_outfit,csky,cs_stalker_outfit_name,cs_stalker_outfit_description,7,39995,8%,9%,26%,22%,28%,12%,0%,25%,21%,1,2,8
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,greh_armored_camo_outfit_description,13,46380,12%,13%,21%,32%,9%,15%,0%,20%,40%,1,3,19
svoboda_light_outfit,freedom,svoboda_light_outfit_name,svoboda_light_outfit_description,10,44700,8%,14%,7%,5%,47%,9%,0%,20%,20%,1,2,10
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,svoboda_heavy_outfit_description,16,51300,16%,29%,11%,14%,15%,9%,0%,37%,44%,2,2,20
monolith_outfit,monolith,monolith_outfit_name,monolith_outfit_description,8.20,45120,8%,8%,3%,4%,15%,19%,0%,10%,18%,2,4,10
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,10,41340,12%,18%,1%,9%,8%,4%,0%,30%,34%,0,1,11
specops_bandit_outfit,bandit,specops_bandit_outfit_name,specops_bandit_outfit_description,13,48600,16%,29%,4%,7%,11%,9%,0%,15%,40%,1,2,18
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,dolg_scientific_red_outfit_description,9.40,85000,10%,15%,34%,13%,51%,52%,47%,33%,31%,2,4,20
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,monolith_scientific_outfit_description,13.30,73400,25%,16%,13%,44%,43%,65%,41%,20%,30%,2,4,18
ecolog_outfit_yello,ecolog,st_ecologist_outfit_yello_name,st_ecologist_outfit_yello_description,15.20,153000,13%,7%,48%,60%,74%,90%,54%,25%,5%,3,5,15
greh_armored_outfit,greh,greh_armored_outfit_name,greh_armored_outfit_description,10,41280,12%,13%,11%,22%,10%,14%,0%,20%,40%,0,1,13
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,stalker_graphite_outfit_description,6.50,37000,10%,13%,4%,47%,4%,12%,31%,25%,25%,0,1,6
dolg_outfit,dolg,dolg_outfit_name,dolg_outfit_description,11,46280,12%,15%,7%,12%,8%,6%,0%,30%,40%,0,0,9
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,7,43500,10%,9%,3%,15%,11%,13%,0%,15%,34%,2,3,19
bandit_nbc_outfit,bandit,bandit_nbc_outfit_name,bandit_nbc_outfit_description,14.50,66340,8%,9%,12%,30%,11%,51%,0%,10%,14%,1,3,31
nomad_outfit,stalker,nomad_outfit_name,nomad_outfit_description,5.20,67000,10%,22%,31%,17%,7%,36%,15%,23%,50%,3,4,14
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,monolith_scientific_light_outfit_description,9.10,85000,10%,6%,43%,17%,56%,56%,40%,20%,20%,3,5,22
cs_nbc_outfit,csky,cs_nbc_outfit_name,cs_nbc_outfit_description,16,63995,8%,9%,26%,22%,28%,51%,0%,25%,21%,3,4,33
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,14,79400,25%,16%,12%,44%,40%,58%,41%,30%,31%,1,3,20
travel_outfit,stalker,travel_outfit_name,travel_outfit_description,6.60,74700,6%,27%,29%,18%,47%,45%,12%,11%,20%,5,5,64
