~,st_data_export_visual_item_id,st_data_export_hit_fraction,st_data_export_ap_scale,st_data_export_body_bonearmor,st_data_export_head_bonearmor
actors\stalker_bandit\stalker_bandit1c_mask,"bandit_novice_outfit,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit2a,"banditmerc_outfit,helm_cloth_mask",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_altyn,"bandit_ps5_outfit,helm_metro",0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit2a_altyn_2,"bandit_ps5_outfit,helm_metro",0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit2a_longhaul,"banditmerc_outfit,helm_ppm88",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_longhaul_2,"banditmerc_outfit,helm_ppm88",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_mask,"banditmerc_outfit,helm_rp_bala",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_old,,0.5,0.8,0.1,0
actors\stalker_bandit\stalker_bandit3a,"trenchcoat_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3a_glasses_w_gear,"trenchcoat_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3a_glasses_w_gear_2,"trenchcoat_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3b,"trenchcoat_green_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3c,"trenchcoat_brown_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit3c_geared,"trenchcoat_outfit,helm_m50",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4a,trenchcoat_brown_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b,trenchcoat_green_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b_csvest_backpack_ppm,"trenchcoat_outfit,helm_ppm88",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b_csvest_ppm,"trenchcoat_outfit,helm_ppm88",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b_ppm,"trenchcoat_outfit,helm_ppm88",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4b_ppm_2,"trenchcoat_outfit,helm_ppm88",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit4c,trenchcoat_brown_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit5a,trenchcoat_brown_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5b,trenchcoat_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5c,trenchcoat_green_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit5d,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6a,"trenchcoat_brown_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6a_csvest,"trenchcoat_outfit,helm_resp",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6a_csvest_gp5,"trenchcoat_outfit,helm_respirator_gp5",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b,"trenchcoat_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b_lc_glasses,"trenchcoat_brown_outfit,helm_resp",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b_lc_pbf,"trenchcoat_brown_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6b_lc_pbf_2,"trenchcoat_brown_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6c,"trenchcoat_green_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6d,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6e,"trenchcoat_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6f,"trenchcoat_brown_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6g,"trenchcoat_green_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit6h,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_1,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_gas,"bandit_novice_outfit,helm_respirator",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_mask,"bandit_novice_outfit,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest,"banditmerc_outfit,helm_resp",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest_2,"banditmerc_outfit,helm_respirator",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1_resp_vest_3,"banditmerc_outfit,helm_respirator",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_1a_sci_vest,"bandit_scientific_dark_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_bandit\stalker_bandit_2,"banditmerc_outfit,helm_cloth_mask",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2_mask,"banditmerc_outfit,helm_rp_bala",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a,"bandit_sun_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_bandit\stalker_bandit_2a_custom_1,"bandit_nbc_outfit,helm_respirator",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a_custom_2,"bandit_nbc_outfit,helm_respirator",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a_custom_3,"bandit_nbc_outfit,helm_respirator",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_2a_gp5,"bandit_nbc_outfit,helm_respirator_gp5",0.7,0.85,0.15,0
actors\stalker_bandit\stalker_bandit_2a_merc,,0.5,0.8,0.1,0
actors\stalker_bandit\stalker_bandit_3,"trenchcoat_brown_outfit,helm_rp_bala",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_3_face_1,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_3_face_2,"exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_3_face_3,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_3_mask,"trenchcoat_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_4,trenchcoat_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_5,specops_bandit_outfit,0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_5_gasmask,"specops_bandit_outfit,helm_tactic",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_5_gp5,"bandit_nbc_outfit,helm_respirator_gp5",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_7,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_8,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_a,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_1,"trenchcoat_brown_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_2,"trenchcoat_brown_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_3,"trenchcoat_brown_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_4,"trenchcoat_brown_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_bandana_5,"trenchcoat_brown_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_barman,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_berill_2_altyn_1,"specops_bandit_outfit,helm_metro",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_2ndgen_1,"specops_bandit_outfit,helm_tactic",0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_berill_altyn,"specops_bandit_outfit,helm_metro",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_m150,"specops_bandit_outfit,helm_m50",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_berill_nohelm_1,specops_bandit_outfit,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_nohelm_2,specops_bandit_outfit,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_nohelm_3,specops_bandit_outfit,0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_berill_spp,"specops_bandit_outfit,helm_protective",0.45,0.7,0.2,0.15
actors\stalker_bandit\stalker_bandit_berill_w_skat_implants,"specops_bandit_outfit,helm_battle",0.3,0.75,0.25,0.3
actors\stalker_bandit\stalker_bandit_coat_gp7b,"trenchcoat_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coat_gp7b_2,"trenchcoat_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coat_gp7b_3,"trenchcoat_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coat_gp7b_4,"trenchcoat_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_lc_1,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_lc_2,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_lc_ppm,,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_nbc,"nbc_outfit,helm_respirator_gp5",0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_coated_novice_1,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_2,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_3,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_4,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_5,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_6,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_7,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_coated_novice_8,"trenchcoat_outfit,helm_cloth_mask",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_communications,trenchcoat_outfit,0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_doctor,,0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_1,"banditmerc_outfit,helm_bandana",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_2,"banditmerc_outfit,helm_bandana",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_3,"banditmerc_outfit,helm_bandana",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_bandana_4,"banditmerc_outfit,helm_bandana",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_1,"banditmerc_outfit,helm_battle",0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_2,"banditmerc_outfit,helm_battle",0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_3,"banditmerc_outfit,helm_battle",0.5,0.8,0.15,0.2
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_antigas,"banditmerc_outfit,helm_m40",0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_dynamic_lc_battle_helm_gp10,"banditmerc_outfit,helm_ranger",0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit_dynamic_rookie_1,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_2,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_3,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_4,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_5,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_6,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_7,"bandit_novice_outfit,helm_hardhat",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_dynamic_rookie_8,"bandit_novice_outfit,helm_hardhat",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit_eco_style_1,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_2,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_3,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_4,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_5,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_6,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_7,bandit_ps5_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_8,stalker_proto_exo_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_eco_style_9,stalker_proto_exo_outfit,0.45,0.8,0.15,0
actors\stalker_bandit\stalker_bandit_exo,,0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_commando,"bandit_exo_outfit,helm_tactic",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_commando_2,"bandit_exo_outfit,helm_tactic",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_m150,"bandit_exo_outfit,helm_m50",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_pbf,"bandit_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_pbf_2,"bandit_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_1,"bandit_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_2,"bandit_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exo_w_dy_mask_3,"bandit_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_1,"bandit_exolight_outfit,helm_battle",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_2,"bandit_exolight_outfit,helm_battle",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_3,"bandit_exolight_outfit,helm_battle",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_4,"bandit_exolight_outfit,helm_battle",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_battle_helm_5,"bandit_exolight_outfit,helm_battle",0.15,0.7,0.55,0.3
actors\stalker_bandit\stalker_bandit_exolight_dy_mask_1,"bandit_exolight_outfit,helm_ach7ex",0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_exolight_gp7b,"bandit_exolight_outfit,helm_m50",0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit_fighter_1,"trenchcoat_brown_outfit,helm_resp",0.3,0.75,0.2,0
actors\stalker_bandit\stalker_bandit_fighter_2,"trenchcoat_brown_outfit,helm_hardhat",0.3,0.75,0.2,0.2
actors\stalker_bandit\stalker_bandit_fighter_3,"trenchcoat_brown_outfit,helm_ach7ex",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_fighter_4,"trenchcoat_brown_outfit,helm_tactic",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_fighter_5,"trenchcoat_brown_outfit,helm_tactic",0.3,0.75,0.2,0.3
actors\stalker_bandit\stalker_bandit_ganger_1,"trenchcoat_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_2,"trenchcoat_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_3,"trenchcoat_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_4,"trenchcoat_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_5,"trenchcoat_outfit,helm_bandana",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_6,"trenchcoat_outfit,helm_hardhat",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_7,"trenchcoat_outfit,helm_hardhat",0.7,0.85,0.011,0
actors\stalker_bandit\stalker_bandit_ganger_8,"trenchcoat_outfit,helm_hardhat",0.7,0.85,0.011,0
