~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_gold_fish,st_af_gold_fish_name,st_af_gold_fish_descr,1.49,66200,4,3,1,N,0,-250,0%,0,0%,0%,0%,-85,-85,0,0,0,22.09,0,13300
af_bat,st_af_bat_name,st_af_bat_descr,2.27,30300,2,0,0.01,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_moh,st_af_moh_name,st_af_moh_descr,0.42,6300,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_chelust,st_af_chelust_name,st_af_chelust_descr,5.73,22400,2,0,0.12,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_fonar,st_af_fonar_name,st_af_fonar_descr,0.94,17800,1,0,0.08,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_tapeworm,st_af_tapeworm_name,st_af_tapeworm_descr,0.83,12700,1,0,0.4,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_fuzz_kolobok,st_af_fuzz_kolobok_name,st_af_fuzz_kolobok_descr,1.40,40600,3,2,0.5,N,0,0,-97.52%,0,0%,-0.75%,0%,0,0,0.99,0,0,11.75,-32.4,0
af_atom,st_af_atom_name,st_af_atom_descr,0.66,9800,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_skull_miser,st_af_skull_miser_name,st_af_skull_miser_descr,0.32,7800,1,0,0.1,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_fireball,st_af_fireball_name,st_af_fireball_descr,3.67,46800,4,3,0,N,0,85,500.5744%,-871.2,0%,0%,0%,-85,0,0,0,0,22.09,0,0
af_cell,st_af_cell_name,st_af_cell_descr,1.81,23200,2,0,0.1,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_elektron,st_af_elektron_name,st_af_elektron_descr,5.90,20700,2,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_cristall,st_af_cristall_name,st_af_cristall_descr,2.73,31800,3,2,0,N,-85,0,408.8208%,498.4,0%,0%,0%,-85,0,0,0,0,11.75,0,0
af_gimlet,st_af_gimlet_name,st_af_gimlet_descr,0.09,30700,4,3,0.5,N,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_serofim,st_af_serofim_name,st_af_serofim_descr,0.60,9800,1,0,0.4,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_black,st_af_black_name,st_af_black_descr,1.37,21600,2,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_signet,st_af_signet_name,st_af_signet_descr,0.60,11800,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_electra_flash,st_af_electra_flash_name,st_af_electra_flash_descr,0.17,48900,4,3,0.1,N,-250,0,0%,3364.8,0%,0%,41.76%,-85,0,0,0,0,22.09,0,0
af_full_empty,st_af_full_empty_name,st_af_full_empty_descr,6.23,57320,4,3,0,N,480,500,0%,0,0%,0%,41.76%,525,462.5,0,0,0,22.09,-33.9,0
af_glass,st_af_glass_name,st_af_glass_descr,1.49,54400,4,3,0.01,N,0,-85,0%,0,0%,-1.5%,0%,-85,0,1.98,0,0,22.09,-55.8,0
af_electra_sparkler,st_af_electra_sparkler_name,st_af_electra_sparkler_descr,0.15,21600,2,1,0.5,N,0,85,0%,871.2,-4.011%,0%,0%,0,0,0,0,0,6.11,0,0
af_kislushka,st_af_kislushka_name,st_af_kislushka_descr,1.17,7890,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_black_angel,st_af_black_angel_name,st_af_black_angel_descr,3.85,26700,2,0,0.15,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_lighthouse,st_af_lighthouse_name,st_af_lighthouse_descr,1.75,24500,2,0,0.02,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_dummy_glassbeads,st_af_dummy_glassbeads_name,st_af_dummy_glassbeads_descr,3.43,24800,2,1,0.01,N,0,0,97.52%,-498.4,0%,0%,0%,0,0,0,0,21.6,6.11,0,0
af_zhelch,st_af_zhelch_name,st_af_zhelch_descr,0.40,16700,1,0,0.15,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_vyvert,st_af_vyvert_name,st_af_vyvert_descr,5.07,35500,3,2,0.8,N,292.5,310,0%,-498.4,4.011%,0%,0%,337.5,320,0,0,0,11.75,0,0
af_gravi,st_af_gravi_name,st_af_gravi_descr,1.14,47500,3,2,0.9,N,0,0,0%,-498.4,0%,0%,-41.76%,0,85,0,0,0,11.75,0,8410
af_sun,st_af_sun_name,st_af_sun_descr,3.49,21800,2,0,0.08,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_compass,st_af_compass_name,st_af_compass_descr,3.78,74500,5,0,0.2,N,85,85,0%,0,0%,0%,0%,85,85,0,0,-1.86,22.09,-26.4,0
af_death_lamp,st_af_death_lamp_name,st_af_death_lamp_descr,9,71000,4,3,0,N,0,0,0%,0,0%,-1.5%,-315.52%,0,0,0,-1000,0,28.2,-26.4,0
af_blood,st_af_blood_name,st_af_blood_descr,1.22,22200,2,1,0.01,N,0,0,-97.52%,0,7.449%,0%,0%,0,0,0,0,1.86,6.11,0,0
af_medusa,st_af_medusa_name,st_af_medusa_descr,3.25,24900,2,1,0.5,N,242.5,275,97.52%,0,0%,0%,-41.76%,250,222.5,0,0,0,6.11,0,0
af_cristall_flower,st_af_cristall_flower_name,st_af_cristall_flower_descr,5.08,22800,2,1,0.6,N,0,0,-97.52%,0,4.011%,0%,80.04%,0,0,0,0,0,6.11,0,0
af_soul,st_af_soul_name,st_af_soul_descr,1.34,26200,2,1,0.01,N,0,0,0%,0,0%,-0.75%,41.76%,0,0,0.495,0,0,6.11,-26.4,0
af_electra_moonlight,st_af_electra_moonlight_name,st_af_electra_moonlight_descr,0.19,43600,3,2,0.1,N,0,0,-210.304%,498.4,0%,0%,138.62%,0,0,0,0,0,11.75,0,0
af_geliy,st_af_geliy_name,st_af_geliy_descr,0.34,73150,4,3,0.5,N,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_dummy_battery,st_af_dummy_battery_name,st_af_dummy_battery_descr,0.36,27200,2,1,0.01,N,0,0,-97.52%,498.4,0%,0%,0%,-85,0,0,0,0,6.11,26.4,0
af_dragon_eye,st_af_dragon_eye_name,st_af_dragon_eye_descr,1.16,15600,1,0,0.08,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_vaselisk,st_af_vaselisk_name,st_af_vaselisk_descr,0.50,64650,4,3,0.27,N,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_ear,st_af_ear_name,st_af_ear_descr,0.58,6700,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_itcher,st_af_itcher_name,st_af_itcher_descr,0.80,18400,2,1,0,N,0,0,210.304%,0,-4.011%,0%,0%,0,85,0,0,0,6.11,0,0
af_lobster_eyes,st_af_lobster_eyes_name,st_af_lobster_eyes_descr,3.75,35640,2,1,0.1,N,0,0,97.52%,0,0%,0%,109.62%,0,-85,0,0,0,11.75,0,0
af_night_star,st_af_night_star_name,st_af_night_star_descr,0.83,33200,2,1,0.7,N,0,0,-97.52%,0,4.011%,0%,0%,0,0,0,0,0,6.11,0,5230
