~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,svoboda_exolight_outfit_description,17,88880,58%,29%,7%,23%,40%,53%,28%,55%,75%,1,2,17
army_nosorog_outfit,army,army_nosorog_outfit_name,nosorog_outfit_description,56,185000,66%,34%,8%,1%,36%,74%,36%,89%,94%,2,4,102
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,dolg_exolight_outfit_description,19,90580,58%,27%,17%,32%,15%,44%,23%,64%,69%,1,2,19
light_voen_outfit,army,light_voen_outfit_name,light_voen_outfit_description,15,55280,16%,19%,10%,31%,7%,16%,11%,40%,46%,0,2,16
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,exo_merc_wood_outfit_description,18.20,103000,66%,29%,52%,15%,16%,65%,23%,64%,75%,3,4,18
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,nosorog_outfit_description,49,195000,66%,40%,4%,47%,20%,74%,36%,62%,94%,2,4,98
military_outfit,army,military_outfit_name,military_outfit_description,18,70700,29%,19%,34%,37%,28%,10%,0%,55%,69%,0,1,15
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,dolg_heavy_outfit_description,20,79960,33%,20%,43%,27%,28%,12%,0%,64%,69%,0,1,16
cs_exolight_outfit,csky,cs_exolight_outfit_name,cs_exolight_outfit_description,18,90625,58%,29%,6%,27%,1%,63%,23%,50%,75%,2,3,18
military_bandit_outfit,bandit,military_bandit_outfit_name,military_outfit_description,14,72700,29%,19%,39%,36%,20%,5%,0%,62%,82%,0,1,10
bandit_exo_outfit,bandit,bandit_exo_outfit_name,bandit_exo_outfit_description,41,130220,60%,29%,34%,15%,8%,53%,28%,55%,85%,1,3,107
dolg_exo_outfit,dolg,dolg_exo_outfit_name,dolg_exo_outfit_description,46,131080,64%,27%,17%,32%,15%,44%,23%,64%,80%,1,3,111
light_merc_outfit,killer,light_merc_outfit_name,light_merc_outfit_description,17,53280,16%,19%,12%,37%,15%,15%,20%,10%,46%,0,2,16
isg_exolight_outfit,isg,isg_exolight_outfit_name,isg_exolight_outfit_description,17,88880,58%,29%,13%,23%,19%,53%,40%,55%,75%,1,2,17
military_exo_outfit,army,military_exo_outfit_name,military_exo_outfit_description,44,139510,70%,30%,8%,1%,36%,52%,31%,60%,83%,1,3,109
military_proto_exo_outfit,army,military_proto_exo_outfit_name,military_proto_exo_outfit_description,31,74700,29%,19%,34%,37%,28%,10%,0%,55%,69%,1,3,106
merc_exo_outfit,killer,merc_exo_outfit_name,merc_exo_outfit_description,40,142610,62%,30%,4%,47%,20%,56%,23%,52%,81%,2,4,106
military_monolit_outfit,monolith,military_monolit_outfit_name,military_outfit_description,18,71700,29%,19%,26%,22%,23%,16%,0%,40%,89%,0,1,15
military_merc_outfit,killer,military_merc_outfit_name,military_outfit_description,18,78700,29%,19%,30%,52%,36%,8%,0%,44%,80%,0,1,14
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,cs_stalker_proto_exo_outfit_description,30,59995,8%,9%,26%,22%,28%,12%,0%,25%,21%,3,5,105
military_freedom_outfit,freedom,military_freedom_outfit_name,military_outfit_description,17,73700,29%,19%,30%,34%,47%,9%,0%,40%,85%,0,1,15
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,nosorog_outfit_description,51,190000,66%,37%,6%,5%,24%,74%,36%,80%,89%,2,4,101
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,exo_merc_urban_outfit_description,18.80,95200,66%,33%,49%,12%,19%,48%,23%,68%,83%,1,2,18
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,stalker_proto_exo_outfit_description,28,59280,8%,13%,12%,15%,11%,12%,0%,25%,25%,1,3,100
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,hybrid_outfit_description,23.40,90000,16%,17%,3%,25%,20%,54%,40%,37%,34%,3,5,33
