~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_gauss_quest,lttz_ll_wpn_gauss_quest_name,lttz_ll_wpn_gauss_quest_descr,12.77,85860,N/A,N,99%,50%,166,3,10,ammo-gauss;ammo-gauss;ammo-gauss,,1
wpn_l96a1m,st_wpn_l96a1m,st_wpn_l96a1m_descr,7.20,76580,D,N,97%,66%,66,3,5,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,1
wpn_wa2000,st_wpn_wa2000,st_wpn_wa2000_descr,7.65,90000,D,N,93%,69%,66,4,6,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,1
wpn_sks_modern,st_wpn_sks_modern,st_wpn_sks_descr,3.75,22960,D,N,88%,65%,38,24,10,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,0.585
wpn_svt40_modern,st_wpn_svt40_modern,st_wpn_svt40_descr,3.80,26350,D,N,93%,65%,51,13,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,0.77
wpn_svu_nimble,st_wpn_svu_nimble,st_wpn_svu_nimble_descr,3.83,48580,D,N,92%,73%,53,11,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,0.8
wpn_svd_custom,st_wpn_svd_custom,st_wpn_svd_descr,3.91,45360,D,N,94%,65%,73,6,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_remington700,st_wpn_remington700,st_wpn_remington700_descr,3.96,33000,D,N,93%,64%,66,4,5,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,1
wpn_l96a1,st_wpn_l96a1,st_wpn_l96a1_descr,7.20,65880,D,N,95%,65%,66,3,10,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,1
wpn_sv98_custom,st_wpn_sv98_custom,st_wpn_sv98_descr,6.20,63680,D,N,95%,65%,73,3,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_m98b,st_wpn_m98b,st_wpn_m98b_descr,7.50,88980,D,N,97%,60%,90,2,10,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,1.35
wpn_sv98,st_wpn_sv98,st_wpn_sv98_descr,6.20,58580,D,N,94%,65%,73,3,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
pri_a17_gauss_rifle,st_wpn_umirotvoritel,st_wpn_umirotvoritel_descr,12.77,85860,N/A,N,99%,50%,916,3,10,ammo-gauss;ammo-gauss;ammo-gauss,,5.5
wpn_gauss,st_wpn_gauss,st_wpn_gauss_descr,12.77,85860,N/A,N,99%,50%,166,3,10,ammo-gauss;ammo-gauss;ammo-gauss,,1
wpn_svu_alt,st_wpn_svu_alt,st_wpn_svu_descr,3.81,48850,D,N,95%,68%,73,7,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_k98,st_wpn_k98,st_wpn_k98_descr,3.70,22590,D,N,91%,66%,76,2,5,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,1.15
wpn_svd,st_wpn_svd,st_wpn_svd_descr,3.91,40550,D,N,93%,65%,73,6,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_mosin,st_wpn_mosin,st_wpn_mosin_descr,3.80,21560,D,N,91%,65%,73,2,5,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,1.1
wpn_sig550_sniper,st_wpn_sig550_sniper,st_wpn_sig550_sniper_descr,7.02,49560,C,N,87%,75%,33,20,20,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,0.51
