~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_12x70_buck_bad,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,415,9,0.38,550%,75%,200%,95%,33%,110%,0.38,0.03,2
ammo_7.62x25_p,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,750,1,1,66%,100%,80%,100%,70%,100%,1,0.15,0.8
ammo_7.62x39_ap_verybad,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,430,1,1,85%,100%,25%,90%,52%,130%,1,0.5,0.25
ammo_7.62x25_ps_verybad,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,160,1,1,75%,100%,80%,90%,42%,130%,1,0.22,0.8
ammo_9x18_ap_bad,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,16,480,1,1,70%,100%,80%,95%,52%,110%,1,0.19,0.8
ammo_12.7x55_fmj_verybad,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,1260,1,1,75%,100%,5%,90%,93%,130%,1,0.45,0.05
ammo_7.62x54_7h1,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,1400,1,1,66%,100%,5%,100%,80%,100%,1,0.5,0.05
ammo_5.56x45_ss190,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,2000,1,1,66%,100%,25%,100%,57%,100%,1,0.4,0.25
ammo_7.62x54_ap,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,3000,1,1,90%,100%,5%,100%,45%,100%,1,0.6,0.05
ammo_7.92x33_fmj_verybad,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,335,1,1,95%,100%,25%,95%,63%,130%,1,0.4,0.25
ammo_9x39_ap,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,3750,1,1,66%,100%,15%,100%,50%,100%,1,0.45,0.15
ammo_7.62x25_p_verybad,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,115,1,1,75%,100%,80%,90%,60%,130%,1,0.13,0.8
ammo_gauss_bad,ammo-gauss,ammo-gauss_descr,0.60,8,2230,1,2.3,70%,100%,1%,100%,100%,110%,2.3,4.5,0.01
ammo_pkm_100_verybad,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,1060,1,1,90%,100%,10%,90%,53%,130%,1,0.4,0.1
ammo_7.92x33_fmj,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,1980,1,1,85%,100%,25%,100%,70%,100%,1,0.45,0.25
ammo_m209,ammo-m209,ammo-m209_descr,0.20,1,2264,0,1,66%,100%,100%,100%,135%,100%,1,0.35,1
ammo_5.56x45_ap,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,3330,1,1,66%,100%,25%,105%,54%,105%,1,0.55,0.25
ammo_7.62x54_ap_verybad,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,500,1,1,90%,100%,5%,90%,40%,130%,1,0.55,0.05
ammo_50_bmg_verybad,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,500,1,1,90%,100%,5%,90%,40%,130%,1,0.55,0.05
ammo_7.62x54_7h14_bad,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,1290,1,1,70%,100%,5%,95%,71%,110%,1,0.58,0.05
ammo_11.43x23_hydro_bad,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,882,1,1,70%,100%,80%,120%,68%,120%,1,0.19,0.8
ammo_7.92x33_ap_bad,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,1720,1,1,90%,100%,25%,95%,47%,110%,1,0.53,0.25
ammo_9x18_fmj_verybad,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,16,96,1,1,75%,100%,80%,90%,52%,130%,1,0.08,0.8
ammo_5.56x45_ss190_verybad,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,320,1,1,75%,100%,25%,90%,53%,130%,1,0.35,0.25
ammo_magnum_300_bad,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,2330,1,0.65,10%,100%,5%,125%,87%,100%,0.65,0.78,0.05
ammo_5.56x45_fmj,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,1500,1,1,66%,100%,25%,103%,57%,100%,1,0.33,0.25
ammo_7.62x51_ap,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,3750,1,1,50%,100%,10%,100%,50%,100%,1,0.6,0.1
ammo_gauss_cardan,ammo-gauss_cardan,ammo-gauss_cardan_descr,0.60,6,8399,1,2.5,66%,100%,1%,100%,100%,100%,2.5,5,0.01
ammo_12x76_bull,ammo-12x76-bull,ammo-12x76-bull_descr,0.60,10,5000,1,2.5,50%,100%,100%,100%,100%,100%,2.5,0.3,1
ammo_9x18_ap,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,16,840,1,1,66%,100%,80%,100%,55%,100%,1,0.2,0.8
ammo_pkm_100,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,6250,1,1,90%,100%,10%,100%,60%,100%,1,0.45,0.1
ammo_9x18_pmm_verybad,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,16,160,1,1,75%,100%,80%,114%,62%,140%,1,0.13,0.8
ammo_4.6x30_fmj_bad,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,880,1,1,70%,100%,80%,95%,33%,110%,1,0.33,0.8
ammo_pkm_100_bad,ammo-7.62x54-r,ammo-7.62x54-r_descr,1.80,50,3430,1,1,95%,100%,10%,95%,56%,110%,1,0.43,0.1
ammo_og-7b_bad,ammo-og-7b,ammo-og-7b_descr,1.96,1,520,0,1,152%,100%,100%,100%,140%,110%,1,1.25,1
ammo_9x19_ap_bad,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,715,1,1,70%,100%,80%,125%,32%,120%,1,0.28,0.8
ammo_9x19_ap,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,1300,1,1,66%,100%,80%,130%,36%,110%,1,0.3,0.8
ammo_5.56x45_fmj_verybad,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,230,1,1,75%,100%,25%,95%,53%,130%,1,0.29,0.25
ammo_vog-25,ammo-vog-25,ammo-vog-25_descr,0.26,1,2180,0,1,66%,100%,100%,100%,130%,100%,1,0.35,1
ammo_magnum_300_verybad,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,720,1,1,75%,100%,5%,90%,84%,130%,1,0.75,0.05
ammo_5.45x39_ap_bad,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,1650,1,1,70%,100%,25%,95%,42%,110%,1,0.58,0.25
ammo_7.62x51_fmj_verybad,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,350,1,1,60%,100%,10%,90%,60%,130%,1,0.36,0.1
ammo_9x39_ap_verybad,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,635,1,1,75%,100%,15%,90%,43%,130%,1,0.4,0.15
ammo_50_bmg,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,4000,1,1,90%,100%,5%,100%,45%,100%,1,0.6,0.05
ammo_5.56x45_ap_verybad,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,560,1,1,75%,100%,25%,95%,50%,135%,1,0.5,0.25
ammo_9x39_pab9_bad,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,1380,1,1,55%,100%,15%,95%,53%,110%,1,0.33,0.15
ammo_5.45x39_fmj_bad,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,740,1,1,70%,100%,25%,95%,57%,110%,1,0.38,0.25
ammo_12x70_buck_self,ammo-12x70-buck_self,ammo-12x70-buck_self_descr,0.52,10,460,11,0.3,500%,70%,200%,100%,25%,100%,0.3,0.03,2
ammo_11.43x23_hydro,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,1596,1,1,66%,100%,80%,125%,70%,110%,1,0.2,0.8
ammo_og-7b_verybad,ammo-og-7b,ammo-og-7b_descr,1.96,1,200,0,1,152%,100%,100%,100%,130%,130%,1,1.22,1
ammo_7.92x33_ap_verybad,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,530,1,1,95%,100%,25%,90%,45%,130%,1,0.5,0.25
ammo_9x18_fmj,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,16,560,1,1,66%,100%,80%,100%,60%,100%,1,0.1,0.8
ammo_vog-25_verybad,ammo-vog-25,ammo-vog-25_descr,0.26,1,230,0,1,66%,100%,100%,100%,112%,130%,1,0.27,1
ammo_7.62x25_p_bad,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,420,1,1,70%,100%,80%,95%,64%,110%,1,0.14,0.8
ammo_12x76_zhekan_verybad,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,210,1,1.6,60%,85%,110%,105%,160%,135%,1.6,0.18,1.1
ammo_11.43x23_hydro_verybad,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,273,1,1,75%,100%,80%,114%,66%,140%,1,0.17,0.8
ammo_9x19_pbp_bad,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,630,1,1,70%,100%,80%,114%,96%,120%,1,0.14,0.8
ammo_12x70_buck_verybad,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,125,9,0.36,660%,70%,200%,90%,28%,130%,0.36,0.02,2
ammo_7.62x39_ap,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,2580,1,1,75%,100%,25%,100%,60%,100%,1,0.55,0.25
ammo_12x76_zhekan,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,1250,1,2,50%,90%,110%,114%,200%,105%,2,0.2,1.1
ammo_vog-25_bad,ammo-vog-25,ammo-vog-25_descr,0.26,1,480,0,1,66%,100%,100%,100%,120%,110%,1,0.3,1
ammo_5.56x45_ap_bad,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,1830,1,1,70%,100%,25%,105%,52%,114%,1,0.53,0.25
ammo_7.62x39_fmj_verybad,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,255,1,1,85%,100%,25%,90%,60%,130%,1,0.4,0.25
ammo_5.7x28_ss190_verybad,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,250,1,1,75%,100%,80%,90%,30%,130%,1,0.3,0.8
ammo_12.7x55_ap,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,12500,1,1,66%,100%,5%,100%,90%,100%,1,0.7,0.05
ammo_m209_verybad,ammo-m209,ammo-m209_descr,0.20,1,300,0,1,66%,100%,100%,100%,126%,130%,1,0.301,1
ammo_7.62x39_fmj,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,1530,1,1,75%,100%,25%,100%,66%,100%,1,0.45,0.25
ammo_9x39_ap_bad,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,2065,1,1,70%,100%,15%,95%,47%,110%,1,0.43,0.15
ammo_5.7x28_ss190,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,1600,1,1,66%,100%,80%,100%,36%,100%,1,0.35,0.8
ammo_12x76_dart_bad,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,1100,1,1.66,38%,100%,100%,114%,140%,114%,1.66,0.28,1
ammo_5.7x28_ss195_verybad,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,195,1,1,75%,100%,80%,90%,92%,130%,1,0.18,0.8
ammo_12.7x55_fmj,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,7500,1,1,66%,100%,5%,100%,100%,100%,1,0.5,0.05
ammo_12x76_dart,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,2000,1,1.75,33%,100%,100%,120%,150%,105%,1.75,0.3,1
ammo_5.45x39_ep_bad,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,1000,1,1,70%,100%,25%,95%,42%,110%,1,0.48,0.25
ammo_357_hp_mag,ammo-357-hp,ammo-357-hp_descr,0.21,13,1430,1,1,50%,100%,80%,100%,75%,100%,1,0.25,0.8
ammo_5.45x39_fmj,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,1350,1,1,66%,100%,25%,100%,60%,100%,1,0.4,0.25
ammo_gauss_verybad,ammo-gauss,ammo-gauss_descr,0.60,8,1570,1,2,75%,100%,1%,100%,100%,130%,2,4,0.01
ammo_9x19_fmj_verybad,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,112,1,1,75%,100%,80%,90%,40%,130%,1,0.13,0.8
ammo_7.92x33_ap,ammo-7.92x33_ap,ammo-7.92x33_ap_descr,0.37,15,3120,1,1,85%,100%,25%,100%,50%,100%,1,0.55,0.25
ammo_5.45x39_fmj_verybad,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,220,1,1,75%,100%,25%,90%,56%,130%,1,0.35,0.25
ammo_11.43x23_fmj_verybad,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,140,1,1,75%,100%,80%,90%,47%,130%,1,0.08,0.8
ammo_4.6x30_fmj_verybad,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,250,1,1,75%,100%,80%,90%,30%,130%,1,0.3,0.8
ammo_5.7x28_ss195,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,1275,1,1,66%,100%,80%,100%,100%,100%,1,0.2,0.8
ammo_gauss,ammo-gauss,ammo-gauss_descr,0.60,8,11990,1,2.5,66%,100%,1%,100%,100%,100%,2.5,5,0.01
ammo_9x19_pbp,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,1125,1,1,66%,100%,80%,120%,100%,110%,1,0.15,0.8
ammo_5.45x39_ap_verybad,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,460,1,1,75%,100%,25%,90%,38%,130%,1,0.55,0.25
ammo_11.43x23_fmj,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,910,1,1,66%,100%,80%,100%,55%,100%,1,0.1,0.8
ammo_og-7b,ammo-og-7b,ammo-og-7b_descr,1.96,1,2490,0,1,152%,100%,100%,100%,150%,100%,1,1.25,1
ammo_7.62x54_ap_bad,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,1650,1,1,95%,100%,5%,95%,43%,110%,1,0.58,0.05
ammo_5.7x28_ss195_bad,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,15,700,1,1,70%,100%,80%,95%,97%,110%,1,0.19,0.8
ammo_5.45x39_ap,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,3000,1,1,66%,100%,25%,100%,55%,100%,1,0.6,0.25
ammo_magnum_300,ammo-338-lapua,ammo-338-lapua_descr,0.44,10,4250,1,1,66%,100%,5%,100%,90%,100%,1,0.8,0.05
ammo_7.62x51_ap_bad,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,2070,1,1,55%,100%,10%,95%,48%,110%,1,0.58,0.1
ammo_12x76_zhekan_bad,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,690,1,1.8,55%,90%,110%,110%,180%,114%,1.8,0.19,1.1
ammo_11.43x23_fmj_bad,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,504,1,1,70%,100%,80%,95%,50%,110%,1,0.09,0.8
ammo_7.62x51_fmj,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,2250,1,1,50%,100%,10%,100%,66%,100%,1,0.4,0.1
ammo_50_bmg_bad,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,2150,1,1,95%,100%,5%,95%,43%,110%,1,0.58,0.05
ammo_5.7x28_ss190_bad,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,15,880,1,1,70%,100%,80%,95%,33%,110%,1,0.33,0.8
ammo_7.62x54_7h1_bad,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,770,1,1,70%,100%,5%,95%,76%,110%,1,0.48,0.05
ammo_12x76_dart_verybad,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,330,1,1.5,45%,100%,100%,110%,130%,135%,1.5,0.26,1
ammo_5.56x45_fmj_bad,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,825,1,1,70%,100%,25%,103%,56%,110%,1,0.31,0.25
ammo_7.62x54_7h14,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,2350,1,1,66%,100%,5%,100%,74%,100%,1,0.6,0.05
ammo_9x39_pab9,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,2500,1,1,50%,100%,15%,100%,55%,100%,1,0.35,0.15
ammo_9x18_fmj_bad,ammo-9x18-fmj,ammo-9x18-fmj_descr,0.16,16,320,1,1,70%,100%,80%,95%,56%,110%,1,0.09,0.8
ammo_9x19_fmj_bad,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,360,1,1,70%,100%,80%,95%,42%,110%,1,0.14,0.8
ammo_357_hp_mag_bad,ammo-357-hp,ammo-357-hp_descr,0.21,13,790,1,1,55%,100%,80%,95%,72%,110%,1,0.23,0.8
ammo_9x19_ap_verybad,ammo-9x19-ap,ammo-9x19-ap_descr,0.14,15,200,1,1,75%,100%,80%,120%,28%,140%,1,0.25,0.8
ammo_9x19_fmj,ammo-9x19-fmj,ammo-9x19-fmj_descr,0.18,15,645,1,1,66%,100%,80%,100%,44%,100%,1,0.15,0.8
ammo_9x18_pmm_bad,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,16,544,1,1,70%,100%,80%,120%,66%,120%,1,0.14,0.8
ammo_5.45x39_ep_verybad,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,300,1,1,75%,100%,25%,90%,38%,130%,1,0.45,0.25
ammo_12.7x55_ap_verybad,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,2120,1,1,75%,100%,5%,90%,84%,130%,1,0.65,0.05
ammo_12.7x55_fmj_bad,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,4120,1,1,70%,100%,5%,95%,96%,110%,1,0.48,0.05
ammo_7.92x33_fmj_bad,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,1100,1,1,90%,100%,25%,95%,66%,110%,1,0.43,0.25
ammo_7.62x54_7h14_verybad,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,400,1,1,75%,100%,5%,90%,68%,130%,1,0.56,0.05
ammo_7.62x25_ps,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,1120,1,1,66%,100%,80%,100%,50%,100%,1,0.25,0.8
