~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_bm16_alt,st_wpn_bm16_alt,st_wpn_bm16_descr,1.92,12850,B,N,46%,67%,180,1000,2,200,299,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_spas12_nimble,st_wpn_spas12_nimble,st_wpn_spas12_nimble_descr,4.13,34860,B,N,71%,59%,198,115,8,300,349,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.83
wpn_usas12,st_wpn_usas12,st_wpn_usas12_descr,6.20,82660,B,N,63%,59%,180,360,20,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
wpn_toz34_obrez_decor,st_wpn_toz34_obrez_decor,st_wpn_toz34_obrez_descr,2.10,13880,B,N,57%,55%,180,1100,2,350,329,70%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_wincheaster1300_trapper,st_wpn_toz194,st_wpn_toz194_descr,2.90,21580,B,N,62%,63%,189,70,7,300,339,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_mp153_bas,st_wpn_mp153_bas,st_wpn_mp153_bas_descr,3.50,30580,B,N,66%,59%,189,200,5,300,369,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.8
wpn_protecta_camo,st_wpn_protecta_camo,st_wpn_protecta_descr,4.20,33850,B,N,59%,63%,180,155,12,300,319,79%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_mp133_bas,st_wpn_mp133_bas,st_wpn_mp133_bas_descr,3,21960,B,N,69%,59%,189,60,5,300,339,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_remington870,st_wpn_remington870,st_wpn_remington870_descr,3.40,19160,B,N,69%,88%,189,75,8,300,329,70%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_protecta,st_wpn_protecta,st_wpn_protecta_descr,4.20,25550,B,N,64%,63%,180,155,12,300,319,79%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_ks23_23_up,st_wpn_ks23_23_up,st_wpn_ks23_23_up_descr,3.53,32960,B,N,76%,53%,2376,60,4,150,140,73%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,,0.07,,0.33,,0.48
wpn_mossberg590,st_wpn_mossberg590,st_wpn_mossberg590_descr,3.30,18850,B,N,65%,63%,189,60,8,300,329,77%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_bm16_full_alt,st_wpn_bm16_full_alt,st_wpn_bm16_full_descr,3.40,18250,B,N,73%,57%,180,1000,2,200,299,80%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_protecta_aim,st_wpn_protecta_aim,st_wpn_protecta_aim_descr,4.20,33780,B,N,64%,63%,180,150,12,300,319,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_saiga12s_m1,st_wpn_saiga12s_m1,st_wpn_saiga12s_m1_descr,3.81,38680,B,N,69%,77%,189,250,6,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.788
wpn_saiga12s,st_wpn_saiga12s,st_wpn_saiga12s_descr,3.81,38680,B,N,69%,77%,180,220,10,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
