~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_pk_siber,st_wpn_pk_siber,st_wpn_pk_siber_descr,9,58850,D,N,77%,70%,69,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_m4_skryaga,st_wpn_m4_skryaga,st_wpn_m4_skryaga_descr,2.40,43150,C,N,83%,80%,29,770,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.499
wpn_ak74,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,76%,76%,36,650,30,1000,923,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak12_custom_mono_kit,st_wpn_ak12_mono_kit,st_wpn_ak12_mono_kit_descr,3.65,51440,C,N,79%,76%,37,700,60,1000,944,91%,53,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.51
wpn_abakan,st_wpn_abakan,st_wpn_abakan_descr,3.85,35850,C,N,82%,71%,36,600,30,1000,944,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_rpk,st_wpn_rpk,st_wpn_rpk_descr,4.80,35860,D,N,77%,72%,42,600,40,900,621,91%,51,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.585
wpn_ak74_custom,st_wpn_ak74_custom,st_wpn_ak74_descr,3.30,31580,C,N,81%,76%,36,640,30,1000,950,95%,90,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik_descr,4.70,45560,C,N,81%,80%,29,800,30,800,1007,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_groza_nimble,st_wpn_groza_nimble,st_wpn_groza_nimble_descr,4.10,42580,D,N,79%,72%,42,750,30,900,604,91%,32,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_g3sg1,st_wpn_g3sg1,st_wpn_g3sg1_descr,4.70,43980,D,N,82%,71%,50,500,20,1000,861,80%,39,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_vihr,st_wpn_vihr,st_wpn_vihr_descr,2,53580,D,N,78%,82%,53,900,30,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_sig552,st_wpn_sig552,st_wpn_sig552_descr,3.20,35580,C,N,76%,83%,28,780,30,900,817,90%,56,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.48
wpn_vintorez_n1,st_wpn_vintorez_n1,st_wpn_vintorez_n1_descr,2.59,51580,D,N,86%,82%,53,800,10,600,350,85%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_scar_new,st_wpn_scar_new,st_wpn_scar_descr,3.60,56880,D,N,89%,72%,50,663,20,1000,842,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_ak74u_camo,st_wpn_ak74u_camo,st_wpn_ak74u_descr,2.48,24550,C,N,64%,83%,35,765,30,900,782,92%,54,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_aug_modern,st_wpn_aug_modern,st_wpn_aug_modern_descr,3.30,28580,C,N,81%,88%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_scar_siber_m2,st_wpn_scar_siber_m2,st_wpn_scar_siber_m2_descr,4,58880,D,N,87%,72%,50,650,20,1000,842,90%,39,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_vintorez_m2,st_wpn_vintorez_m2,st_wpn_vintorez_m2_descr,3,76580,D,N,79%,76%,73,800,20,690,420,91%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.85
wpn_aug_freedom,st_wpn_aug_freedom,st_wpn_aug_descr,3.30,28380,C,N,79%,88%,30,775,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ar15_freedom,st_wpn_ar15_freedom,st_wpn_ar15_freedom_descr,3.15,54820,C,N,83%,80%,30,1000,60,800,851,91%,0,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_sig550_tac_siber,st_wpn_sig550_tac_siber,st_wpn_sig550_tac_siber_descr,4.10,55200,C,N,83%,75%,30,700,30,1000,1019,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_vintorez_m1,st_wpn_vintorez_m1,st_wpn_vintorez_m1_descr,3.30,66580,D,N,79%,76%,70,800,10,650,399,91%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.81
wpn_rpk74_16,st_wpn_rpk74_16,st_wpn_rpk74_16_descr,3.87,58860,C,N,77%,72%,39,750,60,900,777,91%,51,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.545
wpn_ppsh_bas_uptacppsh,st_wpn_ppsh_bas_uptacppsh,st_wpn_ppsh_bas_uptacppsh_descr,3.90,18840,A,N,61%,82%,19,920,71,500,630,93%,76,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.28,,0.46
wpn_l85_modern,st_wpn_l85_modern,st_wpn_l85_descr,3.88,38980,C,N,87%,79%,30,730,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_type63,st_wpn_type63,st_wpn_type63_descr,3.86,22880,D,N,83%,65%,42,700,20,900,617,81%,28,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.58
