~,pda_encyclopedia_name,st_ui_dbg_spawn_type,st_upgr_cost,st_data_export_can_be_looted_by_npc
af_cristall_af_aam,st_af_cristall_af_aam_name,i_arty_cont,0,Y
af_cristall_af_iam,st_af_cristall_af_iam_name,i_arty_cont,0,Y
af_cristall_flower,st_af_cristall_flower_name,i_arty,36931,Y
af_cristall_flower2,st_af_cristall_flower2_name,i_arty,46635,Y
af_cristall_flower2_af_aac,st_af_cristall_flower2_af_aac_name,i_arty_cont,0,N
af_cristall_flower2_af_aam,st_af_cristall_flower2_af_aam_name,i_arty_cont,0,N
af_cristall_flower2_af_iam,st_af_cristall_flower2_af_iam_name,i_arty_cont,0,N
af_cristall_flower2_lead_box,st_af_cristall_flower2_lead_box_name,i_arty_cont,0,N
af_cristall_flower3,st_af_cristall_flower3_name,i_arty,45072,Y
af_cristall_flower3_af_aac,st_af_cristall_flower3_af_aac_name,i_arty_cont,0,N
af_cristall_flower3_af_aam,st_af_cristall_flower3_af_aam_name,i_arty_cont,0,N
af_cristall_flower3_af_iam,st_af_cristall_flower3_af_iam_name,i_arty_cont,0,N
af_cristall_flower3_lead_box,st_af_cristall_flower3_lead_box_name,i_arty_cont,0,N
af_cristall_flower_af_aac,st_af_cristall_flower_af_aac_name,i_arty_cont,0,Y
af_cristall_flower_af_aam,st_af_cristall_flower_af_aam_name,i_arty_cont,0,Y
af_cristall_flower_af_iam,st_af_cristall_flower_af_iam_name,i_arty_cont,0,Y
af_cristall_flower_lead_box,st_af_cristall_flower_lead_box_name,i_arty_cont,0,N
af_cristall_lead_box,st_af_cristall_lead_box_name,i_arty_cont,0,N
af_crystal_blood,st_af_crystal_blood_name,i_arty,22319,Y
af_crystal_blood_af_aac,st_af_crystal_blood_af_aac_name,i_arty_cont,0,N
af_crystal_blood_af_aam,st_af_crystal_blood_af_aam_name,i_arty_cont,0,N
af_crystal_blood_af_iam,st_af_crystal_blood_af_iam_name,i_arty_cont,0,N
af_crystal_blood_lead_box,st_af_crystal_blood_lead_box_name,i_arty_cont,0,N
af_crystal_generator,st_af_crystal_generator_name,i_arty,24068,Y
af_crystal_generator_af_aac,st_af_crystal_generator_af_aac_name,i_arty_cont,0,N
af_crystal_generator_af_aam,st_af_crystal_generator_af_aam_name,i_arty_cont,0,N
af_crystal_generator_af_iam,st_af_crystal_generator_af_iam_name,i_arty_cont,0,N
af_crystal_generator_lead_box,st_af_crystal_generator_lead_box_name,i_arty_cont,0,N
af_crystal_glassbeads,st_af_crystal_glassbeads_name,i_arty,36679,Y
af_crystal_glassbeads_af_aac,st_af_crystal_glassbeads_af_aac_name,i_arty_cont,0,N
af_crystal_glassbeads_af_aam,st_af_crystal_glassbeads_af_aam_name,i_arty_cont,0,N
af_crystal_glassbeads_af_iam,st_af_crystal_glassbeads_af_iam_name,i_arty_cont,0,N
af_crystal_glassbeads_lead_box,st_af_crystal_glassbeads_lead_box_name,i_arty_cont,0,N
af_crystal_gravi,st_af_crystal_gravi_name,i_arty,39639,Y
af_crystal_gravi_af_aac,st_af_crystal_gravi_af_aac_name,i_arty_cont,0,N
af_crystal_gravi_af_aam,st_af_crystal_gravi_af_aam_name,i_arty_cont,0,N
af_crystal_gravi_af_iam,st_af_crystal_gravi_af_iam_name,i_arty_cont,0,N
af_crystal_gravi_lead_box,st_af_crystal_gravi_lead_box_name,i_arty_cont,0,N
af_crystal_ice,st_af_crystal_ice_name,i_arty,44247,Y
af_crystal_ice_af_aac,st_af_crystal_ice_af_aac_name,i_arty_cont,0,N
af_crystal_ice_af_aam,st_af_crystal_ice_af_aam_name,i_arty_cont,0,N
af_crystal_ice_af_iam,st_af_crystal_ice_af_iam_name,i_arty_cont,0,N
af_crystal_ice_lead_box,st_af_crystal_ice_lead_box_name,i_arty_cont,0,N
af_crystal_oko,st_af_crystal_oko_name,i_arty,50526,Y
af_crystal_oko_af_aac,st_crystal_oko_af_aac_name,i_arty_cont,0,N
af_crystal_oko_af_aam,st_crystal_oko_af_aam_name,i_arty_cont,0,N
af_crystal_oko_af_iam,st_crystal_oko_af_iam_name,i_arty_cont,0,N
af_crystal_oko_lead_box,st_crystal_oko_lead_box_name,i_arty_cont,0,N
af_crystal_vyvert,st_af_crystal_vyvert_name,i_arty,51972,Y
af_crystal_vyvert_af_aac,st_af_crystal_vyvert_af_aac_name,i_arty_cont,0,N
af_crystal_vyvert_af_aam,st_af_crystal_vyvert_af_aam_name,i_arty_cont,0,N
af_crystal_vyvert_af_iam,st_af_crystal_vyvert_af_iam_name,i_arty_cont,0,N
af_crystal_vyvert_lead_box,st_af_crystal_vyvert_lead_box_name,i_arty_cont,0,N
af_dark_soul,st_af_dark_soul_name,i_arty,56995,Y
af_dark_soul_af_aac,st_af_dark_soul_af_aac_name,i_arty_cont,0,N
af_dark_soul_af_aam,st_af_dark_soul_af_aam_name,i_arty_cont,0,N
af_dark_soul_af_iam,st_af_dark_soul_af_iam_name,i_arty_cont,0,N
af_dark_soul_lead_box,st_af_dark_soul_lead_box_name,i_arty_cont,0,N
af_death_lamp,st_af_death_lamp_name,i_arty,113430,Y
af_death_lamp_af_aac,st_af_death_lamp_af_aac_name,i_arty_cont,0,Y
af_death_lamp_af_aam,st_af_death_lamp_af_aam_name,i_arty_cont,0,Y
af_death_lamp_af_iam,st_af_death_lamp_af_iam_name,i_arty_cont,0,Y
af_death_lamp_lead_box,st_af_death_lamp_lead_box_name,i_arty_cont,0,Y
af_deformer,st_af_deformer_name,i_arty,59067,Y
af_deformer_af_aac,st_af_deformer_af_aac_name,i_arty_cont,0,N
af_deformer_af_aam,st_af_deformer_af_aam_name,i_arty_cont,0,N
af_deformer_af_iam,st_af_deformer_af_iam_name,i_arty_cont,0,N
af_deformer_lead_box,st_af_deformer_lead_box_name,i_arty_cont,0,N
af_dik_1,af_dik_1_name,i_arty,36879,Y
af_dik_1_af_aac,st_af_dik_1_af_aac_name,i_arty_cont,0,N
af_dik_1_af_aam,st_af_dik_1_af_aam_name,i_arty_cont,0,N
af_dik_1_af_iam,st_af_dik_1_af_iam_name,i_arty_cont,0,N
af_dik_1_lead_box,st_af_dik_1_lead_box_name,i_arty_cont,0,N
af_dik_2,af_dik_2_name,i_arty,37392,Y
af_dik_2_af_aac,st_af_dik_2_af_aac_name,i_arty_cont,0,N
af_dik_2_af_aam,st_af_dik_2_af_aam_name,i_arty_cont,0,N
af_dik_2_af_iam,st_af_dik_2_af_iam_name,i_arty_cont,0,N
af_dik_2_lead_box,st_af_dik_2_lead_box_name,i_arty_cont,0,N
af_dik_3,af_dik_3_name,i_arty,40840,Y
af_dik_3_af_aac,st_af_dik_3_af_aac_name,i_arty_cont,0,N
af_dik_3_af_aam,st_af_dik_3_af_aam_name,i_arty_cont,0,N
af_dik_3_af_iam,st_af_dik_3_af_iam_name,i_arty_cont,0,N
af_dik_3_lead_box,st_af_dik_3_lead_box_name,i_arty_cont,0,N
af_dik_4,af_dik_4_name,i_arty,39480,Y
af_dik_4_af_aac,st_af_dik_4_af_aac_name,i_arty_cont,0,N
af_dik_4_af_aam,st_af_dik_4_af_aam_name,i_arty_cont,0,N
af_dik_4_af_iam,st_af_dik_4_af_iam_name,i_arty_cont,0,N
af_dik_4_lead_box,st_af_dik_4_lead_box_name,i_arty_cont,0,N
af_dragon_eye,st_af_dragon_eye_name,i_arty_junk,15600,Y
af_drops,af_drops,i_arty,20013,Y
af_drops_af_aac,st_af_drops_af_aac_name,i_arty_cont,0,N
af_drops_af_aam,st_af_drops_af_aam_name,i_arty_cont,0,N
af_drops_af_iam,st_af_drops_af_iam_name,i_arty_cont,0,N
af_drops_lead_box,st_af_drops_lead_box_name,i_arty_cont,0,N
af_dummy_battery,st_af_dummy_battery_name,i_arty,21544,Y
af_dummy_battery3,st_af_dummy_battery3_name,i_arty,32823,Y
af_dummy_battery3_af_aac,st_af_dummy_battery3_af_aac_name,i_arty_cont,0,N
af_dummy_battery3_af_aam,st_af_dummy_battery3_af_aam_name,i_arty_cont,0,N
af_dummy_battery3_af_iam,st_af_dummy_battery3_af_iam_name,i_arty_cont,0,N
af_dummy_battery3_lead_box,st_af_dummy_battery3_lead_box_name,i_arty_cont,0,N
af_dummy_battery_af_aac,st_af_dummy_battery_af_aac_name,i_arty_cont,0,Y
af_dummy_battery_af_aam,st_af_dummy_battery_af_aam_name,i_arty_cont,0,Y
af_dummy_battery_af_iam,st_af_dummy_battery_af_iam_name,i_arty_cont,0,Y
af_dummy_battery_lead_box,st_af_dummy_battery_lead_box_name,i_arty_cont,0,N
af_dummy_battery_red,af_dummy_battery_red_name,i_arty,47448,Y
af_dummy_battery_red_af_aac,st_af_dummy_battery_red_af_aac_name,i_arty_cont,0,N
af_dummy_battery_red_af_aam,st_af_dummy_battery_red_af_aam_name,i_arty_cont,0,N
af_dummy_battery_red_af_iam,st_af_dummy_battery_red_af_iam_name,i_arty_cont,0,N
af_dummy_battery_red_lead_box,st_af_dummy_battery_red_lead_box_name,i_arty_cont,0,N
af_dummy_dummy,st_af_dummy_dummy_name,i_arty,40637,Y
af_dummy_dummy2,st_af_dummy_dummy2_name,i_arty,24812,Y
af_dummy_dummy2_af_aac,st_af_dummy_dummy2_af_aac_name,i_arty_cont,0,N
af_dummy_dummy2_af_aam,st_af_dummy_dummy2_af_aam_name,i_arty_cont,0,N
af_dummy_dummy2_af_iam,st_af_dummy_dummy2_af_iam_name,i_arty_cont,0,N
af_dummy_dummy2_lead_box,st_af_dummy_dummy2_lead_box_name,i_arty_cont,0,N
af_dummy_dummy3,st_af_dummy_dummy3_name,i_arty,54864,Y
af_dummy_dummy3_af_aac,st_af_dummy_dummy3_af_aac_name,i_arty_cont,0,N
af_dummy_dummy3_af_aam,st_af_dummy_dummy3_af_aam_name,i_arty_cont,0,N
af_dummy_dummy3_af_iam,st_af_dummy_dummy3_af_iam_name,i_arty_cont,0,N
af_dummy_dummy3_lead_box,st_af_dummy_dummy3_lead_box_name,i_arty_cont,0,N
af_dummy_dummy_af_aac,st_af_dummy_dummy_af_aac_name,i_arty_cont,0,Y
af_dummy_dummy_af_aam,st_af_dummy_dummy_af_aam_name,i_arty_cont,0,Y
af_dummy_dummy_af_iam,st_af_dummy_dummy_af_iam_name,i_arty_cont,0,Y
af_dummy_dummy_lead_box,st_af_dummy_dummy_lead_box_name,i_arty_cont,0,N
af_dummy_glassbe,af-dummy-glassbeads,i_arty,23400,Y
af_dummy_glassbeads,st_af_dummy_glassbeads_name,i_arty_junk,29871,Y
af_dummy_glassbeads2,st_af_dummy_glassbeads2_name,i_arty,58196,Y
af_dummy_glassbeads2_af_aac,st_af_dummy_glassbeads2_af_aac_name,i_arty_cont,0,N
af_dummy_glassbeads2_af_aam,st_af_dummy_glassbeads2_af_aam_name,i_arty_cont,0,N
af_dummy_glassbeads2_af_iam,st_af_dummy_glassbeads2_af_iam_name,i_arty_cont,0,N
af_dummy_glassbeads2_lead_box,st_af_dummy_glassbeads2_lead_box_name,i_arty_cont,0,N
af_dummy_glassbeads3,st_af_dummy_glassbeads3_name,i_arty_junk,8400,Y
af_dummy_glassbeads_af_aac,st_af_dummy_glassbeads_af_aac_name,i_arty_cont,0,Y
af_dummy_glassbeads_af_aam,st_af_dummy_glassbeads_af_aam_name,i_arty_cont,0,Y
af_dummy_glassbeads_af_iam,st_af_dummy_glassbeads_af_iam_name,i_arty_cont,0,Y
af_dummy_glassbeads_lead_box,st_af_dummy_glassbeads_lead_box_name,i_arty_cont,0,N
af_dummy_pellicle,af_dummy_pellicle,i_arty,30675,Y
af_dummy_pellicle_af_aac,st_af_dummy_pellicle_af_aac_name,i_arty_cont,0,N
af_dummy_pellicle_af_aam,st_af_dummy_pellicle_af_aam_name,i_arty_cont,0,N
af_dummy_pellicle_af_iam,st_af_dummy_pellicle_af_iam_name,i_arty_cont,0,N
af_dummy_pellicle_lead_box,st_af_dummy_pellicle_lead_box_name,i_arty_cont,0,N
af_dummy_pellicle_red,af_dummy_pellicle_red_name,i_arty,49068,Y
af_dummy_pellicle_red_af_aac,st_af_dummy_pellicle_red_af_aac_name,i_arty_cont,0,N
af_dummy_pellicle_red_af_aam,st_af_dummy_pellicle_red_af_aam_name,i_arty_cont,0,N
af_dummy_pellicle_red_af_iam,st_af_dummy_pellicle_red_af_iam_name,i_arty_cont,0,N
af_dummy_pellicle_red_lead_box,st_af_dummy_pellicle_red_lead_box_name,i_arty_cont,0,N
af_dummy_spri,af-dummy-spring,i_arty_junk,9200,Y
af_dummy_spring,af_dummy_spring,i_arty,45727,Y
af_dummy_spring_af_aac,st_af_dummy_spring_af_aac_name,i_arty_cont,0,N
af_dummy_spring_af_aam,st_af_dummy_spring_af_aam_name,i_arty_cont,0,N
af_dummy_spring_af_iam,st_af_dummy_spring_af_iam_name,i_arty_cont,0,N
af_dummy_spring_lead_box,st_af_dummy_spring_lead_box_name,i_arty_cont,0,N
af_dummy_spring_red,af_dummy_spring_red_name,i_arty,59318,Y
af_dummy_spring_red_af_aac,st_af_dummy_spring_red_af_aac_name,i_arty_cont,0,N
af_dummy_spring_red_af_aam,st_af_dummy_spring_red_af_aam_name,i_arty_cont,0,N
af_dummy_spring_red_af_iam,st_af_dummy_spring_red_af_iam_name,i_arty_cont,0,N
af_dummy_spring_red_lead_box,st_af_dummy_spring_red_lead_box_name,i_arty_cont,0,N
af_ear,st_af_ear_name,i_arty_junk,6700,Y
af_electra_fla,af-electra-flash,i_arty,25937,Y
af_electra_fla_af_aac,st_af-electra-flash_aac_name,i_arty_cont,0,N
af_electra_fla_af_aam,st_af-electra-flash_aam_name,i_arty_cont,0,N
af_electra_fla_af_iam,st_af-electra-flash_iam_name,i_arty_cont,0,N
