~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_kar98_retrotac,st_wpn_kar98_retrotac,st_wpn_kar98_retrotac_descr,4,45787,D,N,97%,66%,77,30,5,1300,1417,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,0.45,,1.17
wpn_karabiner98k,st_wpn_karabiner98k,st_wpn_karabiner98k_descr,3.70,22590,D,N,91%,66%,76,28,5,1100,798,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,0.45,,1.15
wpn_karabiner98k_silen98,st_wpn_karabiner98k_silen98,st_wpn_karabiner98k_silen98_descr,3.85,22590,D,N,91%,66%,76,28,5,1100,798,70%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap; ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,0.45,,1.15
wpn_l96a1,st_wpn_l96a1,st_wpn_l96a1_descr,7.20,65880,D,N,95%,65%,66,36,10,1200,887,61%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.3,0.61,1
wpn_l96a1m,st_wpn_l96a1m,st_wpn_l96a1m_descr,7.20,76580,D,N,97%,66%,86,36,5,1200,944,60%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1
wpn_m24,st_wpn_m24,st_wpn_m24_descr,5.40,82680,D,N,96%,60%,117,36,5,1500,887,50%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1.35
wpn_m82,st_wpn_m82,st_wpn_m82_descr,12.07,86420,D,N,93%,69%,270,100,10,1800,597,75%,25,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.45,0.8,3
wpn_m98b,st_wpn_m98b,st_wpn_m98b_descr,7.50,88980,D,N,97%,60%,117,35,10,1500,992,53%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1.35
wpn_mosin,st_wpn_mosin,st_wpn_mosin_descr,3.80,24560,D,N,91%,65%,86,37,5,1100,887,56%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,1.1
wpn_rem700_aics,st_wpn_rem700_aics,st_wpn_rem700_aics_descr,7,73880,D,N,95%,65%,130,30,5,1800,1417,61%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1.5
wpn_rem700_mcmillan,st_wpn_rem700_mcmillan,st_wpn_rem700_mcmillan_descr,7.60,65880,D,N,95%,65%,86,30,5,2000,1470,61%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1
wpn_remington700,st_wpn_remington700,st_wpn_remington700_descr,3.96,33000,D,N,93%,64%,66,40,5,1200,871,45%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_remington700_bas,st_wpn_remington700_bas,st_wpn_remington700_bas_descr,3.96,33000,D,N,96%,64%,86,40,5,1800,1260,62%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1.3
wpn_remington700_bas_archangel,st_wpn_remington700_bas_archangel,st_wpn_remington700_bas_archangel_descr,3.85,33000,D,N,97%,64%,86,40,20,1800,1260,62%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1.3
wpn_remington700_bas_lapua700,st_wpn_remington700_bas_lapua700,st_wpn_remington700_bas_lapua700_descr,3.95,33000,D,N,98%,64%,130,40,5,1800,1396,62%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1.5
wpn_remington700_bas_magpul_pro,st_wpn_remington700_bas_magpul_pro,st_wpn_remington700_bas_magpul_pro_descr,3.75,33000,D,N,97%,64%,86,40,12,1800,1291,62%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1.3
wpn_remington700_bas_mod_x_gen3,st_wpn_remington700_bas_mod_x_gen3,st_wpn_remington700_bas_mod_x_gen3_descr,3.70,33000,D,N,98%,64%,86,40,12,1800,1312,62%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1.3
wpn_sig550_sniper,st_wpn_sig550_sniper,st_wpn_sig550_sniper_descr,7.02,49560,C,N,87%,75%,30,200,20,1000,1097,63%,38,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_sks,st_wpn_sks,st_wpn_sks_descr,3.75,25580,D,N,86%,65%,42,200,10,900,617,87%,30,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_sks_b,st_wpn_sks_b,st_wpn_sks_b_descr,3.75,25580,D,N,86%,65%,42,350,10,900,588,87%,26,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.58
wpn_sks_modern,st_wpn_sks_modern,st_wpn_sks_descr,3.75,27960,D,N,88%,65%,42,245,10,900,617,88%,30,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_sks_molot,st_wpn_sks_molot,st_wpn_sks_molot_descr,3.60,31580,D,N,86%,65%,42,270,20,900,617,87%,26,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_sks_tac,st_wpn_sks_tac,st_wpn_sks_tac_descr,3.70,42580,D,N,86%,65%,42,600,20,900,617,87%,26,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_sr25,st_wpn_sr25,st_wpn_sr25_descr,4.31,70780,D,N,84%,71%,66,700,20,1000,882,77%,32,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_sv98,st_wpn_sv98,st_wpn_sv98_descr,6.20,62580,D,N,94%,65%,86,36,10,1200,902,51%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_sv98_custom,st_wpn_sv98_custom,st_wpn_sv98_descr,6.20,63680,D,N,95%,65%,86,33,10,1200,902,69%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svd,st_wpn_svd,st_wpn_svd_descr,3.91,50550,D,N,93%,65%,86,83,10,1100,861,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svd_custom,st_wpn_svd_custom,st_wpn_svd_descr,3.91,45360,D,N,94%,65%,86,87,10,1100,861,61%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svd_m1,st_wpn_svd_m1,st_wpn_svd_m1_descr,3.91,50550,D,N,93%,65%,86,60,10,1100,861,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svd_nimble,st_wpn_svd_nimble,st_wpn_svd_nimble_descr,5.14,186460,D,N,95%,65%,86,85,10,1400,937,55%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svds,st_wpn_svds,st_wpn_svds_descr,4.40,65164,D,N,93%,65%,86,400,10,1100,861,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.45,0.65,1.1
wpn_svds_pmc,st_wpn_svds_pmc,st_wpn_svds_pmc_descr,4.80,92162,D,N,93%,65%,86,550,10,1100,861,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.45,0.65,1.1
wpn_svt40,st_wpn_svt40,st_wpn_svt40_descr,3.80,27850,D,N,93%,65%,60,150,10,1000,871,57%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,0.77
wpn_svt40_modern,st_wpn_svt40_modern,st_wpn_svt40_descr,3.80,26350,D,N,93%,65%,60,135,10,1000,871,51%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,0.77
wpn_svu,st_wpn_svu,st_wpn_svu_descr,3.81,43860,D,N,93%,68%,86,130,10,1050,845,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svu_alt,st_wpn_svu_alt,st_wpn_svu_descr,3.81,48850,D,N,95%,68%,86,135,10,1050,845,58%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_svu_nimble,st_wpn_svu_nimble,st_wpn_svu_nimble_descr,3.83,48580,D,N,92%,73%,62,139,10,1050,845,65%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,0.8
wpn_trg,st_trg_sako,st_wpn_trg_descr,4.68,71880,D,N,97%,63%,117,36,5,1500,883,55%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,0.9,1.35
wpn_vssk,st_wpn_vssk,st_wpn_vssk_descr,7.50,75680,D,N,93%,65%,202,36,5,1000,525,50%,25,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.45,0.8,2.25
wpn_wa2000,st_wpn_wa2000,st_wpn_wa2000_descr,7.65,30000,D,N,93%,69%,66,125,6,1200,882,45%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
