~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_vz61_alt,st_wpn_vz61_alt,st_wpn_vz61_descr,1.44,13960,A,N,56%,84%,19,865,20,400,420,87%,106,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,,,0.17,0.31,,0.46
wpn_mp5sd_new,st_wpn_mp5sd_new,st_wpn_mp5sd_descr,2.97,22650,A,N,67%,84%,20,820,30,400,527,91%,106,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_vityaz,st_wpn_vityaz,st_wpn_vityaz_descr,2.90,21880,A,N,63%,85%,20,700,30,400,511,88%,92,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_mp7,st_wpn_mp7,st_wpn_mp7_descr,2.10,26300,A,N,83%,88%,20,950,40,400,525,88%,72,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit_descr,2.10,62300,A,N,83%,88%,35,900,30,400,350,91%,0,ammo_9x21_sp10,,,,,0.38,,0.49
wpn_pp2000,st_wpn_pp2000,st_wpn_pp2000_descr,1.66,26650,A,N,64%,85%,20,750,30,400,525,88%,100,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_sr2_veresk,st_wpn_sr2_veresk,st_wpn_sr2_veresk_descr,1.65,62300,A,N,83%,88%,35,900,30,400,350,91%,74,ammo_9x21_sp10,,,,,0.38,,0.49
wpn_kiparis,st_wpn_kiparis,st_wpn_kiparis_descr,1.60,16880,A,N,60%,84%,19,850,30,300,433,88%,107,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.17,0.31,,0.46
wpn_kiparis_m2,st_wpn_kiparis_m2,st_wpn_kiparis_m2_descr,1.60,21280,A,N,60%,84%,20,950,40,300,433,88%,113,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.17,0.31,,0.47
wpn_sr2_m2,st_wpn_sr2_m2,st_wpn_sr2_m2_descr,1.80,54300,A,N,83%,88%,35,990,30,400,350,91%,64,ammo_9x21_sp10,,,,,0.38,,0.49
wpn_mp5_custom,st_wpn_mp5_custom,st_wpn_mp5_descr,3.10,29680,A,N,71%,84%,20,830,30,400,527,92%,99,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_sr2_m1,st_wpn_sr2_m1,st_wpn_sr2_m1_descr,1.86,46300,A,N,83%,88%,35,900,30,400,350,91%,64,ammo_9x21_sp10,,,,,0.38,,0.49
wpn_kiparis_s,st_wpn_kiparis_s,st_wpn_kiparis_s_descr,1.30,12880,A,N,60%,84%,19,850,20,300,433,88%,107,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.17,0.31,,0.46
wpn_bizon,st_wpn_bizon,st_wpn_bizon_descr,2.30,24560,A,N,62%,86%,19,680,64,300,420,88%,90,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-7.62x25-p;ammo-7.62x25-p;;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,0.17,0.31,,0.46
wpn_krissvektor,st_wpn_kriss_cust,st_wpn_kriss_cust_descr,2.70,54160,A,N,76%,89%,25,1200,40,300,420,98%,100,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.18,,,0.55
wpn_vz61_scorpion,st_wpn_vz61_scorpion,st_wpn_vz61_scorpion_descr,1.44,15680,A,N,57%,84%,19,850,20,400,485,88%,110,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.17,0.31,,0.46
wpn_mp5sd,st_wpn_mp5sd,st_wpn_mp5sd_descr,2.97,21880,A,N,66%,84%,20,800,30,400,527,90%,106,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,,0.09,0.19,0.38,,0.47
wpn_kiparis_m1,st_wpn_kiparis_m1,st_wpn_kiparis_m1_descr,1.40,18880,A,N,60%,84%,19,900,30,300,433,88%,107,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,,0.17,0.31,,0.46
