~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_brain,st_af_brain_name,st_af_brain_descr,1.72,28459,1,1,0.5,N,0%,0%,0%,-6.82%,0%,6.16%,0%,0%,0%,0,3186.2745098039,0,6.11,0%,0
af_bumerang,st_af_bumerang_name,st_af_bumerang_descr,0.95,107121,4,3,0.5,N,0%,0%,0%,0%,-22.75%,0%,-3.53%,23.10%,25.35%,0,0,0,22.09,0%,0
af_caterpillar,af_caterpillar_name,af_caterpillar_descr,1.06,102198,4,3,0.4,N,0%,0%,-4.04%,-19.09%,0%,21.33%,10.09%,0%,0%,0,0,0,22.09,0%,0
af_cell,st_af_cell_name,st_af_cell_descr,1.67,23200,4,0,0.1,Y,-2.97%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,-5.17,0%,0
af_chelust,st_af_chelust_name,st_af_chelust_descr,1.68,20400,3,0,0.12,Y,0%,-4.82%,0%,-8.77%,0%,0%,0%,0%,0%,0,0,0,-3.29,0%,0
af_chertyaico,st_af_chertyaico_name,st_af_chertyaico_descr,0.30,36552,2,2,0.01,N,0%,10.59%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_clear_sky,st_af_clear_sky_name,st_af_clear_sky_descr,0.69,58923,3,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,-7.41%,0%,0,0,0,22.09,0%,0
af_cocoon,st_af_cocoon_name,st_af_cocoon_descr,3.47,17400,2,0,0.05,Y,0%,0%,0%,0%,0%,0%,-1.01%,0%,0%,0,0,0,0,0%,5900
af_compass,st_af_compass_name,st_af_compass_descr,0.94,92237,4,3,0.2,N,0%,0%,12.40%,0%,68%,23.23%,0%,0%,0%,0,-2810.2941176471,0,22.09,0%,0
af_crist_flower,af-cristall-flower,enc_zone_artifact_af-cristall-flower,1.76,24400,4,0,0.2,Y,0%,0%,0%,0%,0%,0%,-2.09%,0%,0%,0,0,0,0,0%,0
af_cristal_drops,st_af_cristal_drops_name,st_af_cristal_drops_descr,0.85,39189,2,2,0.1,N,6.44%,0%,0%,0%,0%,11.38%,0%,0%,0%,0,0,-15.5750175,11.75,0%,0
af_cristall,st_af_cristall_name,st_af_cristall_descr,1.52,37912,2,2,0,N,0%,0%,9.40%,-11.93%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_cristall2,st_af_cristall2_name,st_af_cristall2_descr,1.66,43716,2,2,0,N,0%,0%,6.41%,0%,0%,0%,0%,14.44%,-6.14%,0,0,0,11.75,0%,0
af_cristall3,st_af_cristall3_name,st_af_cristall3_descr,1.46,47234,2,2,0,N,0%,0%,0%,-11.93%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_cristall_flower,st_af_cristall_flower_name,st_af_cristall_flower_descr,1.58,36931,2,2,0.6,N,0%,0%,0%,0%,0%,11.38%,0%,-5.39%,0%,0,0,42.027825,11.75,0%,0
af_cristall_flower2,st_af_cristall_flower2_name,st_af_cristall_flower2_descr,1.87,46635,2,2,0.5,N,0%,-2.70%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_cristall_flower3,st_af_cristall_flower3_name,st_af_cristall_flower3_descr,1.86,45072,2,2,0.6,N,0%,0%,6.41%,0%,-15.75%,0%,0%,0%,16.58%,0,0,0,11.75,0%,0
af_crystal_blood,st_af_crystal_blood_name,st_af_crystal_blood_descr,1.34,22319,1,1,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.50493682,0,0,6.11,25%,0
af_crystal_generator,st_af_crystal_generator_name,st_af_crystal_generator_descr,1.39,24068,1,1,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,-9%,0
af_crystal_glassbeads,st_af_crystal_glassbeads_name,st_af_crystal_glassbeads_descr,0.72,36679,2,2,0.5,N,0%,0%,0%,0%,0%,11.38%,-2.02%,0%,0%,0,0,42.027825,11.75,0%,0
af_crystal_gravi,st_af_crystal_gravi_name,st_af_crystal_gravi_descr,0.83,39639,2,2,0.5,N,0%,0%,0%,0%,42.50%,0%,0%,0%,0%,0,0,0,11.75,0%,8000
af_crystal_ice,st_af_crystal_ice_name,st_af_crystal_ice_descr,0.57,44247,2,2,0.5,N,6.44%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,45%,0
af_crystal_oko,st_af_crystal_oko_name,st_af_crystal_oko_descr,1.01,50526,3,3,0.5,N,0%,10.59%,0%,0%,0%,0%,8.65%,0%,0%,0,-2899.5098039216,0,22.09,0%,0
af_crystal_vyvert,st_af_crystal_vyvert_name,st_af_crystal_vyvert_descr,0.93,51972,3,3,0.5,N,0%,0%,0%,0%,55%,0%,0%,0%,0%,0,0,0,22.09,0%,11500
af_dark_soul,st_af_dark_soul_name,st_af_dark_soul_descr,0.74,56995,3,3,0.5,N,0%,0%,9.40%,0%,0%,0%,0%,0%,0%,0,-2899.5098039216,0,22.09,0%,0
af_death_lamp,st_af_death_lamp_name,st_af_death_lamp_descr,0.92,113430,4,3,0,N,0%,0%,0%,0%,0%,0%,-3.70%,0%,0%,0,9049.0196078431,79.1112,22.09,0%,0
af_deformer,st_af_deformer_name,st_af_deformer_descr,1.37,59067,3,3,0.7,N,0%,0%,0%,0%,0%,0%,8.65%,0%,21.45%,0,0,-24.227805,22.09,0%,0
af_dik_1,af_dik_1_name,af_dik_1_descr,1.01,36879,2,2,0.4,N,0%,0%,0%,0%,0%,10.90%,0%,0%,0%,9.633639435,0,0,11.75,0%,0
af_dik_2,af_dik_2_name,af_dik_2_descr,1.11,37392,2,2,0.6,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.633639435,0,0,11.75,0%,0
af_dik_3,af_dik_3_name,af_dik_3_descr,0.91,40840,2,2,1,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.633639435,0,0,11.75,0%,0
af_dik_4,af_dik_4_name,af_dik_4_descr,1.06,39480,2,2,2,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.633639435,0,39.5556,11.75,0%,0
af_dragon_eye,st_af_dragon_eye_name,st_af_dragon_eye_descr,2.68,15600,2,0,0.08,Y,0%,0%,3.42%,0%,0%,0%,0%,0%,-5.85%,0,0,0,0,0%,0
af_dummy_battery,st_af_dummy_battery_name,st_af_dummy_battery_descr,0.89,21544,1,1,0.01,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,45%,0
af_dummy_battery3,st_af_dummy_battery3_name,st_af_dummy_battery3_descr,0.46,32823,1,1,0.01,N,5.95%,0%,0%,0%,0%,0%,-1.01%,0%,0%,0,0,0,6.11,0%,0
af_dummy_battery_red,af_dummy_battery_red_name,af_dummy_battery_red_descr,1.49,47448,2,2,0.2,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,-16%,0
af_dummy_dummy,st_af_dummy_dummy_name,st_af_dummy_dummy_descr,0.99,40637,2,2,0.7,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,65%,0
af_dummy_dummy2,st_af_dummy_dummy2_name,st_af_dummy_dummy2_descr,1.93,24812,1,1,0,N,3.96%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_dummy_dummy3,st_af_dummy_dummy3_name,st_af_dummy_dummy3_descr,1.32,54864,3,3,0,N,0%,10.59%,-3.59%,43.83%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_dummy_glassbe,af-dummy-glassbeads,enc_zone_artifact_af-dummy-glassbeads,2.51,23400,4,0,0,N,3.96%,0%,0%,0%,0%,0%,0%,0%,10.72%,0,0,0,0,0%,0
af_dummy_glassbeads,st_af_dummy_glassbeads_name,st_af_dummy_glassbeads_descr,1.23,29871,1,1,0.01,Y,0%,0%,0%,0%,-10.50%,0%,0%,0%,0%,0,0,39.5556,6.11,0%,0
af_dummy_glassbeads2,st_af_dummy_glassbeads2_name,st_af_dummy_glassbeads2_descr,0.82,58196,3,3,0.01,N,0%,0%,0%,0%,0%,17.06%,-3.03%,0%,0%,0,0,64.27785,22.09,0%,0
af_dummy_glassbeads3,st_af_dummy_glassbeads3_name,st_af_dummy_glassbeads3_descr,1.87,8400,1,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_dummy_pellicle_red,af_dummy_pellicle_red_name,af_dummy_pellicle_red_descr,2.17,49068,3,3,0.2,N,0%,10.59%,0%,43.83%,-21%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_dummy_spri,af-dummy-spring,enc_zone_artifact_af-dummy-spring,3.43,9200,1,0,0,Y,0%,2.89%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_dummy_spring_red,af_dummy_spring_red_name,af_dummy_spring_red_descr,2.13,59318,3,3,0.2,N,8.92%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_ear,st_af_ear_name,st_af_ear_descr,1.16,6700,1,0,0.05,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,7.91112,0,0%,0
af_electra_fla,af-electra-flash,enc_zone_artifact_af-electra-flash,0.29,25937,1,1,0.9,N,0%,0%,0%,0%,0%,0%,5.76%,0%,0%,0,-1115.1960784314,0,6.11,0%,0
af_electra_flash,st_af_electra_flash_name,st_af_electra_flash_descr,0.35,56557,3,3,0.1,N,0%,0%,0%,58.44%,0%,0%,0%,0%,-8.19%,0,0,0,22.09,0%,0
af_electra_flash2,st_af_electra_flash2_name,st_af_electra_flash2_descr,1.48,29797,1,1,0.1,N,0%,0%,0%,0%,30%,0%,0%,0%,0%,0,0,0,6.11,25%,0
af_electra_flash3,st_af_electra_flash3_name,st_af_electra_flash3_descr,1.17,30172,1,1,0.1,N,0%,0%,0%,0%,0%,0%,2.88%,0%,11.70%,0,0,-6.92223,6.11,0%,0
af_electra_moon,af-electra-moonlight,enc_zone_artifact_af-electra-moonlight,0.42,35980,2,2,0,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,5098.0392156863,0,11.75,0%,0
af_electra_moonlight,st_af_electra_moonlight_name,st_af_electra_moonlight_descr,0.25,41729,2,2,0.1,N,0%,0%,0%,43.83%,0%,0%,0%,0%,-6.14%,0,0,0,11.75,0%,0
af_electra_moonlight2,st_af_electra_moonlight2_name,st_af_electra_moonlight2_descr,1.68,60353,3,3,0.1,N,0%,0%,0%,0%,55%,0%,0%,0%,0%,0,0,0,22.09,65%,0
af_electra_spar,af-electra-sparkler,enc_zone_artifact_af-electra-sparkler,3.59,8900,1,0,0.2,Y,0%,0%,0%,25.32%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_electra_sparkler,st_af_electra_sparkler_name,st_af_electra_sparkler_descr,0.15,31748,1,1,0.5,N,0%,0%,0%,29.22%,0%,0%,0%,0%,-4.10%,0,0,0,6.11,0%,0
af_electra_sparkler2,st_af_electra_sparkler2_name,st_af_electra_sparkler2_descr,1.58,45280,2,2,0.5,N,0%,0%,0%,0%,42.50%,0%,0%,0%,0%,0,0,0,11.75,45%,0
af_electra_sparkler3,st_af_electra_sparkler3_name,st_af_electra_sparkler3_descr,0.95,53573,3,3,0.5,N,8.92%,0%,0%,0%,0%,17.06%,0%,0%,0%,0,0,-24.227805,22.09,0%,0
af_electro_crystal_thorn,af_electro_crystal_thorn_name,af_electro_crystal_thorn_descr,1.54,53825,3,3,0.3,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.67983152,0,0,22.09,65%,0
af_elektron,st_af_elektron_name,st_af_elektron_descr,1.82,21300,3,0,0.05,Y,0%,0%,0%,0%,0%,0%,1.44%,4.81%,0%,0,0,0,0,0%,0
af_empty,st_af_empty_name,st_af_empty_descr,0.53,42760,2,2,0,N,6.44%,0%,0%,0%,0%,0%,0%,0%,16.58%,0,0,-15.5750175,11.75,0%,0
af_eye,st_af_eye_name,st_af_eye_descr,1.33,44811,2,2,0.05,N,0%,0%,0%,0%,-15.75%,0%,0%,0%,0%,0,0,64.27785,11.75,0%,0
af_eye3,st_af_eye3_name,st_af_eye3_descr,0.20,26434,1,1,0.05,N,0%,6.74%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_fire,st_af_fire_name,st_af_fire_descr,1.43,48658,3,3,0.1,N,0%,0%,0%,0%,-21%,0%,0%,0%,0%,0,0,89.0001,22.09,0%,0
af_fire3,st_af_fire3_name,st_af_fire3_descr,0.45,27486,1,1,0.1,N,0%,0%,0%,0%,0%,-5.69%,0%,9.63%,0%,0,0,0,6.11,0%,0
af_fire_ba,af-fireball,enc_zone_artifact_af-fireball,0.32,20264,1,1,0.9,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,2931.3725490196,0,6.11,0%,0
af_fire_loop,st_af_fire_loop_name,st_af_fire_loop_descr,2.63,16800,2,0,0.05,Y,0%,0%,0%,0%,0%,0%,0%,-4.81%,0%,0,0,17.80002,0,0%,0
af_fireball,st_af_fireball_name,st_af_fireball_descr,1.62,52795,3,3,0,N,0%,0%,12.82%,-17.04%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_fireball2,st_af_fireball2_name,st_af_fireball2_descr,1.76,53558,3,3,0,N,0%,0%,9.40%,0%,0%,0%,0%,19.25%,-8.19%,0,0,0,22.09,0%,0
af_fireball3,st_af_fireball3_name,st_af_fireball3_descr,0.62,28686,1,1,0,N,0%,0%,0%,0%,0%,5.69%,-1.01%,0%,0%,0,0,19.7778,6.11,0%,0
af_fonar,st_af_fonar_name,st_af_fonar_descr,1.70,17800,2,0,0.08,Y,0%,0%,0%,0%,0%,0%,0%,-0.96%,0%,0,0,0,0,9%,0
af_fountain,st_af_fountain_name,st_af_fountain_descr,3.27,16100,2,0,0.1,Y,2.97%,0%,0%,0%,0%,0%,0%,0%,6.83%,0,0,0,0,-8%,0
af_full_empty,st_af_full_empty_name,st_af_full_empty_descr,0.63,57320,3,3,0,N,8.92%,0%,0%,0%,0%,0%,0%,0%,21.45%,0,0,-24.227805,22.09,0%,0
af_fuzz_kolobok,st_af_fuzz_kolobok_name,st_af_fuzz_kolobok_descr,0.60,40594,2,2,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.67983152,0,0,11.75,0%,0
af_fuzz_kolobok2,st_af_fuzz_kolobok2_name,st_af_fuzz_kolobok2_descr,0.99,50539,3,3,0.5,N,0%,0%,-3.59%,0%,0%,0%,0%,0%,0%,0,10196.078431373,0,22.09,0%,0
af_fuzz_kolobok3,st_af_fuzz_kolobok3_name,st_af_fuzz_kolobok3_descr,0.30,41785,2,2,0.5,N,0%,0%,0%,-11.93%,0%,0%,0%,14.44%,0%,0,0,0,11.75,0%,0
af_geliy,st_af_geliy_name,st_af_geliy_descr,0.34,73150,4,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_generator,st_af_generator_name,st_af_generator_descr,3.17,20700,3,0,0.05,Y,-1.98%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,25%,0
af_gimlet,st_af_gimlet_name,st_af_gimlet_descr,0.09,30700,4,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_glass,st_af_glass_name,st_af_glass_descr,0.70,55279,3,3,0.01,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,20.18476834,0,0,22.09,0%,0
af_glass3,st_af_glass3_name,st_af_glass3_descr,0.49,30431,1,1,0.01,N,0%,0%,0%,0%,0%,0%,0%,-3.37%,0%,0,0,0,6.11,0%,0
af_gold_fish,st_af_gold_fish_name,st_af_gold_fish_descr,0.89,66200,3,3,1,N,0%,0%,0%,0%,0%,0%,0%,-7.41%,0%,0,0,0,22.09,0%,17100
af_gold_fish2,st_af_gold_fish2_name,st_af_gold_fish2_descr,0.85,57633,3,3,0.5,N,0%,0%,0%,0%,0%,0%,-9.29%,0%,0%,0,0,0,22.09,0%,0
af_grapes,st_af_grapes_name,st_af_grapes_descr,1.78,18700,3,0,0.01,Y,0%,0%,0%,0%,0%,-3.79%,0%,0%,-2.92%,0,0,0,0,0%,6200
af_gravi,st_af_gravi_name,st_af_gravi_descr,1.14,47500,2,2,0.9,N,0%,0%,0%,0%,0%,0%,0%,-5.39%,0%,0,0,0,11.75,0%,12600
af_gravi2,st_af_gravi2_name,st_af_gravi2_descr,0.75,35435,2,2,0.5,N,0%,0%,0%,0%,0%,0%,-6.20%,0%,0%,0,0,0,11.75,0%,0
af_gubka3,st_af_gubka3_name,st_af_gubka3_descr,0.64,28156,1,1,0.3,N,0%,0%,0%,0%,0%,10.43%,0%,0%,0%,0,0,0,6.11,0%,0
af_ice,st_af_ice_name,st_af_ice_descr,1.09,59311,3,3,0,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,85%,0
af_ice3,st_af_ice3_name,st_af_ice3_descr,0.47,25735,1,1,0,N,3.96%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,25%,0
af_indeikam3,st_af_indeikam3_name,st_af_indeikam3_descr,1.48,32758,1,1,0.1,N,0%,0%,0%,0%,0%,5.69%,0%,-3.37%,0%,0,0,19.7778,6.11,0%,0
af_itcher,st_af_itcher_name,st_af_itcher_descr,0.64,38864,2,2,0,N,0%,0%,7.69%,0%,0%,0%,0%,0%,0%,0,-2007.3529411765,0,11.75,0%,0
af_itching1,st_af_itching1_name,st_af_itching1_descr,3.15,18300,3,0,0.2,Y,0%,2.89%,0%,0%,0%,0%,0%,0%,0%,0,0,-10.87779,0,0%,0
af_itching_low,st_af_itching_low_name,st_af_itching_low_descr,2.76,13100,2,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,-9.67442629,0,0,0,0%,0
af_joker,st_af_joker_name,st_af_joker_descr,1.29,19500,3,0,0.2,Y,0%,0%,0%,0%,0%,0%,3.36%,0%,0%,0,0,0,0,0%,0
af_karusel,st_af_karusel_name,st_af_karusel_descr,1.97,95198,4,3,0.5,N,0%,0%,-3.89%,0%,0%,0%,0%,0%,8.87%,0,8539.2156862745,0,22.09,0%,14600
af_kashtan,st_af_kashtan_name,st_af_kashtan_descr,0.55,37162,2,2,0.01,N,0%,0%,0%,0%,0%,-12.32%,0%,14.44%,0%,0,0,0,11.75,0%,0
af_kislushka,st_af_kislushka_name,st_af_kislushka_descr,1.82,7600,1,0,0.05,Y,0%,0%,0%,0%,9%,1.90%,0%,0%,0%,0,0,0,0,0%,0
af_klaksa,st_af_klaksa_name,st_af_klaksa_descr,0.79,21161,1,1,0.5,N,0%,0%,-1.20%,0%,0%,0%,0%,0%,0%,0,5098.0392156863,0,6.11,0%,0
af_kogot,st_af_kogot_name,st_af_kogot_descr,1.47,7400,1,0,0.05,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,-1.084,0,0,0,19%,5100
af_kol_4,af_kol_4_name,af_kol_4_descr,1.28,38274,2,2,2,N,0%,-2.70%,0%,0%,0%,0%,5.76%,0%,0%,10.09238417,0,0,11.75,0%,0
af_ledenec,st_af_ledenec_name,st_af_ledenec_descr,3.07,19500,3,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,1274.5098039216,0,0,0%,0
af_life_heart,af_life_heart_name,af_life_heart_descr,2.24,52440,3,3,0.5,N,0%,0%,0%,0%,-21%,0%,8.65%,0%,0%,0,0,0,22.09,0%,0
af_lifekam,st_af_lifekam_name,st_af_lifekam_descr,1.68,59409,3,3,0,N,0%,0%,0%,0%,0%,17.06%,0%,-7.41%,0%,0,0,64.27785,22.09,0%,0
af_lifekam3,st_af_lifekam3_name,st_af_lifekam3_descr,1.22,39732,2,2,0,N,0%,7.22%,-2.39%,31.65%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_lighthouse,st_af_lighthouse_name,st_af_lighthouse_descr,2.24,24500,4,0,0.02,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,-9.8889,0,26%,0
af_lobster_eyes,st_af_lobster_eyes_name,st_af_lobster_eyes_descr,1.92,59860,3,3,0.1,N,0%,0%,0%,-17.04%,0%,18.96%,0%,0%,0%,0,7647.0588235294,0,22.09,0%,0
af_magnito,st_af_magnito_name,st_af_magnito_descr,1.59,58948,3,3,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,-23%,0
af_mahovik,st_af_mahovik_name,st_af_mahovik_descr,1.96,32008,1,1,0.5,N,-1.39%,0%,0%,0%,0%,0%,0%,9.63%,0%,0,0,0,6.11,0%,0
af_mayatnik,st_af_mayatnik_name,st_af_mayatnik_descr,0.20,26029,1,1,0,N,0%,0%,0%,-6.82%,0%,0%,0%,9.63%,0%,0,0,0,6.11,0%,0
af_mayatnik3,st_af_mayatnik3_name,st_af_mayatnik3_descr,0.74,36568,2,2,0,N,0%,0%,0%,0%,0%,17.06%,0%,0%,0%,0,0,0,11.75,0%,0
af_med,af-medusa,enc_zone_artifact_af-medusa,2.24,14300,2,0,0.2,Y,0%,0%,0%,0%,0%,5.69%,0%,0%,0%,0,0,-2.96667,0,0%,0
af_medallion,st_af_medallion_name,st_af_medallion_descr,2.18,24900,4,0,0.05,Y,0%,0%,0%,0%,-14%,0%,-2.88%,0%,0%,0,0,0,-3.29,0%,0
af_medusa,st_af_medusa_name,st_af_medusa_descr,0.43,24900,1,1,0.5,N,3.96%,0%,0%,0%,0%,0%,0%,0%,11.70%,0,0,-6.92223,6.11,0%,0
af_medusa_green,af_medusa_green_name,af_medusa_green_descr,1.97,49414,3,3,0.5,N,0%,-4.05%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
