~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
light_freedom_outfit,freedom,light_freedom_outfit_name,light_freedom_outfit_description,6.12,48830,M,92%,71%,45%,33%,12%,8%,36%,12%,6%,33%,25%,3,5,25,103%
stalker_outfit,stalker,stalker_outfit_name,stalker_outfit_description,6.20,22950,M,67%,62%,26%,31%,10%,9%,27%,5%,0%,26%,18%,3,4,15,103%
greh_armored_outfit,greh,greh_armored_outfit_name,greh_armored_outfit_description,8.84,37700,M,84%,62%,36%,29%,6%,4%,36%,9%,0%,34%,27%,2,3,18,103%
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,bandit_ps5_outfit_description,6.64,29500,M,67%,62%,29%,29%,11%,11%,36%,11%,0%,27%,18%,3,5,26,103%
ecolog_outfit_green,st_data_export_unknown,st_ecologist_outfit_grn_name,st_ecologist_outfit_grn_description,2.72,24980,M,42%,100%,24%,21%,31%,13%,363%,70%,22%,20%,10%,3,5,20,102%
greh_ps5_outfit,greh,greh_ps5_outfit_name,greh_ps5_outfit_description,10.64,42500,M,84%,62%,36%,34%,6%,4%,36%,9%,0%,25%,22%,2,2,18,103%
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,svoboda_heavy_outfit_2_description,6.64,34500,M,85%,59%,33%,30%,14%,13%,45%,12%,0%,28%,17%,3,3,22,103%
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,dolg_pantsir_outfit_description,12.22,64350,M,99%,71%,47%,49%,21%,13%,96%,19%,0%,50%,31%,2,3,24,101%
bandit_sun_outfit,bandit,bandit_sun_outfit_name,bandit_sun_outfit_description,6.79,19920,M,67%,62%,23%,29%,9%,6%,23%,6%,0%,24%,18%,3,5,22,103%
specops_bandit_outfit,bandit,specops_bandit_outfit_name,specops_bandit_outfit_description,6.02,35500,M,98%,71%,30%,29%,10%,6%,42%,7%,0%,25%,20%,3,4,22,103%
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,bandit_scientific_dark_outfit_description,3.86,52130,M,79%,96%,50%,28%,13%,3%,90%,38%,16%,18%,11%,3,5,24,102%
light_loner_outfit,stalker,light_loner_outfit_name,light_loner_outfit_description,6.52,47830,M,92%,71%,45%,35%,13%,10%,36%,14%,3%,33%,24%,3,5,22,102%
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,merc_nighthunter_outfit_description,9.27,45100,M,86%,59%,43%,32%,12%,8%,36%,12%,0%,31%,23%,2,3,20,100%
specops_merc_outfit,killer,specops_merc_outfit_name,specops_merc_outfit_description,7.88,42700,M,98%,71%,39%,28%,32%,18%,78%,11%,0%,25%,20%,2,4,18,102%
nbc_outfit,stalker,nbc_outfit_name,nbc_outfit_description,8.14,32200,M,74%,62%,32%,32%,23%,24%,72%,41%,0%,28%,20%,2,3,16,103%
stalker_autumn_outfit,stalker,stalker_autumn_outfit_name,stalker_autumn_outfit_description,8.15,25220,M,67%,62%,26%,31%,13%,18%,42%,9%,0%,26%,18%,3,4,15,103%
wastelander_outfit,stalker,wastelander_outfit_name,wastelander_outfit_description,6.60,86350,M,95%,71%,65%,44%,52%,20%,393%,67%,19%,34%,18%,4,5,25,102%
light_dolg_outfit,dolg,light_dolg_outfit_name,light_dolg_outfit_description,7.12,48830,M,94%,71%,43%,39%,12%,8%,36%,12%,4%,36%,30%,2,4,22,102%
light_isg_outfit,isg,light_isg_outfit_name,light_isg_outfit_description,7.82,52830,M,94%,71%,47%,32%,13%,11%,42%,14%,3%,31%,27%,2,4,22,102%
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,dolg_heavy_outfit_description,11.52,60350,M,97%,71%,50%,44%,31%,20%,109%,20%,0%,40%,31%,2,3,24,101%
dolg_red_outfit,dolg,dolg_red_outfit_name,dolg_red_outfit_description,7.24,34600,M,85%,59%,29%,36%,13%,13%,42%,11%,0%,33%,22%,2,2,18,103%
svoboda_light_outfit,freedom,svoboda_light_outfit_name,svoboda_light_outfit_description,5.44,37500,M,86%,59%,29%,30%,11%,13%,42%,11%,0%,28%,18%,3,4,20,103%
monolith_nbc_outfit,monolith,monolith_nbc_outfit_name,monolith_nbc_outfit_description,9.54,39460,M,74%,62%,35%,28%,29%,27%,86%,58%,0%,25%,16%,2,4,15,103%
stalker_bear_outfit,stalker,stalker_bear_outfit_name,stalker_bear_outfit_description,8.48,29850,M,67%,62%,26%,35%,10%,8%,29%,6%,0%,29%,21%,2,3,15,102%
light_merc_outfit,killer,light_merc_outfit_name,light_merc_outfit_description,9.12,51830,M,94%,71%,49%,30%,12%,8%,36%,12%,8%,30%,27%,2,4,22,102%
isg_outfit,isg,isg_outfit_name,isg_outfit_description,5.09,44920,M,86%,59%,36%,34%,17%,17%,54%,14%,0%,28%,20%,3,5,26,103%
military_monolit_outfit,monolith,military_monolit_outfit_name,military_outfit_description,12.60,67350,M,97%,71%,53%,43%,23%,32%,96%,22%,0%,38%,27%,2,3,24,100%
military_freedom_outfit,freedom,military_freedom_outfit_name,military_outfit_description,9.44,64350,M,99%,71%,50%,42%,34%,20%,109%,20%,0%,46%,26%,2,3,26,101%
military_merc_outfit,killer,military_merc_outfit_name,military_outfit_description,14.90,67350,M,99%,71%,53%,45%,28%,22%,109%,20%,0%,40%,31%,2,3,24,101%
dolg_outfit,dolg,dolg_outfit_name,dolg_outfit_description,7.44,34500,M,85%,59%,33%,32%,16%,16%,54%,12%,0%,28%,20%,2,2,18,103%
nomad_outfit,stalker,nomad_outfit_name,nomad_outfit_description,5.20,78150,M,95%,71%,46%,44%,42%,20%,121%,19%,6%,34%,18%,4,5,25,103%
cs_nbc_outfit,csky,cs_nbc_outfit_name,cs_nbc_outfit_description,8.94,36810,M,74%,62%,29%,31%,28%,27%,84%,54%,0%,27%,20%,2,3,15,103%
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,8.45,52910,M,83%,96%,50%,34%,26%,5%,166%,48%,17%,31%,19%,3,5,16,99%
travel_outfit,stalker,travel_outfit_name,travel_outfit_description,5.88,37290,M,67%,62%,23%,28%,9%,6%,37%,9%,5%,23%,14%,3,3,50,103%
bandit_nbc_outfit,bandit,bandit_nbc_outfit_name,bandit_nbc_outfit_description,7.22,27500,M,74%,62%,29%,30%,17%,18%,60%,38%,0%,25%,15%,3,5,22,103%
monolith_outfit,monolith,monolith_outfit_name,monolith_outfit_description,11.12,55830,M,86%,59%,43%,36%,27%,22%,84%,16%,0%,31%,24%,2,4,20,103%
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,stalker_graphite_outfit_description,7.18,22990,M,67%,62%,26%,30%,19%,4%,12%,9%,39%,25%,18%,3,4,15,103%
light_monolit_outfit,monolith,light_monolit_outfit_name,light_monolit_outfit_description,9.22,51830,M,92%,71%,45%,32%,29%,17%,84%,16%,13%,31%,27%,2,4,20,102%
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,svoboda_heavy_outfit_description,6.24,41200,M,98%,71%,35%,31%,10%,6%,33%,11%,0%,28%,27%,3,3,18,102%
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,7.68,58475,M,83%,96%,54%,33%,26%,5%,166%,48%,15%,27%,13%,3,5,14,99%
isg_camo_outfit,isg,isg_merc_outfit_name,isg_merc_outfit_description,10.12,52830,M,86%,59%,43%,37%,14%,16%,54%,12%,0%,31%,24%,2,3,20,103%
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,bandit_scientific_outfit_description,4.21,51980,M,79%,96%,50%,32%,18%,4%,151%,41%,16%,20%,7%,3,5,25,102%
dolg_voin_outfit,dolg,dolg_voin_outfit_name,dolg_voin_outfit_description,8.44,37600,M,86%,59%,36%,34%,13%,13%,42%,11%,0%,30%,18%,2,3,18,103%
nbc_merc_outfit,killer,nbc_merc_outfit_name,nbc_merc_outfit_description,10.24,41420,M,74%,62%,35%,33%,23%,22%,66%,51%,0%,28%,21%,2,2,15,103%
nbc_freedom_outfit,freedom,nbc_freedom_outfit_name,nbc_freedom_outfit_description,7.54,36970,M,74%,62%,32%,31%,23%,22%,66%,51%,0%,27%,20%,2,4,18,103%
light_voen_outfit,army,light_voen_outfit_name,light_voen_outfit_description,7.82,49430,M,92%,71%,49%,31%,10%,6%,36%,12%,4%,28%,20%,2,4,24,102%
cs_stalker_outfit,csky,cs_stalker_outfit_name,cs_stalker_outfit_description,6.30,23550,M,67%,62%,23%,29%,25%,16%,51%,14%,0%,23%,15%,3,4,15,103%
military_outfit,army,military_outfit_name,military_outfit_description,10.29,57350,M,97%,71%,53%,41%,26%,20%,90%,20%,0%,36%,31%,2,3,24,102%
dolg_scout_outfit,dolg,dolg_scout_outfit_name,dolg_scout_outfit_description,6.24,36500,M,85%,59%,33%,30%,13%,12%,42%,11%,0%,27%,18%,2,4,22,103%
merc_sun_outfit,killer,merc_sun_outfit_name,merc_sun_outfit_description,7.12,47830,M,86%,59%,39%,37%,18%,18%,57%,14%,0%,31%,22%,2,3,22,103%
