~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,ui_inv_radiation,ui_inv_satiety,st_ui_number_of_uses,st_data_export_used_in_cooking,st_data_export_can_be_cooked,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight
vodka_quality,st_vodka_quality,st_vodka_quality_descr,1.45,2663,2,0.78%,6%,17%,-1.8%,0,2%,3,N,N,35,0%,0%,0,0,34,1190,0%,0%,0,0%,0,0
mutant_part_psysucker_meat,mutant_psysucker_meat,mutant_psysucker_meat_description,0.17,1358,0,0.16%,0%,0%,-1.35%,403,46%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_lurker_b,st_meat_lurker,st_meat_lurker_descr,0.20,3460,3,0.55%,0%,0%,-1.45%,69,54%,1,N,Y,229,0%,0%,0,0,0,0,1.1%,251%,0,0%,0,0
conserva,st_conserva,st_conserva_descr,0.17,620,2,0.06%,6%,0%,0%,0,22%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
mutant_part_chimera_meat,mutant_chimera_meat,mutant_chimera_meat_description,0.26,1738,0,0.15%,0%,0%,-1.9%,487,71%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
beer,st_beer,st_beer_descr,0.71,1349,1,0.27%,0%,3%,-0.4%,0,24%,1,N,N,30,0%,0%,0,0,16,480,0%,0%,0,0%,0,0
nuts,st_nuts,st_nuts_descr,0.11,1283,3,0.01%,2%,0%,0%,0,53%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
flask,st_flask,st_flask_descr,1.33,658,1,-0.69%,-52%,-8%,0%,0,2%,3,N,N,31,0%,0%,0,0,6,186,0%,0%,0,0%,0,0
meat_bloodsucker,st_meat_bloodsucker,st_meat_bloodsucker_descr,0.17,1755,3,0.15%,0%,0%,-4.2%,305,54%,1,N,Y,191,0%,0%,0,0,0,0,0.74%,141%,0,0%,0,0
mutant_part_dog_meat,mutant_dog_meat,mutant_dog_meat_description,0.07,257,0,0.04%,0%,0%,-0.85%,147,14%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_snork_a,st_meat_snork,st_meat_snork_descr,0.06,3662,2,0.11%,0%,0%,0%,0,14%,1,N,Y,768,0%,0%,0,0,0,0,0%,0%,2,8%,0,0
mutant_part_flesh_meat,mutant_flesh_meat,mutant_flesh_meat_description,0.16,622,0,0.11%,0%,0%,-2.45%,438,42%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
mre,st_mre,st_mre_descr,0.69,3200,4,0.03%,10%,0%,0%,0,46%,3,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_lurker,st_meat_lurker,st_meat_lurker_descr,0.20,2719,3,0.21%,0%,0%,-3.45%,185,50%,1,N,Y,141,0%,0%,0,0,0,0,0.78%,109%,0,0%,0,0
meat_chimera_b,st_meat_chimera,st_meat_chimera_descr,0.25,3831,4,0.55%,0%,0%,-2.45%,150,88%,1,N,Y,398,0%,0%,0,0,0,0,1.05%,417%,0,0%,0,2.06
meat_pseudodog_a,st_meat_pseudodog,st_meat_pseudodog_descr,0.09,3089,3,0.18%,0%,0%,0%,0,23%,1,N,Y,559,0%,0%,0,0,1,559,0%,0%,4,0%,0,0
marijuana,st_marijuana,st_marijuana_descr,0.03,1040,4,5.83%,2%,-10%,-0.4%,0,-18%,1,N,N,652,0%,0%,0,0,0,0,0%,0%,0,0%,4,0
cigarettes_lucky,st_cigarettes_lucky,st_cigarettes_lucky_descr,0.01,1663,2,-0.37%,2%,-3%,-0.1%,0,1%,3,N,N,54,0%,0%,0,0,14,756,0%,0%,0,0%,0,0
raisins,st_raisins,st_raisins_descr,0.05,520,1,0.01%,2%,0%,0%,0,17%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
water_drink,st_water_drink,st_water_drink_descr,0.38,613,1,-0.69%,-51%,-15%,0%,0,4%,1,N,N,32,0%,0%,0,0,9,288,0%,0%,0,0%,0,0
corn,st_corn,st_corn_descr,0.34,650,2,0.04%,4%,0%,0%,0,24%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
cigar,st_cuban_cigar,st_cuban_cigar_descr,0.01,1898,3,-0.31%,2%,-7%,-0.5%,0,9%,1,N,N,74,0%,0%,0,0,21,1554,0%,0%,0,0%,0,0
tomato,st_tomato,st_tomato_descr,0.31,576,2,0.01%,5%,0%,0%,0,28%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
chocolate,st_chocolate,st_chocolate_descr,0.22,1980,3,0.02%,1%,0%,0%,0,51%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_boar_a,st_meat_boar,st_meat_boar_descr,0.19,4364,3,0.2%,0%,0%,0%,0,51%,1,N,Y,608,0%,0%,0,0,0,0,1.5%,912%,0,0%,0,3.27
beans,st_beans,st_beans_descr,0.34,895,2,0.06%,6%,0%,0%,0,43%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_dog_a,st_meat_dog,st_meat_dog_descr,0.14,1536,2,0.12%,0%,0%,0%,0,15%,1,N,Y,499,0%,0%,0.063,31.437,0,0,0%,0%,0,0%,0,0
hand_rolling_tobacco,st_hand_rolling_tobacco,st_hand_rolling_tobacco_descr,0.01,2801,2,-1.21%,2%,-9%,-0.4%,0,7%,3,N,N,15,0%,0%,0,0,33,495,0%,0%,0,0%,0,0
mint,st_mint,st_mint_descr,0.04,250,2,-0.16%,0%,-5%,0%,0,2%,3,N,N,14,0%,0%,0,0,5,70,0%,0%,0,0%,0,0
cigarettes_russian,st_cigarettes_russian,st_cigarettes_russian_descr,0.01,1208,1,-0.43%,2%,-4%,-0.9%,0,3%,3,N,N,48,0%,0%,0,0,5,240,0%,0%,0,0%,0,0
vodka2,st_vodka2,st_vodka2_descr,1.45,1516,1,0.63%,5%,16%,-1.8%,0,4%,3,N,N,37,0%,0%,0,0,29,1073,0%,0%,0,0%,0,0
meat_bloodsucker_b,st_meat_bloodsucker,st_meat_bloodsucker_descr,0.17,2373,3,0.26%,0%,0%,-2.2%,131,59%,1,N,Y,208,0%,0%,0,0,1,208,0.88%,183%,0,0%,0,0
meat_psysucker_b,st_meat_psysucker,st_meat_psysucker_descr,0.16,2964,3,0.15%,0%,0%,-4.2%,56,48%,1,N,Y,279,0%,0%,0,0,0,0,0%,0%,0,0%,1,0
meat_chimera_a,st_meat_chimera,st_meat_chimera_descr,0.25,6548,5,0.55%,0%,0%,3%,0,92%,1,N,Y,778,0%,0%,0,0,0,0,2.5%,1945%,0,0%,0,5.67
mutant_part_psevdodog_meat,mutant_psevdodog_meat,mutant_psevdodog_meat_description,0.16,652,0,0.05%,0%,0%,-0.9%,166,19%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
vodka,st_vodka,st_vodka_descr,1.45,946,1,0.45%,4%,19%,-1.8%,0,2%,3,N,N,35,0%,0%,0,0,20,700,0%,0%,0,0%,0,0
tushonka,st_tushonka,st_tushonka_descr,0.34,990,3,0.06%,6%,0%,0%,0,58%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
tobacco,st_tobacco,st_tobacco_descr,0.11,3268,2,-0.88%,2%,-8%,-0.9%,0,5%,3,N,N,20,0%,0%,0,0,28,560,0%,0%,0,0%,0,0
tea,st_tea,st_tea_descr,1.03,4473,3,-3.49%,-70%,-28%,0%,0,22%,3,N,N,158,0%,0%,0,0,9,1422,1.15%,181%,0,0%,0,2.54
meat_bloodsucker_a,st_meat_bloodsucker,st_meat_bloodsucker_descr,0.17,4596,4,0.26%,0%,0%,0%,0,62%,1,N,Y,548,0%,0%,0,0,2,1096,1.5%,822%,0,0%,0,0
meat_flesh_b,st_meat_flesh,st_meat_flesh_descr,0.18,1914,2,0.4%,0%,0%,-2.85%,154,42%,1,N,Y,121,0.12%,14%,0,0,0,0,0%,0%,0,0%,0,0
sausage,st_sausage,st_sausage_descr,0.11,657,2,0.04%,6%,0%,0%,0,32%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_pseudodog,st_meat_pseudodog,st_meat_pseudodog_descr,0.09,989,2,0.1%,0%,0%,-3.1%,153,20%,1,N,Y,150,0%,0%,0,0,0,0,0%,0%,2,0%,0,0
salmon,st_salmon,st_salmon_descr,0.10,500,1,0.01%,5%,0%,0%,0,16%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
cigarettes,st_cigarettes,st_cigarettes_descr,0.01,1402,2,-0.41%,2%,-6%,-0.7%,0,2%,3,N,N,52,0%,0%,0,0,14,728,0%,0%,0,0%,0,0
mutant_part_snork_hand,mutant_snork_hand,mutant_snork_hand_description,0.06,557,0,0.04%,0%,0%,-0.95%,212,11%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
ration_ukr,st_ration_ukr,st_ration_ukr_descr,1.92,7300,5,0.04%,11%,0%,0%,0,53%,6,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_tushkano_b,st_meat_tushkano,st_meat_tushkano_descr,0.03,767,1,0.07%,0%,0%,-0.5%,11,9%,1,N,Y,167,0%,0%,0,0,0,0,0.35%,58%,0,0%,0,0
meat_psysucker,st_meat_psysucker,st_meat_psysucker_descr,0.16,2099,3,0.15%,0%,0%,-4.2%,189,45%,1,N,Y,182,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_flesh,st_meat_flesh,st_meat_flesh_descr,0.18,1173,2,0.17%,0%,0%,-5.85%,328,43%,1,N,Y,80,0.09%,7%,0,0,0,0,0%,0%,0,0%,0,0
ration_ru,st_ration_ru,st_ration_ru_descr,1.41,8000,5,0.06%,11%,0%,0%,0,52%,7,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
mutant_part_tushkano_meat,mutant_tushkano_meat,mutant_tushkano_meat_description,0.04,204,0,0.25%,0%,0%,-0.3%,104,9%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_snork,st_meat_snork,st_meat_snork_descr,0.06,1068,1,0.05%,0%,0%,-3.2%,113,12%,1,N,Y,209,0%,0%,0,0,0,0,0%,0%,0,2%,0,0
mutant_part_lurker_meat,mutant_lurker_meat,mutant_lurker_meat_description,0.26,1738,0,0.15%,0%,0%,-2.7%,476,51%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
bottle_metal,st_bottle_metal,st_bottle_metal_descr,1.42,1264,1,7.43%,5%,19%,-1.8%,0,1%,3,N,N,29,0%,0%,0,0,18,522,0%,0%,0,0%,0,0
meat_tushkano_a,st_meat_tushkano,st_meat_tushkano_descr,0.03,1014,2,0.07%,3%,0%,0%,0,10%,1,N,Y,338,0%,0%,0,0,0,0,0.6%,202%,0,0%,0,0
cigar3,st_cigar3,st_cigar3_descr,0.01,3581,3,-0.85%,2%,-8%,-0.4%,0,2%,3,N,N,54,0%,0%,0,0,21,1134,0%,0%,0,0%,0,0
meat_tushkano,st_meat_tushkano,st_meat_tushkano_descr,0.03,397,1,0.04%,0%,0%,-1.2%,31,9%,1,N,Y,108,0%,0%,0,0,0,0,0.2%,21%,0,0%,0,0
breadold,st_breadold,st_breadold_descr,0.19,500,1,0.02%,3%,0%,0%,0,17%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_dog_b,st_meat_dog,st_meat_dog_descr,0.14,1042,1,0.12%,0%,0%,-0.9%,31,15%,1,N,Y,267,0%,0%,0.033,8.811,0,0,0%,0%,0,0%,0,0
energy_drink,st_energy_drink,st_energy_drink_descr,0.33,1090,1,-1.83%,-39%,-8%,0%,0,11%,1,N,N,280,0%,0%,0,0,1,280,2.8%,784%,0,0%,0,1.05
kolbasa,st_kolbasa,st_kolbasa_descr,0.33,874,3,0.22%,6%,0%,-1.2%,0,44%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_chimera,st_meat_chimera,st_meat_chimera_descr,0.25,2719,4,0.21%,0%,0%,-6.45%,383,81%,1,N,Y,280,0%,0%,0,0,0,0,0.91%,254%,0,0%,0,1.60
cigar2,st_cigar2,st_cigar2_descr,0.01,3092,3,-0.69%,2%,-7%,-0.5%,0,2%,3,N,N,52,0%,0%,0,0,19,988,0%,0%,0,0%,0,0
bread,st_bread,st_bread_descr,0.19,600,2,0.02%,2%,0%,0%,0,21%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_snork_b,st_meat_snork,st_meat_snork_descr,0.06,1667,1,0.11%,0%,0%,-1.2%,39,13%,1,N,Y,322,0%,0%,0,0,0,0,0%,0%,1,3%,0,0
camelbak_chug,st_beer,st_beer_descr,0,0,1,0%,-27%,0%,0%,0,0%,1,N,N,1,0%,0%,0,0,0,0,9%,8%,0,0%,0,0
drink_crow,st_drink_crow,st_drink_crow_descr,0.22,5660,3,-4.53%,-27%,-35%,-3.6%,0,66%,1,N,N,174,0%,0%,0,0,20,3480,0%,0%,0,0%,0,0
meat_lurker_a,st_meat_lurker,st_meat_lurker_descr,0.20,5066,4,0.55%,0%,0%,0%,0,57%,1,N,Y,548,0%,0%,0,0,0,0,2.5%,1370%,0,0%,0,0
mutant_part_krovosos_meat,mutant_krovosos_meat,mutant_krovosos_meat_description,0.17,1132,0,0.16%,0%,0%,-1.35%,403,63%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_boar,st_meat_boar,st_meat_boar_descr,0.19,1276,2,0.14%,0%,0%,-6.4%,328,45%,1,N,Y,145,0%,0%,0,0,0,0,0.72%,104%,0,0%,0,0.89
meat_psysucker_a,st_meat_psysucker,st_meat_psysucker_descr,0.16,4446,4,0.15%,0%,0%,0%,0,51%,1,N,Y,748,0%,0%,0,0,0,0,0%,0%,0,0%,2,0
meat_boar_b,st_meat_boar,st_meat_boar_descr,0.19,2141,2,0.2%,0%,0%,-2.4%,150,48%,1,N,Y,311,0%,0%,0,0,0,0,0.95%,295%,0,0%,0,1.30
mineral_water,st_mineral_water,st_mineral_water_descr,1.03,2010,2,-0.94%,-74%,-10%,0%,0,5%,3,N,N,34,0%,0%,0,0,12,408,0%,0%,0,0%,0,0
