~,st_class,st_ui_dbg_spawn_type,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_max_uses
af_absorbent_af_iam,SCRPTART,i_arty_cont,st_af_absorbent_af_iam_name,st_af_absorbent_af_iam_descr,4.16,0,
af_absorbent_lead_box,II_ATTCH,i_arty_cont,st_af_absorbent_lead_box_name,st_af_absorbent_lead_box_descr,3.88,0,
af_ameba_mi,ARTEFACT,i_arty,af-ameba-mica,enc_zone_artifact_af-ameba-mica,0.59,47094,
af_ameba_mi_af_aac,SCRPTART,i_arty_cont,st_af-ameba-mica_aac_name,st_af-ameba-mica_aac_descr,3.32,0,
af_ameba_mi_af_aam,SCRPTART,i_arty_cont,st_af-ameba-mica_aam_name,st_af-ameba-mica_aam_descr,3.65,0,
af_ameba_mi_af_iam,SCRPTART,i_arty_cont,st_af-ameba-mica_iam_name,st_af-ameba-mica_iam_descr,2.99,0,
af_ameba_mi_lead_box,II_ATTCH,i_arty_cont,st_af-ameba-mica_lead_box_name,st_af-ameba-mica_lead_box_descr,2.71,0,
af_ameba_mica,ARTEFACT,i_arty,af_ameba_mica,st_af_ameba_mica_descr,0.84,55722,
af_ameba_mica_af_aac,SCRPTART,i_arty_cont,st_af_ameba_mica_af_aac_name,st_af_ameba_mica_af_aac_descr,3.57,0,
af_ameba_mica_af_aam,SCRPTART,i_arty_cont,st_af_ameba_mica_af_aam_name,st_af_ameba_mica_af_aam_descr,3.90,0,
af_ameba_mica_af_iam,SCRPTART,i_arty_cont,st_af_ameba_mica_af_iam_name,st_af_ameba_mica_af_iam_descr,3.24,0,
af_ameba_mica_lead_box,II_ATTCH,i_arty_cont,st_af_ameba_mica_lead_box_name,st_af_ameba_mica_lead_box_descr,2.96,0,
af_ameba_sli,ARTEFACT,i_arty_junk,af-ameba-slime,enc_zone_artifact_af-ameba-slime,2.95,7200,
af_ameba_slime,ARTEFACT,i_arty,af_ameba_slime,st_af_ameba_slime_descr,0.64,20662,
af_ameba_slime_af_aac,SCRPTART,i_arty_cont,st_af_ameba_slime_af_aac_name,st_af_ameba_slime_af_aac_descr,3.37,0,
af_ameba_slime_af_aam,SCRPTART,i_arty_cont,st_af_ameba_slime_af_aam_name,st_af_ameba_slime_af_aam_descr,3.70,0,
af_ameba_slime_af_iam,SCRPTART,i_arty_cont,st_af_ameba_slime_af_iam_name,st_af_ameba_slime_af_iam_descr,3.04,0,
af_ameba_slime_lead_box,II_ATTCH,i_arty_cont,st_af_ameba_slime_lead_box_name,st_af_ameba_slime_lead_box_descr,2.76,0,
af_ameba_slu,ARTEFACT,i_arty_junk,af-ameba-slug,enc_zone_artifact_af-ameba-slug,3.09,8500,
af_ameba_slug,ARTEFACT,i_arty,af_ameba_slug,st_af_ameba_slug_descr,0.74,47950,
af_ameba_slug_af_aac,SCRPTART,i_arty_cont,st_af_ameba_slug_af_aac_name,st_af_ameba_slug_af_aac_descr,3.47,0,
af_ameba_slug_af_aam,SCRPTART,i_arty_cont,st_af_ameba_slug_af_aam_name,st_af_ameba_slug_af_aam_descr,3.80,0,
af_ameba_slug_af_iam,SCRPTART,i_arty_cont,st_af_ameba_slug_af_iam_name,st_af_ameba_slug_af_iam_descr,3.14,0,
af_ameba_slug_lead_box,II_ATTCH,i_arty_cont,st_af_ameba_slug_lead_box_name,st_af_ameba_slug_lead_box_descr,2.86,0,
af_arhara_globus,ARTEFACT,i_arty_junk,af_arhara_globus_name,af_arhara_globus_descr,2.34,23800,
af_armor_1,ARTEFACT,i_arty,af_armor_1_name,af_armor_1_descr,1.12,24232,
af_armor_1_af_aac,SCRPTART,i_arty_cont,st_af_armor_1_af_aac_name,st_af_armor_1_af_aac_descr,3.85,0,
af_armor_1_af_aam,SCRPTART,i_arty_cont,st_af_armor_1_af_aam_name,st_af_armor_1_af_aam_descr,4.18,0,
af_armor_1_af_iam,SCRPTART,i_arty_cont,st_af_armor_1_af_iam_name,st_af_armor_1_af_iam_descr,3.52,0,
af_armor_1_lead_box,II_ATTCH,i_arty_cont,st_af_armor_1_lead_box_name,st_af_armor_1_lead_box_descr,3.24,0,
af_armor_2,ARTEFACT,i_arty,af_armor_2_name,af_armor_2_descr,1.22,24518,
af_armor_2_af_aac,SCRPTART,i_arty_cont,st_af_armor_2_af_aac_name,st_af_armor_2_af_aac_descr,3.95,0,
af_armor_2_af_aam,SCRPTART,i_arty_cont,st_af_armor_2_af_aam_name,st_af_armor_2_af_aam_descr,4.28,0,
af_armor_2_af_iam,SCRPTART,i_arty_cont,st_af_armor_2_af_iam_name,st_af_armor_2_af_iam_descr,3.62,0,
af_armor_2_lead_box,II_ATTCH,i_arty_cont,st_af_armor_2_lead_box_name,st_af_armor_2_lead_box_descr,3.34,0,
af_armor_3,ARTEFACT,i_arty,af_armor_3_name,af_armor_3_descr,1.17,21155,
af_armor_3_af_aac,SCRPTART,i_arty_cont,st_af_armor_3_af_aac_name,st_af_armor_3_af_aac_descr,3.90,0,
af_armor_3_af_aam,SCRPTART,i_arty_cont,st_af_armor_3_af_aam_name,st_af_armor_3_af_aam_descr,4.23,0,
af_armor_3_af_iam,SCRPTART,i_arty_cont,st_af_armor_3_af_iam_name,st_af_armor_3_af_iam_descr,3.57,0,
af_armor_3_lead_box,II_ATTCH,i_arty_cont,st_af_armor_3_lead_box_name,st_af_armor_3_lead_box_descr,3.29,0,
af_armor_4,ARTEFACT,i_arty,af_armor_4_name,af_armor_4_descr,1.02,32023,
af_armor_4_af_aac,SCRPTART,i_arty_cont,st_af_armor_4_af_aac_name,st_af_armor_4_af_aac_descr,3.75,0,
af_armor_4_af_aam,SCRPTART,i_arty_cont,st_af_armor_4_af_aam_name,st_af_armor_4_af_aam_descr,4.08,0,
af_armor_4_af_iam,SCRPTART,i_arty_cont,st_af_armor_4_af_iam_name,st_af_armor_4_af_iam_descr,3.42,0,
af_armor_4_lead_box,II_ATTCH,i_arty_cont,st_af_armor_4_lead_box_name,st_af_armor_4_lead_box_descr,3.14,0,
af_atom,ARTEFACT,i_arty_junk,st_af_atom_name,st_af_atom_descr,1.08,11600,
af_babka_1,ARTEFACT,i_arty,af_babka_1_name,af_babka_1_descr,0.36,31424,
af_babka_1_af_aac,SCRPTART,i_arty_cont,st_af_babka_1_af_aac_name,st_af_babka_1_af_aac_descr,3.09,0,
af_babka_1_af_aam,SCRPTART,i_arty_cont,st_af_babka_1_af_aam_name,st_af_babka_1_af_aam_descr,3.42,0,
af_babka_1_af_iam,SCRPTART,i_arty_cont,st_af_babka_1_af_iam_name,st_af_babka_1_af_iam_descr,2.76,0,
af_babka_1_lead_box,II_ATTCH,i_arty_cont,st_af_babka_1_lead_box_name,st_af_babka_1_lead_box_descr,2.48,0,
af_babka_2,ARTEFACT,i_arty,af_babka_2_name,af_babka_2_descr,0.46,44595,
af_babka_2_af_aac,SCRPTART,i_arty_cont,st_af_babka_2_af_aac_name,st_af_babka_2_af_aac_descr,3.19,0,
af_babka_2_af_aam,SCRPTART,i_arty_cont,st_af_babka_2_af_aam_name,st_af_babka_2_af_aam_descr,3.52,0,
af_babka_2_af_iam,SCRPTART,i_arty_cont,st_af_babka_2_af_iam_name,st_af_babka_2_af_iam_descr,2.86,0,
af_babka_2_lead_box,II_ATTCH,i_arty_cont,st_af_babka_2_lead_box_name,st_af_babka_2_lead_box_descr,2.58,0,
af_babka_3,ARTEFACT,i_arty,af_babka_3_name,af_babka_3_descr,0.56,53481,
af_babka_3_af_aac,SCRPTART,i_arty_cont,st_af_babka_3_af_aac_name,st_af_babka_3_af_aac_descr,3.29,0,
af_babka_3_af_aam,SCRPTART,i_arty_cont,st_af_babka_3_af_aam_name,st_af_babka_3_af_aam_descr,3.62,0,
af_babka_3_af_iam,SCRPTART,i_arty_cont,st_af_babka_3_af_iam_name,st_af_babka_3_af_iam_descr,2.96,0,
af_babka_3_lead_box,II_ATTCH,i_arty_cont,st_af_babka_3_lead_box_name,st_af_babka_3_lead_box_descr,2.68,0,
af_ball,ARTEFACT,i_arty_junk,st_af_ball_name,st_af_ball_descr,1.87,10400,
af_baloon,ARTEFACT,i_arty,st_af_baloon_name,st_af_baloon_descr,0.96,52153,
af_baloon3,ARTEFACT,i_arty,st_af_baloon3_name,st_af_baloon3_descr,2.14,38656,
af_baloon3_af_aac,SCRPTART,i_arty_cont,st_af_baloon3_af_aac_name,st_af_baloon3_af_aac_descr,4.87,0,
af_baloon3_af_aam,SCRPTART,i_arty_cont,st_af_baloon3_af_aam_name,st_af_baloon3_af_aam_descr,5.20,0,
af_baloon3_af_iam,SCRPTART,i_arty_cont,st_af_baloon3_af_iam_name,st_af_baloon3_af_iam_descr,4.54,0,
af_baloon3_lead_box,II_ATTCH,i_arty_cont,st_af_baloon3_lead_box_name,st_af_baloon3_lead_box_descr,4.26,0,
af_baloon_af_aac,SCRPTART,i_arty_cont,st_af_baloon_af_aac_name,st_af_baloon_af_aac_descr,3.69,0,
af_baloon_af_aam,SCRPTART,i_arty_cont,st_af_baloon_af_aam_name,st_af_baloon_af_aam_descr,4.02,0,
af_baloon_af_iam,SCRPTART,i_arty_cont,st_af_baloon_af_iam_name,st_af_baloon_af_iam_descr,3.36,0,
af_baloon_lead_box,II_ATTCH,i_arty_cont,st_af_baloon_lead_box_name,st_af_baloon_lead_box_descr,3.08,0,
af_bat,ARTEFACT,i_arty_junk,st_af_bat_name,st_af_bat_descr,1.18,30300,
af_best_compass,SCRPTART,i_arty,st_compass2,st_compass2_descr,0.84,54694,
af_best_compass_af_aac,SCRPTART,i_arty_cont,st_af_best_compass_af_aac_name,st_af_best_compass_af_aac_descr,3.57,0,
af_best_compass_af_aam,SCRPTART,i_arty_cont,st_af_best_compass_af_aam_name,st_af_best_compass_af_aam_descr,3.90,0,
af_best_compass_af_iam,SCRPTART,i_arty_cont,st_af_best_compass_af_iam_name,st_af_best_compass_af_iam_descr,3.24,0,
af_best_compass_lead_box,II_ATTCH,i_arty_cont,st_af_best_compass_lead_box_name,st_af_best_compass_lead_box_descr,2.96,0,
af_black,ARTEFACT,i_arty_junk,st_af_black_name,st_af_black_descr,2.18,21600,
af_black_angel,ARTEFACT,i_arty_junk,st_af_black_angel_name,st_af_black_angel_descr,3.06,25700,
af_black_spray,ARTEFACT,i_arty,st_af_black_spray_name,st_af_black_spray_descr,0.49,51251,
af_black_spray_af_aac,SCRPTART,i_arty_cont,st_af_black_spray_af_aac_name,st_af_black_spray_af_aac_descr,3.22,0,
af_black_spray_af_aam,SCRPTART,i_arty_cont,st_af_black_spray_af_aam_name,st_af_black_spray_af_aam_descr,3.55,0,
af_black_spray_af_iam,SCRPTART,i_arty_cont,st_af_black_spray_af_iam_name,st_af_black_spray_af_iam_descr,2.89,0,
af_black_spray_lead_box,II_ATTCH,i_arty_cont,st_af_black_spray_lead_box_name,st_af_black_spray_lead_box_descr,2.61,0,
af_bloo,ARTEFACT,i_arty,af-blood,enc_zone_artifact_af-blood,0.91,40760,
af_bloo_af_aac,SCRPTART,i_arty_cont,st_af-blood_aac_name,st_af-blood_aac_descr,3.64,0,
af_bloo_af_aam,SCRPTART,i_arty_cont,st_af-blood_aam_name,st_af-blood_aam_descr,3.97,0,
af_bloo_af_iam,SCRPTART,i_arty_cont,st_af-blood_iam_name,st_af-blood_iam_descr,3.31,0,
af_bloo_lead_box,II_ATTCH,i_arty_cont,st_af-blood_lead_box_name,st_af-blood_lead_box_descr,3.03,0,
af_blood,ARTEFACT,i_arty,st_af_blood_name,st_af_blood_descr,0.86,41859,
af_blood2,ARTEFACT,i_arty,st_af_blood2_name,st_af_blood2_descr,0.63,47352,
af_blood2_af_aac,SCRPTART,i_arty_cont,st_af_blood2_af_aac_name,st_af_blood2_af_aac_descr,3.36,0,
af_blood2_af_aam,SCRPTART,i_arty_cont,st_af_blood2_af_aam_name,st_af_blood2_af_aam_descr,3.69,0,
af_blood2_af_iam,SCRPTART,i_arty_cont,st_af_blood2_af_iam_name,st_af_blood2_af_iam_descr,3.03,0,
af_blood2_lead_box,II_ATTCH,i_arty_cont,st_af_blood2_lead_box_name,st_af_blood2_lead_box_descr,2.75,0,
af_blood3,ARTEFACT,i_arty,st_af_blood3_name,st_af_blood3_descr,2.04,30714,
af_blood3_af_aac,SCRPTART,i_arty_cont,st_af_blood3_af_aac_name,st_af_blood3_af_aac_descr,4.77,0,
af_blood3_af_aam,SCRPTART,i_arty_cont,st_af_blood3_af_aam_name,st_af_blood3_af_aam_descr,5.10,0,
af_blood3_af_iam,SCRPTART,i_arty_cont,st_af_blood3_af_iam_name,st_af_blood3_af_iam_descr,4.44,0,
af_blood3_lead_box,II_ATTCH,i_arty_cont,st_af_blood3_lead_box_name,st_af_blood3_lead_box_descr,4.16,0,
af_blood_af_aac,SCRPTART,i_arty_cont,st_af_blood_af_aac_name,st_af_blood_af_aac_descr,3.59,0,
af_blood_af_aam,SCRPTART,i_arty_cont,st_af_blood_af_aam_name,st_af_blood_af_aam_descr,3.92,0,
af_blood_af_iam,SCRPTART,i_arty_cont,st_af_blood_af_iam_name,st_af_blood_af_iam_descr,3.26,0,
af_blood_green,ARTEFACT,i_arty,af_blood_green_name,af_blood_green_descr,0.73,53567,
af_blood_green_af_aac,SCRPTART,i_arty_cont,st_af_blood_green_af_aac_name,st_af_blood_green_af_aac_descr,3.46,0,
af_blood_green_af_aam,SCRPTART,i_arty_cont,st_af_blood_green_af_aam_name,st_af_blood_green_af_aam_descr,3.79,0,
af_blood_green_af_iam,SCRPTART,i_arty_cont,st_af_blood_green_af_iam_name,st_af_blood_green_af_iam_descr,3.13,0,
af_blood_green_lead_box,II_ATTCH,i_arty_cont,st_af_blood_green_lead_box_name,st_af_blood_green_lead_box_descr,2.85,0,
af_blood_lead_box,II_ATTCH,i_arty_cont,st_af_blood_lead_box_name,st_af_blood_lead_box_descr,2.98,0,
af_bracelet,ARTEFACT,i_arty,st_af_bracelet_name,st_af_bracelet_descr,1.18,28186,
af_bracelet_af_aac,SCRPTART,i_arty_cont,st_af_bracelet_af_aac_name,st_af_bracelet_af_aac_descr,3.91,0,
af_bracelet_af_aam,SCRPTART,i_arty_cont,st_af_bracelet_af_aam_name,st_af_bracelet_af_aam_descr,4.24,0,
af_bracelet_af_iam,SCRPTART,i_arty_cont,st_af_bracelet_af_iam_name,st_af_bracelet_af_iam_descr,3.58,0,
af_bracelet_lead_box,II_ATTCH,i_arty_cont,st_af_bracelet_lead_box_name,st_af_bracelet_lead_box_descr,3.30,0,
af_brain,ARTEFACT,i_arty,st_af_brain_name,st_af_brain_descr,1.72,28459,
af_brain_af_aac,SCRPTART,i_arty_cont,st_af_brain_af_aac_name,st_af_brain_af_aac_descr,4.45,0,
af_brain_af_aam,SCRPTART,i_arty_cont,st_af_brain_af_aam_name,st_af_brain_af_aam_descr,4.78,0,
af_brain_af_iam,SCRPTART,i_arty_cont,st_af_brain_af_iam_name,st_af_brain_af_iam_descr,4.12,0,
af_brain_lead_box,II_ATTCH,i_arty_cont,st_af_brain_lead_box_name,st_af_brain_lead_box_descr,3.84,0,
af_bumerang,SCRPTART,i_arty,st_af_bumerang_name,st_af_bumerang_descr,0.95,107121,
af_bumerang_af_aac,SCRPTART,i_arty_cont,st_af_bumerang_af_aac_name,st_af_bumerang_af_aac_descr,3.68,0,
af_bumerang_af_aam,SCRPTART,i_arty_cont,st_af_bumerang_af_aam_name,st_af_bumerang_af_aam_descr,4.01,0,
af_bumerang_af_iam,SCRPTART,i_arty_cont,st_af_bumerang_af_iam_name,st_af_bumerang_af_iam_descr,3.35,0,
af_bumerang_lead_box,II_ATTCH,i_arty_cont,st_af_bumerang_lead_box_name,st_af_bumerang_lead_box_descr,3.07,0,
af_camelbak,SCRPTART,i_attach,st_af_camelbak_name,st_af_camelbak_descr,1.53,6540,
af_camelbak_up,SCRPTART,i_attach,st_af_camelbak_up_name,st_af_camelbak_up_descr,1.73,17620,
af_caterpillar,ARTEFACT,i_arty,af_caterpillar_name,af_caterpillar_descr,1.06,102198,
af_caterpillar_af_aac,SCRPTART,i_arty_cont,st_af_caterpillar_af_aac_name,st_af_caterpillar_af_aac_descr,3.79,0,
af_caterpillar_af_aam,SCRPTART,i_arty_cont,st_af_caterpillar_af_aam_name,st_af_caterpillar_af_aam_descr,4.12,0,
af_caterpillar_af_iam,SCRPTART,i_arty_cont,st_af_caterpillar_af_iam_name,st_af_caterpillar_af_iam_descr,3.46,0,
af_caterpillar_lead_box,II_ATTCH,i_arty_cont,st_af_caterpillar_lead_box_name,st_af_caterpillar_lead_box_descr,3.18,0,
af_cell,ARTEFACT,i_arty_junk,st_af_cell_name,st_af_cell_descr,1.67,23200,
af_ceramic,SCRPTART,i_attach,st_af_ceramic_name,st_af_ceramic_descr,5.71,6800,
af_ceramic_up,SCRPTART,i_attach,st_af_ceramic_up_name,st_af_ceramic_up_descr,6.34,11860,
af_chelust,ARTEFACT,i_arty_junk,st_af_chelust_name,st_af_chelust_descr,1.68,20400,
af_chertyaico,SCRPTART,i_arty,st_af_chertyaico_name,st_af_chertyaico_descr,0.30,36552,
af_chertyaico_af_aac,SCRPTART,i_arty_cont,st_af_chertyaico_af_aac_name,st_af_chertyaico_af_aac_descr,3.03,0,
af_chertyaico_af_aam,SCRPTART,i_arty_cont,st_af_chertyaico_af_aam_name,st_af_chertyaico_af_aam_descr,3.36,0,
af_chertyaico_af_iam,SCRPTART,i_arty_cont,st_af_chertyaico_af_iam_name,st_af_chertyaico_af_iam_descr,2.70,0,
af_chertyaico_lead_box,II_ATTCH,i_arty_cont,st_af_chertyaico_lead_box_name,st_af_chertyaico_lead_box_descr,2.42,0,
af_clear_sky,SCRPTART,i_arty,st_af_clear_sky_name,st_af_clear_sky_descr,0.69,58923,
af_clear_sky_af_aac,SCRPTART,i_arty_cont,st_af_clear_sky_af_aac_name,st_af_clear_sky_af_aac_descr,3.42,0,
af_clear_sky_af_aam,SCRPTART,i_arty_cont,st_af_clear_sky_af_aam_name,st_af_clear_sky_af_aam_descr,3.75,0,
af_clear_sky_af_iam,SCRPTART,i_arty_cont,st_af_clear_sky_af_iam_name,st_af_clear_sky_af_iam_descr,3.09,0,
af_clear_sky_lead_box,II_ATTCH,i_arty_cont,st_af_clear_sky_lead_box_name,st_af_clear_sky_lead_box_descr,2.81,0,
af_cocoon,ARTEFACT,i_arty_junk,st_af_cocoon_name,st_af_cocoon_descr,3.47,17400,
af_compass,SCRPTART,i_arty,st_af_compass_name,st_af_compass_descr,0.94,92237,
af_compass_af_aac,SCRPTART,i_arty_cont,st_af_compass_af_aac_name,st_af_compass_af_aac_descr,3.67,0,
af_compass_af_aam,SCRPTART,i_arty_cont,st_af_compass_af_aam_name,st_af_compass_af_aam_descr,4,0,
af_compass_af_iam,SCRPTART,i_arty_cont,st_af_compass_af_iam_name,st_af_compass_af_iam_descr,3.34,0,
af_compass_lead_box,II_ATTCH,i_arty_cont,st_af_compass_lead_box_name,st_af_compass_lead_box_descr,3.06,0,
af_cooler,SCRPTART,i_attach,st_af_cooler_name,st_af_cooler_descr,1.18,6080,
af_cooler_up,SCRPTART,i_attach,st_af_cooler_up_name,st_af_cooler_up_descr,1.66,16560,
af_crist_flower,ARTEFACT,i_arty_junk,af-cristall-flower,enc_zone_artifact_af-cristall-flower,1.76,24400,
af_cristal_drops,ARTEFACT,i_arty,st_af_cristal_drops_name,st_af_cristal_drops_descr,0.85,39189,
af_cristal_drops_af_aac,SCRPTART,i_arty_cont,st_af_cristal_drops_af_aac_name,st_af_cristal_drops_af_aac_descr,3.58,0,
af_cristal_drops_af_aam,SCRPTART,i_arty_cont,st_af_cristal_drops_af_aam_name,st_af_cristal_drops_af_aam_descr,3.91,0,
af_cristal_drops_af_iam,SCRPTART,i_arty_cont,st_af_cristal_drops_af_iam_name,st_af_cristal_drops_af_iam_descr,3.25,0,
af_cristal_drops_lead_box,II_ATTCH,i_arty_cont,st_af_cristal_drops_lead_box_name,st_af_cristal_drops_lead_box_descr,2.97,0,
af_cristall,ARTEFACT,i_arty,st_af_cristall_name,st_af_cristall_descr,1.52,37912,
af_cristall2,ARTEFACT,i_arty,st_af_cristall2_name,st_af_cristall2_descr,1.66,43716,
af_cristall2_af_aac,SCRPTART,i_arty_cont,st_af_cristall2_af_aac_name,st_af_cristall2_af_aac_descr,4.39,0,
af_cristall2_af_aam,SCRPTART,i_arty_cont,st_af_cristall2_af_aam_name,st_af_cristall2_af_aam_descr,4.72,0,
af_cristall2_af_iam,SCRPTART,i_arty_cont,st_af_cristall2_af_iam_name,st_af_cristall2_af_iam_descr,4.06,0,
af_cristall2_lead_box,II_ATTCH,i_arty_cont,st_af_cristall2_lead_box_name,st_af_cristall2_lead_box_descr,3.78,0,
af_cristall3,ARTEFACT,i_arty,st_af_cristall3_name,st_af_cristall3_descr,1.46,47234,
af_cristall3_af_aac,SCRPTART,i_arty_cont,st_af_cristall3_af_aac_name,st_af_cristall3_af_aac_descr,4.19,0,
af_cristall3_af_aam,SCRPTART,i_arty_cont,st_af_cristall3_af_aam_name,st_af_cristall3_af_aam_descr,4.52,0,
af_cristall3_af_iam,SCRPTART,i_arty_cont,st_af_cristall3_af_iam_name,st_af_cristall3_af_iam_descr,3.86,0,
af_cristall3_lead_box,II_ATTCH,i_arty_cont,st_af_cristall3_lead_box_name,st_af_cristall3_lead_box_descr,3.58,0,
af_cristall_af_aac,SCRPTART,i_arty_cont,st_af_cristall_af_aac_name,st_af_cristall_af_aac_descr,4.25,0,
af_cristall_af_aam,SCRPTART,i_arty_cont,st_af_cristall_af_aam_name,st_af_cristall_af_aam_descr,4.58,0,
af_cristall_af_iam,SCRPTART,i_arty_cont,st_af_cristall_af_iam_name,st_af_cristall_af_iam_descr,3.92,0,
af_cristall_flower,ARTEFACT,i_arty,st_af_cristall_flower_name,st_af_cristall_flower_descr,1.58,36931,
af_cristall_flower2,ARTEFACT,i_arty,st_af_cristall_flower2_name,st_af_cristall_flower2_descr,1.87,46635,
af_cristall_flower2_af_aac,SCRPTART,i_arty_cont,st_af_cristall_flower2_af_aac_name,st_af_cristall_flower2_af_aac_descr,4.60,0,
af_cristall_flower2_af_aam,SCRPTART,i_arty_cont,st_af_cristall_flower2_af_aam_name,st_af_cristall_flower2_af_aam_descr,4.93,0,
af_cristall_flower2_af_iam,SCRPTART,i_arty_cont,st_af_cristall_flower2_af_iam_name,st_af_cristall_flower2_af_iam_descr,4.27,0,
af_cristall_flower2_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_flower2_lead_box_name,st_af_cristall_flower2_lead_box_descr,3.99,0,
af_cristall_flower3,ARTEFACT,i_arty,st_af_cristall_flower3_name,st_af_cristall_flower3_descr,1.86,45072,
af_cristall_flower3_af_aac,SCRPTART,i_arty_cont,st_af_cristall_flower3_af_aac_name,st_af_cristall_flower3_af_aac_descr,4.59,0,
af_cristall_flower3_af_aam,SCRPTART,i_arty_cont,st_af_cristall_flower3_af_aam_name,st_af_cristall_flower3_af_aam_descr,4.92,0,
af_cristall_flower3_af_iam,SCRPTART,i_arty_cont,st_af_cristall_flower3_af_iam_name,st_af_cristall_flower3_af_iam_descr,4.26,0,
af_cristall_flower3_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_flower3_lead_box_name,st_af_cristall_flower3_lead_box_descr,3.98,0,
af_cristall_flower_af_aac,SCRPTART,i_arty_cont,st_af_cristall_flower_af_aac_name,st_af_cristall_flower_af_aac_descr,4.31,0,
af_cristall_flower_af_aam,SCRPTART,i_arty_cont,st_af_cristall_flower_af_aam_name,st_af_cristall_flower_af_aam_descr,4.64,0,
af_cristall_flower_af_iam,SCRPTART,i_arty_cont,st_af_cristall_flower_af_iam_name,st_af_cristall_flower_af_iam_descr,3.98,0,
af_cristall_flower_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_flower_lead_box_name,st_af_cristall_flower_lead_box_descr,3.70,0,
af_cristall_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_lead_box_name,st_af_cristall_lead_box_descr,3.64,0,
af_crystal_blood,ARTEFACT,i_arty,st_af_crystal_blood_name,st_af_crystal_blood_descr,1.34,22319,
af_crystal_blood_af_aac,SCRPTART,i_arty_cont,st_af_crystal_blood_af_aac_name,st_af_crystal_blood_af_aac_descr,4.07,0,
af_crystal_blood_af_aam,SCRPTART,i_arty_cont,st_af_crystal_blood_af_aam_name,st_af_crystal_blood_af_aam_descr,4.40,0,
af_crystal_blood_af_iam,SCRPTART,i_arty_cont,st_af_crystal_blood_af_iam_name,st_af_crystal_blood_af_iam_descr,3.74,0,
af_crystal_blood_lead_box,II_ATTCH,i_arty_cont,st_af_crystal_blood_lead_box_name,st_af_crystal_blood_lead_box_descr,3.46,0,
af_crystal_generator,ARTEFACT,i_arty,st_af_crystal_generator_name,st_af_crystal_generator_descr,1.39,24068,
af_crystal_generator_af_aac,SCRPTART,i_arty_cont,st_af_crystal_generator_af_aac_name,st_af_crystal_generator_af_aac_descr,4.12,0,
af_crystal_generator_af_aam,SCRPTART,i_arty_cont,st_af_crystal_generator_af_aam_name,st_af_crystal_generator_af_aam_descr,4.45,0,
