~,st_ui_dbg_spawn_type,pda_encyclopedia_name,army,bandit,csky,dolg,ecolog,freedom,greh,isg,killer,monolith,renegade,stalker,zombied
wpn_spas12_custom,st_data_export_weapon_kind_shotgun,st_wpn_spas12_custom,,,,,,,,st_rank_blackops,"st_rank_master, st_rank_legend",st_rank_master,,,
wpn_scar_siber_m1_black,st_data_export_weapon_kind_rifle,st_wpn_scar_siber_m1_black,,,,,,"st_rank_master, st_rank_legend",st_rank_legend,"st_rank_veteran, st_rank_expert",,"st_rank_experienced, st_rank_professional",,,
wpn_pl15,st_data_export_weapon_kind_pistol,st_wpn_pl15,"st_rank_veteran, st_rank_expert",,,"st_rank_master, st_rank_legend",,,,,,,,,
wpn_ak101_camo,st_data_export_weapon_kind_rifle,st_wpn_ak101_camo,,,,,,,"st_rank_professional, st_rank_master",,"st_rank_master, st_rank_legend",st_rank_master,,,
wpn_walther_p99,st_data_export_weapon_kind_pistol,st_wpn_walther_p99,,"st_rank_novice, st_rank_trainee, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_gauss, st_rank_sniper","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_any
wpn_l96a1m,st_data_export_weapon_kind_sniper,st_wpn_l96a1m,,,,,,,,,,"st_rank_sniper, st_rank_rg6",,,
wpn_ak74_alt,st_data_export_weapon_kind_rifle,st_wpn_ak74_alt,,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_expert,,,,,"st_rank_veteran, st_rank_expert",,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_akms_bas,st_data_export_weapon_kind_rifle,st_wpn_akms_bas,"st_rank_novice, st_rank_trainee","st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",st_rank_professional,,st_rank_trainee,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee","st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_val_modern,st_data_export_weapon_kind_rifle,st_wpn_val_modern,st_rank_ssu,,,,,,,,,,,,
wpn_usp_tac,st_data_export_weapon_kind_pistol,st_wpn_usp_tac,,,,,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,,,
wpn_g3,st_data_export_weapon_kind_rifle,st_wpn_g3,,,,,,"st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_scar_siber,st_data_export_weapon_kind_rifle,st_wpn_scar_siber,,,,,,,"st_rank_veteran, st_rank_expert, st_rank_master","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,,
wpn_bizon,st_data_export_weapon_kind_smg,st_wpn_bizon,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_veteran, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional","st_rank_master, st_rank_legend","st_rank_professional, st_rank_expert, st_rank_master, st_rank_legend",
wpn_colt1911_modern,st_data_export_weapon_kind_pistol,st_wpn_colt1911_modern,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_legend,,,
wpn_ak74m_alt,st_data_export_weapon_kind_rifle,st_wpn_ak74m_alt,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_expert,,st_rank_master,,,st_rank_master,,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_pk_siber,st_data_export_weapon_kind_rifle,st_wpn_pk_siber,"st_rank_veteran, st_rank_expert",,,"st_rank_experienced, st_rank_professional",,,st_rank_master,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master",,st_rank_expert,
wpn_bm16_full,st_data_export_weapon_kind_shotgun,st_wpn_bm16_full,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",st_rank_professional,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran","st_rank_any, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ak74,st_data_export_weapon_kind_rifle,st_wpn_ak74,,,,,,,,,,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_pkm_zenit_shorty,st_data_export_weapon_kind_rifle,st_wpn_pkm_zenit_shorty,"st_rank_master, st_rank_legend",,,,,,,,,st_rank_legend,,,
wpn_pm_bas_actor,st_data_export_weapon_kind_pistol,st_wpn_pm_bas_actor,,"st_rank_novice, st_rank_trainee",,,,,,,,,,,
wpn_mp5_alt,st_data_export_weapon_kind_smg,st_wpn_mp5_alt,,"st_rank_master, st_rank_legend",,,,,,,,,"st_rank_master, st_rank_legend",,
wpn_kiparis_m2,st_data_export_weapon_kind_smg,st_wpn_kiparis_m2,,"st_rank_experienced, st_rank_professional",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",st_rank_professional,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional","st_rank_veteran, st_rank_expert",st_rank_veteran,
wpn_galil_custom,st_data_export_weapon_kind_rifle,st_wpn_galil_custom,,,,,,,,,"st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend",
wpn_sv98_custom,st_data_export_weapon_kind_sniper,st_wpn_sv98_custom,st_rank_sniper,,,,,,,,,"st_rank_sniper, st_rank_rg6",,,
wpn_sr2_m1,st_data_export_weapon_kind_smg,st_wpn_sr2_m1,"st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,,,,,,,"st_rank_veteran, st_rank_expert",,,,
wpn_vz61_scorpion,st_data_export_weapon_kind_smg,st_wpn_vz61_scorpion,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee",,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",st_rank_any
wpn_vintorez_n1,st_data_export_weapon_kind_rifle,st_wpn_vintorez_n1,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,
wpn_svds,st_data_export_weapon_kind_sniper,st_wpn_svds,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_professional, st_rank_veteran, st_rank_master, st_rank_legend",
wpn_colt1911_camo,st_data_export_weapon_kind_pistol,st_wpn_colt1911_camo,,,,,,,"st_rank_master, st_rank_legend",,,st_rank_legend,,,
wpn_ump45,st_data_export_weapon_kind_smg,st_wpn_ump45,,"st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_veteran","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",st_rank_master,st_rank_blackops,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_master, st_rank_legend",,
wpn_mp412,st_data_export_weapon_kind_pistol,st_wpn_mp412,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,st_rank_master,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,"st_rank_master, st_rank_legend",
wpn_krissvektor,st_data_export_weapon_kind_smg,st_wpn_kriss_cust,,,"st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_bm16_full_alt,st_data_export_weapon_kind_shotgun,st_wpn_bm16_full_alt,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert",,,,,,,,"st_rank_professional, st_rank_veteran",
wpn_bm16_alt,st_data_export_weapon_kind_shotgun,st_wpn_bm16_alt,,"st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,,,"st_rank_master, st_rank_legend",st_rank_veteran,
wpn_scar_siber_m1,st_data_export_weapon_kind_rifle,st_wpn_scar_siber_m1,,,,,,,st_rank_master,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_master,,,
wpn_vintorez_m1,st_data_export_weapon_kind_rifle,st_wpn_vintorez_m1,,,"st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_expert, st_rank_master, st_rank_legend",,,,,,,,
wpn_type63,st_data_export_weapon_kind_rifle,st_wpn_type63,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee",,"st_rank_novice, st_rank_trainee",,,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_professional",st_rank_any
wpn_pb,st_data_export_weapon_kind_pistol,st_wpn_pb,,,,,,,,,,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_gauss,st_data_export_weapon_kind_sniper,st_wpn_gauss_bas,,,,,,,st_rank_legend,,,st_rank_gauss,,,
wpn_svd,st_data_export_weapon_kind_sniper,st_wpn_svd,st_rank_sniper,,,,,,,,,"st_rank_sniper, st_rank_rg6",,,
wpn_saiga12s_m1,st_data_export_weapon_kind_shotgun,st_wpn_saiga12s_m1,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master",,"st_rank_veteran, st_rank_master, st_rank_legend",
wpn_howa20,st_data_export_weapon_kind_rifle,st_wpn_howa20,,,,,st_rank_expert,,,,,,,,
wpn_dvl10_m1,st_data_export_weapon_kind_sniper,st_wpn_dvl10_m1,,,,,,"st_rank_experienced, st_rank_professional",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master",,,
wpn_pb_bas_custom,st_data_export_weapon_kind_pistol,st_wpn_pb_bas_custom,,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_experienced,,,,,,,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_cz75_auto,st_data_export_weapon_kind_pistol,st_wpn_cz75_auto,,,,,,,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,
wpn_pm_bas_custom,st_data_export_weapon_kind_pistol,st_wpn_pm_bas_custom,,"st_rank_veteran, st_rank_expert","st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_experienced,,,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert",,,"st_rank_master, st_rank_legend",
wpn_beretta_modern,st_data_export_weapon_kind_pistol,st_wpn_beretta_modern,,,,,,"st_rank_master, st_rank_legend",st_rank_master,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_gauss, st_rank_sniper",,,
wpn_gsh18,st_data_export_weapon_kind_pistol,st_wpn_gsh18,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_gauss, st_rank_sniper","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_ak74_old,st_data_export_weapon_kind_rifle,st_wpn_ak74_old,"st_rank_novice, st_rank_trainee","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_veteran",
wpn_remington700_bas_mod_x_gen3,st_data_export_weapon_kind_sniper,st_wpn_remington700_bas_mod_x_gen3,,,,,,,,"st_rank_master, st_rank_legend",,,,,
wpn_mp153_m1,st_data_export_weapon_kind_shotgun,st_wpn_mp153_m1,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee",st_rank_experienced,,,,,"st_rank_novice, st_rank_trainee","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,
wpn_ak74_pmc,st_data_export_weapon_kind_rifle,st_wpn_ak74_pmc,,"st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert",,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_scar_siber_black,st_data_export_weapon_kind_rifle,st_wpn_scar_siber_black,,,,,st_rank_expert,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_legend,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_master, st_rank_legend",,,
wpn_cz75,st_data_export_weapon_kind_pistol,st_wpn_cz75,,,,,"st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_rg6, st_rank_gauss, st_rank_sniper",,,
wpn_fnp45_custom,st_data_export_weapon_kind_pistol,st_wpn_fnp45_custom,,,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",st_rank_legend,,,
wpn_ak105_sp,st_data_export_weapon_kind_rifle,st_wpn_ak105_sp,,,,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,
wpn_scar_siber_m2_custom,st_data_export_weapon_kind_rifle,st_wpn_scar_siber_m2_custom,,,,,,,,"st_rank_master, st_rank_legend",,,,,
wpn_galil_modern,st_data_export_weapon_kind_rifle,st_wpn_galil_modern,,,,,,,st_rank_master,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert",,,
wpn_pp2000,st_data_export_weapon_kind_smg,st_wpn_pp2000,st_rank_ssu,,,,,"st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_master",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,,
wpn_l85_m2,st_data_export_weapon_kind_rifle,st_wpn_l85_m2,,,,,"st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_wincheaster1300,st_data_export_weapon_kind_shotgun,st_wpn_toz194,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_professional, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_trainee, st_rank_experienced, st_rank_professional",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran","st_rank_any, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_pkm_zenit_siber,st_data_export_weapon_kind_rifle,st_wpn_pkm_zenit_siber,"st_rank_master, st_rank_legend",,,"st_rank_veteran, st_rank_expert",,,,,"st_rank_master, st_rank_legend",st_rank_legend,,,
wpn_svd_m1,st_data_export_weapon_kind_sniper,st_wpn_svd_m1,,"st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional",,,,,,"st_rank_experienced, st_rank_professional","st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_veteran",st_rank_any
wpn_m16,st_data_export_weapon_kind_rifle,st_wpn_m16,,,,,"st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,,
wpn_aks74_new,st_data_export_weapon_kind_rifle,st_wpn_aks74_new,,,,"st_rank_master, st_rank_legend",,,st_rank_professional,,"st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert",,"st_rank_master, st_rank_legend",
wpn_sig550_siber,st_data_export_weapon_kind_rifle,st_wpn_sig550_siber,,,"st_rank_novice, st_rank_experienced, st_rank_professional",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
