~,st_class,st_ui_dbg_spawn_type,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_max_uses
af_dummy_spring,ARTEFACT,i_arty,af_dummy_spring,st_af_dummy_spring_descr,0.41,67625,
af_ear,ARTEFACT,i_arty_junk,st_af_ear_name,st_af_ear_descr,0.16,1900,
af_electra_flash,SCRPTART,i_arty,st_af_electra_flash_name,st_af_electra_flash_descr,0.04,97800,
af_electra_flash_af_aac,SCRPTART,i_arty_cont,st_af_electra_flash_af_aac_name,st_af_electra_flash_af_aac_descr,0.34,0,
af_electra_flash_af_aam,SCRPTART,i_arty_cont,st_af_electra_flash_af_aam_name,st_af_electra_flash_af_aam_descr,0.34,0,
af_electra_flash_af_iam,SCRPTART,i_arty_cont,st_af_electra_flash_af_iam_name,st_af_electra_flash_af_iam_descr,0.34,0,
af_electra_flash_lead_box,II_ATTCH,i_arty_cont,st_af_electra_flash_lead_box_name,st_af_electra_flash_lead_box_descr,0.34,0,
af_electra_moonlight,SCRPTART,i_arty,st_af_electra_moonlight_name,st_af_electra_moonlight_descr,0.09,87200,
af_electra_moonlight_af_aac,SCRPTART,i_arty_cont,st_af_electra_moonlight_af_aac_name,st_af_electra_moonlight_af_aac_descr,0.39,0,
af_electra_moonlight_af_aam,SCRPTART,i_arty_cont,st_af_electra_moonlight_af_aam_name,st_af_electra_moonlight_af_aam_descr,0.39,0,
af_electra_moonlight_af_iam,SCRPTART,i_arty_cont,st_af_electra_moonlight_af_iam_name,st_af_electra_moonlight_af_iam_descr,0.39,0,
af_electra_moonlight_lead_box,II_ATTCH,i_arty_cont,st_af_electra_moonlight_lead_box_name,st_af_electra_moonlight_lead_box_descr,0.39,0,
af_electra_sparkler,SCRPTART,i_arty,st_af_electra_sparkler_name,st_af_electra_sparkler_descr,0.04,43200,
af_electra_sparkler_af_aac,SCRPTART,i_arty_cont,st_af_electra_sparkler_af_aac_name,st_af_electra_sparkler_af_aac_descr,0.34,0,
af_electra_sparkler_af_aam,SCRPTART,i_arty_cont,st_af_electra_sparkler_af_aam_name,st_af_electra_sparkler_af_aam_descr,0.34,0,
af_electra_sparkler_af_iam,SCRPTART,i_arty_cont,st_af_electra_sparkler_af_iam_name,st_af_electra_sparkler_af_iam_descr,0.34,0,
af_electra_sparkler_lead_box,II_ATTCH,i_arty_cont,st_af_electra_sparkler_lead_box_name,st_af_electra_sparkler_lead_box_descr,0.34,0,
af_elektron,ARTEFACT,i_arty_junk,st_af_elektron_name,st_af_elektron_descr,2.00,5900,
af_empty,ARTEFACT,i_arty,st_af_empty_name,st_af_empty_descr,0.19,85520,
af_empty_af_aac,SCRPTART,i_arty_cont,st_af_empty_af_aac_name,st_af_empty_af_aac_descr,0.49,0,
af_empty_af_aam,SCRPTART,i_arty_cont,st_af_empty_af_aam_name,st_af_empty_af_aam_descr,0.49,0,
af_empty_af_iam,SCRPTART,i_arty_cont,st_af_empty_af_iam_name,st_af_empty_af_iam_descr,0.49,0,
af_empty_lead_box,II_ATTCH,i_arty_cont,st_af_empty_lead_box_name,st_af_empty_lead_box_descr,0.49,0,
af_eye,ARTEFACT,i_arty,st_af_eye_name,st_af_eye_descr,0.78,73800,
af_eye_af_aac,SCRPTART,i_arty_cont,st_af_eye_af_aac_name,st_af_eye_af_aac_descr,1.08,0,
af_eye_af_aam,SCRPTART,i_arty_cont,st_af_eye_af_aam_name,st_af_eye_af_aam_descr,1.08,0,
af_eye_af_iam,SCRPTART,i_arty_cont,st_af_eye_af_iam_name,st_af_eye_af_iam_descr,1.08,0,
af_eye_lead_box,II_ATTCH,i_arty_cont,st_af_eye_lead_box_name,st_af_eye_lead_box_descr,1.08,0,
af_fire,ARTEFACT,i_arty,st_af_fire_name,st_af_fire_descr,0.80,93850,
af_fire_af_aac,SCRPTART,i_arty_cont,st_af_fire_af_aac_name,st_af_fire_af_aac_descr,1.10,0,
af_fire_af_aam,SCRPTART,i_arty_cont,st_af_fire_af_aam_name,st_af_fire_af_aam_descr,1.10,0,
af_fire_af_iam,SCRPTART,i_arty_cont,st_af_fire_af_iam_name,st_af_fire_af_iam_descr,1.10,0,
af_fire_lead_box,II_ATTCH,i_arty_cont,st_af_fire_lead_box_name,st_af_fire_lead_box_descr,1.10,0,
af_fire_loop,ARTEFACT,i_arty_junk,st_af_fire_loop_name,st_af_fire_loop_descr,0.56,5080,
af_fireball,ARTEFACT,i_arty,st_af_fireball_name,st_af_fireball_descr,0.92,93600,
af_fireball_af_aac,SCRPTART,i_arty_cont,st_af_fireball_af_aac_name,st_af_fireball_af_aac_descr,1.22,0,
af_fireball_af_aam,SCRPTART,i_arty_cont,st_af_fireball_af_aam_name,st_af_fireball_af_aam_descr,1.22,0,
af_fireball_af_iam,SCRPTART,i_arty_cont,st_af_fireball_af_iam_name,st_af_fireball_af_iam_descr,1.22,0,
af_fireball_lead_box,II_ATTCH,i_arty_cont,st_af_fireball_lead_box_name,st_af_fireball_lead_box_descr,1.22,0,
af_fonar,ARTEFACT,i_arty_junk,st_af_fonar_name,st_af_fonar_descr,0.31,5080,
af_fountain,ARTEFACT,i_arty_junk,st_af_fountain_name,st_af_fountain_descr,0.44,4700,
af_frames,SCRPTART,i_attach,st_af_frames_name,st_af_frames_descr,0.73,14200,
af_frames_up,SCRPTART,i_attach,st_af_frames_up_name,st_af_frames_up_descr,1.23,28400,
af_freon,SCRPTART,i_attach,st_af_freon_name,st_af_freon_descr,0.72,9850,
af_freon_up,SCRPTART,i_attach,st_af_freon_up_name,st_af_freon_up_descr,2.34,11320,
af_full_empty,ARTEFACT,i_arty,st_af_full_empty_name,st_af_full_empty_descr,1.80,143300,
af_full_empty_af_aac,SCRPTART,i_arty_cont,st_af_full_empty_af_aac_name,st_af_full_empty_af_aac_descr,2.10,0,
af_full_empty_af_aam,SCRPTART,i_arty_cont,st_af_full_empty_af_aam_name,st_af_full_empty_af_aam_descr,2.10,0,
af_full_empty_af_iam,SCRPTART,i_arty_cont,st_af_full_empty_af_iam_name,st_af_full_empty_af_iam_descr,2.10,0,
af_full_empty_lead_box,II_ATTCH,i_arty_cont,st_af_full_empty_lead_box_name,st_af_full_empty_lead_box_descr,2.10,0,
af_fuzz_kolobok,SCRPTART,i_arty,st_af_fuzz_kolobok_name,st_af_fuzz_kolobok_descr,0.35,81200,
af_fuzz_kolobok_af_aac,SCRPTART,i_arty_cont,st_af_fuzz_kolobok_af_aac_name,st_af_fuzz_kolobok_af_aac_descr,0.65,0,
af_fuzz_kolobok_af_aam,SCRPTART,i_arty_cont,st_af_fuzz_kolobok_af_aam_name,st_af_fuzz_kolobok_af_aam_descr,0.65,0,
af_fuzz_kolobok_af_iam,SCRPTART,i_arty_cont,st_af_fuzz_kolobok_af_iam_name,st_af_fuzz_kolobok_af_iam_descr,0.65,0,
af_fuzz_kolobok_lead_box,II_ATTCH,i_arty_cont,st_af_fuzz_kolobok_lead_box_name,st_af_fuzz_kolobok_lead_box_descr,0.65,0,
af_geliy,ARTEFACT,i_arty,st_af_geliy_name,st_af_geliy_descr,0.34,73150,
af_generator,ARTEFACT,i_arty_junk,st_af_generator_name,st_af_generator_descr,1.36,6520,
af_gimlet,ARTEFACT,i_arty,st_af_gimlet_name,st_af_gimlet_descr,0.09,30700,
af_glass,ARTEFACT,i_arty,st_af_glass_name,st_af_glass_descr,0.32,108800,
af_glass_af_aac,SCRPTART,i_arty_cont,st_af_glass_af_aac_name,st_af_glass_af_aac_descr,0.62,0,
af_glass_af_aam,SCRPTART,i_arty_cont,st_af_glass_af_aam_name,st_af_glass_af_aam_descr,0.62,0,
af_glass_af_iam,SCRPTART,i_arty_cont,st_af_glass_af_iam_name,st_af_glass_af_iam_descr,0.62,0,
af_glass_lead_box,II_ATTCH,i_arty_cont,st_af_glass_lead_box_name,st_af_glass_lead_box_descr,0.62,0,
af_gold_fish,ARTEFACT,i_arty,st_af_gold_fish_name,st_af_gold_fish_descr,0.74,132400,
af_gold_fish_af_aac,SCRPTART,i_arty_cont,st_af_gold_fish_af_aac_name,st_af_gold_fish_af_aac_descr,1.05,0,
af_gold_fish_af_aam,SCRPTART,i_arty_cont,st_af_gold_fish_af_aam_name,st_af_gold_fish_af_aam_descr,1.05,0,
af_gold_fish_af_iam,SCRPTART,i_arty_cont,st_af_gold_fish_af_iam_name,st_af_gold_fish_af_iam_descr,1.05,0,
af_gold_fish_lead_box,II_ATTCH,i_arty_cont,st_af_gold_fish_lead_box_name,st_af_gold_fish_lead_box_descr,1.05,0,
af_grapes,ARTEFACT,i_arty_junk,st_af_grapes_name,st_af_grapes_descr,1.59,5300,
af_gravi,ARTEFACT,i_arty,st_af_gravi_name,st_af_gravi_descr,0.28,95000,
af_gravi_af_aac,SCRPTART,i_arty_cont,st_af_gravi_af_aac_name,st_af_gravi_af_aac_descr,0.58,0,
af_gravi_af_aam,SCRPTART,i_arty_cont,st_af_gravi_af_aam_name,st_af_gravi_af_aam_descr,0.58,0,
af_gravi_af_iam,SCRPTART,i_arty_cont,st_af_gravi_af_iam_name,st_af_gravi_af_iam_descr,0.58,0,
af_gravi_lead_box,II_ATTCH,i_arty_cont,st_af_gravi_lead_box_name,st_af_gravi_lead_box_descr,0.58,0,
af_grid,SCRPTART,i_attach,st_af_grid_name,st_af_grid_descr,0.44,12650,
af_grid_up,SCRPTART,i_attach,st_af_grid_up_name,st_af_grid_up_descr,1.47,25300,
af_iam,II_ATTCH,i_arty_cont,st_af_iam_name,st_af_iam_descr,0.30,11385,
af_ice,ARTEFACT,i_arty,st_af_ice_name,st_af_ice_descr,0.14,102800,
af_ice_af_aac,SCRPTART,i_arty_cont,st_af_ice_af_aac_name,st_af_ice_af_aac_descr,0.43,0,
af_ice_af_aam,SCRPTART,i_arty_cont,st_af_ice_af_aam_name,st_af_ice_af_aam_descr,0.43,0,
af_ice_af_iam,SCRPTART,i_arty_cont,st_af_ice_af_iam_name,st_af_ice_af_iam_descr,0.43,0,
af_ice_lead_box,II_ATTCH,i_arty_cont,st_af_ice_lead_box_name,st_af_ice_lead_box_descr,0.43,0,
af_itcher,ARTEFACT,i_arty,st_af_itcher_name,st_af_itcher_descr,0.20,36800,
af_itcher_af_aac,SCRPTART,i_arty_cont,st_af_itcher_af_aac_name,st_af_itcher_af_aac_descr,0.50,0,
af_itcher_af_aam,SCRPTART,i_arty_cont,st_af_itcher_af_aam_name,st_af_itcher_af_aam_descr,0.50,0,
af_itcher_af_iam,SCRPTART,i_arty_cont,st_af_itcher_af_iam_name,st_af_itcher_af_iam_descr,0.50,0,
af_itcher_lead_box,II_ATTCH,i_arty_cont,st_af_itcher_lead_box_name,st_af_itcher_lead_box_descr,0.50,0,
af_kevlar,SCRPTART,i_attach,st_af_kevlar_name,st_af_kevlar_descr,1.28,6380,
af_kevlar_up,SCRPTART,i_attach,st_af_kevlar_up_name,st_af_kevlar_up_descr,2.98,13380,
af_kislushka,ARTEFACT,i_arty_junk,st_af_kislushka_name,st_af_kislushka_descr,0.39,2200,
af_kogot,ARTEFACT,i_arty_junk,st_af_kogot_name,st_af_kogot_descr,0.21,2110,
af_lighthouse,ARTEFACT,i_arty_junk,st_af_lighthouse_name,st_af_lighthouse_descr,0.49,6500,
af_lobster_eyes,ARTEFACT,i_arty,st_af_lobster_eyes_name,st_af_lobster_eyes_descr,0.93,71280,
af_lobster_eyes_af_aac,SCRPTART,i_arty_cont,st_af_lobster_eyes_af_aac_name,st_af_lobster_eyes_af_aac_descr,1.23,0,
af_lobster_eyes_af_aam,SCRPTART,i_arty_cont,st_af_lobster_eyes_af_aam_name,st_af_lobster_eyes_af_aam_descr,1.23,0,
af_lobster_eyes_af_iam,SCRPTART,i_arty_cont,st_af_lobster_eyes_af_iam_name,st_af_lobster_eyes_af_iam_descr,1.23,0,
af_lobster_eyes_lead_box,II_ATTCH,i_arty_cont,st_af_lobster_eyes_lead_box_name,st_af_lobster_eyes_lead_box_descr,1.23,0,
af_lucifer,ARTEFACT,i_quest,st_af_lucifer_name,st_af_lucifer_descr,0.56,666,
af_medallion,ARTEFACT,i_arty_junk,st_af_medallion_name,st_af_medallion_descr,0.98,6800,
af_medusa,ARTEFACT,i_arty,st_af_medusa_name,st_af_medusa_descr,0.78,49800,
af_medusa_af_aac,SCRPTART,i_arty_cont,st_af_medusa_af_aac_name,st_af_medusa_af_aac_descr,1.08,0,
af_medusa_af_aam,SCRPTART,i_arty_cont,st_af_medusa_af_aam_name,st_af_medusa_af_aam_descr,1.08,0,
af_medusa_af_iam,SCRPTART,i_arty_cont,st_af_medusa_af_iam_name,st_af_medusa_af_iam_descr,1.08,0,
af_medusa_lead_box,II_ATTCH,i_arty_cont,st_af_medusa_lead_box_name,st_af_medusa_lead_box_descr,1.08,0,
af_mincer_meat,ARTEFACT,i_arty,st_af_mincer_meat_name,st_af_mincer_meat_descr,0.31,62600,
af_mincer_meat_af_aac,SCRPTART,i_arty_cont,st_af_mincer_meat_af_aac_name,st_af_mincer_meat_af_aac_descr,0.61,0,
af_mincer_meat_af_aam,SCRPTART,i_arty_cont,st_af_mincer_meat_af_aam_name,st_af_mincer_meat_af_aam_descr,0.61,0,
af_mincer_meat_af_iam,SCRPTART,i_arty_cont,st_af_mincer_meat_af_iam_name,st_af_mincer_meat_af_iam_descr,0.61,0,
af_mincer_meat_lead_box,II_ATTCH,i_arty_cont,st_af_mincer_meat_lead_box_name,st_af_mincer_meat_lead_box_descr,0.61,0,
af_misery_bread_af_aac,SCRPTART,i_arty_cont,st_af_misery_bread_af_aac_name,st_af_misery_bread_af_aac_descr,0.60,0,
