~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_ak101_camo,st_wpn_ak101_camo,st_wpn_ak101_descr,3.60,38380,C,N,81%,76%,35,645,30,1000,1030,93%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak102,st_wpn_ak102,st_wpn_ak102_descr,3.20,26690,C,N,67%,80%,34,600,30,1000,951,91%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.49,,13,29,,,52,
wpn_ak103,st_wpn_ak103,st_wpn_ak103_descr,3.60,33860,D,N,73%,72%,45,600,30,900,600,90%,49,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak103_camo,st_wpn_ak103_camo,st_wpn_ak103_descr,3.60,38980,D,N,79%,72%,45,630,30,900,600,90%,49,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak104,st_wpn_ak104,st_wpn_ak104_descr,3.20,26550,D,N,68%,80%,44,600,30,900,562,90%,49,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.57,,,,30,,,55
wpn_ak104_alfa,st_wpn_ak104_alfa,st_wpn_ak104_alfa_descr,2.50,66550,D,N,77%,80%,44,600,30,900,562,90%,54,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.57,,,,30,,,55
wpn_ak105,st_wpn_ak105,st_wpn_ak105_descr,3.20,24480,C,N,74%,80%,37,650,30,1000,871,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.49,,,27,,,50,
wpn_ak105_shakal,st_wpn_ak105_shakal,st_wpn_ak105_shakal_descr,4.51,24480,C,N,78%,80%,40,700,45,1000,902,91%,57,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.53,,,27,,,50,
wpn_ak105_sp,st_wpn_ak105_sp,st_wpn_ak105_sp_descr,2.80,39480,C,N,77%,80%,37,650,45,1000,871,91%,55,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.49,,,27,,,50,
wpn_ak105_swamp,st_wpn_ak105_swamp,st_wpn_ak105_swamp_descr,4.67,24480,C,N,78%,80%,35,700,45,1000,985,91%,57,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_ak12,st_wpn_ak12,st_wpn_ak12_descr,3.20,36880,C,N,79%,76%,37,650,30,1000,939,91%,77,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak12_custom,st_wpn_ak12_custom,st_wpn_ak12_custom_descr,3.10,70000,C,N,77%,76%,37,650,45,1000,939,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak12_custom_mono_kit,st_wpn_ak12_mono_kit,st_wpn_ak12_mono_kit_descr,3.65,70000,C,N,79%,76%,38,700,60,1000,944,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_ak12_m1,st_wpn_ak12_m1,st_wpn_ak12_m1_descr,3.20,46880,C,N,76%,76%,37,650,30,1000,939,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak5c_bas,st_wpn_ak5c_bas,st_wpn_ak5c_bas_descr,4.00,55560,C,N,81%,80%,35,750,30,1000,985,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik_descr,3.70,55560,C,N,81%,80%,34,800,30,800,1007,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_ak5c_isg,st_wpn_ak5c_isg,st_wpn_ak5c_isg_descr,3.00,85560,C,N,81%,80%,35,800,30,800,1007,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak74,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,76%,76%,37,650,30,1000,923,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_alt,st_wpn_ak74_alt,st_wpn_ak74_descr,3.30,30380,C,N,79%,76%,37,660,30,1000,939,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_custom,st_wpn_ak74_custom,st_wpn_ak74_descr,3.30,31580,C,N,81%,76%,37,640,30,1000,950,93%,64,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_isg,st_wpn_ak74_isg,st_wpn_ak74_isg_descr,2.90,136880,D,N,79%,76%,40,720,30,1000,902,91%,85,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.53,,,27,,,50,
wpn_ak74_modern,st_wpn_ak74_modern,st_wpn_ak74_descr,3.30,29560,C,N,77%,76%,37,680,30,1000,931,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_n,st_wpn_ak74_n,st_wpn_ak74_n_descr,3.30,26950,C,N,76%,76%,37,650,30,1000,923,91%,53,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_old,st_wpn_ak74_old,st_wpn_ak74_old_descr,3.30,23580,C,N,75%,76%,37,650,30,1000,918,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_pmc,st_wpn_ak74_pmc,st_wpn_ak74_pmc_descr,3.40,68880,C,N,79%,76%,37,650,45,1000,939,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.49,,,27,,,50,
wpn_ak74_rpk,st_wpn_ak74_eot,st_wpn_ak74_eot_descr,3.62,33680,C,N,74%,76%,37,683,45,1000,946,91%,65,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m,st_wpn_ak74m,st_wpn_ak74m_descr,3.40,30980,C,N,78%,76%,37,600,30,1000,923,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_alt,st_wpn_ak74m_alt,st_wpn_ak74m_descr,3.40,31850,C,N,78%,76%,37,635,30,1000,923,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_beard,st_wpn_ak74m_beard,st_wpn_ak74m_beard_descr,3.00,38980,C,N,78%,76%,37,600,45,1000,923,91%,65,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_ak74m_camo,st_wpn_ak74m_camo,st_wpn_ak74m_descr,3.40,38360,C,N,81%,76%,37,650,30,1000,939,93%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_custom,st_wpn_ak74m_custom,st_wpn_ak74m_descr,3.40,33980,C,N,80%,76%,37,650,30,1000,932,93%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_duty,st_wpn_ak74m_duty,st_wpn_ak74m_descr,3.40,38580,C,N,79%,76%,37,600,30,1000,950,93%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_n,st_wpn_ak74m_n,st_wpn_ak74m_n_descr,3.40,30980,C,N,78%,76%,37,600,30,1000,923,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74u,st_wpn_ak74u,st_wpn_ak74u_descr,2.48,20870,C,N,62%,83%,36,700,30,900,771,91%,50,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_camo,st_wpn_ak74u_camo,st_wpn_ak74u_descr,2.48,24550,C,N,64%,83%,36,765,30,900,782,92%,53,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_custom,st_wpn_ak74u_custom,st_wpn_ak74u_descr,2.48,23880,C,N,66%,83%,36,715,30,900,789,91%,51,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_isg,st_wpn_ak74u_isg,st_wpn_ak74u_isg_descr,2.25,96880,D,N,79%,76%,36,850,30,1000,882,91%,65,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.48,,,27,,,50,
wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg_descr,2.30,116880,D,N,79%,76%,45,725,30,1000,705,90%,65,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak74u_n1,st_wpn_ak74u_n1,st_wpn_ak74u_n1_descr,2.48,20870,C,N,62%,83%,36,700,30,900,771,91%,48,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_old,st_wpn_ak74u_old,st_wpn_ak74u_old_descr,2.48,17860,C,N,61%,83%,29,690,30,900,761,91%,50,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.39,,,27,,,50,
wpn_ak74u_snag,st_wpn_ak74u_snag,st_wpn_ak74u_snag_descr,2.98,28950,C,N,64%,83%,30,750,45,900,785,91%,50,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.4,,,27,,,50,
wpn_ak74u_tac,st_wpn_ak74u_tac,st_wpn_ak74u_tac_descr,3.00,38950,C,N,73%,76%,37,880,45,1000,939,91%,59,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.49,,,27,,,50,
wpn_akm,st_wpn_akm,st_wpn_akm_descr,3.30,28780,C,N,70%,72%,45,600,30,900,600,90%,42,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akm_alfa,st_wpn_akm_alfa,st_wpn_akm_alfa_descr,3.50,75930,D,N,78%,76%,44,600,30,1000,688,90%,69,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.57,,,,30,,,55
wpn_akm_bas,st_wpn_akm_bas,st_wpn_akm_bas_descr,3.30,8780,C,N,70%,72%,45,600,30,900,600,90%,32,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akm_isg,st_wpn_akm_isg,st_wpn_akm_isg_descr,4.30,116880,D,N,78%,76%,45,650,30,1000,672,90%,65,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms,st_wpn_akms,st_wpn_akms_descr,3.30,28780,C,N,70%,72%,45,600,30,900,600,90%,42,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms_alt,st_wpn_akms_alt,st_wpn_akms_descr,3.30,26540,C,N,69%,72%,45,620,30,900,600,90%,42,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms_bas,st_wpn_akms_bas,st_wpn_akms_bas_descr,3.30,8780,D,N,70%,72%,45,600,30,900,600,90%,32,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_aks,st_wpn_aks,st_wpn_aks_descr,3.20,22650,C,N,67%,72%,45,600,30,900,600,90%,45,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_aks74,st_wpn_aks74,st_wpn_aks74_descr,3.20,25860,C,N,77%,77%,37,650,30,1000,913,91%,45,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_aks74_new,st_wpn_aks74_new,st_wpn_aks74_descr,3.20,26880,C,N,77%,77%,37,655,30,1000,923,91%,45,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_am17,st_wpn_am17,st_wpn_am17_descr,3.10,70000,C,N,77%,76%,37,750,30,850,939,91%,58,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_amb17,st_wpn_amb17,st_wpn_amb17_descr,3.00,90580,D,N,79%,76%,48,800,30,600,255,83%,115,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_ar15_freedom,st_wpn_ar15_freedom,st_wpn_ar15_freedom_descr,3.15,140820,D,N,83%,80%,35,770,60,1000,985,89%,97,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ash12,st_wpn_ash12,st_wpn_ash12_descr,4.50,56890,D,N,86%,69%,73,450,20,900,420,78%,32,ammo-12.7x55-fmj;ammo_12.7x55_ap,,0.92,,,,38,,50,75
wpn_ash12_sup,st_wpn_ash12,st_wpn_ash12_descr,4.50,56890,D,N,86%,69%,73,450,20,900,420,78%,32,ammo-12.7x55-fmj;ammo_12.7x55_ap,,0.92,,,,38,,50,75
wpn_aug,st_wpn_aug_a1,st_wpn_aug_a1_descr,3.30,40680,C,N,79%,84%,35,680,30,1000,1041,90%,47,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a1_bas,st_wpn_aug_a1_bas,st_wpn_aug_a1_bas_descr,3.60,33600,C,N,85%,88%,35,680,30,1000,1041,90%,51,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_aug_a1_custom_bas,st_wpn_aug_a1_custom_bas,st_wpn_aug_a1_custom_bas_descr,3.20,43600,C,N,85%,88%,34,880,30,1000,1007,90%,55,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.497,,13,29,,,52,
wpn_aug_a3,st_wpn_aug_a3,st_wpn_aug_a3_descr,3.90,43600,C,N,85%,88%,35,680,30,1000,1041,90%,66,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a3_bas,st_wpn_aug_a3_bas,st_wpn_aug_a3_bas_descr,3.90,53600,C,N,85%,88%,35,680,30,1000,1041,90%,51,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a3_custom_bas,st_wpn_aug_a3_custom_bas,st_wpn_aug_a3_custom_bas_descr,4.50,73600,C,N,85%,88%,35,780,30,1000,1007,90%,55,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_custom,st_wpn_aug_a2,st_wpn_aug_a2_descr,3.30,42580,C,N,79%,84%,35,700,30,1000,1041,90%,47,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_merc,st_wpn_aug_thales,st_wpn_aug_thales_descr,3.50,54180,C,N,82%,84%,35,720,30,1000,1041,90%,57,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_modern,st_wpn_aug_a3,st_wpn_aug_a3_descr,3.00,45690,C,N,80%,84%,35,700,30,1000,1041,90%,47,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_brn180,st_wpn_brn180,st_wpn_brn180_descr,2.60,76321,D,N,83%,80%,41,770,30,1000,739,89%,60,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.53,,,,30,,,55
wpn_dtmdr,MDR,MDR_descr,3.77,33880,C,N,83%,80%,36,650,30,1000,985,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.52,,13,29,,,52,
wpn_dtmdr_black,MDR_black,MDR_black_descr,3.77,57880,D,N,89%,80%,59,650,20,1100,855,83%,41,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_dtmdr_black_sup,MDR_black,MDR_black_up_descr,3.73,69880,D,N,89%,80%,59,650,30,1100,855,83%,41,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_dtmdr_sup,MDR,MDR_up_descr,3.73,46880,C,N,83%,80%,36,650,60,1000,985,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.52,,13,29,,,52,
wpn_fal,st_wpn_fal,st_wpn_fal_descr,4.45,31300,D,N,86%,88%,45,675,20,1000,882,83%,27,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_fal_aus,st_wpn_fal_aus,st_wpn_fal_aus_descr,4.30,31300,D,N,86%,88%,59,675,20,1000,882,83%,27,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_fal_sa58_osw,st_wpn_fal_sa58_osw,st_wpn_fal_sa58_osw_descr,3.80,56380,D,N,86%,88%,59,675,30,1000,882,83%,28,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_famas3,st_wpn_famas3,st_wpn_famas3_descr,3.80,44900,C,N,79%,78%,35,950,30,1000,1030,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_fn2000,st_wpn_fn2000,st_wpn_fn2000e_descr,3.80,45880,D,N,84%,80%,35,850,30,1000,1030,90%,87,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_camo,st_wpn_fn2000_camo,st_wpn_fn2000e_descr,3.80,53650,D,N,86%,80%,35,860,30,1000,1131,90%,96,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_custom,st_wpn_fn2000_custom,st_wpn_fn2000e_descr,3.80,49350,D,N,85%,80%,35,875,30,1000,1030,90%,87,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_nimble,st_wpn_fn2000e_nimble,st_wpn_fn2000e_nimble_descr,3.80,48550,D,N,80%,80%,35,895,30,1000,1030,90%,75,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fnc,st_wpn_fnc,st_wpn_fnc_descr,4.06,27000,C,N,86%,73%,35,650,30,1000,1019,90%,78,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g3,st_wpn_g3,st_wpn_g3_descr,4.63,39880,D,N,80%,71%,34,600,20,1000,837,83%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.58,,,,34,,,62
wpn_g36,st_wpn_g36new,st_wpn_g36new_descr,3.77,48850,C,N,82%,71%,35,750,30,1000,1024,90%,76,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36_camo,st_wpn_g36new_k,st_wpn_g36new_k_descr,3.42,43850,C,N,83%,75%,35,750,30,1000,1024,90%,76,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36_nimble,st_wpn_g36new_nimble,st_wpn_g36new_nimble_descr,3.00,66919,C,N,81%,78%,35,800,30,1000,1024,90%,52,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36c_rwap,st_wpn_g36new_c,st_wpn_g36new_c_descr,4.10,43580,C,N,83%,75%,35,700,30,1000,1019,90%,0,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36k,st_wpn_g36new_c,st_wpn_g36new_c_descr,2.89,39857,C,N,80%,82%,35,750,30,1000,1024,90%,75,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36k_rwap,st_wpn_g36new_k,st_wpn_g36new_k_descr,4.10,51980,C,N,85%,75%,35,700,30,1000,1019,90%,0,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36ka4_rwap,st_wpn_g36new_k,st_wpn_g36new_k_descr,3.77,43850,C,N,83%,75%,35,700,30,1000,1019,90%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36nimble_rwap,st_wpn_g36nimble_rwap,st_wpn_g36nimble_rwap_descr,4.10,51980,C,N,85%,77%,35,800,30,1000,1019,91%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36v_rwap,st_wpn_g36new,st_wpn_g36new_descr,4.00,48850,C,N,83%,75%,35,700,30,1000,1019,90%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g3sg1,st_wpn_g3sg1,st_wpn_g3sg1_descr,4.70,43980,D,N,82%,71%,44,500,20,1000,861,83%,38,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.75,,,,34,,,62
wpn_galil,st_wpn_galil,st_wpn_galil_descr,3.95,38580,D,N,86%,70%,45,630,25,1000,876,86%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_ap,0.76,,,,34,,,62
wpn_galil_custom,st_wpn_galil_custom,st_wpn_galil_descr,3.95,41480,D,N,87%,70%,45,684,25,1000,876,86%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_ap,0.76,,,,34,,,62
