~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,dolg_heavy_outfit_description,20.00,79960,H,N,45,29%,33%,50%,12%,10%,6%,0%,36%,32%,2,3,16,100%
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,dolg_heavy_proto_exo_outfit_description,27.00,125280,H,Y,45,29%,33%,50%,12%,10%,6%,0%,36%,32%,3,5,62,95%
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,dolg_heavy_redline_outfit_description,16.40,85800,H,N,45,29%,35%,38%,3%,7%,7%,0%,27%,37%,3,4,13,100%
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,nosorog_outfit_description,37.00,163000,E,Y,62,34%,55%,21%,14%,6%,39%,26%,42%,43%,3,5,70,98%
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,dolg_pantsir_outfit_description,11.30,67800,H,N,45,29%,26%,50%,3%,5%,7%,0%,28%,19%,2,3,15,100%
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,dolg_proto_exo_outfit_description,21.00,70280,H,Y,30,25%,25%,10%,6%,3%,8%,0%,17%,19%,4,5,65,95%
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,dolg_specops_red_outfit_description,8.50,65700,H,N,39,20%,46%,16%,3%,2%,0%,0%,21%,25%,2,4,11,100%
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,ecolog_exo_outfit_description,21.00,135000,E,Y,55,34%,42%,41%,12%,10%,44%,21%,36%,39%,3,5,64,95%
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,ecolog_proto_exo_outfit_description,28.00,164995,H,Y,30,25%,25%,76%,22%,18%,19%,0%,34%,12%,4,6,64,95%
exo_dolg_outfit,dolg,exo_dolg_outfit_name,exo_dolg_outfit_description,21.00,73200,H,N,49,32%,42%,21%,14%,6%,24%,11%,36%,32%,2,3,19,90%
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,exo_dolg_red_outfit_description,23.00,73400,H,N,49,32%,56%,31%,4%,4%,17%,21%,42%,32%,2,3,19,90%
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,exo_dolg_urban_outfit_description,25.00,83900,H,N,49,32%,61%,11%,5%,3%,31%,7%,45%,32%,2,3,20,90%
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,exo_dolg_wood_outfit_description,18.00,81300,H,N,54,32%,44%,61%,16%,6%,34%,16%,32%,30%,3,4,18,90%
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,exo_merc_grass_outfit_description,19.40,70400,H,N,49,32%,51%,58%,6%,6%,22%,11%,36%,35%,3,4,17,90%
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,exo_merc_urban_outfit_description,20.80,75200,H,N,49,32%,51%,57%,6%,7%,26%,11%,38%,38%,2,3,19,90%
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,exo_merc_wood_outfit_description,20.20,83000,H,N,54,32%,46%,61%,7%,6%,35%,11%,36%,34%,3,4,18,90%
exo_outfit,stalker,exo_outfit_name,exo_outfit_description,32.00,99680,E,Y,55,34%,45%,8%,8%,5%,29%,11%,31%,39%,2,4,64,95%
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,exo_wood_outfit_description,19.80,74300,H,N,49,32%,38%,8%,14%,9%,36%,11%,31%,30%,2,3,18,90%
exolight_outfit,stalker,exolight_outfit_name,exolight_outfit_description,18.00,65680,H,N,49,32%,45%,8%,8%,5%,29%,11%,31%,34%,2,3,18,90%
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,freedom_exo_vineleaf_outfit_description,16.00,59700,H,N,54,32%,39%,12%,17%,7%,32%,7%,31%,30%,3,4,17,90%
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,freedom_nosorog_outfit_desc,39.00,148000,E,Y,62,34%,56%,10%,10%,14%,39%,26%,36%,41%,3,5,65,98%
greh_exo_outfit,greh,greh_exo_outfit_name,greh_exo_outfit_description,28.00,109510,E,Y,55,34%,46%,25%,9%,7%,31%,14%,23%,37%,4,6,65,95%
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,hybrid_outfit_description,18.40,73000,H,N,47,25%,27%,4%,11%,7%,29%,18%,21%,16%,3,5,33,100%
isg_exo_outfit,isg,isg_exo_outfit_name,isg_exo_outfit_description,28.00,109510,E,Y,55,34%,46%,16%,10%,7%,29%,18%,34%,38%,3,5,64,95%
isg_exolight_outfit,isg,isg_exolight_outfit_name,isg_exolight_outfit_description,17.00,68880,H,N,54,32%,46%,16%,10%,7%,29%,18%,31%,34%,2,3,17,93%
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,nosorog_outfit_description,35.00,153000,E,Y,62,34%,56%,16%,10%,7%,39%,26%,39%,41%,4,6,69,98%
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,isg_proto_exo_outfit_description,18.00,64120,H,Y,32,25%,25%,3%,6%,3%,8%,0%,14%,14%,4,7,64,95%
light_dolg_outfit,dolg,light_dolg_outfit_name,light_dolg_outfit_description,18.00,56280,H,N,40,26%,60%,6%,12%,16%,9%,6%,20%,22%,2,4,17,100%
light_freedom_outfit,freedom,light_freedom_outfit_name,light_freedom_outfit_description,16.00,53280,H,N,40,26%,60%,11%,13%,5%,9%,7%,17%,22%,2,4,16,100%
light_isg_outfit,isg,light_isg_outfit_name,light_isg_outfit_description,16.00,57280,H,N,40,26%,60%,16%,13%,4%,9%,4%,25%,22%,2,4,17,100%
light_loner_outfit,stalker,light_loner_outfit_name,light_loner_outfit_description,14.00,51280,H,N,40,26%,60%,10%,11%,3%,9%,4%,12%,22%,2,4,13,100%
light_merc_outfit,killer,light_merc_outfit_name,light_merc_outfit_description,17.00,53280,H,N,40,26%,60%,15%,16%,6%,9%,9%,6%,22%,2,4,16,100%
light_monolit_outfit,monolith,light_monolit_outfit_name,light_monolit_outfit_description,16.00,54280,H,N,40,26%,60%,6%,14%,4%,9%,14%,16%,22%,2,4,16,100%
light_voen_outfit,army,light_voen_outfit_name,light_voen_outfit_description,15.00,55280,H,N,40,26%,60%,12%,13%,3%,9%,6%,23%,22%,2,4,16,100%
merc_ace_outfit,killer,ace_outfit_name,ace_outfit_description,6.40,118000,H,N,47,20%,19%,67%,27%,33%,37%,31%,18%,18%,3,5,22,100%
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,merc_combat_scientific_outfit_description,10.70,78000,H,N,47,25%,27%,50%,23%,18%,34%,23%,15%,18%,3,5,20,100%
merc_exo_outfit,killer,merc_exo_outfit_name,merc_exo_outfit_description,24.00,112610,E,Y,55,34%,46%,6%,20%,7%,30%,11%,30%,37%,2,4,62,95%
merc_exolight_outfit,killer,merc_exolight_outfit_name,merc_exolight_outfit_description,16.00,73890,H,N,49,32%,46%,6%,20%,7%,30%,11%,30%,33%,2,3,16,90%
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,merc_nighthunter_outfit_description,14.00,57500,H,N,47,25%,24%,12%,5%,3%,9%,0%,19%,17%,2,3,13,100%
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,nosorog_outfit_description,33.00,158000,E,Y,62,34%,63%,6%,20%,7%,39%,26%,35%,43%,3,5,67,98%
military_bandit_outfit,bandit,military_bandit_outfit_name,military_outfit_description,14.00,72700,H,N,45,29%,30%,45%,15%,7%,2%,0%,35%,38%,2,3,10,100%
military_exo_outfit,army,military_exo_outfit_name,military_exo_outfit_description,28.00,109510,E,Y,55,34%,46%,11%,1%,13%,28%,14%,34%,38%,3,5,62,95%
military_exolight_outfit,army,military_exolight_outfit_name,military_exolight_outfit_description,16.00,63480,H,N,49,32%,46%,11%,1%,13%,28%,14%,34%,34%,2,3,16,90%
military_freedom_outfit,freedom,military_freedom_outfit_name,military_outfit_description,17.00,73700,H,N,45,29%,30%,35%,15%,16%,4%,0%,23%,39%,2,3,15,100%
military_merc_outfit,killer,military_merc_outfit_name,military_outfit_description,18.00,78700,H,N,45,29%,30%,35%,22%,12%,4%,0%,25%,37%,2,3,14,100%
military_monolit_outfit,monolith,military_monolit_outfit_name,military_outfit_description,18.00,71700,H,N,45,29%,30%,31%,10%,8%,8%,0%,23%,41%,2,3,15,100%
military_outfit,army,military_outfit_name,military_outfit_description,18.00,70700,H,N,45,29%,30%,41%,16%,10%,5%,0%,31%,32%,2,3,15,100%
military_proto_exo_outfit,army,military_proto_exo_outfit_name,military_proto_exo_outfit_description,26.00,115700,H,Y,45,29%,30%,41%,16%,10%,5%,0%,31%,32%,3,5,61,95%
military_sky_outfit,csky,military_sky_outfit_name,military_outfit_description,19.00,74700,H,N,45,29%,30%,42%,17%,8%,11%,0%,39%,37%,2,3,16,100%
monolith_exo_outfit,monolith,monolith_exo_outfit_name,monolith_exo_outfit_description,19.00,124280,E,Y,55,34%,46%,8%,3%,9%,31%,21%,34%,39%,3,5,62,95%
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,monolith_exolight_outfit_description,17.00,72580,H,N,49,32%,46%,8%,3%,9%,31%,21%,34%,35%,2,3,17,90%
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,nosorog_outfit_description,35.00,158000,E,Y,62,34%,58%,8%,3%,9%,39%,29%,45%,41%,3,5,67,98%
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,monolith_proto_exo_outfit_description,20.00,64120,H,Y,30,25%,25%,4%,2%,6%,8%,0%,6%,9%,4,7,62,95%
renegade_exo_outfit,renegade,renegade_exo_outfit_name,renegade_exo_outfit_description,29.00,110660,E,Y,55,34%,45%,8%,12%,7%,29%,11%,28%,39%,2,4,65,95%
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,stalker_proto_exo_outfit_description,23.00,69280,H,Y,30,25%,25%,15%,7%,4%,8%,0%,14%,12%,4,6,64,95%
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,svoboda_exo_outfit_description,32.00,111222,E,Y,55,34%,46%,10%,10%,14%,29%,12%,31%,39%,3,5,60,95%
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,svoboda_exolight_outfit_description,17.00,68880,H,N,49,32%,46%,10%,10%,14%,29%,12%,31%,34%,2,3,17,90%
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,svoboda_light_proto_exo_outfit_description,19.00,69700,H,Y,30,25%,25%,10%,3%,16%,8%,0%,12%,10%,4,7,60,95%
