~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_mp5sd_new,st_wpn_mp5sd_new,st_wpn_mp5sd_descr,2.97,22650,A,N,67%,84%,21,820,40,400,527,91%,130,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_mp7,st_wpn_mp7,st_wpn_mp7_descr_new,2.10,58500,C,Y,83%,88%,23,950,40,400,420,88%,65,ammo-5.7x28-ss190;ammo-5.7x28-ss195,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.5,,,25,,40,,
wpn_mp9,st_wpn_mp9,st_wpn_mp9_descr,2.10,43300,A,N,70%,88%,21,1100,30,400,525,91%,68,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_p90,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,23,900,50,800,756,89%,107,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.5,,,25,,40,,
wpn_p90_gs,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,21,900,50,800,756,89%,71,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.46,,,25,,40,,
wpn_p90gamma,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,21,900,50,800,756,89%,107,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.46,,,25,,40,,
wpn_pp2000,st_wpn_pp2000n,st_wpn_pp2000n_descr,1.66,19650,A,N,64%,85%,21,600,45,400,525,91%,94,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_pp2000_operator,st_wpn_pp2000_oper,st_wpn_pp2000_oper_descr,1.78,19650,A,N,64%,85%,21,600,45,400,525,91%,0,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_sr2_m1,st_wpn_sr2_m1,st_wpn_sr2_m1_descr,1.86,73300,C,Y,83%,88%,26,900,30,400,350,90%,83,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr2_veresk,st_wpn_sr2_veresk,st_wpn_sr2_veresk_descr,1.65,50300,C,Y,83%,88%,26,900,30,400,350,90%,72,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit_descr,2.10,50300,C,Y,83%,88%,26,900,30,400,350,90%,83,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_thompson_1921,st_wpn_thompson_1921,st_wpn_thompson_1921_descr,6.10,40590,A,N,60%,84%,27,900,50,300,433,90%,71,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_thompson_m1a1,st_wpn_thompson_m1a1,st_wpn_thompson_m1a1_descr,4.70,21880,A,N,60%,84%,27,650,30,300,433,90%,55,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_udp9,st_wpn_udp9,st_wpn_udp9_descr,2.20,19350,A,N,83%,84%,21,350,33,400,525,89%,90,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-11.43x23-fmj;ammo-11.43x23-hydro,0.47,,17,,34,,,
wpn_ump45,st_wpn_ump45,st_wpn_ump45_descr,2.48,28980,C,N,73%,84%,27,600,25,300,358,90%,60,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_ump45_custom,st_wpn_ump45_custom,st_wpn_ump45_descr,2.48,33880,C,N,73%,84%,27,600,25,300,358,90%,63,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_vityaz,st_wpn_vityaznew,st_wpn_vityaznew_descr,2.90,20880,A,N,63%,82%,21,800,30,400,511,91%,78,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_vz61,st_wpn_vz61,st_wpn_vz61_descr,1.44,15680,A,N,57%,84%,21,850,20,400,485,91%,90,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,34,,,
wpn_vz61_alt,st_wpn_vz61_alt,st_wpn_vz61_descr,1.44,13960,A,N,56%,84%,18,865,20,400,420,91%,99,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.46,,15,27,,,,
wpn_vz61_camo,st_wpn_vz61_camo,st_wpn_vz61_descr,1.44,18960,A,N,62%,84%,21,880,20,400,485,91%,93,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,34,,,
wpn_vz61_freedom,st_wpn_vz61_freedom,st_wpn_vz61_descr,1.44,17980,A,N,59%,84%,21,913,20,400,485,91%,93,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,34,,,
