~, St_ui_dbg_spawn_type, Pda_encyclopedia_name, Army, Bandit, Csky, Dolg, Ecolog, Freedom, Greh, Isg, Killer, Monolith, Renegade, Stalker, Zombied
wpn_aek,st_data_export_weapon_kind_rifle,st_wpn_aek971,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_expert, st_rank_master, st_rank_legend",
wpn_k98_mod,st_data_export_weapon_kind_sniper,st_wpn_k98_mod,,,"st_rank_novice, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ks23_kaban,st_data_export_weapon_kind_shotgun,st_wpn_ks23_kaban,,,,,,,"st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,,,
wpn_spas12_custom,st_data_export_weapon_kind_shotgun,st_wpn_spas12_new,,,,,,,,"st_rank_blackops",,,,,
wpn_xm4,st_data_export_weapon_kind_rifle,st_wpn_xm4,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_svu,st_data_export_weapon_kind_sniper,st_wpn_svu,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_sniper","st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_walther_p99,st_data_export_weapon_kind_pistol,st_wpn_walther_p99,,,"st_rank_novice",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,
wpn_l96a1m,st_data_export_weapon_kind_sniper,st_wpn_l96a1m,,,"st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_legend","st_rank_master, st_rank_legend",,
wpn_fn2000_nimble,st_data_export_weapon_kind_rifle,st_wpn_fn2000e_nimble,,,"st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_legend",,,
wpn_ak74u_tac,st_data_export_weapon_kind_rifle,st_wpn_ak74u_tac,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_ssu","st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
grenade_f1,st_data_export_weapon_kind_explosive,st_grenade_f1,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",
wpn_scar_siber,st_data_export_weapon_kind_rifle,st_wpn_scar_siber,,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,
wpn_bizon,st_data_export_weapon_kind_smg,st_wpn_bizon,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_trainee","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_any, st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_k98,st_data_export_weapon_kind_sniper,st_wpn_k98,,,"st_rank_novice, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_novice, st_rank_trainee",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_brn180,st_data_export_weapon_kind_rifle,st_wpn_brn180,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_p90,st_data_export_weapon_kind_smg,st_wpn_p90,,,,,,,,"st_rank_blackops",,,,,
wpn_ksg23,st_data_export_weapon_kind_shotgun,st_wpn_ksg,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_master",,"st_rank_master, st_rank_legend",
wpn_beretta_camo,st_data_export_weapon_kind_pistol,st_wpn_beretta_px4,,,"st_rank_novice",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper",,,
wpn_rpk74_16_drum,st_data_export_weapon_kind_rifle,st_wpn_rpk74_16,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend",,,
wpn_pl15_tan,st_data_export_weapon_kind_pistol,st_wpn_pl15,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_sniper","st_rank_master, st_rank_legend","st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_any, st_rank_novice, st_rank_trainee"
wpn_ak74,st_data_export_weapon_kind_rifle,st_wpn_ak74,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_p90_gs,st_data_export_weapon_kind_smg,st_wpn_p90,,,"st_rank_novice, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_rpk,st_data_export_weapon_kind_rifle,st_wpn_rpk,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_sv98,st_data_export_weapon_kind_sniper,st_wpn_sv98,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_sniper","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,
wpn_fnx45_custom,st_data_export_weapon_kind_pistol,st_wpn_fnx45_custom,,,"st_rank_novice",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper",,,
