~, Pda_encyclopedia_name, St_prop_weight, St_data_export_ammo_box_size, St_upgr_cost, BR1, BR2, BR3, BR4, BR5, BR6, BR7, St_data_export_projectiles, Ui_inv_damage, Ui_inv_accuracy, Ui_inv_wrange, St_data_export_falloff, Ui_inv_bspeed, St_data_export_impulse, St_data_export_weapon_degradation
ammo_5.7x28_ss195,"ammo-5.7x28-ss195",0.1,20,1275,,,25,,,,,1,0.69,66%,100%,30%,150%,100%,40%
ammo_gauss,"ammo-gauss",0.6,8,20512,,,,,,,500,1,2.5,66%,100%,1%,100%,100%,40%
ammo_9x19_pbp,"ammo-9x19-pbp",0.17,15,1125,10,,,,,,,1,1.35,66%,100%,75%,187%,100%,40%
ammo_5.56x45_ap,"ammo-5.56x45-ap",0.18,15,4100,,,,,,52,,1,1.05,66%,100%,20%,160%,54%,40%
ammo_11.43x23_fmj,"ammo-11.43x23-fmj",0.29,14,950,,,20,,,,,1,0.74,66%,100%,82%,187%,55%,40%
ammo_50_bmg,"ammo-50-bmg",0.33,15,27200,,,,,,,190,1,1.5,90%,100%,35%,100%,190%,40%
ammo_magnum_300,"ammo-338-lapua",0.44,10,17000,,,,,,,140,1,1.45,66%,100%,35%,150%,200%,40%
ammo_9x21_sp10,"ammo_9x21_sp10",0.19,18,2150,,,,32,,,,1,1.15,66%,100%,80%,125%,80%,110%
ammo_vog-30,"ammo_vog_30",0.2,1,1850,,,,35,,,,0,8,60%,100%,100%,100%,110%,40%
ammo_vog-25,"ammo-vog-25",0.26,1,2180,,,,35,,,,0,0.8,66%,100%,100%,100%,130%,40%
ammo_12x70_buck_self,"ammo-12x70-buck_self",0.52,10,460,3,,,,,,,11,0.3,500%,70%,200%,142%,25%,100%
ammo_og-7b,"ammo-og-7b",1.96,1,12490,,,,,,,125,0,1,152%,100%,100%,100%,150%,40%
ammo_gauss_cardan,"ammo-gauss_cardan",0.6,6,8399,,,,,,,500,1,2.5,66%,100%,1%,100%,100%,40%
ammo_11.43x23_hydro,"ammo-11.43x23-hydro",0.23,14,1425,10,,,,,,,1,1.64,66%,100%,82%,187%,70%,40%
ammo_9x39_pab9,"ammo-9x39-pab9",0.37,14,1650,,,,34,,,,1,1.04,50%,100%,63%,73%,55%,40%
ammo_9x39_ap,"ammo-9x39-ap",0.36,14,5350,,,,,,,55,1,1.04,66%,100%,63%,73%,50%,40%
ammo_9x19_fmj,"ammo-9x19-fmj",0.18,15,645,,17,,,,,,1,0.7,66%,100%,75%,187%,44%,40%
ammo_338_federal,"ammo_338_federal",0.42,10,4000,8,,,,,,,1,10.7,67%,100%,5%,150%,200%,40%
ammo_7.62x25_p,"ammo-7.62x25-p",0.17,16,875,8,,,,,,,1,0.7,70%,100%,35%,187%,70%,40%
ammo_23x75_shrapnel,"ammo_23x75_shrapnel",0.45,10,2000,6,,,,,,,6,1.5,250%,100%,80%,110%,350%,105%
ammo_12x76_dart,"ammo-12x76-dart",0.4,10,5000,,,,,42,,,1,1.52,33%,100%,80%,125%,190%,105%
ammo_9x18_fmj,"ammo-9x18-fmj",0.16,15,560,,15,,,,,,1,0.6,66%,100%,80%,187%,60%,40%
ammo_9x18_pmm,"ammo-9x18-pmm",0.15,15,960,10,,,,,,,1,1.1,66%,100%,80%,187%,70%,40%
ammo_9x18_ap,"ammo-9x18-ap",0.17,15,1200,,,27,,,,,1,0.6,66%,100%,80%,187%,55%,40%
ammo_7.92x33_ap,"ammo-7.92x33_ap",0.37,10,4500,,,,,39,,,1,1,85%,100%,25%,150%,150%,200%
ammo_5.45x39_ap,"ammo-5.45x39-ap",0.16,15,5100,,,,,,47,,1,1.1,66%,100%,25%,150%,55%,40%
ammo_12x76_bull,"ammo-12x76-bull",0.6,10,5000,,,,,40,,,1,2.5,50%,100%,100%,100%,100%,40%
ammo_12.7x55_ap,"ammo_12.7x55_ap",0.44,10,6900,,,,,,,75,1,1.2,66%,100%,75%,80%,280%,40%
ammo_12x70_buck,"ammo-12x70-buck",0.45,10,1000,3,,,,,,,9,0.42,400%,75%,100%,142%,50%,40%
ammo_7.62x39_fmj,"ammo-7.62x39_fmj",0.24,15,1950,,,,30,,,,1,1.17,75%,100%,30%,120%,66%,40%
