~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_zoom_factor,st_data_export_magnifications
lapua700,st_addon_scope_lapua700,st_addon_scope_lapua700_descr,2.60,55350,,
lazup_pl15,st_addon_scope_lazup_generic,st_addon_scope_lazup_generic_descr,0.09,12300,,
lco1,st_addon_scope_lco1,st_addon_scope_lco1_descr,0.27,7000,,
leupold,st_addon_scope_leupold,st_addon_scope_leupold_descr,0.66,38000,,1-8
m9_upgr_kit,st_addon_scope_m9_upgr_kit,st_addon_scope_m9_upgr_kit_descr,2.00,9000,,
magpul_pro,st_addon_scope_magpul_pro,st_addon_scope_magpul_pro_descr,1.72,19000,,
march_f_shorty,st_addon_scope_march_f_shorty,st_addon_scope_march_f_shorty_descr,0.54,40200,,1-8
march_f_shorty_alt,st_addon_scope_march_f_shorty_alt,st_addon_scope_march_f_shorty_alt_descr,0.59,55000,,1-10
marchf,st_addon_scope_marchf,st_addon_scope_marchf_descr,0.61,40200,,3-24
mark8_rmr,st_addon_scope_mark8_rmr,st_addon_scope_mark8_rmr_descr,0.71,48000,,1-8
mauser_kit,st_addon_scope_mauser_kit,st_addon_scope_mauser_kit_descr,3.60,21000,,
mepro,st_addon_scope_mepro,st_addon_scope_mepro_descr,0.37,6580,,
mod9,st_addon_scope_mod9,st_addon_scope_mod9_descr,0.26,6000,,
mod_x_gen3,st_addon_scope_mod_x_gen3,st_addon_scope_mod_x_gen3_descr,1.65,23000,,
mono_kit,st_addon_scope_mono_kit,st_addon_scope_mono_kit_descr,0.56,36850,,
monstrum,st_addon_scope_monstrum_2x32,st_addon_scope_monstrum_2x32_descr,0.39,9500,,2
none,,,0.00,0,,
okp,st_addon_scope_okp-7,st_addon_scope_okp-7_descr,0.30,5500,,
ots2_upgr_kit,st_addon_ots2_upgr_kit,st_addon_ots2_upgr_kit_descr,1.00,21000,,
p1x42,st_addon_scope_pilad_p1x42,st_addon_scope_pilad_p1x42_descr,0.16,5850,,
pb_upgr_kit,st_addon_scope_pb_upgr_kit,st_addon_scope_pb_upgr_kit_descr,2.00,7800,,
pgo7gs,st_addon_scope_pgo7gs,st_addon_scope_pgo7gs_descr,0.62,7000,,2.7
pk6,st_addon_scope_pk6,st_addon_scope_pk6_descr,0.09,5850,,
pka,st_addon_scope_pka,st_addon_scope_pka_descr,0.65,4000,,
pl15_scolaz,st_addon_scope_pl15_scolaz_new,st_addon_scope_pl15_scolaz_new_descr,0.13,12000,,
pm_upgr_kit,st_addon_scope_pm_upgr_kit,st_addon_scope_pm_upgr_kit_descr,2.00,6200,,
pn23,st_addon_scope_pn23,st_addon_scope_pn23_descr,0.85,36000,,1-6
point_aimpro,st_addon_scope_aimpoint_pro,st_addon_scope_aimpoint_pro_descr,0.33,8280,,
pritseldob,st_addon_scope_psicho_rmr,st_addon_scope_psicho_rmr_descr,0.66,36000,,4
ps01,st_addon_scope,st_addon_scope_descr,0.62,9500,,4
ps320,st_addon_scope_valday_ps320,st_addon_scope_valday_ps320_descr,0.57,32000,,"1,6"
pso1m21,st_addon_scope_pso-1m2-01,st_addon_scope_pso-1m2-01_descr,0.62,11200,,6
pso2,st_addon_scope_pso2,st_addon_scope_pso2_descr,0.60,9500,,4
pso21p63,,,0.00,0,,
rakurs,st_addon_scope_rakurs,st_addon_scope_rakurs_descr,0.30,4500,,
razorhd,st_addon_scope_razorhd,st_addon_scope_razorhd_descr,0.62,35000,,1-6
rmr,st_addon_scope_rmr,st_addon_scope_rmr_descr,0.03,5850,,
romeo4,st_addon_scope_romeo4,st_addon_scope_romeo4_descr,0.20,6000,,
romeo8,st_addon_scope_romeo8,st_addon_scope_romeo8_descr,0.39,7500,,
shakal,st_addon_scope_shakal,st_addon_scope_shakal_descr,1.30,81150,,
side,st_addon_scope_side,st_addon_scope_side_descr,0.51,14000,,3.5
silen98,st_addon_scope_silen98,st_addon_scope_silen98_descr,0.10,7150,,
skeet,st_addon_scope_skeet,st_addon_scope_skeet_descr,0.24,85500,,
spec_alt,st_addon_scope_spec_alt,st_addon_scope_spec_alt_descr,0.71,35000,,"1,4"
specter,st_addon_scope_specterDR,st_addon_scope_specterDR_descr,0.66,24000,,"1,4"
spectre_tactical_kit,st_addon_scope_spectre_tactical_kit,st_addon_scope_spectre_tactical_kit_descr,2.00,12000,,
sr1upgr1,st_addon_scope_sr1upgr1_new,st_addon_scope_sr1upgr1_new_descr,0.45,7500,,
sr2_upkit,st_addon_scope_sr2_upkit,st_addon_scope_sr2_upkit_descr,0.50,12200,,
sup,st_addon_scope_sup_new,st_addon_scope_sup_new_descr,0.74,22850,15,
susat,st_addon_scope_susat,st_addon_scope_susat_descr,0.47,14000,,4
susatov,st_addon_scope_susatov,st_addon_scope_susatov_descr,0.47,21000,,4
swamp,st_addon_scope_swamp,st_addon_scope_swamp_descr,1.60,88150,,
t12,st_addon_scope_t12,st_addon_scope_t12_descr,0.06,85500,,
tac30,st_addon_scope_burris_tac30,st_addon_scope_burris_tac30_descr,0.48,25000,,1-4
trihawk,st_addon_scope_trihawk_3x30,st_addon_scope_trihawk_3x30_descr,0.43,10000,,3
triji,st_addon_scope_trijicon_rmr,st_addon_scope_trijicon_rmr_descr,0.56,29500,,2.8
tt_upgr_kit,st_addon_scope_tt_upgr_kit,st_addon_scope_tt_upgr_kit_descr,2.00,6200,,
u2p2g0r,st_addon_scope_u2p2g0r,st_addon_scope_u2p2g0r_descr,0.26,8000,,
uh1_magd,st_addon_scope_razor_mag,st_addon_scope_razor_mag_descr,0.63,32000,,6
uh2,st_addon_scope_razor,st_addon_scope_razor_descr,0.33,10200,,
upg220,st_addon_scope_upg220,st_addon_scope_upg220_descr,0.26,15100,,
usp1,st_addon_scope_usp1,st_addon_scope_usp1_descr,0.80,14000,,4
vitup,st_addon_scope_vitup_kit,st_addon_scope_vitup_kit_descr,2.00,14200,,
vorkuta,st_addon_vorkutakit,st_addon_vorkutakit_descr,1.26,35555,,
vulcan,st_addon_scope_vulcan,st_addon_scope_vulcan_descr,0.90,15500,,3.5
wpn_addon_scope,st_addon_scope,st_addon_scope_descr,0.62,1860,24,
wpn_addon_scope_g43,st_addon_scope_zf4,st_addon_scope_zf4_descr,0.40,1590,24.8,4
wpn_addon_scope_po4x34,st_addon_scope_po4x34,st_addon_scope_po4x34_descr,0.30,7000,15,4
wpn_addon_scope_pu,st_addon_scope_pu,st_addon_scope_pu_descr,0.20,7000,17.4,3.5
wpn_addon_scope_susat,st_addon_scope_galil_susat,st_addon_scope_galil_descr,0.58,2560,24,
wpn_addon_scope_zf4,st_addon_scope_zf4,st_addon_scope_zf4_descr,0.40,7000,24.8,4
