~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,st_data_export_limb_duration,st_data_export_first_aid_head,st_data_export_first_aid_torso,st_data_export_first_aid_arm,st_data_export_first_aid_leg,st_data_export_post_heal_head,st_data_export_post_heal_torso,st_data_export_post_heal_arm,st_data_export_post_heal_leg,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_satiety,st_ui_number_of_uses,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight,st_data_export_used_in_crafting,st_data_export_can_be_crafted
medkit_scientic,st_medkit_science,st_medkit_science_descr,0.50,6500,4,0%,1%,0%,0%,60,9,9,4,4,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,46,1536,0%,0%,9%,0%,2%,0.00,Y,Y
morphine,st_morphine,st_morphine_descr,0.07,2000,5,0%,0%,0%,15%,60,8,5,4,4,0,0,0,0,12%,12%,0%,0%,0%,0%,0%,12%,12%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
rebirth,st_rebirth,st_rebirth_descr,0.08,12000,5,-1%,0%,53%,0%,60,11,11,5,5,8,8,5,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,1,8.5,37.6%,319%,0,0,566,4811,0%,0%,0%,0%,0%,0.00,N,Y
salicidic_acid,st_salicidic_acid,st_salicidic_acid_descr,0.08,1600,4,0%,0%,0%,10%,60,2,2,2,2,0,0,0,0,8%,8%,0%,0%,0%,0%,0%,8%,8%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
stimpack,st_stim_impro,st_stim_impro_descr,0.10,3000,2,1%,1%,0%,0%,60,5,5,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,12,7%,84%,0,0,0,0,0%,0%,0%,0%,0%,0.00,N,Y
stimpack_army,st_stim_military,st_stim_military_descr,0.10,5000,4,1%,1%,0%,0%,60,5,7,3,3,2,2,1,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,15,10%,150%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
stimpack_scientic,st_stim_scientic,st_stim_scientic_descr,0.10,6000,5,1%,1%,0%,0%,60,6,9,4,4,4,4,1,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,15,10%,150%,0,0,69,1035,0%,0%,0%,0%,0%,0.00,N,Y
survival_kit,st_survival_kit,st_survival_kit_descr,0.18,7500,5,0%,1%,0%,0%,60,0,11,3,3,5,5,3,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,1,45,6%,270%,15,675,116,5220,0%,0%,0%,0%,0%,0.00,N,N
tetanus,st_tetanus,st_tetanus_descr,0.05,1940,3,1%,1%,10%,-0.9%,0,0,0,0,0,3,3,3,3,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,1,434,0.102%,44%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
yadylin,st_yadylin,st_yadylin_descr,0.01,985,2,2%,0%,45%,0%,0,0,0,0,0,4,4,2,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,262.6,0.2%,52%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
