~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_ak12_custom,st_wpn_ak12_custom,st_wpn_ak12_custom_descr,3.10,70000,C,N,77%,76%,650,45,0,939,91%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak12_custom_mono_kit,st_wpn_ak12_mono_kit,st_wpn_ak12_mono_kit_descr,3.65,70000,C,N,79%,76%,700,60,0,944,91%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_ak12_m1,st_wpn_ak12_m1,st_wpn_ak12_m1_descr,3.20,46880,C,N,76%,76%,650,30,0,939,91%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak5c_bas,st_wpn_ak5c_bas,st_wpn_ak5c_bas_descr,4.00,55560,C,N,81%,80%,750,30,0,985,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik,st_wpn_ak5c_bas_5c_tik_descr,3.70,55560,C,N,81%,80%,800,30,0,1007,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_ak5c_isg,st_wpn_ak5c_isg,st_wpn_ak5c_isg_descr,3.00,85560,C,N,81%,80%,800,30,0,1007,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak74,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,76%,76%,650,30,0,923,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_isg,st_wpn_ak74_isg,st_wpn_ak74_isg_descr,2.90,136880,D,N,79%,76%,720,30,0,902,91%,48,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.53,,,27,,,50,
wpn_ak74_n,st_wpn_ak74_n,st_wpn_ak74_n_descr,3.30,26950,C,N,76%,76%,650,30,0,923,91%,45,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74_pmc,st_wpn_ak74_pmc,st_wpn_ak74_pmc_descr,3.40,68880,C,N,79%,76%,650,45,0,939,91%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.49,,,27,,,50,
wpn_ak74m,st_wpn_ak74m,st_wpn_ak74m_descr,3.40,30980,C,N,78%,76%,600,30,0,923,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_beard,st_wpn_ak74m_beard,st_wpn_ak74m_beard_descr,3.00,38980,C,N,78%,76%,600,45,0,923,91%,53,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_camo,st_wpn_ak74m,st_wpn_ak74m_descr,3.40,30980,C,N,78%,76%,600,30,0,923,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74m_n,st_wpn_ak74m_n,st_wpn_ak74m_n_descr,3.40,30980,C,N,78%,76%,600,30,0,923,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_ak74u,st_wpn_ak74u,st_wpn_ak74u_descr,2.48,20870,C,N,62%,83%,700,30,0,771,91%,38,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_isg,st_wpn_ak74u_isg,st_wpn_ak74u_isg_descr,2.25,96880,D,N,79%,76%,850,30,0,882,91%,53,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.48,,,27,,,50,
wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg_descr,2.30,116880,D,N,79%,76%,725,30,0,705,90%,53,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak74u_n1,st_wpn_ak74u_n1,st_wpn_ak74u_n1_descr,2.48,20870,C,N,62%,83%,700,30,0,771,91%,37,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.485,,,27,,,50,
wpn_ak74u_tac,st_wpn_ak74u_tac,st_wpn_ak74u_tac_descr,3.00,38950,C,N,73%,76%,880,45,0,939,91%,49,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.49,,,27,,,50,
wpn_akm,st_wpn_akm,st_wpn_akm_descr,3.30,28780,C,N,70%,72%,600,30,0,600,90%,30,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akm_alfa,st_wpn_akm_alfa,st_wpn_akm_alfa_descr,3.50,75930,D,N,78%,76%,600,30,0,688,90%,46,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.57,,,,30,,,55
wpn_akm_bas,st_wpn_akm_bas,st_wpn_akm_bas_descr,3.30,8780,C,N,70%,72%,600,30,0,600,90%,12,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akm_isg,st_wpn_akm_isg,st_wpn_akm_isg_descr,4.30,116880,D,N,78%,76%,650,30,0,672,90%,53,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms,st_wpn_akms,st_wpn_akms_descr,3.30,28780,C,N,70%,72%,600,30,0,600,90%,30,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms_alt,st_wpn_akms_alt,st_wpn_akms_descr,3.30,26540,C,N,69%,72%,620,30,0,600,90%,30,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_akms_bas,st_wpn_akms_bas,st_wpn_akms_bas_descr,3.30,8780,D,N,70%,72%,600,30,0,600,90%,12,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_aks,st_wpn_aks,st_wpn_aks_descr,3.20,22650,C,N,67%,72%,600,30,0,600,90%,31,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_aks74_new,st_wpn_ak74,st_wpn_ak74_descr,3.30,26950,C,N,76%,76%,650,30,0,923,91%,45,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_am17,st_wpn_am17,st_wpn_am17_descr,3.10,70000,C,N,77%,76%,750,30,0,939,91%,58,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_amb17,st_wpn_amb17,st_wpn_amb17_descr,3.00,90580,D,N,79%,76%,800,30,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_ar15_freedom,st_wpn_ar15_freedom,st_wpn_ar15_freedom_descr,3.15,140820,D,N,83%,80%,770,60,0,985,89%,78,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ash12,st_wpn_ash12,st_wpn_ash12_descr,4.50,37100,D,N,77%,66%,500,10,0,503,78%,11,ammo-12.7x55-fmj;ammo_12.7x55_ap,,1.03,,,,38,,50,75
wpn_ash12_sup,st_wpn_shak12,st_wpn_shak12_descr,4.50,64000,D,N,80%,78%,600,20,0,503,78%,14,ammo-12.7x55-fmj;ammo_12.7x55_ap,,1.03,,,,38,,50,75
wpn_aug,st_wpn_aug_a1,st_wpn_aug_a1_descr,3.30,40680,C,N,79%,84%,680,30,0,1041,90%,72,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a1_bas,st_wpn_aug_a1_bas,st_wpn_aug_a1_bas_descr,3.60,33600,C,N,85%,88%,680,30,0,1041,90%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_aug_a1_custom_bas,st_wpn_aug_a1_custom_bas,st_wpn_aug_a1_custom_bas_descr,3.20,43600,C,N,85%,88%,880,30,0,1007,90%,68,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.497,,13,29,,,52,
wpn_aug_a3,st_wpn_aug_a3,st_wpn_aug_a3_descr,3.90,43600,C,N,85%,88%,680,30,0,1041,90%,75,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a3_bas,st_wpn_aug_a3_bas,st_wpn_aug_a3_bas_descr,3.90,53600,C,N,85%,88%,680,30,0,1041,90%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_a3_custom_bas,st_wpn_aug_a3_custom_bas,st_wpn_aug_a3_custom_bas_descr,4.50,73600,C,N,85%,88%,780,30,0,1007,90%,68,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_merc,st_wpn_aug_thales,st_wpn_aug_thales_descr,3.50,54180,C,N,82%,84%,720,30,0,1041,90%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_aug_modern,st_wpn_aug_a1,st_wpn_aug_a1_descr,3.30,40680,C,N,79%,84%,680,30,0,1041,90%,72,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_brn180,st_wpn_brn180,st_wpn_brn180_descr,2.60,76321,D,N,83%,80%,770,30,0,739,89%,54,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.53,,,,30,,,55
wpn_dtmdr,MDR,MDR_descr,3.77,33880,C,N,83%,80%,650,30,0,985,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.52,,13,29,,,52,
wpn_dtmdr_black,MDR_black,MDR_black_descr,4.12,57880,D,N,89%,80%,650,20,0,855,83%,22,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_dtmdr_black_sup,MDR_black,MDR_black_descr,4.62,57880,D,N,89%,80%,650,25,0,855,83%,22,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_dtmdr_sup,MDR,MDR_up_descr,3.73,46880,C,N,83%,80%,650,60,0,985,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.52,,13,29,,,52,
wpn_fal,st_wpn_fal,st_wpn_fal_descr,4.45,31300,D,N,86%,88%,675,20,0,882,83%,7,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_fal_aus,st_wpn_fal_aus,st_wpn_fal_aus_descr,4.30,31300,D,N,86%,88%,675,20,0,882,83%,10,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_fal_sa58_osw,st_wpn_fal_sa58_osw,st_wpn_fal_sa58_osw_descr,3.80,56380,D,N,86%,88%,675,30,0,882,83%,21,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_famas3,st_wpn_famas3,st_wpn_famas3_descr,3.80,44900,C,N,79%,78%,950,30,0,1030,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_fn2000,st_wpn_fn2000,st_wpn_fn2000e_descr,3.80,45880,D,N,84%,80%,850,30,0,1030,90%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_camo,st_wpn_fn2000_camo,st_wpn_fn2000e_descr,3.80,53650,D,N,86%,80%,860,30,0,1131,90%,62,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_custom,st_wpn_fn2000_custom,st_wpn_fn2000e_descr,3.80,49350,D,N,85%,80%,875,30,0,1030,90%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fn2000_nimble,st_wpn_fn2000e_nimble,st_wpn_fn2000e_nimble_descr,3.80,48550,D,N,80%,80%,895,30,0,1030,90%,41,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_fnc,st_wpn_fnc,st_wpn_fnc_descr,4.06,27000,C,N,86%,73%,650,30,0,1019,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g3,st_wpn_g3,st_wpn_g3_descr,4.63,39880,D,N,80%,71%,600,20,0,837,83%,19,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.58,,,,34,,,62
wpn_g36,st_wpn_g36new,st_wpn_g36new_descr,4.00,48850,C,N,83%,75%,700,30,0,1019,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36_camo,st_wpn_g36new_k,st_wpn_g36new_k_descr,3.77,43850,C,N,83%,75%,700,30,0,1019,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36c_rwap,st_wpn_g36new_c,st_wpn_g36new_c_descr,4.10,43580,C,N,83%,75%,700,30,0,1019,90%,0,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36k_rwap,st_wpn_g36new_k,st_wpn_g36new_k_descr,4.10,51980,C,N,85%,75%,700,30,0,1019,90%,0,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36ka4_rwap,st_wpn_g36new_k,st_wpn_g36new_k_descr,3.77,43850,C,N,83%,75%,700,30,0,1019,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36nimble_rwap,st_wpn_g36nimble_rwap,st_wpn_g36nimble_rwap_descr,4.10,51980,C,N,85%,77%,800,40,0,1019,91%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g36v_rwap,st_wpn_g36new,st_wpn_g36new_descr,4.00,48850,C,N,83%,75%,700,30,0,1019,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_g3sg1,st_wpn_g3sg1,st_wpn_g3sg1_descr,4.70,43980,D,N,82%,71%,500,20,0,861,83%,40,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.75,,,,34,,,62
wpn_grot,st_wpn_grot,st_wpn_grot_descr,4.01,76400,C,N,88%,76%,750,30,0,889,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_grot_short,st_wpn_grot_short,st_wpn_grot_short_descr,3.48,56400,C,N,83%,85%,750,30,0,809,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_grot_short_tan,st_wpn_grot_short_tan,st_wpn_grot_short_tan_descr,3.48,56400,C,N,83%,85%,750,30,0,809,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_grot_tan,st_wpn_grot_tan,st_wpn_grot_tan_descr,4.01,76400,C,N,79%,76%,950,30,0,889,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_groza,st_wpn_guns_groza,st_wpn_groza_guns_descr,4.00,36860,D,N,75%,82%,700,30,0,255,89%,59,ammo-9x39-pab9;ammo-9x39-ap,,0.62,,,,34,,,55
wpn_groza_nimble,st_wpn_groza_guns_nimble,st_wpn_groza_guns_nimble_descr,4.10,38580,D,N,79%,72%,750,60,0,756,91%,78,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_hk21,st_wpn_hk21e,st_wpn_hk21e_descr,7.68,56580,D,N,76%,75%,650,100,0,897,83%,58,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.765,,,,34,,,62
wpn_hk416,st_wpn_hk416,st_wpn_hk416_descr,3.74,49580,C,N,83%,80%,850,30,0,985,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_hk417,st_wpn_hk417,st_wpn_hk417_descr,4.20,35000,C,N,86%,88%,600,20,0,857,80%,10,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_howa20,st_wpn_howa20,st_wpn_howa20_descr,3.05,175680,D,N,83%,80%,900,30,0,1019,90%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85,st_wpn_l85_m2,st_wpn_l85_m2_descr,3.50,53860,C,N,85%,79%,680,30,0,1086,83%,72,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_m1,st_wpn_l85_m1,st_wpn_l85_m1_descr,3.50,33860,C,N,85%,79%,680,30,0,1086,90%,62,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_m2,st_wpn_l85_m2,st_wpn_l85_m2_descr,3.50,53860,C,N,85%,79%,680,30,0,1086,90%,66,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_m3,st_wpn_l85_m3,st_wpn_l85_m3_descr,3.80,78330,C,N,85%,79%,680,30,0,1086,90%,78,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_modern,st_wpn_l85_m2,st_wpn_l85_m2_descr,3.50,53860,C,N,85%,79%,680,30,0,1086,83%,72,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_lr300,st_wpn_m4a1_siber,st_wpn_m4a1_siber_descr,2.60,29230,C,N,83%,80%,770,30,0,985,89%,54,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
wpn_lr300_camo,st_wpn_m4a1_siber,st_wpn_m4a1_siber_descr,2.60,29230,C,N,83%,80%,770,30,0,985,89%,54,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
wpn_m16,st_wpn_m16,st_wpn_m16_descr,3.09,35690,C,N,86%,71%,670,30,0,1019,83%,66,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_m16a2,st_wpn_m16a2,st_wpn_m16a2_descr,3.51,35880,C,N,73%,71%,700,30,0,1019,89%,84,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_m249,st_wpn_m249,st_wpn_m249_descr,7.68,56580,D,N,76%,75%,870,100,0,1030,91%,75,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_m4,st_wpn_m4,st_wpn_m4_descr,3.02,35560,C,N,81%,80%,750,30,0,985,89%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4_butcher,st_wpn_m4_butcher,st_wpn_m4_butcher_descr,2.95,91640,C,N,83%,80%,950,60,0,851,89%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.496,,13,29,,,52,
wpn_m4_ru556,st_wpn_m4_ru556,st_wpn_m4_ru556_descr,2.95,89580,C,N,83%,80%,700,20,0,985,89%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_m4_tac,st_wpn_m4_tac,st_wpn_m4_tac_descr,3.00,61230,C,N,83%,80%,770,40,0,985,89%,69,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1_camo,st_wpn_m4a1_siber,st_wpn_m4a1_siber_descr,2.60,29230,C,N,83%,80%,770,30,0,985,89%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
