~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_cz75,st_wpn_cz75,st_wpn_cz75_descr,1.12,8750,A,Y,73%,84%,258,16,0,492,88%,19,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_desert_eagle,st_wpn_desert_eagle,st_wpn_desert_eagle_descr,1.90,19680,A,Y,57%,79%,110,9,0,461,72%,7,ammo-357-hp,,0.6,,,19,,,,
wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble_descr,1.93,25880,A,Y,61%,79%,117,11,0,461,72%,7,ammo-357-hp,,0.6,,,19,,,,
wpn_eft_rsh12,st_wpn_rsh12_shorty,st_wpn_rsh12_shorty_descr,2.00,73500,D,Y,63%,83%,70,5,0,520,83%,4,ammo-12.7x55-fmj;ammo_12.7x55_ap,,1.15,,,,38,,50,75
wpn_fn57,st_wpn_fn57,st_wpn_fn57_descr,0.61,15280,A,Y,74%,82%,400,20,0,677,87%,19,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.5,,,25,,40,,
wpn_fnp45,st_wpn_fnp45,st_wpn_fnp45_descr,0.94,14860,A,Y,73%,82%,253,15,0,380,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_fnx45,st_wpn_fnx45_custom,st_wpn_fnx45_descr,1.30,18650,A,Y,73%,82%,420,15,0,380,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_fnx45_custom,st_wpn_fnx45_custom,st_wpn_fnx45_descr,1.30,18650,A,Y,73%,82%,420,15,0,380,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_fort,st_wpn_fort17,st_wpn_fort17_descr,0.68,7860,A,Y,59%,90%,350,13,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_fort17,st_wpn_fort17,st_wpn_fort17_descr,0.68,7860,A,Y,59%,90%,350,13,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_fort_snag,st_wpn_fort17,st_wpn_fort17_descr,0.68,7860,A,Y,59%,90%,350,13,0,380,88%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_glock,st_wpn_glock,st_wpn_glock_descr,0.62,10960,A,Y,77%,82%,270,15,0,472,88%,19,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_glock17,st_wpn_glock17,st_wpn_glock17_descr,0.62,10960,A,Y,77%,82%,270,17,0,472,88%,19,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_glock17_m1,st_wpn_glock17_m1,st_wpn_glock17_m1_descr,0.70,16960,A,Y,77%,82%,500,17,0,472,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_glock_custom,st_wpn_hs2000,st_wpn_hs2000_descr,0.62,19680,A,Y,79%,82%,280,16,0,472,89%,19,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_glock_modern,st_wpn_glock_modern,st_wpn_glock_modern_descr,0.62,15680,A,Y,76%,82%,1200,40,0,472,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_gsh18,st_wpn_fort17,st_wpn_fort17_descr,0.68,7860,A,Y,59%,90%,350,13,0,380,88%,18,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_gsh18_custom,st_wpn_fort17,st_wpn_fort17_descr,0.68,7860,A,Y,59%,90%,350,13,0,380,88%,18,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_hpsa,st_wpn_sig226,st_wpn_sig226_descr,0.80,14980,A,Y,63%,81%,380,15,0,446,88%,13,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_hpsa_226sig_kit,st_wpn_sig226_226sig_kit,st_wpn_sig226_226sig_kit_descr,0.86,14980,A,Y,63%,81%,380,15,0,446,88%,15,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_korth,st_wpn_korth,st_wpn_korth_descr,1.14,48960,A,Y,80%,82%,400,7,0,472,85%,17,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.66,,,20,,,,
wpn_korth_custom,st_wpn_rapide,st_wpn_rapide_descr,1.42,78960,A,Y,80%,82%,400,8,0,472,85%,30,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.68,,,20,,,,
wpn_m45a1,st_wpn_m45a1,st_wpn_m45a1_descr,1.25,30000,A,Y,67%,83%,320,7,0,354,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_mp412,st_wpn_mp412,st_wpn_mp412_descr,0.90,14680,A,Y,88%,70%,200,6,0,451,88%,16,ammo-357-hp,,0.6,,,19,,,,
wpn_mp443,st_wpn_grach,st_wpn_grach_descr,0.95,11580,A,Y,74%,84%,350,18,0,485,88%,19,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_oc33,st_wpn_oc33_new,st_wpn_oc33_new_descr,1.15,8860,A,Y,67%,81%,800,27,0,380,88%,20,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pb,st_wpn_pb_new,st_wpn_pb_new_descr,1.15,6580,A,Y,60%,83%,330,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.45,,14,26,,,,
wpn_pb_bas,st_wpn_pb_bas,st_wpn_pb_bas_descr,1.15,6580,A,Y,60%,83%,305,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.45,,14,26,,,,
wpn_pb_bas_custom,st_wpn_pb_bas_custom,st_wpn_pb_bas_descr,1.15,8190,A,Y,62%,83%,325,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.45,,14,26,,,,
wpn_pl15,st_wpn_pl15,st_wpn_pl15_descr,0.80,26960,A,Y,80%,82%,400,16,0,472,88%,44,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_pl15_pl15_scolaz,st_wpn_pl15_pl15_scolaz,st_wpn_pl15_pl15_scolaz_descr,0.94,26960,A,Y,81%,82%,400,16,0,472,88%,44,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_pl15_tan,st_wpn_pl15_new,st_wpn_pl15_new_descr,0.80,26960,A,Y,80%,82%,400,16,0,472,88%,44,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_pl15_tan_pl15_scolaz,st_wpn_pl15_upgr,st_wpn_pl15_upgr_descr,0.94,26960,A,Y,81%,82%,400,16,0,472,88%,44,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_pm,st_wpn_pm_new,st_wpn_pm_new_descr,0.73,4890,A,Y,58%,85%,340,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pm_actor,st_wpn_pm_new,st_wpn_pm_new_descr,0.73,4890,A,Y,58%,85%,340,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pm_bas,st_wpn_pm_bas,st_wpn_pm_bas_descr,0.73,4890,A,Y,58%,85%,315,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pm_bas_actor,st_wpn_pm_bas_actor,st_wpn_pm_bas_actor_descr,0.73,7130,A,Y,62%,85%,405,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pm_bas_custom,st_wpn_pm_bas_custom,st_wpn_pm_bas_custom_descr,0.73,6890,A,Y,60%,85%,340,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pm_custom,st_wpn_pm_new,st_wpn_pm_new_descr,0.73,4890,A,Y,58%,85%,340,8,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_pmm_bas,st_wpn_pmm_bas,st_wpn_pmm_bas_descr,0.76,7580,A,Y,62%,85%,245,12,0,380,90%,21,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_sig220,st_wpn_sig220_n,st_wpn_sig220_n_descr,1.13,12980,A,Y,63%,81%,225,7,0,446,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_sig220_n,st_wpn_sig220_n,st_wpn_sig220_n_descr,1.13,12980,A,Y,63%,81%,225,7,0,446,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_sig220_n_u2p2g0r,st_wpn_sig220_n_u2p2g0r,st_wpn_sig220_n_u2p2g0r_descr,0.86,12980,A,Y,66%,81%,377,19,0,446,88%,17,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_sig220_n_upg220,st_wpn_sig220_n_upg220,st_wpn_sig220_n_upg220_descr,0.86,12980,A,Y,66%,81%,300,12,0,446,85%,15,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_sig220_u2p2g0r,st_wpn_sig220_n_u2p2g0r,st_wpn_sig220_n_u2p2g0r_descr,0.86,12980,A,Y,66%,81%,377,19,0,446,88%,17,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_sig220_upg220,st_wpn_sig220_n_upg220,st_wpn_sig220_n_upg220_descr,0.86,12980,A,Y,66%,81%,300,12,0,446,85%,14,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_sig226,st_wpn_sig226,st_wpn_sig226_descr,0.80,14980,A,Y,63%,81%,380,15,0,446,88%,13,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_sig226_226sig_kit,st_wpn_sig226_226sig_kit,st_wpn_sig226_226sig_kit_descr,0.86,14980,A,Y,63%,81%,380,15,0,446,88%,15,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_sr1m,st_wpn_sr1mp_new,st_wpn_sr1mp_new_descr,0.90,26960,A,Y,77%,82%,400,18,0,315,85%,18,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr1m_gurza_up,st_wpn_sr1mp_upgr,st_wpn_sr1mp_upgr_descr,1.09,26960,A,Y,77%,82%,400,18,0,315,85%,18,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr1m_sr1upgr1,st_wpn_sr1mp_las,st_wpn_sr1mp_las_descr,0.99,26960,A,Y,77%,82%,400,18,0,315,85%,18,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_tt33,st_wpn_tt33_custom,st_wpn_tt33_custom_descr,0.85,9860,A,Y,59%,79%,330,8,0,551,88%,17,ammo-7.62x25-p;ammo-7.62x25-ps,,0.45,,,25,,,,
wpn_tt33_modern,st_wpn_tt33_custom,st_wpn_tt33_custom_descr,0.85,9860,A,Y,59%,79%,330,8,0,551,88%,17,ammo-7.62x25-p;ammo-7.62x25-ps,,0.45,,,25,,,,
wpn_tt33_modern_tt_upgr_kit,st_wpn_tt33_custom_upgr,st_wpn_tt33_custom_upgr_descr,0.85,9860,A,Y,67%,79%,330,13,0,603,88%,20,ammo-7.62x25-p;ammo-7.62x25-ps,,0.45,,,25,,,,
wpn_usp,st_wpn_mk23,st_wpn_mk23_descr,1.21,54600,A,Y,74%,88%,400,12,0,341,85%,105,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_usp_tac,st_wpn_usp_tac,st_wpn_usp_tac_descr,0.96,54600,A,Y,73%,84%,640,22,0,341,88%,87,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.45,,17,,35,,,
wpn_usp_tac_45,st_wpn_usp_tac45,st_wpn_usp_tac45_descr,0.96,54600,A,Y,73%,84%,400,17,0,341,85%,107,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_walther,st_wpn_walther_p99,st_wpn_walther_p99_descr,0.69,4890,A,Y,53%,85%,260,16,0,465,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_walther_mod9,st_wpn_walther_p99_mod9,st_wpn_walther_p99_mod9_descr,0.86,4890,A,Y,53%,85%,260,16,0,465,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_walther_p99,st_wpn_walther_p99,st_wpn_walther_p99_descr,0.69,4890,A,Y,53%,85%,260,16,0,465,88%,17,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_walther_p99_mod9,st_wpn_walther_p99_mod9,st_wpn_walther_p99_mod9_descr,0.86,4890,A,Y,53%,85%,260,16,0,465,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
