~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
ammo_9x39_ap,ammo-9x39-ap,5,recipe_ammo_0,,ammo-9x39-ap,x2,st_prt_i_ammo,x4,,,,
ammo_9x39_pab9,ammo-9x39-pab9,5,recipe_ammo_0,,ammo-9x39-pab9,x2,st_prt_i_ammo,x4,,,,
ammo_gauss,ammo-gauss,5,recipe_expert_0,,st_af_electra_sparkler_name,x2,,,st_prt_i_scrap,x2,st_batteries,x3
ammo_m209,ammo-m209,5,recipe_advanced_0,,ammo_vog_30,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ammo_magnum_300,ammo-338-lapua,5,recipe_ammo_0,,ammo-338-lapua,x2,st_prt_i_ammo,x7,,,,
ammo_og-7b,ammo-og-7b,5,recipe_expert_0,,st_prt_i_scrap,x3,st_ied_rpg,x2,,,,
ammo_pkm_100,ammo-7.62x54-r,5,recipe_ammo_0,,ammo-7.62x54-ap,x2,st_prt_i_ammo,x7,,,,
ammo_vog-25,ammo-vog-25,5,recipe_advanced_0,,ammo_vog_30,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ammo_vog-30,ammo_vog_30,5,recipe_advanced_0,,ammo-vog-25,x1,st_prt_i_scrap,x2,st_powder_mag,x1,,
ied_new,st_ied,5,recipe_ammo_0,,ammo-vog-25,x1,st_grenade_f1,x1,st_prt_i_scrap,x2,,
ied_rpg_new,st_ied_rpg,5,recipe_ammo_0,,st_grenade_f1,x1,st_grenade_rgd5,x2,st_prt_i_scrap,x2,,
mine_new,st_mine_name,5,recipe_ammo_0,,st_prt_i_scrap,x4,st_grenade_f1,x1,,,,
