~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
dolg_voin_outfit,dolg,dolg_voin_outfit_name,dolg_voin_outfit_description,22.50,57395,M,N,36,28%,36%,8%,11%,11%,4%,17%,13%,26%,2,3,24,99%
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,ecologist_guard_outfit_description,20.00,70952,M,N,29,23%,34%,6%,13%,13%,5%,25%,18%,21%,3,4,24,98%
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,5.60,137017,M,N,9,9%,7%,48%,97%,49%,47%,49%,61%,5%,4,6,15,101%
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,st_ecologist_outfit_grn_description,5.60,139744,M,N,9,10%,7%,61%,60%,61%,53%,61%,61%,5%,4,6,15,101%
ecolog_outfit_orange,ecolog,st_ecologist_outfit_orange_name,st_ecologist_outfit_orange_description,5.60,151369,M,N,9,9%,7%,48%,49%,49%,71%,49%,61%,5%,5,7,15,101%
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,st_ecologist_outfit_red_description,5.60,137017,M,N,9,9%,7%,96%,49%,49%,47%,49%,61%,5%,4,6,15,101%
ecolog_outfit_white,ecolog,st_ecologist_outfit_white_name,st_ecologist_outfit_white_description,5.60,137017,M,N,9,9%,7%,48%,49%,49%,47%,97%,61%,5%,4,6,15,101%
ecolog_outfit_yello,ecolog,st_ecologist_outfit_yello_name,st_ecologist_outfit_yello_description,5.60,137017,M,N,9,9%,7%,48%,49%,97%,47%,49%,61%,5%,4,6,15,101%
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,greh_armored_camo_outfit_description,17.00,83932,M,N,29,20%,12%,35%,15%,6%,15%,16%,6%,6%,4,6,19,99%
greh_armored_outfit,greh,greh_armored_outfit_name,greh_armored_outfit_description,28.00,65642,M,N,36,30%,12%,2%,3%,6%,7%,21%,6%,26%,4,5,24,92%
greh_ps5_outfit,greh,greh_ps5_outfit_name,greh_ps5_outfit_description,14.00,59328,M,N,31,23%,18%,6%,21%,11%,6%,6%,11%,16%,4,4,16,103%
isg_camo_outfit,isg,isg_merc_outfit_name,isg_merc_outfit_description,30.00,49847,M,N,43,28%,28%,6%,11%,11%,4%,21%,9%,26%,2,3,21,95%
isg_lcs_outfit,isg,isg_lcs_outfit_name,isg_lcs_outfit_description,33.60,43393,M,N,46,31%,14%,2%,3%,6%,7%,21%,4%,26%,2,3,27,91%
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,isg_lcs_urban_outfit_description,20.40,46099,M,N,37,21%,14%,35%,15%,6%,15%,16%,4%,6%,2,3,21,98%
isg_outfit,isg,isg_outfit_name,isg_outfit_description,16.80,83283,M,N,40,23%,23%,6%,21%,11%,6%,6%,7%,16%,3,5,18,102%
isg_scientific_outfit,isg,isg_scientific_outfit_name,isg_scientific_outfit_description,20.40,87591,M,N,36,19%,16%,41%,30%,21%,25%,16%,9%,11%,3,5,19,97%
merc_coyote_outfit,killer,merc_coyote_outfit_name,merc_coyote_outfit_description,31.00,62915,M,N,44,38%,16%,2%,4%,6%,1%,23%,6%,37%,3,4,21,93%
merc_jackal_outfit,killer,merc_jackal_outfit_name,merc_jackal_outfit_description,22.00,58615,M,N,35,30%,12%,2%,4%,6%,7%,21%,6%,31%,3,4,25,95%
merc_outfit,killer,merc_outfit_name,merc_outfit_description,28.00,45649,M,N,42,33%,14%,2%,4%,6%,5%,21%,6%,31%,2,3,23,94%
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,merc_scientific_armored_outfit_description,19.00,105419,M,N,37,31%,15%,31%,59%,16%,18%,11%,26%,13%,3,5,19,101%
merc_scientific_outfit,killer,merc_scientific_outfit_name,merc_scientific_outfit_description,17.00,92625,M,N,33,21%,16%,41%,40%,21%,20%,16%,16%,13%,3,5,16,100%
merc_sun_outfit,killer,merc_sun_outfit_name,merc_sun_outfit_description,25.00,53949,M,N,40,31%,28%,6%,13%,11%,3%,21%,16%,31%,2,3,18,98%
merc_sunset_outfit,killer,merc_sunset_outfit_name,merc_sunset_outfit_description,17.00,47723,M,N,34,23%,14%,35%,21%,6%,12%,16%,6%,7%,2,3,18,101%
monolith_outfit,monolith,monolith_outfit_name,monolith_outfit_description,25.00,72323,M,N,36,31%,30%,6%,11%,11%,3%,27%,16%,26%,2,4,21,97%
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,monolith_scientific_light_outfit_description,14.00,96460,M,N,27,18%,14%,35%,41%,25%,17%,17%,26%,6%,3,5,25,103%
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,monolith_scientific_outfit_description,17.00,91922,M,N,30,21%,18%,41%,30%,21%,20%,21%,16%,11%,3,5,19,99%
nomad_outfit,stalker,nomad_outfit_name,nomad_outfit_description,20.70,100114,M,N,31,23%,28%,11%,11%,31%,13%,21%,18%,26%,4,5,31,99%
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,renegade_scientific_outfit_description,17.00,78600,M,N,33,21%,20%,41%,30%,21%,25%,16%,16%,11%,2,4,22,100%
renegademerc_outfit,renegade,renegademerc_outfit_name,renegademerc_outfit_description,28.00,33088,M,N,42,33%,18%,2%,3%,6%,7%,21%,6%,26%,1,2,31,94%
scientific_outfit,stalker,scientific_outfit_name,scientific_outfit_description,15.30,116790,M,N,27,18%,20%,41%,30%,21%,30%,16%,18%,11%,4,6,26,100%
specops_bandit_outfit,bandit,specops_bandit_outfit_name,specops_bandit_outfit_description,10.50,56779,M,N,24,19%,32%,6%,21%,11%,4%,6%,11%,16%,2,3,31,106%
specops_dolg_outfit,dolg,specops_dolg_outfit_name,specops_dolg_outfit_description,13.50,37596,M,N,30,19%,38%,8%,21%,11%,4%,5%,8%,16%,2,2,24,104%
specops_merc_outfit,killer,specops_merc_outfit_name,specops_merc_outfit_description,15.00,69216,M,N,33,21%,29%,6%,26%,11%,3%,6%,11%,19%,2,4,18,103%
specops_outfit,army,specops_outfit_name,specops_outfit_description,18.00,36037,M,N,33,23%,38%,4%,17%,9%,4%,5%,9%,19%,1,2,21,101%
stalker_bear_outfit,stalker,stalker_bear_outfit_name,stalker_bear_outfit_description,13.50,75411,M,N,29,19%,26%,21%,21%,31%,13%,6%,25%,11%,3,4,19,105%
stalker_drought_outfit,stalker,stalker_drought_outfit_name,stalker_drought_outfit_description,9.90,80015,M,N,26,17%,25%,45%,21%,31%,13%,6%,25%,11%,3,4,19,107%
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,stalker_graphite_outfit_description,9.90,80015,M,N,26,17%,25%,21%,45%,31%,13%,6%,25%,11%,3,4,19,107%
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,stalker_tigerstripe_outfit_description,8.10,77237,M,N,23,14%,29%,21%,21%,31%,13%,6%,25%,11%,3,4,19,109%
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,svoboda_heavy_outfit_description,15.00,51255,M,N,33,19%,27%,6%,21%,14%,4%,7%,11%,16%,3,3,24,102%
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,svoboda_heavy_outfit_2_description,14.00,51168,M,N,36,23%,19%,6%,21%,14%,6%,7%,11%,16%,3,3,20,104%
svoboda_light_outfit,freedom,svoboda_light_outfit_name,svoboda_light_outfit_description,25.00,53399,M,N,40,28%,25%,6%,11%,14%,4%,25%,16%,26%,2,3,24,97%
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,svoboda_scientific_outfit_description,17.00,93555,M,N,33,19%,14%,41%,30%,27%,25%,19%,16%,11%,3,5,22,99%
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,12.00,52133,M,N,27,17%,25%,16%,15%,16%,9%,6%,31%,11%,3,3,22,105%
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,10.80,55586,M,N,28,18%,27%,21%,15%,25%,9%,5%,16%,11%,3,3,22,106%
wastelander_outfit,stalker,wastelander_outfit_name,wastelander_outfit_description,11.70,101663,M,N,28,19%,18%,31%,15%,6%,22%,16%,7%,6%,5,6,28,99%
