~,pda_encyclopedia_name,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_is_backpack,st_data_export_jump_height,st_data_export_bonus_mutant_part_chance,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_surge_up,st_af_surge_up_name,4.95,25000,4,N,0,0%,0%,0%,30%,30%,30%,0%,0%,0%,0%,0,0%,0,0,-21%,0
artefact_container,st_itm_artefact_container_name,5.00,5000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,21
equ_military_pack,st_equ_milpack_name,1.24,15000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,41
equ_small_military_pack,st_equ_smilpack_name,0.67,7500,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,34
equ_small_pack,st_equ_smallpack_name,0.54,4500,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,28
equ_tourist_pack,st_equ_touristpack_name,1.83,20000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,47
hide_bloodsucker,st_hide_bloodsucker_name,0.58,8500,3,N,0,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0,0%,0.918,0,30%,0
hide_boar,st_hide_boar_name,0.57,6200,2,N,0,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,12
hide_burer,st_hide_burer_name,0.66,7500,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,30%,29%,0,0%,0,0,0%,20
hide_chimera,st_hide_chimera_name,0.68,9000,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6,0%,0,0,89%,20
hide_controller,st_hide_controller_name,0.63,8000,5,N,0,0%,0%,0%,0%,0%,0%,9.803484%,30%,0%,0%,0,0%,0,0,0%,0
hide_flesh,st_hide_flesh_name,1.09,6200,1,N,0,0%,0%,0%,0%,0%,30%,0%,0%,0%,0%,0,0%,0,0,30%,0
hide_lurker,st_hide_lurker_name,0.57,6500,2,N,0,0%,0%,0%,0%,0%,0%,14.705226%,0%,0%,0%,0,0%,0,0,30%,12
hide_pseudodog,st_hide_pseudodog_name,0.55,6200,2,N,0,0%,0%,0%,0%,30%,0%,9.803484%,0%,0%,0%,0,0%,0,0,0%,0
hide_pseudogiant,st_hide_pseudogiant_name,1.09,11000,5,N,0,0%,15%,15%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
hide_psy_dog,st_hide_psy_dog_name,0.58,7200,3,N,0,0%,0%,0%,15%,15%,15%,0%,15%,0%,0%,0,0%,0,0,0%,0
hide_psysucker,st_hide_psysucker_name,0.58,7200,3,N,0,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0,0%,0.612,0,0%,0
itm_backpack,st_itm_backpack_name,0.82,2000,0,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,21
kit_hunt,st_kit_hunt,1.70,8043,0,N,0,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
powder_poltergeist,st_powder_poltergeist,0.08,2760,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0,0,0%,0
