~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_mp7,st_wpn_mp7,st_wpn_mp7_descr_new,2.10,58500,C,Y,83%,88%,950,40,0,420,88%,56,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.5,,,25,,40,,
wpn_mp9,st_wpn_mp9,st_wpn_mp9_descr,2.10,43300,A,N,70%,88%,1100,30,0,525,91%,55,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
wpn_p90,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,900,50,0,756,89%,71,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.5,,,25,,40,,
wpn_p90_gs,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,900,50,0,756,89%,72,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.46,,,25,,40,,
wpn_p90gamma,st_wpn_p90,st_wpn_p90_descr,2.78,39880,C,Y,76%,84%,900,50,0,756,89%,71,ammo-5.7x28-ss190;ammo-5.7x28-ss195,,0.46,,,25,,40,,
wpn_pp2000,st_wpn_pp2000n,st_wpn_pp2000n_descr,1.66,19650,A,N,64%,85%,600,45,0,525,91%,93,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
wpn_pp2000_operator,st_wpn_pp2000_oper,st_wpn_pp2000_oper_descr,1.78,19650,A,N,64%,85%,800,45,0,525,91%,0,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
wpn_ppsh41,st_wpn_ppsh41,st_wpn_ppsh41_descr,3.64,15840,A,N,56%,82%,880,71,0,630,91%,54,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_ppsh41_rednew,st_wpn_ppsh41_camo,st_wpn_ppsh41_descr,3.60,20580,A,N,64%,82%,880,71,0,630,91%,54,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_ppsh41_woodnew,st_wpn_ppsh41_new,st_wpn_ppsh41_descr,3.65,18180,A,N,61%,82%,900,71,0,630,91%,54,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_sr2_m1,st_wpn_sr2_m1,st_wpn_sr2_m1_descr,1.86,73300,C,Y,83%,88%,900,30,0,350,90%,71,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr2_veresk,st_wpn_sr2_veresk,st_wpn_sr2_veresk_descr,1.65,50300,C,Y,83%,88%,900,30,0,350,90%,89,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit,st_wpn_sr2_veresk_sr2_upkit_descr,2.10,50300,C,Y,83%,88%,900,30,0,350,90%,71,ammo_9x21_sp10,,0.35,,,,32,,,
wpn_thompson_1921,st_wpn_thompson_1921,st_wpn_thompson_1921_descr,6.10,40590,A,N,60%,84%,900,50,0,433,90%,93,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_thompson_m1a1,st_wpn_thompson_m1a1,st_wpn_thompson_m1a1_descr,4.70,21880,A,N,60%,84%,650,30,0,433,90%,57,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_udp9,st_wpn_udp9,st_wpn_udp9_descr,2.20,19350,A,N,83%,84%,500,33,0,525,89%,97,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-11.43x23-fmj;ammo-11.43x23-hydro,0.47,,17,,35,,,
wpn_ump45,st_wpn_ump45,st_wpn_ump45_descr,2.48,28980,C,N,73%,84%,600,25,0,358,90%,45,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_ump45_custom,st_wpn_ump45_custom,st_wpn_ump45_descr,2.48,33880,C,N,73%,84%,600,25,0,358,90%,47,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_uzi,st_wpn_uzi,st_wpn_uzi_descr,3.50,19690,A,N,63%,85%,600,32,0,525,91%,80,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.47,,17,,35,,,
wpn_uzi_micro,st_wpn_uzi_micro,st_wpn_uzi_micro_descr,1.50,14200,A,Y,55%,85%,1200,32,0,525,91%,41,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_uzi_mini,st_wpn_uzi_mini,st_wpn_uzi_mini_descr,2.70,17750,A,N,59%,85%,950,32,0,525,91%,83,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.47,,17,,35,,,
wpn_vityaz,st_wpn_vityaznew,st_wpn_vityaznew_descr,2.90,20880,A,N,63%,82%,800,30,0,511,91%,78,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
wpn_vityaz_vitup,st_wpn_vityaznew,st_wpn_vityaznew_descr,2.90,20880,A,N,63%,82%,900,30,0,511,91%,80,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
wpn_vz61,st_wpn_vz61,st_wpn_vz61_descr,1.44,15680,A,N,57%,84%,850,20,0,485,91%,113,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
wpn_vz61_alt,st_wpn_vz61,st_wpn_vz61_descr,1.44,15680,A,N,57%,84%,850,20,0,485,91%,113,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.46,,17,,35,,,
