~, Ui_st_community, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_mcm_menu_exo, Ui_inv_ap_res, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
dolg_exo_outfit,dolg,dolg_exo_outfit_name,63,174200,E,Y,59,45%,40%,52%,3%,11%,11%,25%,4%,39%,3,5,96,104%
light_merc_outfit,killer,light_merc_outfit_name,20,101650,H,N,37,33%,46%,6%,46%,21%,13%,6%,41%,19%,2,4,15,107%
military_monolit_outfit,monolith,military_monolit_outfit_name,28,74310,H,N,52,44%,23%,6%,6%,9%,3%,34%,11%,51%,2,3,37.799999237061,100%
military_freedom_outfit,freedom,military_freedom_outfit_name,28,74850,H,N,57,40%,18%,6%,6%,11%,4%,31%,11%,51%,2,3,42,100%
military_merc_outfit,killer,military_merc_outfit_name,28,74159,H,N,57,44%,20%,6%,8%,9%,3%,26%,11%,61%,2,3,31.5,101%
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,45,87872,H,N,66,52%,34%,35%,4%,16%,13%,31%,6%,49%,2,3,56.25,92%
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,28,129360,H,N,46,33%,24%,42%,54%,19%,35%,11%,41%,26%,3,5,28,98%
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,85,170079,E,Y,63,51%,35%,45%,3%,11%,9%,47%,6%,41%,3,5,103.5,103%
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,40,172368,H,Y,30,23%,23%,24%,15%,42%,19%,15%,16%,11%,4,6,96,108%
military_bandit_outfit,bandit,military_bandit_outfit_name,19,81432,H,N,42,40%,23%,6%,6%,9%,4%,26%,11%,51%,2,3,54.599998474121,104%
merc_exo_outfit,killer,merc_exo_outfit_name,70,119274,E,Y,65,49%,30%,41%,4%,11%,9%,31%,6%,47%,2,4,72,103%
cs_exolight_outfit,csky,cs_exolight_outfit_name,35,103230,H,N,55,38%,30%,42%,3%,19%,13%,26%,6%,36%,3,4,50,93%
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,36,151238,H,Y,30,25%,29%,26%,13%,35%,16%,12%,13%,11%,4,5,96,109%
merc_ace_outfit,killer,ace_outfit_name,26,130560,H,N,46,38%,24%,45%,59%,31%,27%,11%,26%,13%,4,6,21,97%
monolith_exo_outfit,monolith,monolith_exo_outfit_name,70,156366,E,Y,59,49%,34%,41%,3%,11%,9%,40%,6%,39%,3,5,86.400001525879,102%
exo_outfit,stalker,exo_outfit_name,63,176027,E,Y,53,40%,36%,41%,3%,11%,13%,31%,7%,39%,3,5,115.19999694824,103%
light_monolit_outfit,monolith,light_monolit_outfit_name,20,101336,H,N,34,33%,51%,6%,36%,21%,13%,8%,41%,16%,2,4,18,106%
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,28,88368,H,N,56,41%,30%,21%,4%,21%,4%,21%,6%,35%,3,4,18.75,96%
cs_exo_outfit,csky,cs_exo_outfit_name,70,158105,E,Y,59,40%,30%,48%,3%,13%,13%,31%,6%,39%,3,5,96,103%
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,35,78798,H,N,61,42%,27%,35%,3%,21%,11%,31%,6%,36%,2,3,50,92%
light_voen_outfit,army,light_voen_outfit_name,24,78908,H,N,37,35%,60%,4%,29%,17%,16%,5%,36%,19%,1,3,18,105%
army_nosorog_outfit,army,army_nosorog_outfit_name,102,130866,E,Y,69,56%,42%,37%,3%,9%,11%,29%,6%,49%,2,4,103.5,102%
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,85,160095,E,Y,69,51%,32%,45%,4%,11%,9%,36%,6%,49%,3,5,86.25,104%
military_outfit,army,military_outfit_name,33,50549,H,N,57,47%,27%,4%,5%,7%,4%,21%,9%,61%,1,2,37.799999237061,99%
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,32,104810,H,N,58,44%,35%,25%,4%,16%,7%,26%,16%,43%,3,4,37.5,94%
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,31,84671,H,N,55,42%,40%,47%,3%,16%,11%,21%,4%,36%,2,3,50,94%
