id,name_key,field_name,spot,level,x,y,z,anomaly_types,artefacts
jup_wa_anomal_zone,,jup_wa_anomaly_spot,jup_wa_anomaly_spot,jupiter,-12.594,2.658,-15.242,,af_soul:27.3;af_cristall_flower:18.2;af_medusa:9.1;af_mincer_meat:9.1;af_night_star:9.1;af_fuzz_kolobok:3.1;af_empty:1.8;af_gravi:1.8;af_sponge:1.8;af_vyvert:1.8;af_bracelet:1.3;af_dummy_dummy:1.3;af_electra_moonlight:1.3;af_eye:1.3;af_lobster_eyes:1.3;af_pin:1.3;af_cell:0.8;af_dragon_eye:0.8;af_elektron:0.8;af_generator:0.8;af_grapes:0.8;af_kogot:0.8;af_lighthouse:0.8;af_medallion:0.8;af_repei:0.8;af_serofim:0.8;af_star_phantom:0.8;af_sun:0.8
mar_smart_terrain_10_10_anomal_zone,st_mar_smart_terrain_10_10_anomaly_spot_name,mar_smart_terrain_10_10_anomaly_spot,mar_smart_terrain_10_10_field_radioactive_weak,k00_marsh,466.522,1.296,-20.357,Radioactive,af_dummy_battery:16.7;af_electra_sparkler:16.7;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
mar_smart_terrain_11_3_anomal_zone,st_mar_smart_terrain_11_3_anomaly_spot_name,mar_smart_terrain_11_3_anomaly_spot,mar_smart_terrain_11_3_zone_field_thermal_weak,k00_marsh,405.333,3.236,291.824,Thermal,af_dummy_glassbeads:33.3;af_itcher:33.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
mar_smart_terrain_12_2_anomal_zone,st_mar_smart_terrain_12_2_anomaly_spot_name,mar_smart_terrain_12_2_anomaly_spot,mar_smart_terrain_12_2_field_radioactive_weak,k00_marsh,542.397,2.705,294.309,Radioactive; Electro,af_dummy_battery:16.7;af_electra_sparkler:16.7;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
mar_smart_terrain_2c_01_anomal_zone,,mar_smart_terrain_2c_01_anomaly_spot,mar_2c_01_anomaly_spot,k00_marsh,333.266,7.726,-79.951,Chemical,af_blood:12.5;af_cristall_flower:12.5;af_mincer_meat:12.5;af_soul:12.5;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
mar_smart_terrain_3_3_anomal_zone,st_mar_smart_terrain_3_3_anomaly_spot_name,mar_smart_terrain_3_3_anomaly_spot,mar_zone_field_radioactive_weak_0004,k00_marsh,-176.767,0.973,250.106,Radioactive,af_blood:12.5;af_cristall_flower:12.5;af_mincer_meat:12.5;af_soul:12.5;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
mar_smart_terrain_3_7_anomal_zone,st_mar_smart_terrain_3_7_anomaly_spot_name,mar_smart_terrain_3_7_anomaly_spot,mar_smart_terrain_3_7_anomaly_spot,k00_marsh,-183.493,0.528,80.436,,af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
mar_smart_terrain_8_8_anomal_zone,st_mar_smart_terrain_8_8_anomaly_spot_name,mar_smart_terrain_8_8_anomaly_spot,mar_smart_terrain_8_8_field_radioactive_weak,k00_marsh,240.266,3.680,62.852,Radioactive,af_dummy_glassbeads:25.0;af_itcher:25.0;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
mar_smart_terrain_base_anomal_zone,st_mar_smart_terrain_base_anomaly_spot_name,mar_smart_terrain_base_anomaly_spot,mar_smart_terrain_base_anomaly_spot,k00_marsh,-267.481,0.214,-117.381,,af_cristall_flower:15.0;af_soul:15.0;af_blood:5.0;af_mincer_meat:5.0;af_ball:3.8;af_black_angel:3.8;af_chelust:3.8;af_cocoon:3.8;af_ear:3.8;af_fonar:3.8;af_generator:3.8;af_kislushka:3.8;af_moh:3.8;af_peas:3.8;af_sandstone:3.8;af_signet:3.8;af_skull_miser:3.8;af_spaika:3.8;af_tapeworm:3.8;af_zhelch:3.8
marsh_wa_anomal_zone,,marsh_wa_anomaly_spot,marsh_wa_anomaly_spot,k00_marsh,20.635,1.214,110.593,,af_cristall_flower:15.0;af_soul:15.0;af_blood:5.0;af_mincer_meat:5.0;af_ball:3.8;af_black_angel:3.8;af_chelust:3.8;af_cocoon:3.8;af_ear:3.8;af_fonar:3.8;af_generator:3.8;af_kislushka:3.8;af_moh:3.8;af_peas:3.8;af_sandstone:3.8;af_signet:3.8;af_skull_miser:3.8;af_spaika:3.8;af_tapeworm:3.8;af_zhelch:3.8
ds_2c_02_anomal_zone,st_ds_2c_02_anomaly_spot_name,ds_2c_02_anomaly_spot,ds_2c_02_anomaly_spot,k01_darkscape,384.185,21.860,287.908,,
ds_2c_03_anomal_zone,st_ds_2c_03_anomaly_spot_name,ds_2c_03_anomaly_spot,ds_2c_03_anomaly_spot,k01_darkscape,232.757,20.115,-368.520,,
trc_2c_01_rift_anomal_zone,,trc_2c_01_rift_anomaly_spot,trc_2c_01_rift_anomaly_spot,k02_trucks_cemetery,-157.090,-2.655,-60.171,,
trc_2c_02_chem_anomal_zone,,trc_2c_02_chem_anomaly_spot,trc_2c_02_chem_anomaly_spot,k02_trucks_cemetery,-310.507,16.919,-153.592,Chemical,af_blood:18.8;af_cristall_flower:18.8;af_mincer_meat:18.8;af_soul:18.8;af_bracelet:3.1;af_eye:3.1;af_fuzz_kolobok:3.1;af_vyvert:3.1;af_ball:0.8;af_black_angel:0.8;af_chelust:0.8;af_cocoon:0.8;af_ear:0.8;af_fonar:0.8;af_generator:0.8;af_kislushka:0.8;af_moh:0.8;af_peas:0.8;af_sandstone:0.8;af_signet:0.8;af_skull_miser:0.8;af_spaika:0.8;af_tapeworm:0.8;af_zhelch:0.8
trc_2c_03_desolation_anomal_zone,,trc_2c_03_desolation_anomaly_spot,trc_2c_03_desolation_anomaly_spot,k02_trucks_cemetery,261.467,12.408,-299.923,Thermal,af_dummy_glassbeads:37.5;af_itcher:37.5;af_cristall:4.2;af_lobster_eyes:4.2;af_pin:4.2;af_ball:0.8;af_black_angel:0.8;af_chelust:0.8;af_cocoon:0.8;af_ear:0.8;af_fonar:0.8;af_generator:0.8;af_kislushka:0.8;af_moh:0.8;af_peas:0.8;af_sandstone:0.8;af_signet:0.8;af_skull_miser:0.8;af_spaika:0.8;af_tapeworm:0.8;af_zhelch:0.8
trc_sim_13_anomal_zone,,trc_sim_13_anomaly_spot,trc_sim_13_anomaly_spot,k02_trucks_cemetery,-88.972,1.810,66.163,Gravitational,af_soul:30.0;af_cristall_flower:20.0;af_medusa:10.0;af_mincer_meat:10.0;af_night_star:10.0;af_fuzz_kolobok:2.3;af_empty:1.3;af_gravi:1.3;af_sponge:1.3;af_vyvert:1.3;af_bracelet:1.0;af_dummy_dummy:1.0;af_electra_moonlight:1.0;af_eye:1.0;af_lobster_eyes:1.0;af_pin:1.0;af_ball:0.4;af_black_angel:0.4;af_chelust:0.4;af_cocoon:0.4;af_ear:0.4;af_fonar:0.4;af_generator:0.4;af_kislushka:0.4;af_moh:0.4;af_peas:0.4;af_sandstone:0.4;af_signet:0.4;af_skull_miser:0.4;af_spaika:0.4;af_tapeworm:0.4;af_zhelch:0.4
esc_2c_01_high_hopes_anomal_zone,st_esc_2c_01_high_hopes_anomaly_spot_name,esc_2c_01_high_hopes_anomaly_spot,esc_2c_01_high_hopes_anomaly_spot,l01_escape,-62.002,31.341,394.949,Gravitational,af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
esc_smart_terrain_1_11_anomal_zone,st_esc_smart_terrain_1_11_anomaly_spot_name,esc_smart_terrain_1_11_anomaly_spot,esc_zone_field_radioactive_weak_0000,l01_escape,-245.276,-13.927,-15.991,Radioactive,af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
esc_smart_terrain_5_4_anomal_zone,st_esc_smart_terrain_5_4_anomaly_spot_name,esc_smart_terrain_5_4_anomaly_spot,esc_zone_field_radioactive_weak_0004,l01_escape,121.648,2.124,516.428,Radioactive,af_soul:18.8;af_cristall_flower:12.5;af_medusa:6.3;af_mincer_meat:6.3;af_night_star:6.3;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
esc_smart_terrain_8_9_anomal_zone,st_esc_smart_terrain_8_9_anomaly_spot_name,esc_smart_terrain_8_9_anomaly_spot,esc_zone_field_radioactive_weak_0002,l01_escape,336.852,14.278,207.091,Radioactive,af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_ball:4.2;af_black_angel:4.2;af_chelust:4.2;af_cocoon:4.2;af_ear:4.2;af_fonar:4.2;af_generator:4.2;af_kislushka:4.2;af_moh:4.2;af_peas:4.2;af_sandstone:4.2;af_signet:4.2;af_skull_miser:4.2;af_spaika:4.2;af_tapeworm:4.2;af_zhelch:4.2
esc_tunnel_electr_anomal_zone,,esc_tunnel_electr_anomaly_spot,esc_smart_terrain_tunnel_electr_spot,l01_escape,-76.246,-1.333,159.605,Electro,af_dummy_battery:25.0;af_electra_sparkler:25.0;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
gar_2c_01_nwi_anomal_zone,st_gar_2c_01_nwi_anomaly_spot_name,gar_2c_01_nwi_anomaly_spot,gar_2c_01_nwi_anomaly_spot,l02_garbage,-54.013,23.341,110.043,Gravitational,af_medusa:12.5;af_mincer_meat:12.5;af_night_star:12.5;af_soul:12.5;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
gar_2c_02_toaster_anomal_zone,st_gar_2c_02_toaster_anomaly_spot_name,gar_2c_02_toaster_anomaly_spot,gar_2c_02_toaster_anomaly_spot,l02_garbage,255.302,2.954,120.245,Thermal,af_dummy_glassbeads:33.3;af_itcher:33.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
gar_smart_terrain_1_7_anomal_zone,st_gar_smart_terrain_1_7_anomaly_spot_name,gar_smart_terrain_1_7_anomaly_spot,gar_zone_field_radioactive_weak_0003,l02_garbage,-147.233,0.142,-224.628,Radioactive,af_soul:25.0;af_cristall_flower:16.7;af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
gar_smart_terrain_2_4_anomal_zone,st_gar_smart_terrain_2_4_anomaly_spot_name,gar_smart_terrain_2_4_anomaly_spot,gar_zone_field_psychic_average,l02_garbage,-245.771,-0.944,99.420,Psi,af_cristall_flower:12.5;af_dummy_battery:12.5;af_electra_sparkler:12.5;af_soul:12.5;af_bat:5.0;af_grapes:5.0;af_lighthouse:5.0;af_star_phantom:5.0;af_sun:5.0;af_ball:1.6;af_black_angel:1.6;af_chelust:1.6;af_cocoon:1.6;af_ear:1.6;af_fonar:1.6;af_generator:1.6;af_kislushka:1.6;af_moh:1.6;af_peas:1.6;af_sandstone:1.6;af_signet:1.6;af_skull_miser:1.6;af_spaika:1.6;af_tapeworm:1.6;af_zhelch:1.6
gar_smart_terrain_3_7_anomal_zone,st_gar_smart_terrain_3_7_anomaly_spot_name,gar_smart_terrain_3_7_anomaly_spot,gar_zone_field_radioactive_conc_camp_2,l02_garbage,-99.809,-2.600,-202.645,Radioactive,af_dummy_glassbeads:16.7;af_itcher:16.7;af_bat:6.7;af_grapes:6.7;af_lighthouse:6.7;af_star_phantom:6.7;af_sun:6.7;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
gar_smart_terrain_5_6_anomal_zone,st_gar_smart_terrain_5_6_anomaly_spot_name,gar_smart_terrain_5_6_anomaly_spot,gar_zone_field_acidic_average_0004,l02_garbage,120.883,-0.334,-145.281,Chemical,af_blood:25.0;af_cristall_flower:25.0;af_mincer_meat:25.0;af_soul:25.0
gar_smart_terrain_6_7_anomal_zone,st_gar_smart_terrain_6_7_anomaly_spot_name,gar_smart_terrain_6_7_anomaly_spot,gar_zone_field_radioactive_weak_0000,l02_garbage,109.854,-1.635,-267.572,Radioactive,af_medusa:6.3;af_mincer_meat:6.3;af_night_star:6.3;af_soul:6.3;af_ball:4.7;af_black_angel:4.7;af_chelust:4.7;af_cocoon:4.7;af_ear:4.7;af_fonar:4.7;af_generator:4.7;af_kislushka:4.7;af_moh:4.7;af_peas:4.7;af_sandstone:4.7;af_signet:4.7;af_skull_miser:4.7;af_spaika:4.7;af_tapeworm:4.7;af_zhelch:4.7
agr_2c_01_hg_anomal_zone,st_agr_2c_01_hg_anomaly_spot_name,agr_2c_01_hg_anomaly_spot,agr_2c_01_hg_anomaly_spot,l03_agroprom,206.121,22.488,-157.431,Gravitational,af_signet:8.8;af_bat:6.7;af_blood:6.7;af_dummy_glassbeads:6.7;af_grapes:6.7;af_lighthouse:6.7;af_lobster_eyes:6.7;af_mincer_meat:6.7;af_star_phantom:6.7;af_sun:6.7;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
agr_smart_terrain_1_2_anomal_zone,st_agr_smart_terrain_1_2_anomaly_spot_name,agr_smart_terrain_1_2_anomaly_spot,agr_zone_field_acidic_average,l03_agroprom,-218.462,3.530,69.403,Chemical,af_blood:12.5;af_cristall_flower:12.5;af_mincer_meat:12.5;af_soul:12.5;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
agr_smart_terrain_1_3_anomal_zone,st_agr_smart_terrain_1_3_anomaly_spot_name,agr_smart_terrain_1_3_anomaly_spot,agr_zone_field_radioactive_average,l03_agroprom,-202.904,-0.014,-24.468,Radioactive,af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_bat:6.7;af_grapes:6.7;af_lighthouse:6.7;af_star_phantom:6.7;af_sun:6.7;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
agr_smart_terrain_4_4_near_3_anomal_zone,st_agr_smart_terrain_4_4_near_3_anomaly_spot_name,agr_smart_terrain_4_4_near_3_anomaly_spot,agr_zone_field_psychic_average,l03_agroprom,38.485,7.500,-11.914,Psi,af_cristall_flower:20.0;af_dummy_battery:20.0;af_electra_sparkler:20.0;af_soul:20.0;af_ball:1.3;af_black_angel:1.3;af_chelust:1.3;af_cocoon:1.3;af_ear:1.3;af_fonar:1.3;af_generator:1.3;af_kislushka:1.3;af_moh:1.3;af_peas:1.3;af_sandstone:1.3;af_signet:1.3;af_skull_miser:1.3;af_spaika:1.3;af_tapeworm:1.3;af_zhelch:1.3
agr_smart_terrain_5_2_anomal_zone,st_agr_smart_terrain_5_2_anomaly_spot_name,agr_smart_terrain_5_2_anomaly_spot,agr_zone_field_radioactive_weak_0000,l03_agroprom,142.655,13.646,108.257,Radioactive,af_soul:25.0;af_cristall_flower:16.7;af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
agr_smart_terrain_5_7_anomal_zone,st_agr_smart_terrain_5_7_anomaly_spot_name,agr_smart_terrain_5_7_anomaly_spot,agr_zone_field_radioactive_average_0002,l03_agroprom,24.597,7.551,-280.117,Radioactive,af_medusa:12.5;af_mincer_meat:12.5;af_night_star:12.5;af_soul:12.5;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
val_smart_terrain_6_4_anomal_zone,st_val_smart_terrain_6_4_anomaly_spot_name,val_smart_terrain_6_4_anomaly_spot,val_zone_field_radioactive_average,l04_darkvalley,-47.643,-0.167,69.893,Radioactive,af_soul:18.8;af_cristall_flower:12.5;af_medusa:6.3;af_mincer_meat:6.3;af_night_star:6.3;af_ball:3.1;af_black_angel:3.1;af_chelust:3.1;af_cocoon:3.1;af_ear:3.1;af_fonar:3.1;af_generator:3.1;af_kislushka:3.1;af_moh:3.1;af_peas:3.1;af_sandstone:3.1;af_signet:3.1;af_skull_miser:3.1;af_spaika:3.1;af_tapeworm:3.1;af_zhelch:3.1
val_smart_terrain_8_6_anomal_zone,st_val_smart_terrain_8_6_anomaly_spot_name,val_smart_terrain_8_6_anomaly_spot,val_zone_field_radioactive_weak_baza_freedom,l04_darkvalley,-13.375,0.194,-84.698,Radioactive,af_dummy_battery:16.7;af_electra_sparkler:16.7;af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_soul:8.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
val_smart_terrain_8_9_anomal_zone,st_val_smart_terrain_8_9_anomaly_spot_name,val_smart_terrain_8_9_anomaly_spot,val_zone_field_radioactive_weak_0001,l04_darkvalley,174.802,2.651,-308.682,Radioactive; Gravitational,af_mincer_meat:16.7;af_soul:16.7;af_blood:8.3;af_cristall_flower:8.3;af_medusa:8.3;af_night_star:8.3;af_ball:2.1;af_black_angel:2.1;af_chelust:2.1;af_cocoon:2.1;af_ear:2.1;af_fonar:2.1;af_generator:2.1;af_kislushka:2.1;af_moh:2.1;af_peas:2.1;af_sandstone:2.1;af_signet:2.1;af_skull_miser:2.1;af_spaika:2.1;af_tapeworm:2.1;af_zhelch:2.1
