~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout_descr,2.60,13890,B,N,24%,52%,76,4,0,299,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_stakeout_20x70,st_wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout_descr,2.60,13890,B,N,93%,72%,88,5,0,210,60%,6,ammo_20x70_buck,,0.79,,,,,,,
wpn_ithacam37_trench,st_wpn_ithacam37_trench,st_wpn_ithacam37_trench_descr,3.33,25200,B,N,52%,72%,124,5,0,349,60%,3,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ks23,st_wpn_ks23,st_wpn_ks23_descr,3.85,32960,C,N,63%,53%,100,4,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.5,,,,,40,54,500
wpn_ks23_23_up,st_wpn_ks23_23_up,st_wpn_ks23_23_up_descr,3.53,32960,C,N,63%,53%,100,4,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ks23_ecolog,st_wpn_ks23_ecolog,st_wpn_ks23_ecolog_descr,4.00,32960,B,N,63%,53%,60,1,0,140,40%,1,ammo_23_eco,,0.1,,12,,,,,
wpn_ks23_kaban,st_wpn_ks23_kaban,st_wpn_ks23_kaban_descr,3.50,38950,C,N,63%,53%,100,4,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up_descr,3.60,38950,C,N,63%,53%,100,4,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ks23_vorkuta,st_wpn_ks23_vorkuta,st_wpn_ks23_vorkuta_descr,3.90,32960,C,N,63%,53%,100,6,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.5,,,,,40,54,500
wpn_ksg23,st_wpn_ksg,st_wpn_ksg_descr,3.10,98520,D,N,65%,63%,91,11,0,154,40%,1,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.5,,,,,40,54,500
wpn_mossberg590,st_wpn_mossberg590a1,st_wpn_mossberg590a1_descr,3.20,19960,B,N,72%,59%,90,9,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mossberg590_rail,st_wpn_mossberg590a1,st_wpn_mossberg590a1_descr,3.20,19960,B,N,69%,59%,90,9,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mp133,st_wpn_mp133,st_wpn_mp133_descr,2.90,19960,B,N,70%,59%,100,6,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_mp153,st_wpn_mp153,st_wpn_mp153_descr,3.65,30580,C,N,73%,59%,200,6,0,369,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_mp153_m1,st_wpn_mp153_m1,st_wpn_mp153_m1_descr,3.50,40580,C,N,66%,59%,200,6,0,369,68%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.8,,,24,,42,,
wpn_mp155,st_wpn_mp155,st_wpn_mp155_descr,2.90,30580,C,N,66%,59%,330,8,0,369,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_protecta,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,4.20,28550,B,N,64%,63%,155,12,0,319,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_aim,st_wpn_streetsweeper_aim,st_wpn_streetsweeper_aim_descr,4.20,33780,B,N,64%,63%,150,12,0,319,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_camo,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,4.20,33850,B,N,59%,63%,155,12,0,319,70%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_custom,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,3.90,30650,B,N,58%,63%,168,12,0,319,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_nimble,st_wpn_streetsweeper_nimble,st_wpn_streetsweeper_nimble_descr,4.80,32680,B,N,57%,63%,191,12,0,319,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_raptr,st_wpn_raptr,st_wpn_raptr_descr,4.30,125660,D,N,63%,59%,225,20,0,324,68%,10,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_remington870,st_wpn_remington870,st_wpn_remington870_descr,2.10,19960,B,N,63%,59%,100,5,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_saiga12s,st_wpn_saiga12s,st_wpn_saiga12s_descr,3.81,31680,C,N,69%,77%,180,12,0,324,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.68,,,24,,42,,
wpn_saiga12s_isg,st_wpn_saiga12s_isg,st_wpn_saiga12s_isg_descr,3.20,88680,D,N,79%,76%,400,12,0,299,68%,8,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.8,,,24,,42,,
wpn_saiga12s_m1,st_wpn_saiga12s_m1,st_wpn_saiga12s_m1_descr,3.81,48680,C,N,69%,77%,250,6,0,324,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.788,,,24,,42,,
wpn_saiga12s_m2,st_wpn_saiga12s_m2,st_wpn_saiga12s_m2_descr,3.96,58680,C,N,69%,77%,250,8,0,324,68%,3,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.788,,,24,,42,,
wpn_spas12,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,250,8,0,339,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_spas12_custom,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,250,8,0,339,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_spas12_nimble,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,250,8,0,339,68%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_toz106,st_wpn_toz106,st_wpn_toz106_descr,2.50,5300,A,N,76%,65%,35,2,0,259,60%,9,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,,,,,
wpn_toz106_m1,st_wpn_toz106_m1,st_wpn_toz106_m1_descr,2.50,6300,A,N,76%,65%,35,4,0,259,60%,9,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,,,,,
wpn_toz34,st_wpn_toz34,st_wpn_toz34_descr,3.20,14800,B,N,76%,55%,1000,2,0,369,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_bull,st_wpn_toz34_bull,st_wpn_toz34_bull_descr,3.90,98950,B,N,79%,55%,200,2,0,315,60%,1,ammo-12x76-bull,,1,,,,,40,,
wpn_toz34_custom,st_wpn_toz34_custom,st_wpn_toz34_descr,3.20,16680,B,N,71%,55%,1200,2,0,369,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_decor,st_wpn_toz34_decor,st_wpn_toz34_descr,3.20,18550,B,N,72%,55%,1100,2,0,369,62%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_mark4,st_wpn_toz34_mark4,st_wpn_toz34_mark4_descr,3.20,36860,B,N,75%,55%,800,2,0,389,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.82,,,24,,42,,
wpn_toz34_mark4_23,st_wpn_toz34_mark4_23,st_wpn_toz34_mark4_23_descr,3.90,98950,B,N,79%,55%,200,2,0,169,40%,2,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.53,,,,,40,54,500
wpn_toz34_obrez,st_wpn_toz34_obrez,st_wpn_toz34_obrez_descr,2.10,9860,B,Y,47%,55%,1200,2,0,299,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_toz34_obrez_custom,st_wpn_toz34_obrez_custom,st_wpn_toz34_obrez_descr,2.10,12690,B,Y,48%,55%,1200,2,0,299,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_toz34_obrez_decor,st_wpn_toz34_obrez_decor,st_wpn_toz34_obrez_descr,2.10,13880,B,Y,50%,55%,1100,2,0,329,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_usas12,st_wpn_raptr,st_wpn_raptr_descr,4.30,125660,D,N,63%,59%,225,20,0,324,68%,5,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_vepr,st_wpn_saiga12s_m1,st_wpn_saiga12s_m1_descr,3.81,48680,C,N,69%,77%,250,6,0,324,68%,3,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.788,,,24,,42,,
wpn_wincheaster1300,st_wpn_toz194,st_wpn_toz194_descr,2.90,19580,B,N,62%,63%,94,7,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_wincheaster1300_trapper,st_wpn_toz194,st_wpn_toz194_descr,2.90,19580,B,N,62%,63%,94,7,0,339,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
